B00, 0
B01, 0
B02, 0
B03, 0
B04, 1
B04, Trade, 1.033, 100, S00, B04, 1
B05, 0
B06, 0
B07, 0
B08, 1
B08, Trade, 1.350, 125, B08, S02, 1
B09, 2
B09, Trade, 123.650, 130, B09, S02, 1
B09, Trade, 148.967, 130, B09, S00, 1
B10, 1
B10, Trade, 278.417, 134, B10, S01, 1
B11, 0
B12, 9
B12, Trade, 88.067, 141, B12, S02, 1
B12, Trade, 114.833, 141, B12, S02, 1
B12, Trade, 123.250, 141, B12, S09, 1
B12, Trade, 147.917, 141, B12, S02, 1
B12, Trade, 214.600, 141, B12, S03, 1
B12, Trade, 228.650, 141, B12, S02, 1
B12, Trade, 246.267, 141, B12, S00, 1
B12, Trade, 278.400, 140, S08, B12, 1
B12, Trade, 290.950, 134, S10, B12, 1
B13, 26
B13, Trade, 22.350, 144, B13, S03, 1
B13, Trade, 31.717, 144, B13, S03, 1
B13, Trade, 51.650, 144, B13, S10, 1
B13, Trade, 61.583, 144, B13, S02, 1
B13, Trade, 69.350, 144, B13, S10, 1
B13, Trade, 78.167, 144, B13, S00, 1
B13, Trade, 82.617, 144, B13, S00, 1
B13, Trade, 102.867, 144, B13, S00, 1
B13, Trade, 106.850, 144, B13, S10, 1
B13, Trade, 123.633, 144, B13, S00, 1
B13, Trade, 147.717, 144, B13, S09, 1
B13, Trade, 199.100, 144, B13, S00, 1
B13, Trade, 213.633, 144, B13, S03, 1
B13, Trade, 215.817, 144, B13, S02, 1
B13, Trade, 226.867, 144, B13, S09, 1
B13, Trade, 241.567, 144, B13, S10, 1
B13, Trade, 244.917, 144, B13, S09, 1
B13, Trade, 248.750, 144, B13, S09, 1
B13, Trade, 254.917, 144, B13, S00, 1
B13, Trade, 261.333, 144, B13, S10, 1
B13, Trade, 265.000, 144, B13, S05, 1
B13, Trade, 268.467, 144, B13, S05, 1
B13, Trade, 277.633, 144, B13, S09, 1
B13, Trade, 279.317, 144, B13, S00, 1
B13, Trade, 284.117, 144, B13, S02, 1
B13, Trade, 288.550, 144, B13, S00, 1
B14, 8
B14, Trade, 244.533, 148, S08, B14, 1
B14, Trade, 254.900, 148, B14, S02, 1
B14, Trade, 261.233, 148, B14, S12, 1
B14, Trade, 266.900, 146, S06, B14, 1
B14, Trade, 267.133, 146, B14, S03, 1
B14, Trade, 275.533, 147, B14, S00, 1
B14, Trade, 289.017, 143, S01, B14, 1
B14, Trade, 294.850, 148, B14, S02, 1
B15, 6
B15, Trade, 206.067, 145, B15, S02, 1
B15, Trade, 229.633, 150, B15, S11, 1
B15, Trade, 247.317, 150, B15, S11, 1
B15, Trade, 270.083, 148, S13, B15, 1
B15, Trade, 280.733, 149, S14, B15, 1
B15, Trade, 295.383, 150, S12, B15, 1
B16, 6
B16, Trade, 175.600, 149, S12, B16, 1
B16, Trade, 186.083, 149, S08, B16, 1
B16, Trade, 209.500, 152, S11, B16, 1
B16, Trade, 231.617, 150, B16, S10, 1
B16, Trade, 241.317, 148, B16, S00, 1
B16, Trade, 291.800, 150, S08, B16, 1
B17, 29
B17, Trade, 6.667, 157, B17, S16, 1
B17, Trade, 12.350, 150, B17, S02, 1
B17, Trade, 17.817, 146, B17, S09, 1
B17, Trade, 20.617, 151, S13, B17, 1
B17, Trade, 26.850, 151, S11, B17, 1
B17, Trade, 38.417, 151, S15, B17, 1
B17, Trade, 43.967, 155, S16, B17, 1
B17, Trade, 53.267, 151, S12, B17, 1
B17, Trade, 62.800, 152, S08, B17, 1
B17, Trade, 66.633, 153, S12, B17, 1
B17, Trade, 103.750, 151, S15, B17, 1
B17, Trade, 122.167, 156, B17, S11, 1
B17, Trade, 130.367, 151, S13, B17, 1
B17, Trade, 138.517, 153, S15, B17, 1
B17, Trade, 142.383, 146, B17, S00, 1
B17, Trade, 148.850, 144, S11, B17, 1
B17, Trade, 169.150, 154, B17, S09, 1
B17, Trade, 180.883, 150, B17, S13, 1
B17, Trade, 191.350, 152, S15, B17, 1
B17, Trade, 196.400, 155, S16, B17, 1
B17, Trade, 225.567, 157, B17, S10, 1
B17, Trade, 245.867, 154, B17, S02, 1
B17, Trade, 248.717, 149, B17, S12, 1
B17, Trade, 259.433, 146, S08, B17, 1
B17, Trade, 265.750, 150, S12, B17, 1
B17, Trade, 270.767, 153, B17, S15, 1
B17, Trade, 280.150, 137, S08, B17, 1
B17, Trade, 287.167, 152, B17, S03, 1
B17, Trade, 296.567, 146, B17, S04, 1
B18, 5
B18, Trade, 12.950, 154, B18, S12, 1
B18, Trade, 168.967, 158, B18, S16, 1
B18, Trade, 210.100, 155, S16, B18, 1
B18, Trade, 215.367, 152, S14, B18, 1
B18, Trade, 295.233, 148, B18, S10, 1
B19, 48
B19, Trade, 3.600, 146, S13, B19, 1
B19, Trade, 12.150, 151, B19, S10, 1
B19, Trade, 15.783, 159, B19, S02, 1
B19, Trade, 19.233, 152, B19, S10, 1
B19, Trade, 28.100, 151, B19, S02, 1
B19, Trade, 31.550, 146, B19, S00, 1
B19, Trade, 46.950, 152, S14, B19, 1
B19, Trade, 50.433, 149, B19, S02, 1
B19, Trade, 57.433, 150, B19, S02, 1
B19, Trade, 66.700, 152, B19, S03, 1
B19, Trade, 71.983, 148, B19, S00, 1
B19, Trade, 74.833, 148, B19, S02, 1
B19, Trade, 83.467, 155, B19, S07, 1
B19, Trade, 89.517, 135, B19, S10, 1
B19, Trade, 93.633, 153, B19, S09, 1
B19, Trade, 106.450, 150, B19, S02, 1
B19, Trade, 108.433, 144, B19, S00, 1
B19, Trade, 119.167, 149, B19, S02, 1
B19, Trade, 133.967, 146, B19, S02, 1
B19, Trade, 138.633, 151, B19, S09, 1
B19, Trade, 146.250, 152, B19, S15, 1
B19, Trade, 152.717, 150, B19, S02, 1
B19, Trade, 159.600, 151, B19, S10, 1
B19, Trade, 164.733, 152, B19, S08, 1
B19, Trade, 168.783, 158, B19, S15, 1
B19, Trade, 172.783, 146, B19, S02, 1
B19, Trade, 179.500, 145, B19, S09, 1
B19, Trade, 185.233, 150, B19, S09, 1
B19, Trade, 190.967, 152, S08, B19, 1
B19, Trade, 195.567, 154, S15, B19, 1
B19, Trade, 200.650, 144, B19, S05, 1
B19, Trade, 205.000, 161, S12, B19, 1
B19, Trade, 209.600, 151, B19, S08, 1
B19, Trade, 218.400, 160, B19, S16, 1
B19, Trade, 225.367, 150, B19, S02, 1
B19, Trade, 228.950, 151, S15, B19, 1
B19, Trade, 234.533, 152, B19, S09, 1
B19, Trade, 238.517, 144, B19, S02, 1
B19, Trade, 245.267, 155, B19, S13, 1
B19, Trade, 250.317, 148, B19, S01, 1
B19, Trade, 256.033, 143, B19, S10, 1
B19, Trade, 259.900, 143, S01, B19, 1
B19, Trade, 264.433, 153, B19, S02, 1
B19, Trade, 273.000, 151, B19, S02, 1
B19, Trade, 276.217, 136, B19, S09, 1
B19, Trade, 277.250, 147, S06, B19, 1
B19, Trade, 288.417, 149, B19, S06, 1
B19, Trade, 293.650, 149, B19, S08, 1
B20, 51
B20, Trade, 4.817, 156, B20, S10, 1
B20, Trade, 6.033, 155, S15, B20, 1
B20, Trade, 17.700, 161, S15, B20, 1
B20, Trade, 21.117, 151, S15, B20, 1
B20, Trade, 27.833, 151, S14, B20, 1
B20, Trade, 38.283, 149, S12, B20, 1
B20, Trade, 43.817, 151, S13, B20, 1
B20, Trade, 49.383, 157, B20, S09, 1
B20, Trade, 53.067, 153, S13, B20, 1
B20, Trade, 61.250, 152, S13, B20, 1
B20, Trade, 69.200, 161, S15, B20, 1
B20, Trade, 78.133, 147, S13, B20, 1
B20, Trade, 83.733, 159, S12, B20, 1
B20, Trade, 90.017, 151, S08, B20, 1
B20, Trade, 94.617, 162, S18, B20, 1
B20, Trade, 101.033, 147, S08, B20, 1
B20, Trade, 105.133, 156, B20, S16, 1
B20, Trade, 110.317, 152, S08, B20, 1
B20, Trade, 116.667, 153, S12, B20, 1
B20, Trade, 118.900, 154, S08, B20, 1
B20, Trade, 127.283, 154, S08, B20, 1
B20, Trade, 133.917, 151, S15, B20, 1
B20, Trade, 136.717, 161, S12, B20, 1
B20, Trade, 140.050, 155, S16, B20, 1
B20, Trade, 144.650, 156, B20, S02, 1
B20, Trade, 152.050, 151, S15, B20, 1
B20, Trade, 152.917, 154, S12, B20, 1
B20, Trade, 160.633, 153, S15, B20, 1
B20, Trade, 166.583, 160, S11, B20, 1
