B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 4
B09, Trade, 2.750, 124, S07, B09, 1
B09, Trade, 17.667, 131, B09, S07, 1
B09, Trade, 27.900, 131, B09, S07, 1
B09, Trade, 128.900, 131, B09, S01, 1
B10, 1
B10, Trade, 145.517, 134, B10, S02, 1
B11, 0
B12, 0
B13, 4
B13, Trade, 274.733, 144, B13, S06, 1
B13, Trade, 282.883, 144, B13, S06, 1
B13, Trade, 293.717, 144, B13, S12, 1
B13, Trade, 298.133, 144, B13, S12, 1
B14, 46
B14, Trade, 4.883, 148, B14, S12, 1
B14, Trade, 17.583, 148, B14, S13, 1
B14, Trade, 18.383, 147, S05, B14, 1
B14, Trade, 27.200, 148, B14, S11, 1
B14, Trade, 29.833, 141, S12, B14, 1
B14, Trade, 33.783, 142, S00, B14, 1
B14, Trade, 36.283, 147, S03, B14, 1
B14, Trade, 43.783, 148, B14, S01, 1
B14, Trade, 50.317, 148, B14, S12, 1
B14, Trade, 62.117, 148, B14, S13, 1
B14, Trade, 66.467, 148, B14, S07, 1
B14, Trade, 81.950, 148, B14, S12, 1
B14, Trade, 85.500, 147, S00, B14, 1
B14, Trade, 87.117, 148, S14, B14, 1
B14, Trade, 96.417, 148, B14, S12, 1
B14, Trade, 99.100, 145, S03, B14, 1
B14, Trade, 105.167, 147, S08, B14, 1
B14, Trade, 113.233, 148, B14, S10, 1
B14, Trade, 120.267, 148, B14, S12, 1
B14, Trade, 125.050, 148, B14, S12, 1
B14, Trade, 126.767, 148, S05, B14, 1
B14, Trade, 138.817, 148, B14, S12, 1
B14, Trade, 141.483, 146, S08, B14, 1
B14, Trade, 152.067, 148, B14, S07, 1
B14, Trade, 154.800, 148, B14, S08, 1
B14, Trade, 158.000, 148, B14, S00, 1
B14, Trade, 162.017, 148, B14, S07, 1
B14, Trade, 170.917, 148, B14, S12, 1
B14, Trade, 171.783, 148, B14, S01, 1
B14, Trade, 182.333, 148, B14, S12, 1
B14, Trade, 187.217, 148, S08, B14, 1
B14, Trade, 195.517, 148, B14, S07, 1
B14, Trade, 198.317, 148, B14, S07, 1
B14, Trade, 213.617, 148, B14, S04, 1
B14, Trade, 222.267, 145, S08, B14, 1
B14, Trade, 230.083, 148, B14, S04, 1
B14, Trade, 237.850, 147, S11, B14, 1
B14, Trade, 247.167, 147, S09, B14, 1
B14, Trade, 263.433, 148, B14, S09, 1
B14, Trade, 267.283, 148, B14, S09, 1
B14, Trade, 273.600, 148, B14, S04, 1
B14, Trade, 275.167, 148, S11, B14, 1
B14, Trade, 279.483, 148, B14, S04, 1
B14, Trade, 285.767, 148, B14, S10, 1
B14, Trade, 292.983, 148, B14, S07, 1
B14, Trade, 297.150, 148, B14, S06, 1
B15, 15
B15, Trade, 39.167, 148, S14, B15, 1
B15, Trade, 101.217, 145, S03, B15, 1
B15, Trade, 108.817, 148, B15, S12, 1
B15, Trade, 119.250, 142, B15, S07, 1
B15, Trade, 120.600, 146, B15, S13, 1
B15, Trade, 124.650, 150, S08, B15, 1
B15, Trade, 130.200, 141, S00, B15, 1
B15, Trade, 138.183, 151, S15, B15, 1
B15, Trade, 145.100, 148, S14, B15, 1
B15, Trade, 188.450, 149, S11, B15, 1
B15, Trade, 215.783, 142, S02, B15, 1
B15, Trade, 223.550, 144, S00, B15, 1
B15, Trade, 236.167, 147, S03, B15, 1
B15, Trade, 245.217, 149, S05, B15, 1
B15, Trade, 274.067, 148, B15, S12, 1
B16, 15
B16, Trade, 6.383, 149, B16, S00, 1
B16, Trade, 30.717, 140, S05, B16, 1
B16, Trade, 33.283, 141, S12, B16, 1
B16, Trade, 41.000, 145, S05, B16, 1
B16, Trade, 65.983, 149, S05, B16, 1
B16, Trade, 85.533, 150, S14, B16, 1
B16, Trade, 105.667, 150, S00, B16, 1
B16, Trade, 115.433, 143, S11, B16, 1
B16, Trade, 182.017, 149, S00, B16, 1
B16, Trade, 198.650, 151, S15, B16, 1
B16, Trade, 214.317, 141, S12, B16, 1
B16, Trade, 221.050, 143, S03, B16, 1
B16, Trade, 251.733, 153, S08, B16, 1
B16, Trade, 259.117, 152, S08, B16, 1
B16, Trade, 284.450, 150, S11, B16, 1
B17, 19
B17, Trade, 28.383, 151, S15, B17, 1
B17, Trade, 58.033, 151, S00, B17, 1
