B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 1
B08, Trade, 214.100, 123, B08, S01, 1
B09, 0
B10, 0
B11, 7
B11, Trade, 45.967, 137, B11, S00, 1
B11, Trade, 124.417, 137, B11, S00, 1
B11, Trade, 161.550, 137, B11, S01, 1
B11, Trade, 178.833, 137, B11, S06, 1
B11, Trade, 213.783, 137, B11, S00, 1
B11, Trade, 233.983, 137, B11, S04, 1
B11, Trade, 261.883, 137, B11, S00, 1
B12, 5
B12, Trade, 252.283, 141, B12, S01, 1
B12, Trade, 258.517, 141, B12, S00, 1
B12, Trade, 263.633, 138, S08, B12, 1
B12, Trade, 273.100, 141, B12, S01, 1
B12, Trade, 299.200, 141, B12, S00, 1
B13, 0
B14, 35
B14, Trade, 9.700, 147, B14, S00, 1
B14, Trade, 13.150, 148, B14, S01, 1
B14, Trade, 21.850, 145, B14, S01, 1
B14, Trade, 28.483, 148, B14, S09, 1
B14, Trade, 33.967, 147, B14, S02, 1
B14, Trade, 51.150, 148, B14, S06, 1
B14, Trade, 53.183, 148, B14, S00, 1
B14, Trade, 63.983, 148, B14, S00, 1
B14, Trade, 65.633, 147, B14, S01, 1
B14, Trade, 73.483, 148, B14, S00, 1
B14, Trade, 78.200, 148, B14, S12, 1
B14, Trade, 106.350, 148, B14, S01, 1
B14, Trade, 111.717, 148, B14, S10, 1
B14, Trade, 116.367, 148, B14, S01, 1
B14, Trade, 123.483, 148, B14, S09, 1
B14, Trade, 138.100, 145, B14, S00, 1
B14, Trade, 147.483, 148, B14, S00, 1
B14, Trade, 158.333, 148, B14, S04, 1
B14, Trade, 166.617, 148, B14, S07, 1
B14, Trade, 178.183, 148, B14, S02, 1
B14, Trade, 186.283, 148, B14, S00, 1
B14, Trade, 188.933, 146, B14, S06, 1
B14, Trade, 198.400, 148, B14, S01, 1
B14, Trade, 208.000, 148, B14, S10, 1
B14, Trade, 218.400, 136, S09, B14, 1
