B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 6
B11, Trade, 4.467, 135, S09, B11, 1
B11, Trade, 12.617, 137, B11, S11, 1
B11, Trade, 76.367, 137, B11, S11, 1
B11, Trade, 108.350, 137, B11, S11, 1
B11, Trade, 217.000, 137, B11, S11, 1
B11, Trade, 230.100, 137, B11, S05, 1
B12, 2
B12, Trade, 275.300, 141, B12, S05, 1
B12, Trade, 298.717, 141, B12, S05, 1
B13, 3
B13, Trade, 44.167, 139, B13, S11, 1
B13, Trade, 141.267, 136, B13, S05, 1
B13, Trade, 298.850, 141, B13, S11, 1
B14, 4
B14, Trade, 275.067, 148, B14, S11, 1
B14, Trade, 286.833, 145, S13, B14, 1
B14, Trade, 297.700, 148, B14, S07, 1
B14, Trade, 298.550, 148, B14, S07, 1
B15, 36
B15, Trade, 5.417, 151, B15, S12, 1
B15, Trade, 11.267, 151, B15, S09, 1
B15, Trade, 40.667, 151, B15, S14, 1
B15, Trade, 47.533, 151, B15, S14, 1
B15, Trade, 65.900, 151, B15, S10, 1
B15, Trade, 67.600, 150, S01, B15, 1
B15, Trade, 75.983, 151, B15, S05, 1
B15, Trade, 89.717, 151, B15, S05, 1
B15, Trade, 97.200, 151, B15, S06, 1
B15, Trade, 102.283, 151, B15, S10, 1
B15, Trade, 107.350, 151, B15, S05, 1
B15, Trade, 111.850, 151, B15, S03, 1
B15, Trade, 119.933, 151, B15, S14, 1
B15, Trade, 127.533, 151, B15, S14, 1
B15, Trade, 138.983, 151, S03, B15, 1
B15, Trade, 148.533, 151, B15, S06, 1
B15, Trade, 153.300, 151, B15, S11, 1
B15, Trade, 186.083, 151, B15, S05, 1
B15, Trade, 192.483, 151, B15, S14, 1
B15, Trade, 199.950, 151, B15, S05, 1
B15, Trade, 207.200, 151, B15, S05, 1
B15, Trade, 215.300, 151, B15, S11, 1
B15, Trade, 220.433, 151, B15, S01, 1
B15, Trade, 230.450, 151, B15, S11, 1
B15, Trade, 234.917, 148, S14, B15, 1
B15, Trade, 243.217, 151, B15, S05, 1
B15, Trade, 245.717, 151, B15, S14, 1
B15, Trade, 252.350, 151, B15, S06, 1
B15, Trade, 258.533, 151, B15, S00, 1
B15, Trade, 267.133, 151, B15, S11, 1
B15, Trade, 271.033, 151, B15, S04, 1
B15, Trade, 274.567, 151, B15, S14, 1
B15, Trade, 281.783, 151, B15, S11, 1
B15, Trade, 286.567, 151, B15, S07, 1
B15, Trade, 289.817, 148, S14, B15, 1
B15, Trade, 294.400, 151, B15, S00, 1
B16, 12
B16, Trade, 241.633, 154, S12, B16, 1
B16, Trade, 245.383, 155, S03, B16, 1
B16, Trade, 252.133, 155, S16, B16, 1
B16, Trade, 254.950, 151, B16, S13, 1
B16, Trade, 266.600, 155, B16, S00, 1
B16, Trade, 269.317, 153, B16, S07, 1
B16, Trade, 274.517, 154, S03, B16, 1
B16, Trade, 280.517, 155, B16, S14, 1
B16, Trade, 283.483, 155, S08, B16, 1
B16, Trade, 290.733, 153, S01, B16, 1
B16, Trade, 293.950, 155, B16, S11, 1
B16, Trade, 299.083, 151, S08, B16, 1
B17, 53
B17, Trade, 2.333, 116, S01, B17, 1
B17, Trade, 9.183, 155, S16, B17, 1
B17, Trade, 15.800, 158, B17, S11, 1
B17, Trade, 17.350, 157, S12, B17, 1
B17, Trade, 24.217, 158, B17, S11, 1
B17, Trade, 31.417, 156, S16, B17, 1
B17, Trade, 37.467, 156, S03, B17, 1
B17, Trade, 40.250, 155, S08, B17, 1
B17, Trade, 41.783, 157, S01, B17, 1
B17, Trade, 46.600, 154, S03, B17, 1
B17, Trade, 52.933, 156, S03, B17, 1
B17, Trade, 58.650, 155, S08, B17, 1
B17, Trade, 61.200, 157, S16, B17, 1
B17, Trade, 73.250, 158, B17, S05, 1
B17, Trade, 77.167, 155, S16, B17, 1
B17, Trade, 85.300, 158, B17, S16, 1
B17, Trade, 89.367, 158, B17, S17, 1
B17, Trade, 92.717, 158, S03, B17, 1
B17, Trade, 96.717, 158, S17, B17, 1
B17, Trade, 101.717, 155, S08, B17, 1
B17, Trade, 115.417, 150, S03, B17, 1
B17, Trade, 123.100, 153, S08, B17, 1
B17, Trade, 132.383, 155, S16, B17, 1
B17, Trade, 133.000, 155, S12, B17, 1
B17, Trade, 138.000, 135, S09, B17, 1
B17, Trade, 144.917, 152, S03, B17, 1
B17, Trade, 149.367, 155, S16, B17, 1
B17, Trade, 154.167, 155, S08, B17, 1
B17, Trade, 159.300, 158, B17, S11, 1
B17, Trade, 167.300, 158, B17, S05, 1
B17, Trade, 170.433, 157, S01, B17, 1
B17, Trade, 173.133, 157, S16, B17, 1
B17, Trade, 178.633, 156, S08, B17, 1
B17, Trade, 184.417, 155, S08, B17, 1
B17, Trade, 191.650, 153, S08, B17, 1
B17, Trade, 197.050, 158, B17, S16, 1
B17, Trade, 199.850, 158, B17, S11, 1
B17, Trade, 203.917, 154, S12, B17, 1
B17, Trade, 211.167, 154, S12, B17, 1
B17, Trade, 212.483, 155, S16, B17, 1
B17, Trade, 217.117, 158, S17, B17, 1
B17, Trade, 224.983, 158, B17, S11, 1
B17, Trade, 229.167, 158, B17, S10, 1
B17, Trade, 236.533, 150, S12, B17, 1
B17, Trade, 240.300, 157, S16, B17, 1
B17, Trade, 245.517, 158, S17, B17, 1
B17, Trade, 250.283, 155, S16, B17, 1
B17, Trade, 255.417, 156, S01, B17, 1
B17, Trade, 265.183, 158, B17, S14, 1
B17, Trade, 272.683, 155, S10, B17, 1
