B00, 0
B01, 1
B01, Trade, 0.983, 100, S00, B01, 1
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 4
B07, Trade, 46.350, 124, B07, S01, 1
B07, Trade, 63.233, 124, B07, S00, 1
B07, Trade, 67.967, 123, B07, S01, 1
B07, Trade, 196.217, 124, B07, S03, 1
B08, 6
B08, Trade, 33.350, 126, B08, S05, 1
B08, Trade, 57.450, 126, B08, S01, 1
B08, Trade, 66.550, 126, B08, S00, 1
B08, Trade, 102.433, 126, B08, S01, 1
B08, Trade, 155.433, 126, B08, S05, 1
B08, Trade, 212.600, 126, B08, S01, 1
B09, 2
B09, Trade, 134.517, 131, B09, S00, 1
B09, Trade, 161.333, 129, B09, S00, 1
B10, 0
B11, 3
B11, Trade, 261.467, 137, B11, S02, 1
B11, Trade, 288.417, 137, B11, S01, 1
B11, Trade, 297.483, 137, B11, S07, 1
B12, 4
B12, Trade, 120.300, 126, B12, S00, 1
B12, Trade, 184.767, 123, B12, S03, 1
B12, Trade, 241.333, 139, B12, S03, 1
B12, Trade, 264.217, 140, B12, S04, 1
B13, 46
B13, Trade, 5.750, 144, B13, S12, 1
B13, Trade, 9.967, 144, B13, S09, 1
B13, Trade, 15.167, 144, S13, B13, 1
B13, Trade, 21.117, 144, B13, S10, 1
B13, Trade, 28.467, 144, B13, S04, 1
B13, Trade, 29.833, 144, B13, S00, 1
B13, Trade, 35.650, 137, S09, B13, 1
B13, Trade, 36.567, 136, S06, B13, 1
B13, Trade, 46.567, 144, S13, B13, 1
B13, Trade, 57.367, 144, B13, S03, 1
B13, Trade, 63.333, 137, S11, B13, 1
B13, Trade, 69.550, 144, B13, S03, 1
B13, Trade, 76.783, 144, B13, S03, 1
B13, Trade, 79.900, 141, S12, B13, 1
B13, Trade, 81.867, 144, B13, S01, 1
B13, Trade, 90.217, 144, B13, S00, 1
B13, Trade, 95.317, 144, S06, B13, 1
B13, Trade, 99.783, 141, S12, B13, 1
B13, Trade, 104.517, 135, S09, B13, 1
B13, Trade, 107.150, 142, S10, B13, 1
B13, Trade, 117.367, 144, B13, S12, 1
B13, Trade, 123.733, 144, B13, S09, 1
B13, Trade, 131.400, 144, B13, S04, 1
B13, Trade, 132.667, 138, S09, B13, 1
B13, Trade, 140.650, 144, S13, B13, 1
B13, Trade, 142.250, 141, S06, B13, 1
B13, Trade, 153.083, 144, B13, S12, 1
B13, Trade, 161.750, 144, B13, S04, 1
B13, Trade, 168.917, 141, S12, B13, 1
B13, Trade, 171.033, 144, B13, S04, 1
B13, Trade, 177.483, 143, S11, B13, 1
B13, Trade, 177.567, 143, S06, B13, 1
B13, Trade, 186.650, 136, S09, B13, 1
B13, Trade, 191.183, 144, B13, S12, 1
B13, Trade, 196.750, 144, B13, S00, 1
B13, Trade, 202.183, 142, S06, B13, 1
B13, Trade, 206.100, 141, S10, B13, 1
B13, Trade, 211.683, 144, B13, S12, 1
B13, Trade, 219.250, 144, B13, S05, 1
B13, Trade, 222.083, 137, S11, B13, 1
B13, Trade, 256.533, 144, B13, S04, 1
B13, Trade, 261.317, 144, B13, S00, 1
B13, Trade, 262.350, 144, B13, S07, 1
B13, Trade, 279.350, 141, S12, B13, 1
B13, Trade, 287.883, 144, B13, S07, 1
B13, Trade, 290.133, 144, B13, S03, 1
B14, 3
B14, Trade, 77.117, 138, B14, S01, 1
B14, Trade, 101.183, 138, S06, B14, 1
B14, Trade, 186.850, 141, S12, B14, 1
B15, 13
B15, Trade, 241.167, 148, B15, S01, 1
