B00, 0
B01, 0
B02, 0
B03, 0
B04, 1
B04, Trade, 0.600, 113, B04, S04, 1
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 1
B11, Trade, 278.350, 137, B11, S01, 1
B12, 3
B12, Trade, 4.717, 141, B12, S00, 1
B12, Trade, 8.833, 141, B12, S03, 1
B12, Trade, 266.750, 141, B12, S01, 1
B13, 5
B13, Trade, 6.633, 138, B13, S01, 1
B13, Trade, 153.867, 143, B13, S01, 1
B13, Trade, 165.450, 143, B13, S04, 1
B13, Trade, 203.217, 143, B13, S04, 1
B13, Trade, 268.100, 142, B13, S03, 1
B14, 14
B14, Trade, 4.000, 142, B14, S07, 1
B14, Trade, 10.567, 141, S12, B14, 1
B14, Trade, 24.250, 148, B14, S00, 1
B14, Trade, 56.000, 145, B14, S03, 1
B14, Trade, 152.950, 148, B14, S03, 1
B14, Trade, 165.050, 148, B14, S03, 1
B14, Trade, 197.450, 145, B14, S04, 1
B14, Trade, 209.950, 148, B14, S01, 1
B14, Trade, 223.967, 147, B14, S00, 1
B14, Trade, 232.533, 147, B14, S04, 1
B14, Trade, 260.867, 148, B14, S03, 1
B14, Trade, 267.150, 148, S08, B14, 1
B14, Trade, 271.333, 147, B14, S00, 1
B14, Trade, 295.150, 148, B14, S06, 1
B15, 35
B15, Trade, 5.633, 142, S08, B15, 1
B15, Trade, 6.700, 142, S09, B15, 1
B15, Trade, 12.167, 151, B15, S03, 1
B15, Trade, 27.167, 151, B15, S01, 1
B15, Trade, 49.633, 151, B15, S13, 1
B15, Trade, 54.050, 151, B15, S03, 1
B15, Trade, 59.567, 151, B15, S07, 1
B15, Trade, 63.117, 151, B15, S12, 1
B15, Trade, 69.300, 151, B15, S12, 1
B15, Trade, 77.233, 151, B15, S03, 1
B15, Trade, 89.483, 151, B15, S03, 1
B15, Trade, 93.317, 151, B15, S01, 1
B15, Trade, 119.167, 151, B15, S04, 1
B15, Trade, 143.283, 151, B15, S00, 1
B15, Trade, 146.650, 151, B15, S04, 1
B15, Trade, 151.450, 151, S09, B15, 1
B15, Trade, 158.517, 151, B15, S03, 1
B15, Trade, 167.750, 151, B15, S10, 1
B15, Trade, 170.133, 151, B15, S01, 1
B15, Trade, 178.133, 151, B15, S04, 1
B15, Trade, 202.800, 151, B15, S03, 1
B15, Trade, 212.250, 151, B15, S03, 1
B15, Trade, 214.683, 151, B15, S01, 1
B15, Trade, 218.917, 151, B15, S13, 1
B15, Trade, 224.150, 149, S09, B15, 1
B15, Trade, 229.833, 146, S09, B15, 1
B15, Trade, 235.800, 149, S12, B15, 1
B15, Trade, 257.233, 151, B15, S04, 1
B15, Trade, 266.383, 151, B15, S02, 1
B15, Trade, 273.233, 151, B15, S09, 1
B15, Trade, 276.683, 151, B15, S02, 1
B15, Trade, 281.967, 151, B15, S06, 1
B15, Trade, 287.483, 151, B15, S01, 1
B15, Trade, 290.117, 151, B15, S03, 1
B15, Trade, 292.867, 151, B15, S03, 1
B16, 41
B16, Trade, 13.417, 152, B16, S01, 1
B16, Trade, 23.067, 153, B16, S03, 1
B16, Trade, 38.000, 154, B16, S03, 1
B16, Trade, 46.533, 154, B16, S14, 1
B16, Trade, 50.683, 151, B16, S03, 1
B16, Trade, 53.167, 151, B16, S01, 1
B16, Trade, 61.567, 150, B16, S00, 1
B16, Trade, 66.567, 148, B16, S14, 1
B16, Trade, 70.333, 149, B16, S01, 1
B16, Trade, 76.833, 151, B16, S10, 1
B16, Trade, 84.400, 154, B16, S09, 1
B16, Trade, 89.450, 153, B16, S01, 1
B16, Trade, 92.200, 152, B16, S03, 1
B16, Trade, 100.200, 151, B16, S03, 1
B16, Trade, 102.817, 151, B16, S03, 1
B16, Trade, 109.350, 154, B16, S14, 1
B16, Trade, 116.767, 153, B16, S01, 1
B16, Trade, 118.850, 152, B16, S10, 1
B16, Trade, 131.450, 154, B16, S04, 1
B16, Trade, 137.300, 154, B16, S00, 1
B16, Trade, 140.233, 152, B16, S13, 1
B16, Trade, 149.050, 152, B16, S04, 1
B16, Trade, 155.933, 146, B16, S04, 1
B16, Trade, 161.483, 152, B16, S09, 1
B16, Trade, 176.083, 151, B16, S07, 1
B16, Trade, 187.450, 153, B16, S07, 1
B16, Trade, 188.433, 153, B16, S03, 1
B16, Trade, 195.817, 153, B16, S10, 1
B16, Trade, 202.767, 154, B16, S10, 1
B16, Trade, 208.350, 149, B16, S11, 1
B16, Trade, 218.067, 151, B16, S10, 1
B16, Trade, 220.717, 149, B16, S12, 1
B16, Trade, 230.633, 144, B16, S04, 1
B16, Trade, 235.233, 148, B16, S03, 1
B16, Trade, 243.983, 152, B16, S03, 1
B16, Trade, 254.817, 154, B16, S07, 1
B16, Trade, 260.517, 149, B16, S06, 1
B16, Trade, 278.000, 149, B16, S04, 1
B16, Trade, 288.850, 150, B16, S04, 1
B16, Trade, 292.000, 149, B16, S04, 1
B16, Trade, 294.267, 149, B16, S01, 1
B17, 51
B17, Trade, 5.450, 140, S05, B17, 1
B17, Trade, 12.850, 155, B17, S12, 1
B17, Trade, 16.117, 155, S08, B17, 1
B17, Trade, 18.600, 154, B17, S04, 1
B17, Trade, 21.600, 155, B17, S03, 1
B17, Trade, 32.650, 158, B17, S01, 1
B17, Trade, 34.183, 158, S14, B17, 1
B17, Trade, 37.200, 157, S08, B17, 1
B17, Trade, 41.150, 154, B17, S01, 1
B17, Trade, 50.233, 152, S10, B17, 1
B17, Trade, 53.050, 152, S14, B17, 1
B17, Trade, 59.450, 152, B17, S10, 1
B17, Trade, 65.050, 151, S10, B17, 1
B17, Trade, 72.417, 150, B17, S03, 1
B17, Trade, 76.150, 152, S12, B17, 1
B17, Trade, 86.433, 154, B17, S01, 1
B17, Trade, 91.283, 152, B17, S10, 1
B17, Trade, 92.833, 152, B17, S13, 1
B17, Trade, 100.717, 149, B17, S01, 1
B17, Trade, 109.000, 154, B17, S01, 1
B17, Trade, 114.350, 154, B17, S13, 1
B17, Trade, 121.233, 155, B17, S03, 1
B17, Trade, 124.500, 156, B17, S04, 1
B17, Trade, 128.383, 156, B17, S00, 1
B17, Trade, 138.033, 155, B17, S04, 1
B17, Trade, 145.233, 153, B17, S05, 1
B17, Trade, 147.650, 153, S08, B17, 1
B17, Trade, 154.533, 147, B17, S05, 1
B17, Trade, 160.933, 153, S14, B17, 1
B17, Trade, 165.000, 151, B17, S07, 1
B17, Trade, 169.767, 149, B17, S07, 1
B17, Trade, 172.883, 152, B17, S04, 1
B17, Trade, 180.067, 151, S13, B17, 1
B17, Trade, 183.650, 153, B17, S01, 1
B17, Trade, 191.533, 153, S13, B17, 1
B17, Trade, 194.100, 154, B17, S01, 1
B17, Trade, 200.200, 158, B17, S08, 1
B17, Trade, 209.450, 151, B17, S07, 1
B17, Trade, 217.483, 153, B17, S01, 1
B17, Trade, 221.267, 150, S14, B17, 1
B17, Trade, 224.733, 147, B17, S03, 1
B17, Trade, 234.133, 148, B17, S14, 1
B17, Trade, 240.033, 154, S14, B17, 1
B17, Trade, 248.117, 155, S12, B17, 1
B17, Trade, 256.533, 153, B17, S11, 1
B17, Trade, 262.933, 152, B17, S04, 1
B17, Trade, 270.583, 147, B17, S06, 1
B17, Trade, 275.633, 154, B17, S06, 1
B17, Trade, 282.333, 147, B17, S03, 1
B17, Trade, 290.100, 152, S08, B17, 1
B17, Trade, 294.117, 150, B17, S02, 1
B18, 57
B18, Trade, 4.183, 143, S12, B18, 1
B18, Trade, 7.067, 147, S13, B18, 1
B18, Trade, 15.350, 155, S09, B18, 1
B18, Trade, 17.817, 156, S14, B18, 1
B18, Trade, 23.000, 161, S10, B18, 1
B18, Trade, 32.000, 161, S09, B18, 1
B18, Trade, 34.583, 159, S12, B18, 1
B18, Trade, 38.350, 162, S18, B18, 1
B18, Trade, 44.267, 156, S13, B18, 1
B18, Trade, 50.783, 154, S09, B18, 1
B18, Trade, 54.950, 162, B18, S12, 1
B18, Trade, 60.200, 156, S13, B18, 1
B18, Trade, 63.050, 152, S14, B18, 1
B18, Trade, 69.433, 151, S14, B18, 1
B18, Trade, 74.767, 154, S14, B18, 1
B18, Trade, 78.150, 162, B18, S01, 1
B18, Trade, 84.950, 157, S08, B18, 1
B18, Trade, 88.400, 153, S13, B18, 1
B18, Trade, 97.283, 162, B18, S00, 1
B18, Trade, 100.300, 153, S08, B18, 1
