B00, 0
B01, 0
B02, 0
B03, 2
B03, Trade, 2.950, 110, B03, S01, 1
B03, Trade, 111.900, 110, B03, S02, 1
B04, 0
B05, 1
B05, Trade, 55.850, 116, B05, S01, 1
B06, 0
B07, 0
B08, 0
B09, 19
B09, Trade, 2.033, 131, B09, S06, 1
B09, Trade, 11.133, 131, B09, S08, 1
B09, Trade, 16.600, 131, B09, S01, 1
B09, Trade, 33.117, 131, B09, S01, 1
B09, Trade, 45.317, 131, B09, S01, 1
B09, Trade, 70.583, 131, B09, S02, 1
B09, Trade, 110.033, 131, B09, S05, 1
B09, Trade, 126.600, 131, B09, S02, 1
B09, Trade, 143.317, 131, B09, S02, 1
B09, Trade, 151.150, 131, B09, S01, 1
B09, Trade, 155.967, 131, B09, S01, 1
B09, Trade, 168.367, 131, B09, S03, 1
B09, Trade, 198.283, 131, B09, S05, 1
B09, Trade, 212.317, 131, B09, S05, 1
B09, Trade, 245.600, 131, B09, S01, 1
B09, Trade, 277.800, 131, B09, S01, 1
B09, Trade, 285.683, 131, B09, S08, 1
B09, Trade, 294.517, 131, B09, S05, 1
B09, Trade, 296.317, 131, B09, S02, 1
B10, 21
B10, Trade, 2.583, 124, B10, S00, 1
B10, Trade, 8.600, 133, B10, S06, 1
B10, Trade, 16.233, 133, B10, S02, 1
B10, Trade, 23.867, 133, B10, S01, 1
B10, Trade, 45.300, 132, B10, S05, 1
B10, Trade, 57.900, 133, B10, S08, 1
B10, Trade, 76.033, 133, B10, S02, 1
B10, Trade, 85.100, 133, B10, S08, 1
B10, Trade, 125.517, 132, B10, S08, 1
B10, Trade, 143.200, 133, B10, S08, 1
B10, Trade, 144.150, 130, B10, S01, 1
B10, Trade, 150.850, 133, B10, S02, 1
B10, Trade, 165.700, 133, B10, S02, 1
B10, Trade, 169.583, 131, B10, S03, 1
B10, Trade, 175.833, 133, B10, S01, 1
B10, Trade, 196.833, 132, B10, S08, 1
B10, Trade, 210.967, 133, B10, S05, 1
B10, Trade, 214.217, 131, B10, S01, 1
B10, Trade, 224.000, 133, B10, S05, 1
B10, Trade, 285.633, 133, B10, S01, 1
B10, Trade, 293.550, 130, B10, S08, 1
B11, 0
B12, 4
B12, Trade, 50.033, 133, B12, S01, 1
B12, Trade, 71.417, 127, S08, B12, 1
B12, Trade, 117.550, 130, B12, S01, 1
B12, Trade, 188.750, 141, B12, S08, 1
B13, 45
B13, Trade, 7.567, 135, B13, S01, 1
B13, Trade, 10.950, 142, B13, S12, 1
B13, Trade, 15.667, 143, B13, S08, 1
B13, Trade, 19.467, 143, S07, B13, 1
B13, Trade, 29.600, 143, B13, S08, 1
B13, Trade, 32.133, 143, B13, S02, 1
B13, Trade, 45.183, 143, B13, S06, 1
B13, Trade, 50.000, 141, B13, S05, 1
B13, Trade, 54.900, 138, B13, S02, 1
B13, Trade, 63.167, 138, B13, S03, 1
B13, Trade, 70.317, 136, B13, S01, 1
B13, Trade, 74.800, 133, B13, S08, 1
B13, Trade, 81.300, 136, B13, S01, 1
B13, Trade, 86.617, 142, B13, S05, 1
B13, Trade, 98.000, 143, B13, S12, 1
B13, Trade, 102.283, 143, B13, S08, 1
B13, Trade, 106.150, 143, B13, S08, 1
B13, Trade, 110.433, 133, S06, B13, 1
B13, Trade, 117.450, 139, B13, S02, 1
B13, Trade, 123.833, 143, B13, S01, 1
B13, Trade, 127.850, 143, B13, S12, 1
B13, Trade, 137.750, 137, B13, S05, 1
B13, Trade, 139.583, 138, B13, S06, 1
B13, Trade, 150.667, 142, B13, S12, 1
B13, Trade, 155.250, 141, B13, S05, 1
B13, Trade, 159.133, 137, B13, S08, 1
B13, Trade, 166.733, 136, B13, S08, 1
B13, Trade, 174.667, 143, B13, S05, 1
B13, Trade, 189.600, 139, B13, S01, 1
B13, Trade, 195.817, 139, B13, S01, 1
B13, Trade, 201.400, 139, B13, S05, 1
B13, Trade, 204.817, 139, S11, B13, 1
B13, Trade, 209.017, 141, B13, S02, 1
B13, Trade, 218.167, 137, B13, S02, 1
B13, Trade, 222.183, 133, B13, S02, 1
B13, Trade, 231.250, 143, B13, S08, 1
B13, Trade, 234.583, 142, B13, S01, 1
B13, Trade, 245.300, 143, B13, S08, 1
B13, Trade, 259.767, 143, B13, S01, 1
B13, Trade, 261.000, 143, B13, S12, 1
B13, Trade, 263.933, 142, B13, S08, 1
B13, Trade, 275.167, 143, B13, S08, 1
B13, Trade, 284.767, 143, B13, S02, 1
B13, Trade, 291.717, 143, B13, S09, 1
B13, Trade, 299.750, 142, B13, S04, 1
B14, 12
B14, Trade, 241.533, 147, B14, S09, 1
B14, Trade, 245.283, 148, B14, S02, 1
B14, Trade, 247.467, 145, B14, S04, 1
B14, Trade, 256.783, 148, B14, S05, 1
B14, Trade, 257.983, 148, S07, B14, 1
B14, Trade, 265.567, 143, S04, B14, 1
B14, Trade, 270.267, 148, B14, S12, 1
B14, Trade, 273.350, 148, B14, S05, 1
B14, Trade, 281.700, 148, B14, S08, 1
B14, Trade, 291.683, 148, B14, S08, 1
B14, Trade, 292.333, 148, B14, S06, 1
B14, Trade, 298.083, 148, B14, S02, 1
B15, 12
B15, Trade, 241.450, 149, S04, B15, 1
B15, Trade, 244.667, 151, B15, S12, 1
B15, Trade, 251.050, 146, B15, S05, 1
B15, Trade, 256.433, 151, B15, S12, 1
B15, Trade, 262.733, 145, B15, S05, 1
B15, Trade, 266.600, 140, B15, S01, 1
B15, Trade, 268.967, 151, B15, S02, 1
B15, Trade, 276.617, 148, S07, B15, 1
B15, Trade, 281.467, 149, B15, S02, 1
B15, Trade, 284.633, 151, B15, S00, 1
B15, Trade, 288.483, 151, B15, S12, 1
B15, Trade, 296.667, 151, B15, S12, 1
B16, 57
B16, Trade, 3.983, 127, S08, B16, 1
B16, Trade, 9.550, 155, B16, S02, 1
B16, Trade, 14.433, 154, S14, B16, 1
B16, Trade, 16.800, 141, S12, B16, 1
B16, Trade, 23.500, 155, B16, S08, 1
B16, Trade, 30.567, 155, B16, S12, 1
B16, Trade, 35.567, 146, S07, B16, 1
B16, Trade, 36.850, 146, S11, B16, 1
B16, Trade, 47.200, 145, S00, B16, 1
B16, Trade, 53.100, 143, S11, B16, 1
B16, Trade, 57.167, 141, S12, B16, 1
B16, Trade, 66.000, 141, S12, B16, 1
B16, Trade, 71.717, 138, S07, B16, 1
B16, Trade, 74.850, 142, S07, B16, 1
B16, Trade, 80.167, 151, S15, B16, 1
B16, Trade, 83.950, 155, B16, S07, 1
B16, Trade, 85.983, 150, S14, B16, 1
B16, Trade, 94.683, 155, B16, S02, 1
B16, Trade, 97.500, 153, S14, B16, 1
B16, Trade, 105.733, 155, B16, S10, 1
B16, Trade, 111.283, 127, S08, B16, 1
B16, Trade, 114.450, 148, S14, B16, 1
B16, Trade, 119.367, 141, S12, B16, 1
B16, Trade, 124.450, 144, S00, B16, 1
B16, Trade, 132.000, 155, B16, S08, 1
B16, Trade, 135.283, 145, S10, B16, 1
B16, Trade, 137.433, 150, S14, B16, 1
B16, Trade, 144.367, 144, S13, B16, 1
B16, Trade, 152.850, 148, S00, B16, 1
B16, Trade, 154.350, 151, S15, B16, 1
B16, Trade, 160.500, 147, S00, B16, 1
B16, Trade, 161.567, 148, S07, B16, 1
B16, Trade, 168.067, 147, S11, B16, 1
B16, Trade, 177.717, 145, S10, B16, 1
B16, Trade, 181.500, 149, S13, B16, 1
B16, Trade, 191.733, 141, S12, B16, 1
B16, Trade, 199.950, 140, S07, B16, 1
B16, Trade, 206.333, 151, S15, B16, 1
B16, Trade, 208.933, 151, S10, B16, 1
B16, Trade, 215.017, 140, S11, B16, 1
B16, Trade, 220.833, 140, S11, B16, 1
B16, Trade, 222.233, 140, S00, B16, 1
B16, Trade, 227.400, 155, B16, S10, 1
B16, Trade, 235.883, 148, S00, B16, 1
B16, Trade, 242.167, 151, S15, B16, 1
B16, Trade, 244.383, 153, S13, B16, 1
B16, Trade, 247.933, 150, S07, B16, 1
B16, Trade, 253.617, 155, B16, S03, 1
B16, Trade, 259.333, 151, S10, B16, 1
B16, Trade, 263.767, 152, S13, B16, 1
B16, Trade, 271.417, 152, S07, B16, 1
B16, Trade, 276.167, 141, S12, B16, 1
B16, Trade, 280.283, 142, S10, B16, 1
B16, Trade, 286.650, 151, S14, B16, 1
B16, Trade, 288.733, 155, S16, B16, 1
B16, Trade, 297.167, 151, S07, B16, 1
B16, Trade, 299.583, 155, B16, S13, 1
B17, 56
B17, Trade, 4.700, 136, S03, B17, 1
B17, Trade, 15.700, 153, S00, B17, 1
B17, Trade, 20.117, 143, S00, B17, 1
B17, Trade, 20.700, 150, S14, B17, 1
B17, Trade, 29.483, 153, S13, B17, 1
B17, Trade, 32.117, 153, S11, B17, 1
B17, Trade, 41.683, 147, S10, B17, 1
B17, Trade, 43.617, 148, S07, B17, 1
B17, Trade, 48.900, 145, S10, B17, 1
B17, Trade, 53.333, 143, S10, B17, 1
B17, Trade, 59.500, 141, S11, B17, 1
B17, Trade, 64.367, 140, S07, B17, 1
B17, Trade, 70.183, 148, S14, B17, 1
B17, Trade, 74.950, 148, S14, B17, 1
B17, Trade, 79.933, 146, S10, B17, 1
B17, Trade, 87.067, 158, B17, S12, 1
B17, Trade, 93.750, 158, B17, S08, 1
B17, Trade, 98.483, 148, S07, B17, 1
B17, Trade, 103.000, 157, S06, B17, 1
B17, Trade, 107.300, 148, S00, B17, 1
B17, Trade, 113.350, 129, S07, B17, 1
B17, Trade, 117.867, 145, S07, B17, 1
B17, Trade, 121.733, 147, S11, B17, 1
B17, Trade, 129.900, 158, B17, S14, 1
B17, Trade, 132.650, 141, S12, B17, 1
B17, Trade, 137.350, 143, S00, B17, 1
B17, Trade, 143.083, 149, S14, B17, 1
B17, Trade, 149.367, 158, S14, B17, 1
B17, Trade, 155.767, 149, S10, B17, 1
B17, Trade, 161.483, 134, S03, B17, 1
B17, Trade, 163.450, 141, S12, B17, 1
B17, Trade, 167.717, 140, S00, B17, 1
B17, Trade, 175.400, 140, S11, B17, 1
