B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
B14, 0
B15, 9
B15, Trade, 9.233, 147, B15, S05, 1
B15, Trade, 11.550, 141, S12, B15, 1
B15, Trade, 45.667, 123, S02, B15, 1
B15, Trade, 51.350, 145, B15, S12, 1
B15, Trade, 73.283, 142, B15, S03, 1
B15, Trade, 116.633, 146, B15, S05, 1
B15, Trade, 164.600, 148, B15, S02, 1
B15, Trade, 183.850, 149, B15, S13, 1
B15, Trade, 244.183, 147, B15, S03, 1
B16, 17
B16, Trade, 6.683, 144, B16, S00, 1
B16, Trade, 28.767, 150, S03, B16, 1
B16, Trade, 37.183, 152, B16, S00, 1
B16, Trade, 79.383, 147, B16, S02, 1
B16, Trade, 84.650, 141, S12, B16, 1
B16, Trade, 107.317, 155, B16, S16, 1
B16, Trade, 116.850, 143, S00, B16, 1
B16, Trade, 123.317, 151, B16, S03, 1
B16, Trade, 149.150, 154, B16, S12, 1
B16, Trade, 158.683, 144, B16, S05, 1
B16, Trade, 170.383, 153, B16, S08, 1
B16, Trade, 192.650, 144, S12, B16, 1
B16, Trade, 221.550, 154, S07, B16, 1
B16, Trade, 229.333, 155, B16, S02, 1
B16, Trade, 247.400, 145, S10, B16, 1
B16, Trade, 265.083, 145, S12, B16, 1
B16, Trade, 266.383, 152, S12, B16, 1
B17, 2
B17, Trade, 83.467, 150, B17, S02, 1
B17, Trade, 157.700, 149, B17, S12, 1
B18, 22
B18, Trade, 14.383, 158, S14, B18, 1
B18, Trade, 19.167, 148, B18, S00, 1
B18, Trade, 20.383, 160, B18, S00, 1
B18, Trade, 40.250, 148, S12, B18, 1
B18, Trade, 67.817, 157, S12, B18, 1
B18, Trade, 78.083, 157, S16, B18, 1
B18, Trade, 87.767, 150, S12, B18, 1
B18, Trade, 90.717, 122, S02, B18, 1
B18, Trade, 116.083, 158, B18, S03, 1
B18, Trade, 145.967, 143, S02, B18, 1
B18, Trade, 152.817, 156, B18, S01, 1
B18, Trade, 162.500, 161, B18, S03, 1
B18, Trade, 182.333, 152, B18, S02, 1
B18, Trade, 215.733, 159, S15, B18, 1
B18, Trade, 220.083, 149, B18, S02, 1
B18, Trade, 222.617, 149, S11, B18, 1
B18, Trade, 247.667, 136, B18, S02, 1
B18, Trade, 255.683, 150, S09, B18, 1
B18, Trade, 256.950, 159, B18, S02, 1
B18, Trade, 273.333, 154, B18, S12, 1
B18, Trade, 278.550, 159, B18, S12, 1
B18, Trade, 299.033, 157, B18, S02, 1
B19, 4
B19, Trade, 46.833, 124, S01, B19, 1
B19, Trade, 243.017, 150, B19, S02, 1
B19, Trade, 250.767, 133, B19, S03, 1
B19, Trade, 254.083, 146, B19, S02, 1
B20, 6
B20, Trade, 34.883, 160, S16, B20, 1
B20, Trade, 50.533, 140, S01, B20, 1
B20, Trade, 107.633, 128, B20, S02, 1
B20, Trade, 199.450, 151, S03, B20, 1
B20, Trade, 215.750, 157, B20, S12, 1
B20, Trade, 258.617, 155, B20, S12, 1
B21, 8
B21, Trade, 28.500, 148, B21, S12, 1
B21, Trade, 73.583, 141, B21, S01, 1
B21, Trade, 148.750, 134, S09, B21, 1
B21, Trade, 201.617, 140, S09, B21, 1
B21, Trade, 217.617, 161, B21, S01, 1
B21, Trade, 237.867, 144, B21, S01, 1
B21, Trade, 273.350, 152, B21, S01, 1
B21, Trade, 294.050, 154, B21, S01, 1
B22, 34
B22, Trade, 7.200, 151, S15, B22, 1
B22, Trade, 10.650, 135, B22, S02, 1
B22, Trade, 16.767, 160, B22, S16, 1
B22, Trade, 21.233, 162, B22, S02, 1
B22, Trade, 26.533, 164, S02, B22, 1
B22, Trade, 31.317, 158, S13, B22, 1
B22, Trade, 36.433, 165, B22, S16, 1
B22, Trade, 41.117, 172, S21, B22, 1
B22, Trade, 46.900, 151, S15, B22, 1
B22, Trade, 53.667, 162, S14, B22, 1
B22, Trade, 58.367, 147, B22, S00, 1
B22, Trade, 67.983, 149, B22, S00, 1
B22, Trade, 70.500, 169, B22, S12, 1
B22, Trade, 92.567, 174, S21, B22, 1
B22, Trade, 97.233, 162, B22, S08, 1
B22, Trade, 101.683, 152, B22, S12, 1
B22, Trade, 107.167, 152, B22, S01, 1
B22, Trade, 127.367, 158, S12, B22, 1
B22, Trade, 135.483, 173, B22, S02, 1
B22, Trade, 149.217, 159, B22, S01, 1
B22, Trade, 171.850, 174, B22, S12, 1
B22, Trade, 178.367, 175, B22, S15, 1
B22, Trade, 181.183, 146, S12, B22, 1
B22, Trade, 186.550, 172, B22, S04, 1
B22, Trade, 200.417, 170, S08, B22, 1
B22, Trade, 208.083, 165, S12, B22, 1
B22, Trade, 223.950, 160, S12, B22, 1
B22, Trade, 243.633, 154, B22, S07, 1
B22, Trade, 249.433, 143, S04, B22, 1
B22, Trade, 260.350, 150, B22, S03, 1
B22, Trade, 264.817, 160, B22, S09, 1
B22, Trade, 280.600, 164, B22, S01, 1
B22, Trade, 288.083, 157, S00, B22, 1
B22, Trade, 298.433, 167, B22, S12, 1
B23, 7
B23, Trade, 57.450, 132, B23, S02, 1
B23, Trade, 63.200, 155, B23, S03, 1
B23, Trade, 104.017, 157, S16, B23, 1
B23, Trade, 116.933, 141, B23, S01, 1
B23, Trade, 130.150, 118, B23, S01, 1
B23, Trade, 204.050, 130, B23, S02, 1
B23, Trade, 230.333, 147, S12, B23, 1
B24, 50
B24, Trade, 5.167, 169, B24, S12, 1
B24, Trade, 12.850, 166, B24, S01, 1
B24, Trade, 17.317, 163, B24, S09, 1
B24, Trade, 22.233, 180, B24, S09, 1
B24, Trade, 32.367, 164, B24, S01, 1
B24, Trade, 36.183, 158, S12, B24, 1
B24, Trade, 40.700, 165, S02, B24, 1
B24, Trade, 46.583, 149, S04, B24, 1
B24, Trade, 52.650, 172, S21, B24, 1
B24, Trade, 59.900, 165, S04, B24, 1
B24, Trade, 63.217, 174, S21, B24, 1
B24, Trade, 68.700, 170, S01, B24, 1
B24, Trade, 72.267, 171, S15, B24, 1
B24, Trade, 78.817, 178, S18, B24, 1
B24, Trade, 80.683, 125, S00, B24, 1
B24, Trade, 87.617, 157, B24, S02, 1
B24, Trade, 91.033, 158, S08, B24, 1
B24, Trade, 96.117, 169, B24, S04, 1
B24, Trade, 101.167, 178, B24, S11, 1
B24, Trade, 111.200, 163, S18, B24, 1
B24, Trade, 116.383, 151, S02, B24, 1
B24, Trade, 121.400, 161, S12, B24, 1
B24, Trade, 126.017, 168, S16, B24, 1
B24, Trade, 131.117, 172, B24, S03, 1
B24, Trade, 137.117, 174, B24, S16, 1
B24, Trade, 143.133, 162, B24, S01, 1
B24, Trade, 150.850, 159, S05, B24, 1
