B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 1
B13, Trade, 72.850, 137, S11, B13, 1
B14, 19
B14, Trade, 5.517, 127, S04, B14, 1
B14, Trade, 19.967, 146, B14, S10, 1
B14, Trade, 35.617, 145, B14, S12, 1
B14, Trade, 40.483, 140, S11, B14, 1
B14, Trade, 61.167, 148, B14, S01, 1
B14, Trade, 104.567, 145, B14, S06, 1
B14, Trade, 115.267, 148, B14, S07, 1
B14, Trade, 118.200, 143, B14, S02, 1
B14, Trade, 161.483, 147, B14, S12, 1
B14, Trade, 178.550, 148, B14, S07, 1
B14, Trade, 191.583, 137, S11, B14, 1
B14, Trade, 197.800, 147, B14, S12, 1
B14, Trade, 250.367, 147, B14, S02, 1
B14, Trade, 259.400, 147, B14, S02, 1
B14, Trade, 266.233, 146, B14, S11, 1
B14, Trade, 267.200, 147, B14, S12, 1
B14, Trade, 276.083, 148, B14, S02, 1
B14, Trade, 286.767, 141, S12, B14, 1
B14, Trade, 292.500, 145, B14, S12, 1
B15, 4
B15, Trade, 6.667, 129, S03, B15, 1
B15, Trade, 51.917, 141, S12, B15, 1
B15, Trade, 71.800, 137, B15, S02, 1
B15, Trade, 294.700, 134, B15, S02, 1
B16, 0
B17, 13
B17, Trade, 14.300, 155, B17, S06, 1
B17, Trade, 20.967, 138, B17, S00, 1
B17, Trade, 53.333, 141, B17, S04, 1
B17, Trade, 66.283, 142, B17, S07, 1
B17, Trade, 90.650, 113, B17, S02, 1
B17, Trade, 99.900, 148, B17, S11, 1
B17, Trade, 142.017, 153, B17, S02, 1
B17, Trade, 145.983, 150, B17, S12, 1
B17, Trade, 154.517, 156, B17, S00, 1
B17, Trade, 199.383, 155, S13, B17, 1
B17, Trade, 231.583, 146, B17, S04, 1
B17, Trade, 254.500, 148, B17, S11, 1
B17, Trade, 279.500, 155, S03, B17, 1
B18, 3
B18, Trade, 11.217, 141, B18, S02, 1
B18, Trade, 146.183, 144, B18, S01, 1
B18, Trade, 187.583, 152, B18, S00, 1
B19, 15
B19, Trade, 37.567, 152, B19, S02, 1
B19, Trade, 66.617, 146, B19, S11, 1
B19, Trade, 71.000, 165, B19, S12, 1
B19, Trade, 112.700, 151, B19, S11, 1
B19, Trade, 141.517, 154, B19, S07, 1
B19, Trade, 160.117, 165, B19, S08, 1
B19, Trade, 173.367, 158, B19, S06, 1
B19, Trade, 179.067, 144, S12, B19, 1
B19, Trade, 193.183, 157, B19, S04, 1
B19, Trade, 261.017, 146, B19, S07, 1
B19, Trade, 262.150, 149, B19, S12, 1
B19, Trade, 267.717, 123, B19, S02, 1
B19, Trade, 277.167, 150, S12, B19, 1
B19, Trade, 292.833, 146, S11, B19, 1
B19, Trade, 298.767, 164, B19, S02, 1
B20, 6
B20, Trade, 32.100, 149, B20, S01, 1
B20, Trade, 43.600, 143, B20, S05, 1
B20, Trade, 53.117, 145, S10, B20, 1
B20, Trade, 70.867, 144, S04, B20, 1
B20, Trade, 207.350, 141, B20, S10, 1
B20, Trade, 232.800, 148, S00, B20, 1
B21, 37
B21, Trade, 10.483, 168, B21, S12, 1
B21, Trade, 17.467, 151, B21, S11, 1
B21, Trade, 27.600, 161, B21, S04, 1
B21, Trade, 37.183, 171, B21, S16, 1
B21, Trade, 40.533, 144, S02, B21, 1
B21, Trade, 52.533, 136, B21, S02, 1
B21, Trade, 56.050, 160, B21, S16, 1
B21, Trade, 66.450, 148, S03, B21, 1
B21, Trade, 73.433, 141, S03, B21, 1
B21, Trade, 79.000, 159, S03, B21, 1
B21, Trade, 82.450, 166, S19, B21, 1
B21, Trade, 86.617, 172, B21, S12, 1
B21, Trade, 94.450, 158, B21, S07, 1
B21, Trade, 100.850, 169, B21, S12, 1
B21, Trade, 118.150, 169, S05, B21, 1
B21, Trade, 122.783, 162, B21, S11, 1
B21, Trade, 130.183, 155, B21, S10, 1
B21, Trade, 132.233, 163, S07, B21, 1
B21, Trade, 136.600, 157, B21, S07, 1
B21, Trade, 148.983, 163, B21, S02, 1
B21, Trade, 158.717, 148, B21, S00, 1
B21, Trade, 174.933, 156, B21, S07, 1
B21, Trade, 186.917, 172, B21, S04, 1
B21, Trade, 195.667, 157, S02, B21, 1
B21, Trade, 197.267, 155, B21, S14, 1
B21, Trade, 211.633, 143, S12, B21, 1
B21, Trade, 216.383, 142, S12, B21, 1
B21, Trade, 224.850, 149, B21, S00, 1
B21, Trade, 231.817, 156, S16, B21, 1
B21, Trade, 238.117, 158, S11, B21, 1
B21, Trade, 242.400, 149, S12, B21, 1
B21, Trade, 258.383, 152, B21, S11, 1
B21, Trade, 270.200, 153, B21, S11, 1
B21, Trade, 274.817, 148, B21, S14, 1
B21, Trade, 282.750, 171, B21, S06, 1
B21, Trade, 294.133, 148, S07, B21, 1
B21, Trade, 298.367, 144, S12, B21, 1
B22, 12
B22, Trade, 22.867, 155, B22, S12, 1
B22, Trade, 42.983, 147, B22, S07, 1
B22, Trade, 46.667, 145, S12, B22, 1
B22, Trade, 97.017, 153, B22, S02, 1
B22, Trade, 129.250, 151, B22, S02, 1
B22, Trade, 139.800, 158, S00, B22, 1
B22, Trade, 148.667, 165, B22, S11, 1
B22, Trade, 156.050, 164, B22, S07, 1
B22, Trade, 165.900, 160, B22, S11, 1
B22, Trade, 166.983, 153, S07, B22, 1
B22, Trade, 185.017, 153, S11, B22, 1
B22, Trade, 197.817, 125, B22, S02, 1
B23, 10
B23, Trade, 15.967, 155, B23, S07, 1
B23, Trade, 26.833, 154, S12, B23, 1
B23, Trade, 54.300, 144, S11, B23, 1
B23, Trade, 60.767, 152, B23, S02, 1
B23, Trade, 70.367, 162, B23, S09, 1
B23, Trade, 90.500, 160, B23, S09, 1
B23, Trade, 91.217, 144, S12, B23, 1
B23, Trade, 205.883, 149, B23, S00, 1
B23, Trade, 218.150, 150, S13, B23, 1
B23, Trade, 280.150, 157, B23, S01, 1
B24, 33
B24, Trade, 23.033, 163, S03, B24, 1
B24, Trade, 29.817, 154, S11, B24, 1
B24, Trade, 30.983, 144, S12, B24, 1
B24, Trade, 35.533, 144, S07, B24, 1
B24, Trade, 42.900, 162, S03, B24, 1
B24, Trade, 48.550, 146, S02, B24, 1
B24, Trade, 51.550, 163, S07, B24, 1
B24, Trade, 59.100, 141, S12, B24, 1
B24, Trade, 61.850, 158, B24, S12, 1
B24, Trade, 67.667, 170, B24, S04, 1
B24, Trade, 92.483, 150, S11, B24, 1
B24, Trade, 102.517, 165, S07, B24, 1
B24, Trade, 107.483, 155, S16, B24, 1
B24, Trade, 116.983, 162, S03, B24, 1
B24, Trade, 124.783, 137, B24, S07, 1
B24, Trade, 128.983, 166, S19, B24, 1
B24, Trade, 146.083, 162, S08, B24, 1
B24, Trade, 151.517, 146, S12, B24, 1
B24, Trade, 163.267, 145, S06, B24, 1
B24, Trade, 172.083, 164, S12, B24, 1
B24, Trade, 192.433, 181, B24, S20, 1
B24, Trade, 197.150, 172, S20, B24, 1
B24, Trade, 210.467, 159, S11, B24, 1
B24, Trade, 223.717, 176, S02, B24, 1
B24, Trade, 229.783, 167, B24, S16, 1
B24, Trade, 251.617, 159, B24, S12, 1
B24, Trade, 258.350, 178, B24, S16, 1
B24, Trade, 264.217, 175, B24, S01, 1
B24, Trade, 268.467, 159, S15, B24, 1
B24, Trade, 274.050, 167, S19, B24, 1
B24, Trade, 284.517, 155, B24, S02, 1
B24, Trade, 293.317, 158, S10, B24, 1
B24, Trade, 299.950, 171, S20, B24, 1
B25, 32
B25, Trade, 7.967, 155, S06, B25, 1
B25, Trade, 19.300, 153, B25, S00, 1
B25, Trade, 23.550, 163, S11, B25, 1
B25, Trade, 48.033, 150, S03, B25, 1
B25, Trade, 53.233, 157, S13, B25, 1
B25, Trade, 57.983, 159, B25, S10, 1
B25, Trade, 62.983, 158, S16, B25, 1
B25, Trade, 66.650, 151, S12, B25, 1
B25, Trade, 75.333, 165, S13, B25, 1
B25, Trade, 89.400, 159, S14, B25, 1
B25, Trade, 92.400, 147, S03, B25, 1
B25, Trade, 108.533, 167, S01, B25, 1
B25, Trade, 114.483, 157, B25, S01, 1
B25, Trade, 122.500, 174, B25, S12, 1
B25, Trade, 128.083, 185, B25, S14, 1
B25, Trade, 131.133, 167, S11, B25, 1
B25, Trade, 157.500, 156, S03, B25, 1
B25, Trade, 166.733, 141, S12, B25, 1
B25, Trade, 173.000, 161, B25, S13, 1
B25, Trade, 188.067, 145, B25, S07, 1
B25, Trade, 191.733, 144, S07, B25, 1
B25, Trade, 199.233, 166, B25, S01, 1
B25, Trade, 201.617, 162, B25, S16, 1
B25, Trade, 208.000, 151, S04, B25, 1
B25, Trade, 228.833, 158, S02, B25, 1
B25, Trade, 232.250, 140, S11, B25, 1
B25, Trade, 239.100, 160, S03, B25, 1
B25, Trade, 247.333, 163, B25, S11, 1
B25, Trade, 251.633, 177, S06, B25, 1
B25, Trade, 271.517, 144, B25, S11, 1
B25, Trade, 290.317, 168, S03, B25, 1
B25, Trade, 296.033, 156, S03, B25, 1
B26, 51
B26, Trade, 5.567, 142, S12, B26, 1
B26, Trade, 12.383, 165, B26, S09, 1
B26, Trade, 18.583, 172, S03, B26, 1
B26, Trade, 24.850, 159, B26, S04, 1
B26, Trade, 28.467, 180, S03, B26, 1
B26, Trade, 30.583, 186, B26, S16, 1
B26, Trade, 35.900, 149, S03, B26, 1
B26, Trade, 41.733, 157, S16, B26, 1
B26, Trade, 46.333, 144, S10, B26, 1
B26, Trade, 51.350, 143, S06, B26, 1
B26, Trade, 57.200, 178, B26, S04, 1
B26, Trade, 62.483, 161, S04, B26, 1
B26, Trade, 65.883, 177, B26, S02, 1
B26, Trade, 73.983, 152, S00, B26, 1
B26, Trade, 77.883, 153, S07, B26, 1
B26, Trade, 81.083, 179, B26, S10, 1
B26, Trade, 88.600, 166, B26, S11, 1
B26, Trade, 91.183, 128, S04, B26, 1
B26, Trade, 101.833, 164, B26, S04, 1
B26, Trade, 107.017, 143, S12, B26, 1
B26, Trade, 111.867, 158, B26, S14, 1
B26, Trade, 116.933, 159, S14, B26, 1
B26, Trade, 126.633, 177, B26, S12, 1
