B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 2
B06, Trade, 30.250, 115, B06, S00, 1
B06, Trade, 252.117, 116, B06, S03, 1
B07, 0
B08, 5
B08, Trade, 50.367, 127, B08, S03, 1
B08, Trade, 110.083, 127, B08, S01, 1
B08, Trade, 117.650, 125, B08, S03, 1
B08, Trade, 216.783, 127, B08, S01, 1
B08, Trade, 250.983, 127, B08, S01, 1
B09, 0
B10, 0
B11, 0
B12, 3
B12, Trade, 76.050, 129, B12, S05, 1
B12, Trade, 183.000, 132, B12, S06, 1
B12, Trade, 273.633, 134, B12, S00, 1
B13, 5
B13, Trade, 56.567, 137, B13, S09, 1
B13, Trade, 80.733, 125, S00, B13, 1
B13, Trade, 117.033, 128, B13, S00, 1
B13, Trade, 172.400, 127, B13, S03, 1
B13, Trade, 243.417, 132, B13, S00, 1
B14, 3
B14, Trade, 182.050, 148, B14, S01, 1
B14, Trade, 187.583, 144, S09, B14, 1
B14, Trade, 292.700, 143, B14, S03, 1
B15, 12
B15, Trade, 31.033, 151, B15, S14, 1
B15, Trade, 84.817, 150, B15, S07, 1
B15, Trade, 114.600, 150, B15, S09, 1
B15, Trade, 119.167, 149, B15, S09, 1
B15, Trade, 135.183, 144, B15, S00, 1
B15, Trade, 151.817, 151, B15, S01, 1
B15, Trade, 172.283, 142, B15, S00, 1
B15, Trade, 195.667, 132, S07, B15, 1
B15, Trade, 220.683, 144, B15, S07, 1
B15, Trade, 244.233, 141, S09, B15, 1
B15, Trade, 259.783, 140, B15, S04, 1
B15, Trade, 279.167, 146, B15, S03, 1
B16, 4
B16, Trade, 124.700, 142, B16, S00, 1
B16, Trade, 201.617, 142, B16, S00, 1
B16, Trade, 253.150, 152, B16, S00, 1
B16, Trade, 257.233, 143, B16, S03, 1
B17, 16
B17, Trade, 21.217, 151, B17, S09, 1
B17, Trade, 55.550, 141, B17, S03, 1
B17, Trade, 70.400, 150, B17, S05, 1
B17, Trade, 74.600, 129, B17, S03, 1
B17, Trade, 91.367, 134, B17, S01, 1
B17, Trade, 112.000, 142, S03, B17, 1
B17, Trade, 131.567, 146, B17, S03, 1
B17, Trade, 151.400, 133, S09, B17, 1
B17, Trade, 181.783, 151, B17, S03, 1
B17, Trade, 222.817, 139, B17, S03, 1
B17, Trade, 226.250, 122, B17, S00, 1
B17, Trade, 255.350, 156, B17, S01, 1
B17, Trade, 256.600, 153, B17, S07, 1
B17, Trade, 261.800, 149, B17, S03, 1
B17, Trade, 275.217, 135, S06, B17, 1
B17, Trade, 290.733, 145, B17, S04, 1
B18, 6
B18, Trade, 156.467, 126, B18, S03, 1
B18, Trade, 170.783, 154, S11, B18, 1
B18, Trade, 198.517, 148, S07, B18, 1
B18, Trade, 222.283, 140, B18, S06, 1
B18, Trade, 251.750, 129, S07, B18, 1
B18, Trade, 281.567, 134, S07, B18, 1
B19, 12
B19, Trade, 46.517, 147, B19, S01, 1
B19, Trade, 89.367, 133, S06, B19, 1
B19, Trade, 107.900, 150, B19, S04, 1
B19, Trade, 127.733, 140, B19, S00, 1
B19, Trade, 165.650, 134, B19, S07, 1
B19, Trade, 168.817, 158, B19, S07, 1
B19, Trade, 194.150, 137, B19, S03, 1
B19, Trade, 211.850, 137, S09, B19, 1
B19, Trade, 235.983, 145, S02, B19, 1
B19, Trade, 241.600, 131, B19, S03, 1
B19, Trade, 262.800, 148, B19, S00, 1
B19, Trade, 276.817, 157, B19, S00, 1
B20, 17
B20, Trade, 5.567, 119, S03, B20, 1
B20, Trade, 10.633, 128, S03, B20, 1
B20, Trade, 23.333, 156, B20, S11, 1
B20, Trade, 25.567, 148, S14, B20, 1
B20, Trade, 38.200, 146, B20, S02, 1
B20, Trade, 55.183, 153, S15, B20, 1
B20, Trade, 66.150, 128, B20, S03, 1
B20, Trade, 90.600, 114, S03, B20, 1
B20, Trade, 104.450, 150, B20, S07, 1
B20, Trade, 109.283, 141, S05, B20, 1
B20, Trade, 128.400, 134, S09, B20, 1
B20, Trade, 132.067, 132, B20, S09, 1
B20, Trade, 141.850, 147, B20, S03, 1
B20, Trade, 171.783, 146, S09, B20, 1
B20, Trade, 237.317, 149, B20, S03, 1
B20, Trade, 259.300, 146, B20, S09, 1
B20, Trade, 298.933, 164, B20, S01, 1
B21, 40
B21, Trade, 6.900, 149, S14, B21, 1
B21, Trade, 15.800, 150, B21, S04, 1
B21, Trade, 22.400, 149, S14, B21, 1
B21, Trade, 26.717, 166, B21, S03, 1
B21, Trade, 34.717, 150, B21, S01, 1
B21, Trade, 35.717, 157, S15, B21, 1
B21, Trade, 44.633, 171, B21, S07, 1
B21, Trade, 46.333, 138, S09, B21, 1
B21, Trade, 58.183, 141, S00, B21, 1
B21, Trade, 61.750, 168, B21, S14, 1
B21, Trade, 71.017, 130, B21, S06, 1
B21, Trade, 75.667, 134, S06, B21, 1
B21, Trade, 81.383, 142, B21, S01, 1
B21, Trade, 87.450, 148, S14, B21, 1
B21, Trade, 96.033, 142, B21, S00, 1
B21, Trade, 102.933, 156, B21, S08, 1
B21, Trade, 106.533, 156, S15, B21, 1
B21, Trade, 116.367, 154, S15, B21, 1
B21, Trade, 124.000, 162, B21, S01, 1
B21, Trade, 126.817, 157, B21, S03, 1
B21, Trade, 136.850, 155, S14, B21, 1
B21, Trade, 141.217, 160, B21, S01, 1
B21, Trade, 149.133, 166, B21, S11, 1
B21, Trade, 152.650, 158, S06, B21, 1
B21, Trade, 168.617, 166, B21, S19, 1
B21, Trade, 172.883, 163, S15, B21, 1
B21, Trade, 178.067, 154, S14, B21, 1
B21, Trade, 184.000, 139, S00, B21, 1
B21, Trade, 188.117, 149, S14, B21, 1
B21, Trade, 191.217, 150, S09, B21, 1
B21, Trade, 203.000, 149, B21, S01, 1
B21, Trade, 207.850, 169, B21, S19, 1
B21, Trade, 217.767, 161, S14, B21, 1
B21, Trade, 234.100, 157, S07, B21, 1
B21, Trade, 236.750, 149, B21, S07, 1
B21, Trade, 253.000, 149, S06, B21, 1
