B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 3
B12, Trade, 65.583, 120, S00, B12, 1
B12, Trade, 70.900, 139, B12, S00, 1
B12, Trade, 258.933, 139, B12, S04, 1
B13, 2
B13, Trade, 5.500, 144, B13, S12, 1
B13, Trade, 130.883, 122, B13, S00, 1
B14, 1
B14, Trade, 136.250, 139, B14, S04, 1
B15, 5
B15, Trade, 8.550, 150, B15, S00, 1
B15, Trade, 55.200, 147, B15, S08, 1
B15, Trade, 91.433, 148, B15, S00, 1
B15, Trade, 205.450, 141, B15, S03, 1
B15, Trade, 291.867, 150, B15, S04, 1
B16, 26
B16, Trade, 23.933, 154, B16, S00, 1
B16, Trade, 27.967, 152, B16, S02, 1
B16, Trade, 44.650, 153, B16, S01, 1
B16, Trade, 47.150, 155, B16, S02, 1
B16, Trade, 55.067, 152, B16, S10, 1
B16, Trade, 59.100, 154, B16, S05, 1
B16, Trade, 63.417, 148, B16, S05, 1
B16, Trade, 88.950, 153, B16, S00, 1
B16, Trade, 91.650, 148, S09, B16, 1
B16, Trade, 95.933, 152, B16, S04, 1
B16, Trade, 100.650, 128, S00, B16, 1
B16, Trade, 124.000, 154, B16, S05, 1
B16, Trade, 129.333, 155, B16, S09, 1
B16, Trade, 136.983, 149, S03, B16, 1
B16, Trade, 145.833, 152, B16, S05, 1
B16, Trade, 148.400, 154, B16, S06, 1
B16, Trade, 182.750, 153, B16, S00, 1
B16, Trade, 193.667, 150, B16, S10, 1
B16, Trade, 201.000, 155, B16, S03, 1
B16, Trade, 201.833, 151, B16, S12, 1
B16, Trade, 209.400, 151, B16, S08, 1
B16, Trade, 235.233, 155, S01, B16, 1
B16, Trade, 275.917, 153, B16, S00, 1
B16, Trade, 277.683, 153, B16, S03, 1
B16, Trade, 281.583, 149, B16, S03, 1
B16, Trade, 291.933, 143, B16, S01, 1
B17, 4
B17, Trade, 10.067, 121, S02, B17, 1
B17, Trade, 61.950, 157, B17, S03, 1
B17, Trade, 94.717, 152, B17, S02, 1
B17, Trade, 182.767, 147, B17, S04, 1
B18, 29
B18, Trade, 5.483, 162, B18, S01, 1
B18, Trade, 21.400, 161, B18, S06, 1
B18, Trade, 27.183, 160, B18, S13, 1
B18, Trade, 33.100, 161, B18, S04, 1
B18, Trade, 36.933, 158, B18, S00, 1
B18, Trade, 43.867, 156, B18, S03, 1
B18, Trade, 52.383, 159, S07, B18, 1
