B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 2
B07, Trade, 226.717, 116, B07, S01, 1
B07, Trade, 296.983, 113, S02, B07, 1
B08, 2
B08, Trade, 97.583, 120, B08, S01, 1
B08, Trade, 106.433, 116, S02, B08, 1
B09, 2
B09, Trade, 60.683, 110, S01, B09, 1
B09, Trade, 151.867, 121, S06, B09, 1
B10, 4
B10, Trade, 7.283, 124, B10, S02, 1
B10, Trade, 95.950, 119, B10, S02, 1
B10, Trade, 146.000, 133, S01, B10, 1
B10, Trade, 292.283, 121, S06, B10, 1
B11, 0
B12, 13
B12, Trade, 27.333, 138, B12, S01, 1
B12, Trade, 70.100, 134, B12, S02, 1
B12, Trade, 84.883, 134, B12, S02, 1
B12, Trade, 87.800, 136, B12, S02, 1
B12, Trade, 102.317, 134, B12, S02, 1
B12, Trade, 125.500, 138, B12, S02, 1
B12, Trade, 136.900, 138, B12, S02, 1
B12, Trade, 153.850, 136, B12, S01, 1
B12, Trade, 156.950, 138, B12, S01, 1
B12, Trade, 171.667, 133, B12, S02, 1
B12, Trade, 233.967, 135, B12, S02, 1
B12, Trade, 250.233, 138, B12, S02, 1
B12, Trade, 263.400, 136, B12, S02, 1
B13, 7
B13, Trade, 18.600, 138, B13, S02, 1
B13, Trade, 28.333, 134, B13, S02, 1
B13, Trade, 33.383, 138, B13, S10, 1
B13, Trade, 39.950, 138, B13, S01, 1
B13, Trade, 66.950, 138, B13, S01, 1
B13, Trade, 117.883, 120, B13, S01, 1
B13, Trade, 147.950, 138, B13, S02, 1
B14, 0
B15, 0
B16, 3
B16, Trade, 21.900, 142, B16, S02, 1
B16, Trade, 36.000, 137, S04, B16, 1
B16, Trade, 196.683, 131, B16, S04, 1
B17, 6
B17, Trade, 81.667, 149, B17, S01, 1
B17, Trade, 141.033, 118, B17, S02, 1
B17, Trade, 163.500, 149, B17, S10, 1
B17, Trade, 222.750, 138, B17, S01, 1
B17, Trade, 233.433, 146, B17, S07, 1
B17, Trade, 240.050, 144, S10, B17, 1
B18, 8
B18, Trade, 14.217, 137, S07, B18, 1
B18, Trade, 128.383, 152, B18, S01, 1
B18, Trade, 166.017, 121, S01, B18, 1
B18, Trade, 206.883, 111, B18, S01, 1
B18, Trade, 218.033, 132, B18, S04, 1
B18, Trade, 243.017, 126, B18, S01, 1
B18, Trade, 260.533, 143, S06, B18, 1
B18, Trade, 261.550, 140, B18, S01, 1
B19, 6
B19, Trade, 52.250, 144, B19, S01, 1
B19, Trade, 86.600, 147, B19, S11, 1
B19, Trade, 174.167, 138, B19, S01, 1
B19, Trade, 186.900, 142, B19, S01, 1
B19, Trade, 249.150, 142, B19, S08, 1
B19, Trade, 283.517, 139, B19, S01, 1
B20, 15
B20, Trade, 45.467, 141, B20, S02, 1
B20, Trade, 90.250, 154, S06, B20, 1
B20, Trade, 124.850, 140, B20, S01, 1
B20, Trade, 134.467, 137, B20, S02, 1
B20, Trade, 136.517, 141, B20, S01, 1
B20, Trade, 161.650, 146, B20, S04, 1
B20, Trade, 168.433, 152, B20, S11, 1
B20, Trade, 181.567, 125, B20, S01, 1
B20, Trade, 191.850, 139, B20, S01, 1
B20, Trade, 205.633, 147, S04, B20, 1
B20, Trade, 207.033, 135, S05, B20, 1
B20, Trade, 216.783, 117, S01, B20, 1
B20, Trade, 241.917, 140, B20, S02, 1
B20, Trade, 246.633, 144, B20, S01, 1
B20, Trade, 265.367, 151, B20, S12, 1
B21, 16
B21, Trade, 12.833, 142, B21, S04, 1
B21, Trade, 24.267, 152, B21, S04, 1
B21, Trade, 31.467, 143, S01, B21, 1
B21, Trade, 36.867, 156, B21, S02, 1
B21, Trade, 58.767, 155, S10, B21, 1
B21, Trade, 80.017, 154, B21, S01, 1
B21, Trade, 85.367, 146, B21, S04, 1
B21, Trade, 113.283, 157, B21, S02, 1
B21, Trade, 118.633, 158, S03, B21, 1
B21, Trade, 139.983, 151, B21, S09, 1
B21, Trade, 222.650, 156, S06, B21, 1
B21, Trade, 230.567, 138, B21, S04, 1
B21, Trade, 236.883, 159, B21, S04, 1
B21, Trade, 275.033, 145, B21, S04, 1
B21, Trade, 276.567, 152, S01, B21, 1
B21, Trade, 293.200, 140, B21, S04, 1
B22, 22
B22, Trade, 5.800, 151, B22, S10, 1
B22, Trade, 10.450, 126, S00, B22, 1
B22, Trade, 17.117, 158, B22, S12, 1
