B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
B14, 13
B14, Trade, 5.183, 120, S06, B14, 1
B14, Trade, 30.917, 136, B14, S00, 1
B14, Trade, 35.917, 143, B14, S06, 1
B14, Trade, 47.833, 148, B14, S10, 1
B14, Trade, 90.717, 140, B14, S03, 1
B14, Trade, 118.717, 145, B14, S03, 1
B14, Trade, 192.433, 145, B14, S08, 1
B14, Trade, 204.050, 145, B14, S03, 1
B14, Trade, 209.017, 131, B14, S03, 1
B14, Trade, 235.883, 146, B14, S01, 1
B14, Trade, 251.150, 145, B14, S06, 1
B14, Trade, 258.917, 144, B14, S04, 1
B14, Trade, 281.867, 148, B14, S11, 1
B15, 1
B15, Trade, 113.717, 133, B15, S00, 1
B16, 4
B16, Trade, 37.433, 139, S10, B16, 1
B16, Trade, 96.650, 144, B16, S02, 1
B16, Trade, 125.350, 147, S01, B16, 1
B16, Trade, 180.850, 133, B16, S03, 1
B17, 4
B17, Trade, 69.100, 144, B17, S11, 1
B17, Trade, 172.633, 144, B17, S08, 1
B17, Trade, 199.383, 142, B17, S05, 1
B17, Trade, 279.650, 144, B17, S00, 1
B18, 28
B18, Trade, 7.033, 155, S09, B18, 1
B18, Trade, 11.583, 158, B18, S02, 1
B18, Trade, 18.317, 161, B18, S01, 1
B18, Trade, 21.917, 160, B18, S13, 1
B18, Trade, 36.200, 145, S08, B18, 1
B18, Trade, 61.000, 152, S15, B18, 1
B18, Trade, 100.250, 141, B18, S00, 1
B18, Trade, 104.650, 158, S10, B18, 1
B18, Trade, 105.717, 145, B18, S08, 1
B18, Trade, 128.467, 162, B18, S03, 1
B18, Trade, 145.450, 139, S09, B18, 1
B18, Trade, 159.300, 160, B18, S10, 1
B18, Trade, 164.583, 155, S08, B18, 1
B18, Trade, 168.383, 146, B18, S05, 1
B18, Trade, 188.050, 161, B18, S06, 1
B18, Trade, 191.417, 141, B18, S00, 1
B18, Trade, 197.850, 152, B18, S08, 1
B18, Trade, 207.383, 146, B18, S06, 1
B18, Trade, 225.833, 149, B18, S00, 1
B18, Trade, 228.767, 160, B18, S03, 1
B18, Trade, 234.850, 146, B18, S03, 1
B18, Trade, 237.867, 162, B18, S00, 1
B18, Trade, 246.267, 159, B18, S15, 1
B18, Trade, 256.300, 162, B18, S11, 1
B18, Trade, 265.817, 160, B18, S12, 1
B18, Trade, 266.867, 144, B18, S00, 1
B18, Trade, 278.883, 149, B18, S11, 1
B18, Trade, 293.783, 157, S05, B18, 1
B19, 56
B19, Trade, 5.300, 129, S03, B19, 1
B19, Trade, 10.983, 156, B19, S06, 1
B19, Trade, 15.667, 165, B19, S00, 1
B19, Trade, 23.300, 165, B19, S16, 1
B19, Trade, 28.017, 161, B19, S15, 1
B19, Trade, 30.517, 163, B19, S08, 1
B19, Trade, 36.683, 146, S13, B19, 1
B19, Trade, 40.917, 162, S16, B19, 1
B19, Trade, 46.817, 148, S08, B19, 1
B19, Trade, 50.733, 148, S05, B19, 1
B19, Trade, 58.333, 164, B19, S03, 1
B19, Trade, 61.100, 164, B19, S00, 1
B19, Trade, 68.450, 160, B19, S05, 1
B19, Trade, 71.317, 163, B19, S06, 1
B19, Trade, 77.750, 160, B19, S00, 1
B19, Trade, 82.133, 161, S00, B19, 1
B19, Trade, 87.917, 160, B19, S00, 1
B19, Trade, 91.367, 164, B19, S13, 1
B19, Trade, 99.633, 150, S09, B19, 1
B19, Trade, 101.217, 162, B19, S06, 1
B19, Trade, 107.317, 164, B19, S05, 1
B19, Trade, 111.450, 163, B19, S06, 1
B19, Trade, 117.300, 160, S04, B19, 1
B19, Trade, 121.067, 127, S00, B19, 1
B19, Trade, 129.333, 161, B19, S16, 1
B19, Trade, 131.567, 162, B19, S00, 1
B19, Trade, 137.717, 165, B19, S00, 1
B19, Trade, 143.983, 161, B19, S00, 1
B19, Trade, 150.683, 155, B19, S13, 1
B19, Trade, 150.900, 164, B19, S00, 1
B19, Trade, 155.933, 108, S00, B19, 1
B19, Trade, 161.300, 160, B19, S03, 1
B19, Trade, 168.000, 165, S19, B19, 1
B19, Trade, 172.167, 157, S13, B19, 1
B19, Trade, 176.850, 163, B19, S10, 1
B19, Trade, 183.433, 163, B19, S15, 1
B19, Trade, 186.067, 149, S11, B19, 1
B19, Trade, 192.800, 157, S07, B19, 1
B19, Trade, 199.350, 159, S09, B19, 1
B19, Trade, 202.167, 162, B19, S00, 1
B19, Trade, 207.317, 155, S05, B19, 1
B19, Trade, 213.233, 163, B19, S00, 1
B19, Trade, 221.033, 165, B19, S00, 1
B19, Trade, 222.317, 159, B19, S11, 1
B19, Trade, 226.317, 160, B19, S00, 1
B19, Trade, 231.217, 164, B19, S00, 1
B19, Trade, 240.867, 160, B19, S06, 1
B19, Trade, 244.667, 160, B19, S00, 1
B19, Trade, 250.550, 162, S09, B19, 1
B19, Trade, 252.583, 161, B19, S10, 1
B19, Trade, 256.717, 161, B19, S00, 1
B19, Trade, 263.733, 161, B19, S00, 1
B19, Trade, 267.850, 162, B19, S06, 1
B19, Trade, 278.400, 158, S01, B19, 1
B19, Trade, 282.783, 163, B19, S03, 1
B19, Trade, 287.367, 163, B19, S05, 1
B20, 52
B20, Trade, 8.350, 155, S15, B20, 1
B20, Trade, 10.717, 160, B20, S00, 1
B20, Trade, 19.700, 154, B20, S05, 1
B20, Trade, 27.033, 167, S02, B20, 1
B20, Trade, 31.850, 160, S09, B20, 1
B20, Trade, 35.967, 163, S15, B20, 1
B20, Trade, 46.400, 143, B20, S00, 1
B20, Trade, 54.717, 160, B20, S08, 1
B20, Trade, 61.133, 148, S11, B20, 1
B20, Trade, 68.350, 161, B20, S06, 1
B20, Trade, 72.183, 145, B20, S01, 1
B20, Trade, 87.267, 162, B20, S06, 1
B20, Trade, 93.017, 157, B20, S08, 1
B20, Trade, 97.267, 154, S11, B20, 1
B20, Trade, 103.117, 140, B20, S05, 1
B20, Trade, 112.400, 153, B20, S08, 1
B20, Trade, 115.983, 155, B20, S11, 1
B20, Trade, 121.767, 131, S09, B20, 1
B20, Trade, 129.650, 160, B20, S11, 1
B20, Trade, 135.500, 151, B20, S05, 1
B20, Trade, 137.800, 158, B20, S05, 1
B20, Trade, 144.233, 153, B20, S10, 1
B20, Trade, 152.517, 161, B20, S05, 1
B20, Trade, 158.533, 166, B20, S03, 1
