B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 3
B09, Trade, 106.200, 117, S05, B09, 1
B09, Trade, 266.550, 130, B09, S05, 1
B09, Trade, 286.617, 124, B09, S06, 1
B10, 5
B10, Trade, 5.733, 128, B10, S05, 1
B10, Trade, 161.717, 118, S05, B10, 1
B10, Trade, 207.267, 124, S06, B10, 1
B10, Trade, 276.633, 119, B10, S04, 1
B10, Trade, 287.650, 126, B10, S05, 1
B11, 7
B11, Trade, 155.183, 135, B11, S05, 1
B11, Trade, 186.033, 120, B11, S05, 1
B11, Trade, 193.350, 128, B11, S06, 1
B11, Trade, 201.450, 117, S05, B11, 1
B11, Trade, 258.233, 136, B11, S05, 1
B11, Trade, 264.717, 135, B11, S01, 1
B11, Trade, 271.350, 131, B11, S04, 1
B12, 0
B13, 2
B13, Trade, 106.433, 124, S01, B13, 1
B13, Trade, 158.733, 134, B13, S07, 1
B14, 8
B14, Trade, 25.967, 121, S04, B14, 1
B14, Trade, 138.867, 146, B14, S06, 1
B14, Trade, 178.067, 140, B14, S05, 1
B14, Trade, 221.250, 124, S07, B14, 1
B14, Trade, 261.233, 144, B14, S02, 1
B14, Trade, 263.833, 143, B14, S06, 1
B14, Trade, 277.917, 145, B14, S12, 1
B14, Trade, 292.583, 129, B14, S05, 1
B15, 7
B15, Trade, 16.067, 141, B15, S06, 1
B15, Trade, 34.250, 141, B15, S06, 1
B15, Trade, 44.750, 141, B15, S04, 1
B15, Trade, 61.333, 134, B15, S05, 1
B15, Trade, 81.450, 138, B15, S08, 1
B15, Trade, 141.350, 137, B15, S07, 1
B15, Trade, 196.767, 141, B15, S04, 1
B16, 29
B16, Trade, 6.900, 143, S11, B16, 1
B16, Trade, 15.517, 128, S07, B16, 1
B16, Trade, 26.233, 141, S12, B16, 1
B16, Trade, 35.750, 150, S07, B16, 1
B16, Trade, 56.683, 150, B16, S06, 1
B16, Trade, 66.867, 132, S07, B16, 1
B16, Trade, 71.083, 148, B16, S06, 1
B16, Trade, 86.417, 146, B16, S11, 1
B16, Trade, 93.683, 155, B16, S11, 1
B16, Trade, 107.867, 153, S04, B16, 1
B16, Trade, 127.433, 155, B16, S04, 1
B16, Trade, 148.967, 142, S12, B16, 1
B16, Trade, 158.017, 148, S12, B16, 1
B16, Trade, 177.400, 146, B16, S11, 1
B16, Trade, 181.767, 133, S06, B16, 1
B16, Trade, 186.233, 125, B16, S06, 1
B16, Trade, 191.867, 136, S05, B16, 1
B16, Trade, 212.883, 147, B16, S07, 1
B16, Trade, 219.683, 141, B16, S02, 1
B16, Trade, 221.400, 135, B16, S05, 1
B16, Trade, 226.333, 136, S06, B16, 1
B16, Trade, 234.267, 151, B16, S10, 1
B16, Trade, 243.733, 142, B16, S08, 1
B16, Trade, 246.633, 151, S06, B16, 1
B16, Trade, 252.067, 155, B16, S06, 1
B16, Trade, 256.983, 155, B16, S10, 1
B16, Trade, 271.533, 150, B16, S01, 1
B16, Trade, 281.817, 124, B16, S05, 1
B16, Trade, 293.717, 149, B16, S08, 1
B17, 17
B17, Trade, 5.467, 134, B17, S07, 1
B17, Trade, 27.217, 150, S00, B17, 1
B17, Trade, 51.167, 154, B17, S01, 1
B17, Trade, 92.667, 157, B17, S12, 1
B17, Trade, 116.650, 135, B17, S01, 1
B17, Trade, 141.633, 123, B17, S05, 1
B17, Trade, 147.933, 152, B17, S01, 1
B17, Trade, 152.017, 149, B17, S08, 1
B17, Trade, 179.483, 145, B17, S04, 1
B17, Trade, 191.650, 127, S07, B17, 1
B17, Trade, 196.283, 152, B17, S05, 1
B17, Trade, 208.067, 138, B17, S04, 1
B17, Trade, 222.100, 158, B17, S09, 1
B17, Trade, 242.333, 141, S12, B17, 1
B17, Trade, 264.250, 153, S12, B17, 1
B17, Trade, 268.233, 150, B17, S01, 1
B17, Trade, 283.900, 146, B17, S06, 1
B18, 35
B18, Trade, 8.733, 145, S12, B18, 1
B18, Trade, 12.867, 159, B18, S05, 1
B18, Trade, 18.317, 155, S04, B18, 1
B18, Trade, 21.950, 158, B18, S10, 1
B18, Trade, 41.617, 158, B18, S07, 1
B18, Trade, 49.617, 152, B18, S04, 1
B18, Trade, 60.767, 159, B18, S08, 1
B18, Trade, 65.950, 133, B18, S05, 1
B18, Trade, 72.783, 139, S10, B18, 1
B18, Trade, 78.833, 151, B18, S05, 1
B18, Trade, 80.883, 159, B18, S07, 1
B18, Trade, 94.867, 145, B18, S05, 1
B18, Trade, 98.217, 156, B18, S12, 1
B18, Trade, 112.683, 137, B18, S02, 1
B18, Trade, 116.550, 138, B18, S07, 1
B18, Trade, 133.100, 161, B18, S11, 1
B18, Trade, 136.300, 145, B18, S07, 1
B18, Trade, 141.233, 157, B18, S06, 1
B18, Trade, 153.067, 149, B18, S07, 1
B18, Trade, 161.350, 117, S04, B18, 1
B18, Trade, 166.967, 146, B18, S05, 1
B18, Trade, 179.983, 152, B18, S06, 1
B18, Trade, 182.033, 129, B18, S05, 1
B18, Trade, 197.333, 149, B18, S02, 1
B18, Trade, 207.450, 114, S01, B18, 1
B18, Trade, 211.517, 144, B18, S04, 1
B18, Trade, 216.450, 144, S13, B18, 1
B18, Trade, 233.300, 153, B18, S06, 1
B18, Trade, 245.450, 161, B18, S01, 1
B18, Trade, 247.533, 161, B18, S11, 1
B18, Trade, 253.183, 146, B18, S12, 1
B18, Trade, 262.700, 155, B18, S07, 1
B18, Trade, 269.600, 144, S02, B18, 1
B18, Trade, 272.100, 148, B18, S07, 1
B18, Trade, 287.883, 145, B18, S04, 1
B19, 32
B19, Trade, 8.583, 134, B19, S01, 1
B19, Trade, 21.150, 161, B19, S05, 1
B19, Trade, 30.883, 159, B19, S11, 1
B19, Trade, 44.100, 148, B19, S01, 1
B19, Trade, 53.983, 149, B19, S08, 1
B19, Trade, 71.967, 132, B19, S02, 1
B19, Trade, 91.617, 161, B19, S07, 1
B19, Trade, 96.217, 161, B19, S07, 1
B19, Trade, 104.800, 161, B19, S00, 1
B19, Trade, 108.033, 150, B19, S07, 1
B19, Trade, 111.800, 161, B19, S06, 1
B19, Trade, 119.667, 153, B19, S12, 1
B19, Trade, 128.217, 146, B19, S01, 1
B19, Trade, 132.450, 142, B19, S07, 1
B19, Trade, 137.667, 143, B19, S05, 1
B19, Trade, 152.683, 146, B19, S04, 1
B19, Trade, 158.100, 130, B19, S01, 1
B19, Trade, 162.950, 154, B19, S06, 1
B19, Trade, 174.800, 151, B19, S01, 1
B19, Trade, 178.800, 137, B19, S08, 1
B19, Trade, 198.933, 143, B19, S06, 1
B19, Trade, 203.833, 161, B19, S07, 1
B19, Trade, 210.233, 142, B19, S05, 1
B19, Trade, 214.267, 144, B19, S06, 1
B19, Trade, 223.383, 161, B19, S06, 1
B19, Trade, 227.933, 161, B19, S02, 1
B19, Trade, 240.117, 144, B19, S07, 1
B19, Trade, 250.700, 154, B19, S12, 1
B19, Trade, 252.700, 149, B19, S07, 1
B19, Trade, 275.733, 156, B19, S10, 1
B19, Trade, 281.100, 155, B19, S08, 1
B19, Trade, 297.450, 155, B19, S05, 1
B20, 12
B20, Trade, 19.417, 149, B20, S11, 1
B20, Trade, 25.717, 129, S06, B20, 1
B20, Trade, 51.450, 149, B20, S05, 1
B20, Trade, 98.967, 156, B20, S11, 1
B20, Trade, 109.917, 147, B20, S11, 1
B20, Trade, 120.983, 135, B20, S05, 1
B20, Trade, 127.133, 157, B20, S05, 1
B20, Trade, 198.033, 145, B20, S11, 1
B20, Trade, 220.750, 155, B20, S04, 1
B20, Trade, 240.683, 154, S12, B20, 1
B20, Trade, 246.867, 132, B20, S05, 1
B20, Trade, 288.667, 154, B20, S07, 1
B21, 18
B21, Trade, 25.550, 121, B21, S05, 1
B21, Trade, 34.233, 158, B21, S01, 1
B21, Trade, 70.150, 154, S13, B21, 1
B21, Trade, 71.650, 134, B21, S04, 1
B21, Trade, 79.667, 157, B21, S06, 1
B21, Trade, 86.400, 155, S06, B21, 1
B21, Trade, 94.633, 158, S10, B21, 1
B21, Trade, 100.017, 133, B21, S01, 1
B21, Trade, 103.167, 164, B21, S03, 1
B21, Trade, 124.983, 156, B21, S08, 1
B21, Trade, 153.983, 137, B21, S06, 1
B21, Trade, 165.833, 166, B21, S03, 1
B21, Trade, 171.483, 164, B21, S07, 1
B21, Trade, 190.250, 141, B21, S01, 1
B21, Trade, 229.650, 168, B21, S08, 1
B21, Trade, 250.117, 157, B21, S10, 1
B21, Trade, 276.400, 121, S06, B21, 1
B21, Trade, 292.083, 134, B21, S06, 1
B22, 19
B22, Trade, 10.883, 123, S06, B22, 1
B22, Trade, 61.950, 140, B22, S04, 1
B22, Trade, 67.033, 139, S06, B22, 1
B22, Trade, 85.167, 166, B22, S11, 1
B22, Trade, 96.367, 146, B22, S04, 1
B22, Trade, 102.467, 169, B22, S05, 1
B22, Trade, 125.650, 162, B22, S11, 1
B22, Trade, 129.183, 149, S12, B22, 1
B22, Trade, 152.450, 149, B22, S02, 1
B22, Trade, 160.317, 146, B22, S04, 1
B22, Trade, 167.633, 142, B22, S06, 1
B22, Trade, 199.633, 153, B22, S10, 1
B22, Trade, 209.950, 144, B22, S02, 1
B22, Trade, 234.483, 143, B22, S07, 1
B22, Trade, 245.317, 172, B22, S19, 1
B22, Trade, 278.083, 164, S10, B22, 1
B22, Trade, 284.483, 147, B22, S01, 1
B22, Trade, 287.200, 129, B22, S01, 1
B22, Trade, 296.967, 155, B22, S06, 1
B23, 28
B23, Trade, 20.917, 165, B23, S06, 1
B23, Trade, 32.517, 167, B23, S10, 1
B23, Trade, 44.183, 145, B23, S05, 1
B23, Trade, 45.417, 133, B23, S07, 1
B23, Trade, 52.017, 147, B23, S07, 1
B23, Trade, 57.100, 145, B23, S07, 1
B23, Trade, 61.317, 136, B23, S06, 1
B23, Trade, 86.233, 146, B23, S05, 1
B23, Trade, 91.250, 170, B23, S06, 1
B23, Trade, 96.533, 141, B23, S02, 1
B23, Trade, 102.567, 163, B23, S06, 1
B23, Trade, 113.383, 136, B23, S07, 1
B23, Trade, 127.467, 150, B23, S07, 1
B23, Trade, 132.167, 142, B23, S04, 1
B23, Trade, 137.600, 157, B23, S11, 1
B23, Trade, 141.467, 131, B23, S03, 1
B23, Trade, 146.883, 170, B23, S05, 1
B23, Trade, 153.717, 144, B23, S10, 1
B23, Trade, 164.750, 152, B23, S08, 1
B23, Trade, 177.917, 141, B23, S07, 1
B23, Trade, 202.933, 168, B23, S08, 1
B23, Trade, 219.617, 151, B23, S01, 1
B23, Trade, 224.867, 155, B23, S01, 1
B23, Trade, 227.350, 165, B23, S00, 1
B23, Trade, 233.967, 148, B23, S05, 1
B23, Trade, 237.317, 170, B23, S04, 1
B23, Trade, 272.200, 143, B23, S06, 1
B23, Trade, 297.767, 167, B23, S07, 1
B24, 43
B24, Trade, 14.750, 153, S10, B24, 1
B24, Trade, 15.800, 145, S08, B24, 1
B24, Trade, 21.883, 168, S19, B24, 1
B24, Trade, 26.267, 144, S03, B24, 1
B24, Trade, 30.633, 175, S12, B24, 1
B24, Trade, 36.133, 129, B24, S05, 1
B24, Trade, 41.200, 148, B24, S06, 1
B24, Trade, 46.650, 143, B24, S11, 1
B24, Trade, 51.417, 153, S10, B24, 1
B24, Trade, 57.767, 150, B24, S01, 1
B24, Trade, 61.650, 148, S07, B24, 1
