B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 2
B10, Trade, 40.717, 127, B10, S05, 1
B10, Trade, 236.967, 127, B10, S01, 1
B11, 2
B11, Trade, 151.117, 134, B11, S05, 1
B11, Trade, 236.733, 133, B11, S02, 1
B12, 2
B12, Trade, 169.500, 138, B12, S02, 1
B12, Trade, 286.067, 133, B12, S02, 1
B13, 0
B14, 5
B14, Trade, 38.617, 144, B14, S05, 1
B14, Trade, 78.617, 144, B14, S11, 1
B14, Trade, 177.733, 141, B14, S10, 1
B14, Trade, 274.983, 141, B14, S00, 1
B14, Trade, 296.783, 120, S05, B14, 1
B15, 2
B15, Trade, 83.517, 141, S10, B15, 1
B15, Trade, 244.783, 143, B15, S10, 1
B16, 0
B17, 1
B17, Trade, 271.017, 148, B17, S05, 1
B18, 3
B18, Trade, 76.433, 148, S05, B18, 1
B18, Trade, 114.633, 158, B18, S13, 1
B18, Trade, 215.717, 151, S14, B18, 1
B19, 14
B19, Trade, 31.300, 162, B19, S14, 1
B19, Trade, 64.217, 148, B19, S03, 1
B19, Trade, 99.917, 159, B19, S02, 1
B19, Trade, 110.083, 160, B19, S04, 1
B19, Trade, 126.800, 160, S04, B19, 1
B19, Trade, 151.767, 155, B19, S10, 1
B19, Trade, 159.033, 148, B19, S10, 1
B19, Trade, 166.117, 141, B19, S10, 1
B19, Trade, 172.483, 164, B19, S18, 1
B19, Trade, 182.167, 161, B19, S04, 1
B19, Trade, 228.050, 139, B19, S10, 1
B19, Trade, 263.883, 156, B19, S14, 1
B19, Trade, 268.933, 157, B19, S02, 1
B19, Trade, 284.300, 160, B19, S13, 1
B20, 44
B20, Trade, 8.217, 156, S16, B20, 1
B20, Trade, 12.317, 151, S09, B20, 1
B20, Trade, 19.083, 157, S16, B20, 1
B20, Trade, 23.283, 146, S03, B20, 1
B20, Trade, 27.067, 163, B20, S10, 1
B20, Trade, 32.717, 160, S10, B20, 1
B20, Trade, 44.050, 166, S19, B20, 1
B20, Trade, 51.750, 161, B20, S01, 1
B20, Trade, 63.667, 167, B20, S18, 1
B20, Trade, 69.600, 163, B20, S06, 1
B20, Trade, 70.900, 163, B20, S15, 1
B20, Trade, 76.050, 158, B20, S01, 1
B20, Trade, 81.767, 145, S12, B20, 1
B20, Trade, 87.017, 167, B20, S02, 1
B20, Trade, 92.517, 149, B20, S05, 1
B20, Trade, 105.633, 168, B20, S04, 1
B20, Trade, 116.167, 141, B20, S02, 1
B20, Trade, 126.067, 143, B20, S10, 1
B20, Trade, 133.500, 153, B20, S03, 1
B20, Trade, 138.567, 154, B20, S14, 1
B20, Trade, 141.617, 153, B20, S11, 1
B20, Trade, 146.467, 154, B20, S05, 1
B20, Trade, 153.567, 158, B20, S14, 1
B20, Trade, 157.733, 167, B20, S03, 1
B20, Trade, 164.183, 165, B20, S07, 1
B20, Trade, 171.483, 164, B20, S05, 1
B20, Trade, 185.250, 164, B20, S10, 1
B20, Trade, 192.717, 157, B20, S16, 1
B20, Trade, 200.833, 141, B20, S05, 1
B20, Trade, 203.650, 168, B20, S18, 1
B20, Trade, 209.117, 162, B20, S14, 1
B20, Trade, 214.950, 141, B20, S03, 1
