B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 1
B05, Trade, 201.300, 110, B05, S00, 1
B06, 0
B07, 0
B08, 0
B09, 3
B09, Trade, 181.433, 125, B09, S05, 1
B09, Trade, 206.217, 124, B09, S01, 1
B09, Trade, 231.567, 120, B09, S05, 1
B10, 0
B11, 0
B12, 25
B12, Trade, 10.250, 135, B12, S01, 1
B12, Trade, 20.950, 133, S02, B12, 1
B12, Trade, 29.333, 140, B12, S05, 1
B12, Trade, 40.700, 105, S00, B12, 1
B12, Trade, 48.100, 136, B12, S02, 1
B12, Trade, 67.383, 134, B12, S06, 1
B12, Trade, 75.217, 140, B12, S05, 1
B12, Trade, 77.550, 135, S02, B12, 1
B12, Trade, 96.567, 135, B12, S00, 1
B12, Trade, 113.117, 140, B12, S00, 1
B12, Trade, 132.550, 139, B12, S10, 1
B12, Trade, 139.300, 140, B12, S01, 1
B12, Trade, 147.350, 127, S05, B12, 1
B12, Trade, 175.717, 133, B12, S03, 1
B12, Trade, 185.733, 140, B12, S06, 1
B12, Trade, 190.983, 141, B12, S11, 1
B12, Trade, 193.617, 141, B12, S05, 1
B12, Trade, 198.333, 134, S05, B12, 1
B12, Trade, 217.583, 139, B12, S11, 1
B12, Trade, 227.350, 141, B12, S02, 1
B12, Trade, 241.383, 139, B12, S05, 1
B12, Trade, 252.633, 137, B12, S04, 1
B12, Trade, 268.850, 136, B12, S00, 1
B12, Trade, 273.883, 137, S02, B12, 1
B12, Trade, 282.767, 141, B12, S00, 1
B13, 6
B13, Trade, 71.867, 134, B13, S00, 1
B13, Trade, 84.700, 128, B13, S04, 1
B13, Trade, 152.000, 132, B13, S02, 1
B13, Trade, 157.017, 133, B13, S01, 1
B13, Trade, 204.150, 134, B13, S05, 1
B13, Trade, 284.750, 134, B13, S05, 1
B14, 9
B14, Trade, 6.317, 134, B14, S03, 1
B14, Trade, 77.683, 143, B14, S01, 1
B14, Trade, 126.267, 122, S02, B14, 1
B14, Trade, 158.333, 145, B14, S00, 1
B14, Trade, 161.550, 131, B14, S00, 1
B14, Trade, 201.517, 125, S02, B14, 1
B14, Trade, 212.800, 145, B14, S05, 1
B14, Trade, 231.500, 141, B14, S02, 1
B14, Trade, 282.483, 147, B14, S10, 1
B15, 1
B15, Trade, 146.950, 121, B15, S00, 1
B16, 13
