B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 1
B09, Trade, 5.150, 128, B09, S02, 1
B10, 2
B10, Trade, 70.683, 133, B10, S04, 1
B10, Trade, 249.933, 131, B10, S01, 1
B11, 0
B12, 2
B12, Trade, 13.150, 137, B12, S08, 1
B12, Trade, 176.650, 132, B12, S04, 1
B13, 4
B13, Trade, 26.667, 143, B13, S04, 1
B13, Trade, 43.350, 138, B13, S01, 1
B13, Trade, 146.050, 134, B13, S02, 1
B13, Trade, 248.433, 129, B13, S02, 1
B14, 14
B14, Trade, 34.417, 136, B14, S08, 1
B14, Trade, 43.650, 134, B14, S03, 1
B14, Trade, 59.417, 142, B14, S04, 1
B14, Trade, 65.117, 138, B14, S05, 1
B14, Trade, 74.933, 142, B14, S03, 1
B14, Trade, 91.933, 140, B14, S01, 1
B14, Trade, 118.233, 142, B14, S00, 1
B14, Trade, 126.967, 136, B14, S08, 1
B14, Trade, 140.133, 142, B14, S08, 1
B14, Trade, 153.283, 139, B14, S01, 1
B14, Trade, 165.650, 128, B14, S03, 1
B14, Trade, 182.167, 140, B14, S04, 1
B14, Trade, 224.900, 142, B14, S06, 1
B14, Trade, 286.983, 141, B14, S02, 1
B15, 48
B15, Trade, 7.283, 148, B15, S12, 1
B15, Trade, 10.850, 151, B15, S01, 1
B15, Trade, 18.767, 149, B15, S04, 1
B15, Trade, 21.017, 135, S08, B15, 1
B15, Trade, 26.467, 149, B15, S13, 1
B15, Trade, 32.400, 151, B15, S04, 1
B15, Trade, 38.167, 145, B15, S04, 1
B15, Trade, 41.933, 149, B15, S02, 1
B15, Trade, 47.817, 147, B15, S04, 1
B15, Trade, 53.733, 151, B15, S05, 1
B15, Trade, 55.467, 148, B15, S02, 1
B15, Trade, 63.333, 148, B15, S08, 1
B15, Trade, 66.317, 139, B15, S05, 1
B15, Trade, 71.983, 150, B15, S01, 1
B15, Trade, 76.050, 129, S05, B15, 1
B15, Trade, 82.350, 145, B15, S02, 1
B15, Trade, 88.050, 146, B15, S04, 1
B15, Trade, 90.650, 136, S02, B15, 1
B15, Trade, 97.317, 150, B15, S01, 1
B15, Trade, 102.817, 151, B15, S02, 1
B15, Trade, 108.233, 150, B15, S04, 1
B15, Trade, 113.750, 150, B15, S02, 1
B15, Trade, 118.083, 150, B15, S12, 1
B15, Trade, 123.650, 150, B15, S08, 1
B15, Trade, 139.550, 150, B15, S00, 1
B15, Trade, 146.067, 145, S00, B15, 1
B15, Trade, 153.133, 149, S08, B15, 1
B15, Trade, 161.333, 147, B15, S02, 1
B15, Trade, 167.667, 148, B15, S00, 1
B15, Trade, 175.600, 151, B15, S05, 1
B15, Trade, 182.300, 147, S12, B15, 1
B15, Trade, 199.517, 151, B15, S04, 1
B15, Trade, 201.933, 132, S01, B15, 1
B15, Trade, 210.800, 148, B15, S01, 1
B15, Trade, 213.133, 150, B15, S12, 1
B15, Trade, 218.550, 151, B15, S09, 1
B15, Trade, 223.583, 149, B15, S04, 1
B15, Trade, 239.033, 144, B15, S02, 1
B15, Trade, 241.817, 151, B15, S04, 1
B15, Trade, 247.017, 147, S04, B15, 1
B15, Trade, 251.367, 145, B15, S00, 1
B15, Trade, 258.517, 146, B15, S13, 1
B15, Trade, 263.333, 147, B15, S08, 1
B15, Trade, 270.267, 149, S08, B15, 1
B15, Trade, 272.467, 151, B15, S13, 1
B15, Trade, 279.117, 150, B15, S04, 1
B15, Trade, 282.100, 151, B15, S02, 1
B15, Trade, 290.933, 149, B15, S05, 1
B16, 13
B16, Trade, 56.333, 154, B16, S03, 1
B16, Trade, 64.750, 153, B16, S03, 1
B16, Trade, 76.550, 128, B16, S08, 1
B16, Trade, 89.633, 139, B16, S00, 1
B16, Trade, 108.267, 150, B16, S03, 1
B16, Trade, 112.083, 154, B16, S03, 1
B16, Trade, 160.167, 143, B16, S08, 1
B16, Trade, 176.267, 127, S01, B16, 1
B16, Trade, 189.450, 143, S09, B16, 1
B16, Trade, 196.183, 149, B16, S08, 1
B16, Trade, 223.183, 154, B16, S00, 1
B16, Trade, 239.567, 155, B16, S01, 1
B16, Trade, 257.183, 155, B16, S04, 1
B17, 3
B17, Trade, 74.317, 142, B17, S08, 1
B17, Trade, 95.550, 144, B17, S00, 1
B17, Trade, 285.517, 137, B17, S04, 1
B18, 21
B18, Trade, 25.283, 126, S00, B18, 1
B18, Trade, 39.883, 152, B18, S12, 1
B18, Trade, 59.317, 159, B18, S00, 1
B18, Trade, 73.983, 159, B18, S09, 1
B18, Trade, 76.150, 130, S04, B18, 1
B18, Trade, 98.583, 152, S08, B18, 1
B18, Trade, 102.233, 144, B18, S03, 1
B18, Trade, 126.950, 141, S09, B18, 1
B18, Trade, 149.600, 148, B18, S05, 1
B18, Trade, 163.450, 156, B18, S05, 1
B18, Trade, 184.117, 162, B18, S00, 1
B18, Trade, 188.183, 161, B18, S02, 1
B18, Trade, 206.983, 150, B18, S06, 1
B18, Trade, 216.317, 152, S02, B18, 1
B18, Trade, 221.467, 148, S08, B18, 1
B18, Trade, 231.500, 127, S02, B18, 1
B18, Trade, 254.017, 161, B18, S08, 1
B18, Trade, 262.367, 152, B18, S01, 1
B18, Trade, 272.367, 155, B18, S02, 1
B18, Trade, 278.033, 139, B18, S08, 1
B18, Trade, 283.700, 162, B18, S12, 1
B19, 45
B19, Trade, 11.200, 157, B19, S00, 1
B19, Trade, 18.283, 155, S12, B19, 1
B19, Trade, 33.400, 147, S09, B19, 1
B19, Trade, 39.500, 161, S00, B19, 1
B19, Trade, 42.900, 139, S05, B19, 1
B19, Trade, 46.200, 138, B19, S02, 1
B19, Trade, 54.233, 148, B19, S12, 1
B19, Trade, 56.983, 150, S13, B19, 1
B19, Trade, 61.033, 154, B19, S02, 1
B19, Trade, 71.117, 158, B19, S02, 1
B19, Trade, 81.467, 154, S05, B19, 1
B19, Trade, 87.417, 148, S12, B19, 1
B19, Trade, 92.600, 143, B19, S03, 1
B19, Trade, 100.417, 152, B19, S03, 1
B19, Trade, 105.333, 147, B19, S08, 1
B19, Trade, 118.817, 156, B19, S04, 1
B19, Trade, 122.900, 151, B19, S04, 1
B19, Trade, 132.750, 154, B19, S02, 1
B19, Trade, 138.650, 154, B19, S04, 1
B19, Trade, 147.317, 142, S09, B19, 1
B19, Trade, 151.817, 146, B19, S04, 1
B19, Trade, 159.800, 154, S01, B19, 1
B19, Trade, 164.167, 152, B19, S08, 1
B19, Trade, 166.633, 151, B19, S01, 1
B19, Trade, 171.483, 163, B19, S02, 1
B19, Trade, 180.800, 165, B19, S08, 1
B19, Trade, 181.633, 145, B19, S05, 1
B19, Trade, 191.800, 140, S01, B19, 1
B19, Trade, 198.067, 144, B19, S07, 1
B19, Trade, 203.517, 164, S12, B19, 1
B19, Trade, 206.700, 123, S04, B19, 1
B19, Trade, 212.150, 163, B19, S08, 1
B19, Trade, 217.183, 154, B19, S04, 1
B19, Trade, 222.200, 163, B19, S02, 1
B19, Trade, 227.467, 148, B19, S02, 1
B19, Trade, 233.617, 153, B19, S13, 1
B19, Trade, 237.733, 151, B19, S00, 1
B19, Trade, 243.650, 151, B19, S05, 1
B19, Trade, 257.633, 149, B19, S05, 1
B19, Trade, 267.850, 153, B19, S02, 1
B19, Trade, 276.317, 150, B19, S03, 1
B19, Trade, 278.850, 164, B19, S00, 1
B19, Trade, 281.483, 133, B19, S00, 1
B19, Trade, 293.417, 159, B19, S02, 1
B19, Trade, 297.417, 158, B19, S02, 1
B20, 19
B20, Trade, 5.950, 154, B20, S07, 1
B20, Trade, 21.200, 140, S00, B20, 1
B20, Trade, 65.750, 141, B20, S02, 1
B20, Trade, 82.067, 162, S15, B20, 1
B20, Trade, 97.167, 161, B20, S02, 1
B20, Trade, 154.567, 144, B20, S12, 1
B20, Trade, 156.567, 144, B20, S02, 1
B20, Trade, 162.050, 159, S01, B20, 1
B20, Trade, 166.467, 166, B20, S02, 1
B20, Trade, 196.617, 165, B20, S02, 1
B20, Trade, 201.567, 159, S00, B20, 1
B20, Trade, 235.383, 157, S09, B20, 1
B20, Trade, 244.433, 149, B20, S01, 1
B20, Trade, 255.417, 164, B20, S04, 1
B20, Trade, 264.283, 141, B20, S04, 1
B20, Trade, 266.633, 158, S05, B20, 1
B20, Trade, 273.567, 157, S09, B20, 1
B20, Trade, 283.283, 166, B20, S07, 1
B20, Trade, 292.417, 160, S14, B20, 1
B21, 9
B21, Trade, 91.283, 155, B21, S12, 1
B21, Trade, 117.300, 158, B21, S02, 1
B21, Trade, 124.417, 136, B21, S01, 1
B21, Trade, 154.983, 144, B21, S00, 1
B21, Trade, 160.283, 160, B21, S15, 1
B21, Trade, 183.100, 145, B21, S02, 1
B21, Trade, 194.800, 157, B21, S12, 1
B21, Trade, 208.400, 154, B21, S00, 1
B21, Trade, 227.250, 154, B21, S13, 1
B22, 12
B22, Trade, 10.800, 155, B22, S02, 1
B22, Trade, 42.000, 146, B22, S04, 1
B22, Trade, 51.917, 165, B22, S03, 1
B22, Trade, 58.550, 159, B22, S05, 1
B22, Trade, 77.017, 158, S02, B22, 1
B22, Trade, 103.750, 151, S05, B22, 1
B22, Trade, 126.767, 140, B22, S02, 1
B22, Trade, 170.150, 156, B22, S08, 1
B22, Trade, 191.917, 111, S02, B22, 1
B22, Trade, 204.783, 159, B22, S04, 1
B22, Trade, 217.800, 157, B22, S00, 1
B22, Trade, 275.567, 150, B22, S01, 1
B23, 11
B23, Trade, 8.750, 148, B23, S01, 1
B23, Trade, 11.500, 142, B23, S04, 1
B23, Trade, 31.683, 157, B23, S02, 1
B23, Trade, 50.950, 163, B23, S02, 1
B23, Trade, 70.383, 160, B23, S04, 1
B23, Trade, 80.467, 124, B23, S01, 1
B23, Trade, 82.800, 151, B23, S01, 1
B23, Trade, 191.550, 119, S00, B23, 1
B23, Trade, 205.450, 153, B23, S08, 1
B23, Trade, 213.550, 150, B23, S01, 1
B23, Trade, 241.967, 141, B23, S02, 1
B24, 21
B24, Trade, 11.433, 145, B24, S03, 1
B24, Trade, 15.683, 160, B24, S02, 1
B24, Trade, 20.633, 129, B24, S02, 1
B24, Trade, 25.733, 162, S02, B24, 1
B24, Trade, 41.950, 168, S08, B24, 1
B24, Trade, 63.817, 166, B24, S18, 1
B24, Trade, 87.033, 146, B24, S08, 1
B24, Trade, 93.467, 145, B24, S08, 1
B24, Trade, 117.233, 158, B24, S08, 1
B24, Trade, 135.267, 164, B24, S00, 1
B24, Trade, 147.967, 155, S12, B24, 1
B24, Trade, 159.400, 148, B24, S04, 1
B24, Trade, 162.700, 154, S04, B24, 1
B24, Trade, 173.017, 154, S09, B24, 1
B24, Trade, 190.000, 144, S08, B24, 1
B24, Trade, 229.650, 162, B24, S04, 1
B24, Trade, 233.383, 169, B24, S00, 1
B24, Trade, 252.167, 146, B24, S02, 1
B24, Trade, 256.500, 154, S02, B24, 1
B24, Trade, 276.717, 161, B24, S14, 1
B24, Trade, 290.133, 163, B24, S12, 1
B25, 23
B25, Trade, 19.983, 140, B25, S03, 1
B25, Trade, 20.500, 145, B25, S04, 1
B25, Trade, 58.083, 161, S09, B25, 1
B25, Trade, 77.550, 144, S12, B25, 1
B25, Trade, 86.700, 160, S13, B25, 1
B25, Trade, 98.650, 175, S09, B25, 1
B25, Trade, 103.433, 148, B25, S00, 1
B25, Trade, 107.067, 156, B25, S02, 1
B25, Trade, 121.600, 168, B25, S00, 1
B25, Trade, 135.933, 107, S02, B25, 1
B25, Trade, 142.583, 154, B25, S02, 1
B25, Trade, 148.783, 171, S06, B25, 1
B25, Trade, 159.067, 170, S09, B25, 1
B25, Trade, 167.083, 173, S04, B25, 1
B25, Trade, 181.400, 175, S21, B25, 1
B25, Trade, 186.850, 143, B25, S05, 1
B25, Trade, 217.000, 166, S15, B25, 1
B25, Trade, 242.650, 152, B25, S08, 1
B25, Trade, 267.967, 145, B25, S04, 1
B25, Trade, 276.100, 161, B25, S04, 1
B25, Trade, 276.733, 153, B25, S02, 1
B25, Trade, 283.900, 169, B25, S01, 1
B25, Trade, 294.017, 176, S22, B25, 1
B26, 19
B26, Trade, 16.817, 174, S21, B26, 1
B26, Trade, 21.567, 166, B26, S06, 1
B26, Trade, 55.100, 142, B26, S04, 1
B26, Trade, 57.700, 158, B26, S08, 1
B26, Trade, 74.267, 163, S13, B26, 1
B26, Trade, 77.267, 142, B26, S03, 1
B26, Trade, 88.600, 148, S09, B26, 1
B26, Trade, 111.017, 156, B26, S04, 1
B26, Trade, 129.983, 151, B26, S13, 1
B26, Trade, 150.600, 173, S21, B26, 1
B26, Trade, 153.817, 141, B26, S02, 1
B26, Trade, 156.783, 160, B26, S06, 1
B26, Trade, 176.483, 149, B26, S02, 1
B26, Trade, 212.533, 152, B26, S00, 1
B26, Trade, 223.150, 164, B26, S01, 1
B26, Trade, 245.483, 175, S22, B26, 1
B26, Trade, 249.300, 140, S05, B26, 1
B26, Trade, 269.333, 159, B26, S00, 1
B26, Trade, 277.583, 141, B26, S01, 1
B27, 48
B27, Trade, 9.183, 161, B27, S03, 1
B27, Trade, 12.350, 173, S12, B27, 1
B27, Trade, 15.750, 153, B27, S05, 1
B27, Trade, 21.300, 169, S09, B27, 1
B27, Trade, 25.933, 164, S03, B27, 1
B27, Trade, 31.950, 159, S05, B27, 1
B27, Trade, 38.467, 155, S09, B27, 1
B27, Trade, 45.733, 180, S22, B27, 1
B27, Trade, 50.700, 177, B27, S22, 1
B27, Trade, 55.817, 190, B27, S22, 1
B27, Trade, 61.000, 171, B27, S04, 1
B27, Trade, 67.500, 165, S09, B27, 1
B27, Trade, 70.533, 174, S00, B27, 1
B27, Trade, 77.867, 178, S21, B27, 1
B27, Trade, 86.183, 150, B27, S02, 1
