B00, 0
B01, 0
B02, 0
B03, 0
B04, 2
B04, Trade, 216.500, 113, S02, B04, 1
B04, Trade, 241.250, 108, B04, S02, 1
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 1
B11, Trade, 251.633, 126, B11, S01, 1
B12, 4
B12, Trade, 209.000, 141, B12, S01, 1
B12, Trade, 276.633, 135, B12, S02, 1
B12, Trade, 283.317, 139, B12, S06, 1
B12, Trade, 289.717, 140, B12, S03, 1
B13, 16
B13, Trade, 23.367, 143, B13, S01, 1
B13, Trade, 38.617, 143, B13, S01, 1
B13, Trade, 51.467, 144, B13, S02, 1
B13, Trade, 78.583, 142, B13, S07, 1
B13, Trade, 135.867, 124, B13, S02, 1
B13, Trade, 160.983, 132, B13, S02, 1
B13, Trade, 179.917, 144, B13, S05, 1
B13, Trade, 211.917, 128, S06, B13, 1
B13, Trade, 221.000, 135, B13, S05, 1
B13, Trade, 232.417, 144, B13, S03, 1
B13, Trade, 248.783, 138, B13, S05, 1
B13, Trade, 255.333, 135, B13, S03, 1
B13, Trade, 267.183, 120, S02, B13, 1
B13, Trade, 278.500, 142, B13, S05, 1
B13, Trade, 291.767, 137, B13, S02, 1
B13, Trade, 296.767, 137, B13, S02, 1
B14, 2
B14, Trade, 183.100, 144, B14, S02, 1
B14, Trade, 209.683, 138, B14, S00, 1
B15, 0
B16, 33
B16, Trade, 6.683, 127, B16, S03, 1
B16, Trade, 12.883, 153, B16, S00, 1
B16, Trade, 22.567, 155, B16, S02, 1
B16, Trade, 27.817, 137, B16, S03, 1
B16, Trade, 33.167, 147, B16, S03, 1
B16, Trade, 66.333, 121, B16, S02, 1
B16, Trade, 74.133, 154, B16, S00, 1
B16, Trade, 77.083, 151, B16, S02, 1
B16, Trade, 83.783, 151, S10, B16, 1
B16, Trade, 107.617, 152, B16, S06, 1
B16, Trade, 115.567, 146, B16, S03, 1
B16, Trade, 125.633, 154, B16, S06, 1
B16, Trade, 126.733, 150, B16, S02, 1
B16, Trade, 132.417, 153, B16, S02, 1
B16, Trade, 145.583, 148, B16, S10, 1
B16, Trade, 159.200, 155, B16, S05, 1
B16, Trade, 164.017, 148, B16, S10, 1
B16, Trade, 171.017, 153, B16, S02, 1
B16, Trade, 178.550, 155, B16, S00, 1
B16, Trade, 182.300, 151, S12, B16, 1
B16, Trade, 186.517, 155, B16, S10, 1
B16, Trade, 193.467, 155, B16, S01, 1
B16, Trade, 197.367, 154, B16, S10, 1
B16, Trade, 208.117, 144, B16, S04, 1
B16, Trade, 217.317, 154, B16, S12, 1
B16, Trade, 226.667, 153, S10, B16, 1
B16, Trade, 241.517, 143, S10, B16, 1
B16, Trade, 246.333, 149, B16, S02, 1
B16, Trade, 257.517, 147, B16, S12, 1
B16, Trade, 266.467, 148, B16, S05, 1
B16, Trade, 278.167, 145, B16, S12, 1
B16, Trade, 283.100, 148, B16, S00, 1
B16, Trade, 298.383, 148, B16, S01, 1
B17, 49
B17, Trade, 5.517, 157, B17, S01, 1
B17, Trade, 11.583, 152, B17, S09, 1
B17, Trade, 15.650, 153, S12, B17, 1
B17, Trade, 21.633, 157, B17, S03, 1
B17, Trade, 25.717, 153, S07, B17, 1
B17, Trade, 31.967, 157, B17, S06, 1
B17, Trade, 38.233, 156, B17, S09, 1
B17, Trade, 40.417, 155, S12, B17, 1
B17, Trade, 46.417, 155, B17, S03, 1
B17, Trade, 50.783, 112, S03, B17, 1
B17, Trade, 62.083, 156, B17, S03, 1
B17, Trade, 66.033, 151, S06, B17, 1
B17, Trade, 77.250, 154, B17, S03, 1
B17, Trade, 80.633, 151, B17, S00, 1
B17, Trade, 87.683, 156, B17, S04, 1
B17, Trade, 91.167, 154, B17, S02, 1
B17, Trade, 100.050, 157, B17, S00, 1
B17, Trade, 104.617, 156, B17, S03, 1
B17, Trade, 108.450, 157, B17, S04, 1
B17, Trade, 112.617, 157, B17, S12, 1
B17, Trade, 116.233, 157, B17, S01, 1
B17, Trade, 126.133, 158, B17, S12, 1
B17, Trade, 131.200, 156, B17, S05, 1
B17, Trade, 138.483, 158, B17, S11, 1
B17, Trade, 141.600, 153, B17, S02, 1
B17, Trade, 146.667, 157, B17, S06, 1
B17, Trade, 154.483, 158, B17, S12, 1
B17, Trade, 158.300, 158, B17, S15, 1
B17, Trade, 168.350, 158, B17, S12, 1
B17, Trade, 173.883, 153, B17, S12, 1
B17, Trade, 190.750, 157, B17, S06, 1
B17, Trade, 191.150, 156, B17, S06, 1
B17, Trade, 196.400, 152, B17, S03, 1
B17, Trade, 203.967, 158, B17, S06, 1
B17, Trade, 207.100, 155, B17, S12, 1
B17, Trade, 211.483, 156, B17, S12, 1
B17, Trade, 217.667, 157, B17, S06, 1
B17, Trade, 222.417, 157, B17, S02, 1
B17, Trade, 229.083, 157, B17, S06, 1
B17, Trade, 232.133, 154, S06, B17, 1
B17, Trade, 236.917, 158, B17, S00, 1
B17, Trade, 241.217, 156, B17, S12, 1
B17, Trade, 254.833, 148, B17, S00, 1
B17, Trade, 261.333, 155, B17, S03, 1
B17, Trade, 268.683, 156, B17, S07, 1
B17, Trade, 274.733, 151, B17, S05, 1
B17, Trade, 281.583, 125, S01, B17, 1
B17, Trade, 287.450, 157, B17, S10, 1
B17, Trade, 297.517, 145, B17, S00, 1
B18, 12
B18, Trade, 15.167, 157, S15, B18, 1
B18, Trade, 34.350, 162, B18, S05, 1
B18, Trade, 69.717, 147, B18, S01, 1
B18, Trade, 86.533, 142, B18, S06, 1
B18, Trade, 151.500, 132, B18, S06, 1
B18, Trade, 156.417, 158, B18, S02, 1
B18, Trade, 163.100, 162, B18, S04, 1
B18, Trade, 196.350, 160, B18, S07, 1
B18, Trade, 206.700, 156, B18, S06, 1
B18, Trade, 213.367, 161, B18, S03, 1
B18, Trade, 232.783, 157, B18, S02, 1
B18, Trade, 254.717, 153, B18, S10, 1
B19, 13
B19, Trade, 22.133, 164, B19, S10, 1
B19, Trade, 32.433, 164, B19, S10, 1
B19, Trade, 52.017, 151, S06, B19, 1
B19, Trade, 60.917, 162, B19, S12, 1
B19, Trade, 121.233, 133, B19, S02, 1
B19, Trade, 126.233, 155, B19, S03, 1
B19, Trade, 141.233, 161, B19, S03, 1
B19, Trade, 179.383, 154, B19, S06, 1
B19, Trade, 200.267, 147, B19, S06, 1
B19, Trade, 210.817, 135, B19, S02, 1
B19, Trade, 211.533, 148, B19, S02, 1
B19, Trade, 280.083, 165, B19, S15, 1
B19, Trade, 289.067, 149, B19, S00, 1
B20, 19
B20, Trade, 12.433, 164, B20, S06, 1
B20, Trade, 26.783, 156, B20, S05, 1
B20, Trade, 32.800, 155, B20, S00, 1
B20, Trade, 36.300, 167, B20, S02, 1
B20, Trade, 55.950, 159, B20, S12, 1
B20, Trade, 74.833, 155, S15, B20, 1
B20, Trade, 81.300, 163, B20, S05, 1
B20, Trade, 91.517, 163, B20, S07, 1
B20, Trade, 116.783, 167, B20, S02, 1
B20, Trade, 140.550, 155, B20, S00, 1
B20, Trade, 154.917, 156, B20, S05, 1
B20, Trade, 157.067, 168, B20, S12, 1
B20, Trade, 167.783, 166, B20, S02, 1
B20, Trade, 173.900, 135, B20, S01, 1
B20, Trade, 181.117, 134, S10, B20, 1
B20, Trade, 236.467, 110, S02, B20, 1
B20, Trade, 256.883, 161, B20, S06, 1
B20, Trade, 262.250, 138, B20, S02, 1
B20, Trade, 270.500, 162, S11, B20, 1
B21, 14
B21, Trade, 7.200, 161, S06, B21, 1
B21, Trade, 30.750, 150, S12, B21, 1
B21, Trade, 49.850, 162, B21, S10, 1
