B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 1
B08, Trade, 111.217, 122, S05, B08, 1
B09, 0
B10, 0
B11, 0
B12, 2
B12, Trade, 29.000, 137, B12, S00, 1
B12, Trade, 196.267, 120, S04, B12, 1
B13, 0
B14, 10
B14, Trade, 8.867, 148, B14, S07, 1
B14, Trade, 12.900, 148, B14, S08, 1
B14, Trade, 49.317, 137, S09, B14, 1
B14, Trade, 76.267, 142, B14, S01, 1
B14, Trade, 85.800, 128, B14, S07, 1
B14, Trade, 110.967, 143, B14, S01, 1
B14, Trade, 178.600, 141, B14, S10, 1
B14, Trade, 242.250, 147, B14, S01, 1
B14, Trade, 269.567, 144, B14, S01, 1
B14, Trade, 281.683, 129, B14, S05, 1
B15, 4
B15, Trade, 107.983, 147, B15, S01, 1
B15, Trade, 129.950, 148, B15, S04, 1
B15, Trade, 271.117, 141, S00, B15, 1
B15, Trade, 271.750, 125, S01, B15, 1
B16, 15
B16, Trade, 7.233, 152, B16, S09, 1
B16, Trade, 18.983, 147, B16, S10, 1
B16, Trade, 37.467, 154, B16, S10, 1
B16, Trade, 55.883, 152, B16, S01, 1
B16, Trade, 72.050, 152, B16, S07, 1
B16, Trade, 93.283, 153, B16, S02, 1
B16, Trade, 130.383, 141, B16, S07, 1
B16, Trade, 147.100, 149, B16, S01, 1
B16, Trade, 171.250, 122, S01, B16, 1
B16, Trade, 188.250, 154, B16, S11, 1
B16, Trade, 193.967, 141, B16, S07, 1
B16, Trade, 211.950, 151, B16, S10, 1
B16, Trade, 221.567, 140, B16, S09, 1
B16, Trade, 271.800, 130, S07, B16, 1
B16, Trade, 293.933, 149, B16, S07, 1
B17, 20
B17, Trade, 14.200, 149, B17, S06, 1
B17, Trade, 21.200, 153, S09, B17, 1
B17, Trade, 79.433, 150, S04, B17, 1
B17, Trade, 89.433, 144, S13, B17, 1
B17, Trade, 103.317, 153, B17, S01, 1
