B00, 0
B01, 0
B02, 0
B03, 1
B03, Trade, 246.417, 104, S00, B03, 1
B04, 0
B05, 1
B05, Trade, 160.983, 102, S00, B05, 1
B06, 0
B07, 4
B07, Trade, 5.133, 118, B07, S01, 1
B07, Trade, 157.650, 124, B07, S00, 1
B07, Trade, 182.933, 123, B07, S00, 1
B07, Trade, 298.350, 119, B07, S00, 1
B08, 0
B09, 0
B10, 2
B10, Trade, 10.350, 110, B10, S02, 1
B10, Trade, 260.267, 131, B10, S08, 1
B11, 1
B11, Trade, 50.567, 122, B11, S00, 1
B12, 1
B12, Trade, 157.200, 119, B12, S01, 1
B13, 0
B14, 20
B14, Trade, 22.233, 138, B14, S01, 1
B14, Trade, 38.033, 138, B14, S04, 1
B14, Trade, 41.817, 130, B14, S02, 1
B14, Trade, 46.217, 138, B14, S00, 1
B14, Trade, 60.067, 139, B14, S06, 1
B14, Trade, 80.067, 138, B14, S02, 1
B14, Trade, 81.800, 118, B14, S00, 1
B14, Trade, 101.950, 127, B14, S00, 1
B14, Trade, 106.800, 138, B14, S04, 1
B14, Trade, 113.933, 139, B14, S05, 1
B14, Trade, 122.833, 138, B14, S09, 1
B14, Trade, 126.233, 138, B14, S08, 1
B14, Trade, 152.483, 138, B14, S02, 1
B14, Trade, 159.767, 138, B14, S05, 1
B14, Trade, 173.500, 138, B14, S06, 1
B14, Trade, 178.617, 138, B14, S01, 1
B14, Trade, 218.017, 133, B14, S01, 1
B14, Trade, 224.783, 132, B14, S06, 1
B14, Trade, 234.483, 138, B14, S05, 1
B14, Trade, 292.367, 133, B14, S04, 1
B15, 4
B15, Trade, 56.633, 140, B15, S01, 1
B15, Trade, 122.500, 140, B15, S02, 1
B15, Trade, 197.117, 141, B15, S05, 1
B15, Trade, 288.133, 123, B15, S00, 1
B16, 6
B16, Trade, 72.467, 132, S00, B16, 1
B16, Trade, 81.050, 151, B16, S02, 1
B16, Trade, 155.800, 140, B16, S07, 1
B16, Trade, 181.217, 132, S08, B16, 1
B16, Trade, 255.267, 147, B16, S02, 1
B16, Trade, 282.333, 141, B16, S00, 1
B17, 36
B17, Trade, 7.533, 145, B17, S09, 1
B17, Trade, 11.750, 129, S07, B17, 1
B17, Trade, 17.483, 150, B17, S00, 1
B17, Trade, 22.683, 150, B17, S00, 1
B17, Trade, 27.033, 142, B17, S05, 1
B17, Trade, 31.017, 156, B17, S06, 1
B17, Trade, 54.383, 139, B17, S06, 1
B17, Trade, 67.650, 155, B17, S09, 1
B17, Trade, 73.517, 152, B17, S03, 1
B17, Trade, 86.917, 147, S12, B17, 1
B17, Trade, 97.817, 158, B17, S09, 1
B17, Trade, 101.867, 147, B17, S08, 1
B17, Trade, 106.900, 151, B17, S00, 1
B17, Trade, 111.050, 155, B17, S08, 1
B17, Trade, 123.900, 155, B17, S01, 1
B17, Trade, 133.900, 155, B17, S06, 1
B17, Trade, 143.750, 139, S08, B17, 1
B17, Trade, 153.617, 148, B17, S06, 1
B17, Trade, 164.550, 158, B17, S09, 1
B17, Trade, 166.400, 144, B17, S02, 1
B17, Trade, 175.533, 154, B17, S07, 1
B17, Trade, 179.667, 134, B17, S09, 1
B17, Trade, 187.167, 149, B17, S02, 1
B17, Trade, 197.800, 146, B17, S02, 1
B17, Trade, 202.050, 135, B17, S05, 1
B17, Trade, 206.167, 138, B17, S00, 1
B17, Trade, 212.033, 120, S01, B17, 1
B17, Trade, 219.517, 135, B17, S06, 1
B17, Trade, 222.117, 148, B17, S02, 1
B17, Trade, 230.900, 139, S02, B17, 1
B17, Trade, 232.017, 128, B17, S01, 1
B17, Trade, 248.083, 157, B17, S01, 1
B17, Trade, 255.050, 157, B17, S04, 1
B17, Trade, 260.967, 153, B17, S07, 1
B17, Trade, 267.733, 146, S08, B17, 1
B17, Trade, 283.233, 138, B17, S01, 1
B18, 2
B18, Trade, 43.200, 148, S08, B18, 1
B18, Trade, 296.167, 134, S03, B18, 1
B19, 14
B19, Trade, 16.267, 160, B19, S02, 1
B19, Trade, 31.233, 154, B19, S04, 1
B19, Trade, 40.350, 161, B19, S04, 1
B19, Trade, 45.600, 158, B19, S05, 1
B19, Trade, 87.017, 142, B19, S04, 1
B19, Trade, 101.700, 135, B19, S02, 1
B19, Trade, 121.117, 144, S08, B19, 1
B19, Trade, 148.067, 150, B19, S05, 1
B19, Trade, 153.733, 136, S05, B19, 1
B19, Trade, 160.817, 156, S12, B19, 1
B19, Trade, 191.817, 140, B19, S08, 1
B19, Trade, 217.800, 140, B19, S05, 1
B19, Trade, 227.583, 132, S01, B19, 1
B19, Trade, 254.883, 162, B19, S07, 1
B20, 49
B20, Trade, 7.100, 152, S12, B20, 1
B20, Trade, 14.200, 143, S03, B20, 1
B20, Trade, 16.950, 145, B20, S09, 1
B20, Trade, 25.867, 137, S02, B20, 1
B20, Trade, 33.250, 164, B20, S02, 1
B20, Trade, 36.017, 155, S12, B20, 1
B20, Trade, 41.717, 146, B20, S06, 1
B20, Trade, 52.817, 157, S12, B20, 1
B20, Trade, 59.300, 150, B20, S05, 1
B20, Trade, 61.250, 151, B20, S06, 1
B20, Trade, 71.333, 142, S06, B20, 1
B20, Trade, 76.267, 137, S08, B20, 1
B20, Trade, 86.733, 146, S02, B20, 1
B20, Trade, 94.150, 152, B20, S08, 1
B20, Trade, 102.500, 155, B20, S01, 1
B20, Trade, 105.833, 144, S07, B20, 1
B20, Trade, 117.917, 149, B20, S00, 1
B20, Trade, 122.050, 142, B20, S06, 1
B20, Trade, 125.833, 146, S02, B20, 1
B20, Trade, 134.733, 148, B20, S04, 1
B20, Trade, 138.167, 165, B20, S01, 1
B20, Trade, 142.167, 147, S02, B20, 1
B20, Trade, 150.100, 152, S01, B20, 1
B20, Trade, 151.450, 165, B20, S00, 1
B20, Trade, 156.683, 163, B20, S04, 1
B20, Trade, 162.950, 160, B20, S08, 1
B20, Trade, 167.533, 150, B20, S08, 1
B20, Trade, 173.383, 138, B20, S05, 1
B20, Trade, 177.333, 168, B20, S05, 1
B20, Trade, 194.800, 168, B20, S04, 1
B20, Trade, 199.267, 154, B20, S01, 1
B20, Trade, 202.550, 150, B20, S00, 1
B20, Trade, 211.250, 144, S04, B20, 1
B20, Trade, 217.250, 147, S02, B20, 1
B20, Trade, 223.450, 165, B20, S11, 1
B20, Trade, 229.783, 141, S09, B20, 1
B20, Trade, 233.400, 165, B20, S15, 1
B20, Trade, 240.433, 158, B20, S01, 1
B20, Trade, 242.783, 164, S15, B20, 1
B20, Trade, 251.050, 155, B20, S12, 1
B20, Trade, 253.700, 162, B20, S00, 1
B20, Trade, 260.000, 156, B20, S06, 1
B20, Trade, 266.517, 159, B20, S04, 1
B20, Trade, 272.483, 162, B20, S00, 1
B20, Trade, 277.567, 147, B20, S00, 1
B20, Trade, 283.917, 156, S06, B20, 1
B20, Trade, 290.067, 166, B20, S01, 1
B20, Trade, 291.700, 142, B20, S00, 1
B20, Trade, 297.967, 165, B20, S08, 1
B21, 15
B21, Trade, 18.667, 140, S04, B21, 1
B21, Trade, 60.617, 163, B21, S00, 1
B21, Trade, 76.417, 137, B21, S00, 1
B21, Trade, 106.617, 153, B21, S05, 1
B21, Trade, 138.183, 154, B21, S12, 1
B21, Trade, 148.867, 139, B21, S00, 1
B21, Trade, 160.283, 145, S02, B21, 1
B21, Trade, 173.467, 146, S12, B21, 1
B21, Trade, 191.317, 110, S00, B21, 1
B21, Trade, 212.850, 130, S08, B21, 1
B21, Trade, 238.200, 158, B21, S15, 1
B21, Trade, 266.967, 127, B21, S02, 1
B21, Trade, 282.400, 140, B21, S09, 1
B21, Trade, 294.100, 155, S02, B21, 1
B21, Trade, 297.300, 153, B21, S01, 1
B22, 56
B22, Trade, 5.483, 156, B22, S02, 1
B22, Trade, 10.833, 153, S15, B22, 1
B22, Trade, 15.383, 159, B22, S08, 1
B22, Trade, 21.817, 162, B22, S12, 1
B22, Trade, 29.017, 149, S06, B22, 1
B22, Trade, 30.883, 170, B22, S13, 1
B22, Trade, 35.517, 172, B22, S00, 1
B22, Trade, 40.283, 169, B22, S05, 1
B22, Trade, 47.250, 147, S07, B22, 1
B22, Trade, 50.650, 118, S01, B22, 1
B22, Trade, 56.467, 165, S12, B22, 1
B22, Trade, 62.000, 168, B22, S12, 1
