B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 1
B07, Trade, 226.367, 114, S00, B07, 1
B08, 1
B08, Trade, 235.350, 124, B08, S00, 1
B09, 0
B10, 0
B11, 3
B11, Trade, 134.033, 130, B11, S05, 1
B11, Trade, 236.433, 136, B11, S04, 1
B11, Trade, 247.017, 134, B11, S08, 1
B12, 2
B12, Trade, 5.983, 113, S04, B12, 1
B12, Trade, 57.167, 135, B12, S05, 1
B13, 3
B13, Trade, 20.733, 122, S04, B13, 1
B13, Trade, 192.500, 132, B13, S03, 1
B13, Trade, 198.350, 136, B13, S07, 1
B14, 11
B14, Trade, 18.017, 144, B14, S03, 1
B14, Trade, 48.500, 145, B14, S03, 1
B14, Trade, 60.783, 128, S06, B14, 1
B14, Trade, 97.533, 132, B14, S00, 1
B14, Trade, 111.217, 140, B14, S11, 1
B14, Trade, 126.083, 130, B14, S02, 1
B14, Trade, 147.383, 138, B14, S09, 1
B14, Trade, 153.017, 134, S05, B14, 1
B14, Trade, 184.450, 143, B14, S03, 1
B14, Trade, 255.317, 136, B14, S06, 1
B14, Trade, 265.900, 135, B14, S04, 1
B15, 4
B15, Trade, 13.250, 143, B15, S09, 1
B15, Trade, 190.467, 143, B15, S07, 1
B15, Trade, 225.917, 137, S02, B15, 1
B15, Trade, 281.633, 127, S02, B15, 1
B16, 36
B16, Trade, 5.283, 124, S07, B16, 1
B16, Trade, 12.083, 140, S03, B16, 1
B16, Trade, 16.467, 144, B16, S00, 1
B16, Trade, 23.600, 152, B16, S00, 1
B16, Trade, 27.033, 152, B16, S04, 1
B16, Trade, 33.250, 126, B16, S04, 1
B16, Trade, 36.517, 128, S07, B16, 1
B16, Trade, 42.533, 154, B16, S11, 1
B16, Trade, 47.333, 153, B16, S01, 1
B16, Trade, 54.083, 151, B16, S02, 1
B16, Trade, 60.850, 132, S02, B16, 1
B16, Trade, 69.550, 153, B16, S03, 1
B16, Trade, 72.117, 150, B16, S05, 1
B16, Trade, 82.450, 152, S15, B16, 1
B16, Trade, 88.000, 150, B16, S07, 1
B16, Trade, 109.933, 139, S11, B16, 1
B16, Trade, 119.567, 137, S11, B16, 1
B16, Trade, 127.667, 148, B16, S00, 1
B16, Trade, 132.067, 143, B16, S07, 1
B16, Trade, 139.017, 155, B16, S04, 1
B16, Trade, 151.933, 146, B16, S11, 1
B16, Trade, 157.250, 141, B16, S11, 1
B16, Trade, 164.067, 153, B16, S09, 1
B16, Trade, 168.817, 151, B16, S00, 1
B16, Trade, 176.917, 138, B16, S07, 1
B16, Trade, 188.200, 152, B16, S09, 1
B16, Trade, 193.200, 139, S01, B16, 1
B16, Trade, 205.333, 139, B16, S06, 1
B16, Trade, 216.733, 140, B16, S07, 1
B16, Trade, 236.250, 138, S11, B16, 1
B16, Trade, 244.583, 148, S02, B16, 1
B16, Trade, 255.133, 154, B16, S05, 1
B16, Trade, 259.150, 149, B16, S05, 1
B16, Trade, 262.317, 154, B16, S03, 1
B16, Trade, 269.883, 141, B16, S03, 1
B16, Trade, 280.400, 139, B16, S05, 1
B17, 9
B17, Trade, 5.683, 122, S06, B17, 1
B17, Trade, 57.033, 146, B17, S00, 1
B17, Trade, 90.950, 129, B17, S07, 1
B17, Trade, 106.867, 145, B17, S00, 1
B17, Trade, 149.167, 141, B17, S00, 1
B17, Trade, 201.367, 150, B17, S07, 1
B17, Trade, 221.817, 142, B17, S05, 1
B17, Trade, 277.017, 146, B17, S11, 1
B17, Trade, 285.750, 127, B17, S00, 1
B18, 6
B18, Trade, 51.550, 142, B18, S05, 1
B18, Trade, 74.917, 134, B18, S02, 1
B18, Trade, 107.017, 141, B18, S04, 1
B18, Trade, 250.883, 152, B18, S05, 1
B18, Trade, 253.183, 144, B18, S01, 1
B18, Trade, 294.333, 148, B18, S07, 1
B19, 11
B19, Trade, 34.083, 139, B19, S08, 1
B19, Trade, 37.000, 137, S11, B19, 1
B19, Trade, 44.300, 156, B19, S15, 1
B19, Trade, 71.167, 143, B19, S06, 1
B19, Trade, 103.433, 162, B19, S02, 1
B19, Trade, 122.300, 131, B19, S05, 1
B19, Trade, 172.617, 151, B19, S11, 1
B19, Trade, 215.467, 159, B19, S00, 1
B19, Trade, 240.150, 144, B19, S07, 1
B19, Trade, 268.150, 137, S11, B19, 1
B19, Trade, 273.667, 147, B19, S06, 1
B20, 19
B20, Trade, 22.383, 149, S07, B20, 1
B20, Trade, 43.033, 137, B20, S07, 1
B20, Trade, 61.733, 134, S07, B20, 1
B20, Trade, 79.983, 155, S16, B20, 1
B20, Trade, 82.350, 145, B20, S04, 1
B20, Trade, 96.583, 149, S07, B20, 1
B20, Trade, 101.183, 149, S08, B20, 1
B20, Trade, 106.083, 137, S08, B20, 1
B20, Trade, 120.567, 138, S02, B20, 1
B20, Trade, 122.100, 158, B20, S07, 1
B20, Trade, 126.733, 130, S06, B20, 1
B20, Trade, 170.633, 150, B20, S06, 1
B20, Trade, 174.533, 153, S15, B20, 1
B20, Trade, 191.383, 144, B20, S07, 1
B20, Trade, 209.683, 149, B20, S08, 1
B20, Trade, 222.750, 139, S00, B20, 1
B20, Trade, 241.533, 126, B20, S04, 1
B20, Trade, 278.850, 146, B20, S08, 1
B20, Trade, 296.950, 152, B20, S11, 1
B21, 53
B21, Trade, 7.283, 134, S09, B21, 1
B21, Trade, 11.717, 161, S00, B21, 1
B21, Trade, 18.150, 134, B21, S05, 1
B21, Trade, 22.117, 149, S01, B21, 1
B21, Trade, 25.600, 148, S09, B21, 1
B21, Trade, 33.400, 142, S09, B21, 1
B21, Trade, 35.783, 151, S06, B21, 1
B21, Trade, 40.800, 139, B21, S05, 1
B21, Trade, 45.517, 133, B21, S00, 1
B21, Trade, 50.733, 156, B21, S00, 1
B21, Trade, 55.583, 133, S09, B21, 1
B21, Trade, 65.150, 165, S03, B21, 1
B21, Trade, 66.000, 171, B21, S01, 1
B21, Trade, 74.000, 171, B21, S17, 1
B21, Trade, 80.400, 171, B21, S09, 1
B21, Trade, 80.817, 144, B21, S11, 1
B21, Trade, 87.583, 147, B21, S11, 1
B21, Trade, 93.000, 161, B21, S00, 1
B21, Trade, 103.867, 156, S01, B21, 1
B21, Trade, 105.983, 129, S06, B21, 1
B21, Trade, 112.017, 152, S07, B21, 1
B21, Trade, 116.533, 146, B21, S04, 1
B21, Trade, 128.333, 170, S10, B21, 1
B21, Trade, 132.183, 131, B21, S00, 1
B21, Trade, 136.750, 171, B21, S01, 1
B21, Trade, 141.517, 158, B21, S09, 1
B21, Trade, 146.317, 131, B21, S07, 1
B21, Trade, 152.650, 155, B21, S09, 1
B21, Trade, 158.033, 171, B21, S07, 1
B21, Trade, 162.900, 167, B21, S07, 1
B21, Trade, 168.167, 152, B21, S11, 1
B21, Trade, 171.300, 157, S05, B21, 1
B21, Trade, 179.017, 162, B21, S02, 1
B21, Trade, 181.583, 139, S11, B21, 1
B21, Trade, 186.867, 157, B21, S14, 1
B21, Trade, 195.617, 141, S11, B21, 1
B21, Trade, 199.317, 153, S15, B21, 1
B21, Trade, 202.867, 164, B21, S03, 1
B21, Trade, 206.500, 154, B21, S07, 1
B21, Trade, 211.100, 156, S08, B21, 1
B21, Trade, 224.000, 148, S04, B21, 1
B21, Trade, 229.167, 145, B21, S05, 1
B21, Trade, 242.350, 168, B21, S03, 1
B21, Trade, 249.517, 162, B21, S16, 1
B21, Trade, 254.350, 152, S10, B21, 1
B21, Trade, 257.533, 161, S13, B21, 1
B21, Trade, 264.267, 155, B21, S05, 1
B21, Trade, 268.217, 155, S10, B21, 1
B21, Trade, 271.483, 144, S09, B21, 1
B21, Trade, 279.967, 153, S15, B21, 1
B21, Trade, 283.833, 151, B21, S08, 1
B21, Trade, 290.417, 159, B21, S03, 1
B21, Trade, 294.067, 156, B21, S05, 1
B22, 19
B22, Trade, 20.767, 130, S05, B22, 1
B22, Trade, 38.367, 139, B22, S00, 1
B22, Trade, 52.783, 162, B22, S09, 1
B22, Trade, 55.717, 111, S02, B22, 1
B22, Trade, 73.517, 164, B22, S16, 1
B22, Trade, 81.933, 143, B22, S03, 1
B22, Trade, 111.267, 160, S06, B22, 1
B22, Trade, 136.167, 152, B22, S11, 1
B22, Trade, 147.500, 158, S17, B22, 1
B22, Trade, 179.150, 160, B22, S04, 1
B22, Trade, 184.567, 136, B22, S02, 1
B22, Trade, 210.417, 156, S16, B22, 1
B22, Trade, 211.650, 162, B22, S07, 1
B22, Trade, 219.050, 154, B22, S02, 1
B22, Trade, 252.800, 156, B22, S02, 1
B22, Trade, 258.367, 150, B22, S03, 1
B22, Trade, 272.350, 142, S07, B22, 1
B22, Trade, 284.800, 159, B22, S11, 1
B22, Trade, 287.767, 144, B22, S11, 1
B23, 59
B23, Trade, 7.350, 138, S11, B23, 1
B23, Trade, 11.500, 155, S11, B23, 1
B23, Trade, 15.667, 178, B23, S09, 1
B23, Trade, 20.350, 141, S11, B23, 1
B23, Trade, 25.167, 134, S00, B23, 1
B23, Trade, 33.700, 149, S07, B23, 1
B23, Trade, 39.217, 170, B23, S03, 1
B23, Trade, 40.733, 178, B23, S04, 1
B23, Trade, 46.350, 174, B23, S09, 1
B23, Trade, 50.583, 178, B23, S07, 1
B23, Trade, 56.283, 174, B23, S11, 1
B23, Trade, 60.917, 145, S05, B23, 1
B23, Trade, 67.600, 165, B23, S05, 1
B23, Trade, 70.750, 143, B23, S07, 1
B23, Trade, 76.733, 175, B23, S04, 1
B23, Trade, 83.550, 165, S18, B23, 1
B23, Trade, 85.800, 167, B23, S09, 1
B23, Trade, 91.450, 160, S17, B23, 1
B23, Trade, 96.017, 163, S15, B23, 1
B23, Trade, 101.467, 141, S07, B23, 1
B23, Trade, 106.483, 151, S10, B23, 1
B23, Trade, 113.833, 160, S05, B23, 1
B23, Trade, 116.017, 169, B23, S15, 1
B23, Trade, 121.317, 140, S11, B23, 1
B23, Trade, 126.950, 155, S09, B23, 1
B23, Trade, 131.583, 140, S11, B23, 1
B23, Trade, 136.850, 175, S07, B23, 1
B23, Trade, 142.033, 155, B23, S00, 1
B23, Trade, 146.050, 176, B23, S04, 1
B23, Trade, 151.617, 153, S04, B23, 1
B23, Trade, 156.217, 159, S17, B23, 1
B23, Trade, 161.650, 175, B23, S11, 1
B23, Trade, 166.550, 179, B23, S02, 1
B23, Trade, 171.133, 141, S02, B23, 1
B23, Trade, 178.500, 174, B23, S16, 1
B23, Trade, 182.050, 174, B23, S07, 1
B23, Trade, 186.717, 176, B23, S11, 1
B23, Trade, 191.183, 161, B23, S05, 1
B23, Trade, 196.300, 147, S05, B23, 1
B23, Trade, 202.233, 164, S17, B23, 1
B23, Trade, 206.367, 177, B23, S11, 1
B23, Trade, 213.017, 167, B23, S11, 1
B23, Trade, 218.833, 165, B23, S01, 1
B23, Trade, 221.267, 179, B23, S07, 1
B23, Trade, 226.633, 176, B23, S04, 1
B23, Trade, 232.183, 155, B23, S04, 1
B23, Trade, 237.000, 175, S10, B23, 1
B23, Trade, 243.350, 178, B23, S07, 1
B23, Trade, 246.550, 159, B23, S06, 1
B23, Trade, 252.300, 139, S11, B23, 1
B23, Trade, 256.967, 154, S04, B23, 1
B23, Trade, 262.667, 155, B23, S11, 1
B23, Trade, 267.050, 113, S04, B23, 1
B23, Trade, 272.517, 154, S04, B23, 1
B23, Trade, 276.917, 150, S00, B23, 1
B23, Trade, 281.717, 136, S04, B23, 1
B23, Trade, 287.533, 158, B23, S07, 1
B23, Trade, 292.000, 175, B23, S20, 1
B23, Trade, 299.233, 143, S05, B23, 1
B24, 25
B24, Trade, 7.717, 143, S12, B24, 1
B24, Trade, 14.200, 144, B24, S05, 1
B24, Trade, 19.933, 166, B24, S19, 1
B24, Trade, 24.917, 145, B24, S02, 1
B24, Trade, 54.933, 147, B24, S01, 1
B24, Trade, 59.733, 142, B24, S06, 1
B24, Trade, 79.633, 170, S05, B24, 1
B24, Trade, 83.400, 137, B24, S06, 1
B24, Trade, 89.400, 164, B24, S05, 1
B24, Trade, 97.150, 153, B24, S11, 1
B24, Trade, 103.917, 140, B24, S04, 1
B24, Trade, 123.867, 161, B24, S03, 1
B24, Trade, 170.533, 163, B24, S05, 1
B24, Trade, 180.500, 157, B24, S08, 1
B24, Trade, 183.900, 147, B24, S09, 1
B24, Trade, 194.067, 137, B24, S09, 1
B24, Trade, 202.933, 155, B24, S16, 1
B24, Trade, 212.917, 181, B24, S20, 1
B24, Trade, 217.517, 146, B24, S00, 1
B24, Trade, 231.933, 157, S07, B24, 1
B24, Trade, 245.817, 137, B24, S09, 1
B24, Trade, 254.300, 148, S08, B24, 1
B24, Trade, 282.233, 142, S05, B24, 1
B24, Trade, 287.800, 149, S02, B24, 1
B24, Trade, 293.750, 138, S11, B24, 1
B25, 53
B25, Trade, 5.850, 128, S01, B25, 1
B25, Trade, 10.933, 157, B25, S04, 1
B25, Trade, 18.350, 155, S16, B25, 1
B25, Trade, 25.950, 130, S07, B25, 1
B25, Trade, 31.533, 148, S10, B25, 1
B25, Trade, 35.417, 129, S05, B25, 1
B25, Trade, 41.500, 175, B25, S00, 1
B25, Trade, 46.333, 176, B25, S05, 1
B25, Trade, 57.350, 159, S16, B25, 1
B25, Trade, 62.133, 138, S11, B25, 1
B25, Trade, 65.467, 164, B25, S11, 1
B25, Trade, 72.233, 151, S11, B25, 1
B25, Trade, 77.583, 172, B25, S08, 1
B25, Trade, 80.650, 145, S07, B25, 1
B25, Trade, 87.550, 165, S00, B25, 1
B25, Trade, 91.217, 143, S11, B25, 1
B25, Trade, 98.083, 173, S05, B25, 1
B25, Trade, 101.300, 162, B25, S05, 1
B25, Trade, 109.333, 157, S09, B25, 1
B25, Trade, 111.067, 169, B25, S04, 1
B25, Trade, 118.183, 183, B25, S03, 1
B25, Trade, 124.583, 163, B25, S00, 1
B25, Trade, 126.483, 138, S07, B25, 1
B25, Trade, 131.750, 157, S16, B25, 1
B25, Trade, 137.100, 167, S17, B25, 1
B25, Trade, 142.667, 141, B25, S05, 1
B25, Trade, 148.950, 169, B25, S02, 1
B25, Trade, 151.000, 184, B25, S07, 1
B25, Trade, 158.417, 169, B25, S03, 1
B25, Trade, 161.683, 169, S05, B25, 1
B25, Trade, 166.450, 180, B25, S20, 1
B25, Trade, 178.550, 185, B25, S03, 1
B25, Trade, 181.967, 174, B25, S04, 1
B25, Trade, 190.283, 169, S04, B25, 1
B25, Trade, 191.583, 180, S10, B25, 1
B25, Trade, 198.283, 172, S20, B25, 1
B25, Trade, 201.233, 168, B25, S04, 1
B25, Trade, 207.483, 172, B25, S05, 1
B25, Trade, 217.000, 156, B25, S04, 1
B25, Trade, 222.117, 137, S11, B25, 1
B25, Trade, 226.933, 166, B25, S11, 1
B25, Trade, 232.800, 167, S16, B25, 1
B25, Trade, 239.200, 184, B25, S08, 1
B25, Trade, 241.500, 139, B25, S11, 1
B25, Trade, 254.033, 140, S09, B25, 1
B25, Trade, 262.183, 151, B25, S07, 1
B25, Trade, 270.683, 152, S06, B25, 1
B25, Trade, 274.583, 153, S01, B25, 1
B25, Trade, 277.417, 159, B25, S09, 1
B25, Trade, 284.433, 170, S19, B25, 1
B25, Trade, 288.483, 177, B25, S17, 1
B25, Trade, 293.850, 164, S09, B25, 1
B25, Trade, 298.650, 149, S07, B25, 1
B26, 42
B26, Trade, 12.567, 151, B26, S01, 1
B26, Trade, 16.217, 150, B26, S11, 1
B26, Trade, 25.767, 162, S17, B26, 1
B26, Trade, 37.533, 151, S09, B26, 1
B26, Trade, 43.500, 175, S20, B26, 1
B26, Trade, 47.400, 143, B26, S11, 1
B26, Trade, 51.250, 177, B26, S11, 1
B26, Trade, 57.850, 160, B26, S07, 1
B26, Trade, 62.900, 128, B26, S00, 1
B26, Trade, 65.583, 175, S02, B26, 1
B26, Trade, 72.867, 166, S10, B26, 1
B26, Trade, 76.033, 150, S07, B26, 1
B26, Trade, 83.150, 136, B26, S00, 1
B26, Trade, 86.683, 185, B26, S20, 1
B26, Trade, 91.950, 175, B26, S19, 1
B26, Trade, 97.083, 182, B26, S04, 1
B26, Trade, 100.883, 137, S11, B26, 1
B26, Trade, 108.067, 161, S03, B26, 1
B26, Trade, 112.117, 150, B26, S09, 1
B26, Trade, 116.500, 189, B26, S07, 1
B26, Trade, 129.350, 158, S17, B26, 1
B26, Trade, 139.933, 145, B26, S05, 1
B26, Trade, 153.950, 184, S10, B26, 1
B26, Trade, 156.150, 158, S09, B26, 1
B26, Trade, 162.217, 169, S20, B26, 1
B26, Trade, 167.400, 169, S04, B26, 1
B26, Trade, 176.717, 178, B26, S05, 1
B26, Trade, 195.350, 149, S00, B26, 1
B26, Trade, 197.217, 156, B26, S11, 1
B26, Trade, 205.667, 137, B26, S05, 1
B26, Trade, 208.683, 178, S20, B26, 1
B26, Trade, 213.633, 165, B26, S09, 1
B26, Trade, 216.267, 155, B26, S11, 1
B26, Trade, 221.667, 124, S06, B26, 1
B26, Trade, 232.550, 168, B26, S02, 1
B26, Trade, 236.367, 164, B26, S02, 1
B26, Trade, 242.133, 161, S17, B26, 1
B26, Trade, 248.100, 141, S11, B26, 1
B26, Trade, 254.667, 176, S20, B26, 1
B26, Trade, 263.317, 156, S09, B26, 1
B26, Trade, 277.733, 152, B26, S04, 1
B26, Trade, 285.800, 183, S16, B26, 1
B27, 20
B27, Trade, 15.683, 174, B27, S07, 1
B27, Trade, 31.400, 136, B27, S02, 1
B27, Trade, 45.483, 139, S07, B27, 1
B27, Trade, 74.567, 141, B27, S04, 1
B27, Trade, 97.450, 143, B27, S02, 1
B27, Trade, 115.600, 140, B27, S02, 1
B27, Trade, 118.233, 158, B27, S08, 1
B27, Trade, 146.817, 138, S11, B27, 1
B27, Trade, 164.700, 148, S04, B27, 1
B27, Trade, 190.017, 138, B27, S05, 1
B27, Trade, 192.300, 152, B27, S04, 1
B27, Trade, 197.600, 144, B27, S09, 1
B27, Trade, 217.717, 137, B27, S09, 1
B27, Trade, 228.883, 148, B27, S02, 1
B27, Trade, 238.033, 178, B27, S09, 1
B27, Trade, 243.517, 158, B27, S15, 1
B27, Trade, 251.833, 142, B27, S07, 1
B27, Trade, 257.567, 138, B27, S07, 1
B27, Trade, 273.617, 151, B27, S05, 1
B27, Trade, 281.850, 161, B27, S06, 1
B28, 58
B28, Trade, 5.050, 117, S00, B28, 1
B28, Trade, 10.733, 174, B28, S07, 1
B28, Trade, 16.650, 169, S20, B28, 1
B28, Trade, 22.517, 152, S09, B28, 1
B28, Trade, 25.500, 140, S11, B28, 1
B28, Trade, 32.250, 148, S11, B28, 1
B28, Trade, 35.267, 113, S04, B28, 1
B28, Trade, 40.917, 192, S03, B28, 1
B28, Trade, 46.167, 186, B28, S04, 1
B28, Trade, 50.550, 182, B28, S04, 1
B28, Trade, 55.417, 190, S03, B28, 1
B28, Trade, 60.667, 113, S04, B28, 1
B28, Trade, 65.850, 124, S07, B28, 1
