B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 1
B05, Trade, 211.083, 112, S00, B05, 1
B06, 0
B07, 0
B08, 0
B09, 1
B09, Trade, 118.217, 131, B09, S00, 1
B10, 0
B11, 0
B12, 0
B13, 6
B13, Trade, 5.483, 121, B13, S02, 1
B13, Trade, 48.683, 144, B13, S06, 1
B13, Trade, 107.033, 144, B13, S00, 1
B13, Trade, 136.100, 111, S00, B13, 1
B13, Trade, 273.300, 138, S08, B13, 1
B13, Trade, 295.283, 144, B13, S01, 1
B14, 0
B15, 2
B15, Trade, 74.383, 139, B15, S00, 1
B15, Trade, 247.717, 140, B15, S01, 1
B16, 18
B16, Trade, 13.283, 148, B16, S02, 1
B16, Trade, 39.917, 148, B16, S01, 1
B16, Trade, 46.650, 148, B16, S03, 1
B16, Trade, 57.517, 144, B16, S01, 1
B16, Trade, 73.883, 148, B16, S01, 1
B16, Trade, 79.950, 142, B16, S01, 1
B16, Trade, 83.500, 148, B16, S00, 1
B16, Trade, 104.600, 148, B16, S03, 1
B16, Trade, 108.933, 141, B16, S03, 1
B16, Trade, 117.250, 148, B16, S03, 1
B16, Trade, 124.367, 142, B16, S00, 1
B16, Trade, 129.617, 148, B16, S01, 1
B16, Trade, 148.433, 148, B16, S05, 1
B16, Trade, 173.550, 148, B16, S09, 1
B16, Trade, 223.000, 129, B16, S01, 1
B16, Trade, 242.250, 148, B16, S05, 1
B16, Trade, 272.583, 148, B16, S00, 1
B16, Trade, 287.550, 148, B16, S03, 1
B17, 14
B17, Trade, 7.950, 157, B17, S00, 1
B17, Trade, 28.367, 153, B17, S00, 1
B17, Trade, 61.300, 158, B17, S00, 1
B17, Trade, 92.850, 154, B17, S01, 1
B17, Trade, 105.200, 134, B17, S01, 1
B17, Trade, 135.117, 155, S01, B17, 1
B17, Trade, 156.633, 155, B17, S05, 1
B17, Trade, 161.750, 127, S06, B17, 1
B17, Trade, 171.350, 106, S00, B17, 1
B17, Trade, 194.317, 157, B17, S01, 1
B17, Trade, 196.717, 135, B17, S00, 1
B17, Trade, 215.417, 152, B17, S02, 1
B17, Trade, 232.967, 151, B17, S03, 1
B17, Trade, 246.450, 132, B17, S00, 1
B18, 6
B18, Trade, 18.517, 146, B18, S01, 1
B18, Trade, 21.567, 154, B18, S03, 1
