B00, 0
B01, 0
B02, 0
B03, 0
B04, 2
B04, Trade, 40.367, 108, B04, S00, 1
B04, Trade, 161.217, 110, B04, S01, 1
B05, 0
B06, 0
B07, 1
B07, Trade, 186.117, 119, B07, S05, 1
B08, 3
B08, Trade, 52.967, 122, B08, S00, 1
B08, Trade, 111.733, 125, B08, S00, 1
B08, Trade, 294.317, 125, B08, S02, 1
B09, 0
B10, 1
B10, Trade, 282.250, 127, B10, S01, 1
B11, 18
B11, Trade, 8.217, 129, B11, S00, 1
B11, Trade, 32.433, 122, S06, B11, 1
B11, Trade, 50.917, 136, B11, S02, 1
B11, Trade, 62.233, 131, B11, S00, 1
B11, Trade, 91.017, 111, S02, B11, 1
B11, Trade, 121.900, 136, B11, S00, 1
B11, Trade, 135.983, 129, S01, B11, 1
B11, Trade, 157.717, 135, B11, S03, 1
B11, Trade, 161.533, 136, B11, S03, 1
B11, Trade, 171.250, 129, S01, B11, 1
B11, Trade, 186.467, 133, B11, S01, 1
B11, Trade, 192.183, 131, B11, S00, 1
B11, Trade, 198.767, 137, B11, S06, 1
B11, Trade, 217.067, 128, B11, S01, 1
B11, Trade, 233.133, 129, B11, S02, 1
B11, Trade, 256.200, 137, B11, S05, 1
B11, Trade, 261.683, 131, S03, B11, 1
B11, Trade, 292.267, 127, B11, S01, 1
B12, 1
B12, Trade, 253.517, 133, B12, S00, 1
B13, 2
B13, Trade, 16.067, 136, B13, S03, 1
B13, Trade, 286.050, 124, B13, S05, 1
B14, 4
B14, Trade, 32.083, 133, S08, B14, 1
B14, Trade, 102.350, 141, B14, S01, 1
B14, Trade, 181.167, 144, B14, S02, 1
B14, Trade, 283.100, 143, B14, S02, 1
B15, 5
B15, Trade, 5.800, 146, B15, S02, 1
B15, Trade, 25.133, 104, S01, B15, 1
B15, Trade, 97.767, 145, B15, S00, 1
B15, Trade, 211.567, 134, B15, S00, 1
B15, Trade, 246.250, 138, S02, B15, 1
B16, 4
B16, Trade, 14.000, 141, B16, S03, 1
B16, Trade, 71.383, 134, B16, S02, 1
B16, Trade, 108.133, 144, B16, S01, 1
B16, Trade, 256.283, 117, B16, S01, 1
B17, 16
B17, Trade, 13.100, 142, S08, B17, 1
B17, Trade, 28.850, 154, B17, S05, 1
B17, Trade, 55.583, 137, S02, B17, 1
B17, Trade, 78.967, 149, B17, S06, 1
B17, Trade, 80.633, 125, S01, B17, 1
B17, Trade, 86.250, 120, S02, B17, 1
B17, Trade, 108.083, 151, B17, S05, 1
B17, Trade, 128.717, 150, B17, S06, 1
B17, Trade, 132.867, 152, B17, S00, 1
B17, Trade, 136.683, 144, B17, S00, 1
B17, Trade, 147.133, 149, B17, S01, 1
B17, Trade, 151.100, 114, S02, B17, 1
B17, Trade, 162.450, 144, B17, S05, 1
B17, Trade, 173.617, 149, S14, B17, 1
B17, Trade, 182.383, 154, B17, S03, 1
B17, Trade, 216.817, 154, B17, S00, 1
B18, 56
B18, Trade, 5.100, 110, S03, B18, 1
B18, Trade, 13.283, 155, S13, B18, 1
B18, Trade, 16.033, 160, B18, S00, 1
B18, Trade, 21.883, 154, B18, S02, 1
B18, Trade, 27.567, 149, B18, S03, 1
B18, Trade, 31.183, 152, S14, B18, 1
B18, Trade, 36.250, 162, B18, S15, 1
B18, Trade, 41.183, 160, B18, S01, 1
B18, Trade, 45.950, 141, S02, B18, 1
B18, Trade, 50.550, 137, B18, S01, 1
B18, Trade, 56.283, 160, S15, B18, 1
B18, Trade, 60.550, 157, B18, S03, 1
B18, Trade, 65.683, 147, S02, B18, 1
B18, Trade, 73.300, 158, B18, S00, 1
B18, Trade, 75.650, 123, S02, B18, 1
B18, Trade, 81.317, 151, B18, S08, 1
B18, Trade, 89.200, 158, B18, S15, 1
B18, Trade, 94.433, 162, B18, S14, 1
B18, Trade, 95.917, 161, B18, S05, 1
B18, Trade, 100.817, 138, S00, B18, 1
B18, Trade, 106.150, 158, B18, S00, 1
B18, Trade, 110.967, 161, B18, S08, 1
B18, Trade, 116.150, 144, B18, S02, 1
B18, Trade, 121.000, 161, B18, S01, 1
B18, Trade, 126.083, 151, B18, S05, 1
B18, Trade, 131.400, 162, B18, S15, 1
B18, Trade, 139.400, 156, B18, S14, 1
B18, Trade, 141.417, 157, B18, S06, 1
B18, Trade, 149.450, 160, S15, B18, 1
B18, Trade, 151.750, 158, B18, S15, 1
B18, Trade, 156.483, 158, B18, S01, 1
B18, Trade, 161.933, 155, B18, S00, 1
B18, Trade, 166.467, 150, S01, B18, 1
B18, Trade, 172.000, 150, B18, S08, 1
B18, Trade, 180.800, 156, B18, S00, 1
B18, Trade, 181.367, 157, B18, S01, 1
B18, Trade, 186.950, 160, B18, S02, 1
B18, Trade, 191.867, 161, B18, S05, 1
B18, Trade, 197.833, 162, B18, S08, 1
B18, Trade, 203.483, 158, S00, B18, 1
B18, Trade, 207.400, 149, B18, S03, 1
B18, Trade, 217.383, 158, B18, S06, 1
B18, Trade, 231.033, 155, B18, S05, 1
B18, Trade, 231.800, 160, B18, S05, 1
B18, Trade, 236.717, 156, S02, B18, 1
B18, Trade, 244.850, 158, B18, S05, 1
B18, Trade, 246.650, 161, B18, S01, 1
B18, Trade, 251.817, 162, B18, S15, 1
B18, Trade, 259.233, 139, B18, S00, 1
B18, Trade, 262.200, 158, S15, B18, 1
B18, Trade, 267.417, 157, S01, B18, 1
B18, Trade, 271.467, 153, B18, S00, 1
B18, Trade, 276.983, 146, B18, S02, 1
B18, Trade, 285.233, 150, B18, S08, 1
B18, Trade, 287.383, 161, B18, S05, 1
B18, Trade, 294.617, 154, B18, S05, 1
B19, 11
B19, Trade, 30.517, 123, B19, S01, 1
B19, Trade, 39.117, 149, B19, S05, 1
B19, Trade, 57.383, 143, B19, S01, 1
B19, Trade, 84.267, 148, B19, S05, 1
B19, Trade, 85.933, 107, S01, B19, 1
B19, Trade, 111.317, 147, B19, S01, 1
B19, Trade, 120.367, 128, B19, S00, 1
B19, Trade, 121.150, 140, B19, S03, 1
B19, Trade, 145.367, 138, B19, S08, 1
B19, Trade, 176.833, 148, B19, S01, 1
B19, Trade, 231.967, 145, B19, S03, 1
B20, 16
B20, Trade, 42.983, 153, S06, B20, 1
B20, Trade, 47.583, 157, S03, B20, 1
B20, Trade, 68.450, 148, S05, B20, 1
B20, Trade, 88.517, 159, B20, S03, 1
B20, Trade, 110.450, 148, S14, B20, 1
B20, Trade, 111.250, 152, B20, S02, 1
B20, Trade, 124.333, 142, B20, S02, 1
B20, Trade, 128.233, 153, B20, S14, 1
B20, Trade, 226.833, 157, B20, S01, 1
B20, Trade, 237.717, 155, B20, S06, 1
B20, Trade, 246.900, 158, B20, S06, 1
B20, Trade, 254.683, 144, B20, S02, 1
B20, Trade, 257.450, 155, B20, S05, 1
B20, Trade, 274.167, 157, B20, S01, 1
B20, Trade, 285.917, 156, B20, S00, 1
B20, Trade, 287.517, 158, B20, S02, 1
B21, 40
B21, Trade, 5.750, 160, B21, S09, 1
B21, Trade, 12.500, 157, B21, S05, 1
B21, Trade, 15.767, 159, S06, B21, 1
B21, Trade, 27.183, 169, B21, S08, 1
B21, Trade, 30.483, 158, B21, S00, 1
B21, Trade, 35.700, 166, B21, S10, 1
B21, Trade, 44.833, 156, B21, S08, 1
B21, Trade, 49.550, 144, B21, S00, 1
B21, Trade, 51.233, 167, B21, S15, 1
B21, Trade, 62.167, 136, B21, S05, 1
B21, Trade, 71.017, 158, B21, S15, 1
B21, Trade, 82.783, 167, S14, B21, 1
B21, Trade, 92.717, 161, S03, B21, 1
B21, Trade, 100.600, 170, B21, S03, 1
B21, Trade, 101.700, 162, B21, S15, 1
B21, Trade, 112.633, 162, S15, B21, 1
B21, Trade, 115.867, 129, S01, B21, 1
B21, Trade, 137.667, 168, B21, S03, 1
B21, Trade, 141.233, 153, B21, S01, 1
B21, Trade, 147.083, 172, B21, S00, 1
B21, Trade, 151.333, 141, B21, S01, 1
B21, Trade, 157.017, 149, B21, S02, 1
B21, Trade, 168.733, 140, B21, S00, 1
B21, Trade, 174.067, 165, B21, S02, 1
B21, Trade, 185.367, 164, B21, S05, 1
B21, Trade, 186.783, 169, B21, S15, 1
B21, Trade, 195.117, 169, B21, S15, 1
B21, Trade, 199.883, 145, S03, B21, 1
B21, Trade, 201.750, 155, B21, S01, 1
B21, Trade, 208.483, 163, S16, B21, 1
B21, Trade, 212.100, 168, B21, S01, 1
