B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 1
B06, Trade, 110.950, 108, S01, B06, 1
B07, 0
B08, 0
B09, 0
B10, 1
B10, Trade, 16.117, 121, B10, S01, 1
B11, 0
B12, 0
B13, 10
B13, Trade, 8.117, 137, B13, S01, 1
B13, Trade, 23.583, 139, B13, S01, 1
B13, Trade, 31.700, 140, B13, S11, 1
B13, Trade, 96.850, 142, S08, B13, 1
B13, Trade, 118.267, 138, S10, B13, 1
B13, Trade, 137.567, 138, B13, S11, 1
B13, Trade, 252.983, 144, B13, S02, 1
B13, Trade, 262.733, 140, B13, S08, 1
B13, Trade, 268.683, 143, B13, S10, 1
B13, Trade, 280.117, 144, B13, S10, 1
B14, 4
B14, Trade, 86.483, 147, B14, S03, 1
B14, Trade, 178.917, 144, B14, S02, 1
B14, Trade, 262.300, 143, B14, S03, 1
B14, Trade, 297.667, 148, B14, S02, 1
B15, 6
B15, Trade, 47.450, 148, B15, S05, 1
B15, Trade, 187.150, 143, B15, S01, 1
B15, Trade, 251.167, 149, B15, S11, 1
B15, Trade, 262.700, 141, B15, S01, 1
B15, Trade, 267.700, 133, B15, S03, 1
B15, Trade, 292.167, 143, S00, B15, 1
B16, 8
B16, Trade, 5.283, 146, B16, S09, 1
B16, Trade, 27.067, 142, S11, B16, 1
B16, Trade, 103.600, 149, B16, S06, 1
B16, Trade, 219.083, 153, B16, S11, 1
B16, Trade, 221.517, 151, B16, S00, 1
B16, Trade, 231.283, 152, B16, S01, 1
B16, Trade, 288.117, 155, B16, S08, 1
B16, Trade, 297.150, 138, B16, S09, 1
B17, 3
B17, Trade, 10.917, 122, B17, S03, 1
B17, Trade, 130.717, 138, B17, S00, 1
B17, Trade, 280.817, 137, B17, S03, 1
B18, 15
B18, Trade, 12.167, 158, B18, S05, 1
B18, Trade, 45.667, 137, S08, B18, 1
B18, Trade, 73.133, 156, S10, B18, 1
B18, Trade, 82.567, 158, B18, S11, 1
B18, Trade, 86.017, 145, B18, S02, 1
B18, Trade, 103.150, 162, B18, S02, 1
B18, Trade, 143.817, 151, B18, S08, 1
B18, Trade, 163.550, 145, B18, S11, 1
B18, Trade, 187.100, 160, B18, S08, 1
B18, Trade, 220.667, 151, B18, S13, 1
B18, Trade, 234.717, 149, B18, S11, 1
B18, Trade, 243.583, 155, S09, B18, 1
B18, Trade, 255.117, 157, B18, S10, 1
B18, Trade, 269.417, 162, B18, S09, 1
B18, Trade, 282.017, 143, B18, S08, 1
B19, 5
B19, Trade, 11.350, 147, B19, S08, 1
B19, Trade, 46.067, 144, S12, B19, 1
B19, Trade, 78.283, 154, B19, S09, 1
B19, Trade, 162.050, 145, B19, S02, 1
B19, Trade, 280.850, 139, S00, B19, 1
B20, 33
B20, Trade, 5.150, 148, S00, B20, 1
B20, Trade, 29.767, 154, S05, B20, 1
B20, Trade, 35.267, 157, B20, S01, 1
B20, Trade, 48.417, 155, S01, B20, 1
B20, Trade, 53.150, 164, B20, S09, 1
B20, Trade, 57.883, 166, B20, S03, 1
B20, Trade, 68.667, 159, B20, S01, 1
B20, Trade, 77.550, 164, B20, S02, 1
B20, Trade, 87.100, 158, S01, B20, 1
B20, Trade, 93.850, 162, B20, S03, 1
B20, Trade, 115.383, 164, B20, S03, 1
B20, Trade, 118.167, 158, B20, S03, 1
B20, Trade, 123.567, 153, B20, S09, 1
B20, Trade, 132.550, 150, S00, B20, 1
B20, Trade, 139.717, 167, S13, B20, 1
B20, Trade, 142.017, 151, B20, S00, 1
B20, Trade, 147.033, 153, S00, B20, 1
B20, Trade, 153.617, 160, B20, S01, 1
B20, Trade, 156.233, 158, S02, B20, 1
B20, Trade, 161.383, 151, B20, S01, 1
B20, Trade, 177.950, 138, S11, B20, 1
B20, Trade, 185.133, 159, S02, B20, 1
B20, Trade, 192.233, 155, B20, S00, 1
B20, Trade, 200.883, 156, B20, S10, 1
B20, Trade, 201.717, 165, B20, S17, 1
B20, Trade, 216.950, 127, B20, S08, 1
B20, Trade, 224.867, 167, B20, S08, 1
B20, Trade, 241.667, 166, B20, S11, 1
B20, Trade, 253.283, 153, S13, B20, 1
B20, Trade, 265.850, 166, B20, S00, 1
B20, Trade, 271.617, 143, B20, S08, 1
B20, Trade, 281.083, 152, B20, S09, 1
B20, Trade, 289.883, 163, B20, S05, 1
B21, 52
B21, Trade, 13.400, 147, S10, B21, 1
B21, Trade, 16.517, 154, S12, B21, 1
B21, Trade, 21.617, 165, S09, B21, 1
B21, Trade, 27.967, 156, B21, S01, 1
B21, Trade, 30.667, 141, S00, B21, 1
B21, Trade, 35.850, 172, B21, S07, 1
B21, Trade, 41.017, 144, S02, B21, 1
B21, Trade, 46.250, 155, S09, B21, 1
B21, Trade, 57.900, 164, B21, S07, 1
B21, Trade, 60.433, 156, B21, S03, 1
B21, Trade, 69.917, 143, S00, B21, 1
B21, Trade, 75.567, 168, B21, S08, 1
B21, Trade, 80.650, 172, B21, S08, 1
B21, Trade, 87.767, 166, S15, B21, 1
B21, Trade, 91.833, 156, S12, B21, 1
B21, Trade, 97.367, 169, B21, S18, 1
B21, Trade, 101.700, 162, B21, S03, 1
B21, Trade, 109.333, 159, B21, S15, 1
B21, Trade, 112.683, 168, B21, S08, 1
B21, Trade, 116.000, 172, B21, S08, 1
B21, Trade, 124.983, 168, S18, B21, 1
B21, Trade, 127.133, 153, S11, B21, 1
B21, Trade, 132.967, 145, B21, S10, 1
B21, Trade, 137.883, 164, S17, B21, 1
B21, Trade, 144.700, 170, B21, S01, 1
B21, Trade, 146.500, 164, B21, S02, 1
B21, Trade, 151.517, 166, B21, S03, 1
B21, Trade, 161.033, 145, S08, B21, 1
B21, Trade, 166.683, 159, S12, B21, 1
B21, Trade, 171.450, 169, B21, S18, 1
B21, Trade, 176.083, 138, S01, B21, 1
B21, Trade, 186.283, 164, B21, S03, 1
B21, Trade, 195.650, 153, S03, B21, 1
B21, Trade, 196.867, 162, B21, S11, 1
B21, Trade, 201.933, 150, B21, S11, 1
B21, Trade, 206.567, 165, S09, B21, 1
B21, Trade, 211.750, 167, B21, S01, 1
B21, Trade, 216.600, 136, B21, S01, 1
B21, Trade, 222.267, 162, S03, B21, 1
B21, Trade, 227.183, 172, B21, S11, 1
B21, Trade, 234.833, 150, S08, B21, 1
B21, Trade, 236.650, 171, B21, S03, 1
B21, Trade, 243.067, 169, B21, S10, 1
B21, Trade, 247.833, 158, B21, S03, 1
B21, Trade, 254.567, 170, B21, S08, 1
B21, Trade, 257.867, 170, B21, S09, 1
B21, Trade, 265.483, 167, B21, S10, 1
B21, Trade, 268.267, 146, S11, B21, 1
B21, Trade, 274.367, 162, B21, S11, 1
B21, Trade, 278.133, 145, S01, B21, 1
B21, Trade, 286.833, 161, B21, S11, 1
B21, Trade, 292.733, 138, S02, B21, 1
B22, 49
B22, Trade, 7.133, 154, S05, B22, 1
B22, Trade, 12.417, 156, B22, S02, 1
B22, Trade, 15.800, 163, S14, B22, 1
B22, Trade, 22.183, 163, B22, S08, 1
B22, Trade, 28.567, 174, B22, S18, 1
B22, Trade, 31.367, 156, S08, B22, 1
B22, Trade, 35.950, 170, B22, S08, 1
B22, Trade, 40.867, 132, S08, B22, 1
B22, Trade, 46.917, 161, S13, B22, 1
B22, Trade, 53.117, 164, B22, S11, 1
B22, Trade, 56.717, 168, S18, B22, 1
B22, Trade, 63.250, 159, S01, B22, 1
B22, Trade, 68.617, 165, S15, B22, 1
B22, Trade, 73.617, 164, B22, S08, 1
B22, Trade, 75.650, 174, B22, S18, 1
B22, Trade, 93.400, 167, S18, B22, 1
B22, Trade, 95.917, 154, B22, S01, 1
B22, Trade, 104.383, 163, B22, S11, 1
B22, Trade, 106.933, 161, B22, S02, 1
B22, Trade, 111.200, 145, S12, B22, 1
B22, Trade, 120.517, 152, S15, B22, 1
B22, Trade, 122.500, 162, S08, B22, 1
B22, Trade, 126.317, 173, B22, S02, 1
B22, Trade, 131.133, 158, B22, S08, 1
B22, Trade, 136.467, 158, B22, S08, 1
B22, Trade, 148.233, 148, B22, S09, 1
B22, Trade, 156.300, 150, B22, S05, 1
B22, Trade, 166.567, 156, S06, B22, 1
B22, Trade, 173.067, 162, B22, S08, 1
B22, Trade, 187.183, 160, B22, S09, 1
B22, Trade, 193.000, 170, B22, S11, 1
B22, Trade, 196.900, 168, S18, B22, 1
B22, Trade, 203.050, 159, S15, B22, 1
B22, Trade, 213.350, 154, B22, S03, 1
B22, Trade, 217.317, 167, S00, B22, 1
B22, Trade, 225.467, 165, B22, S01, 1
B22, Trade, 227.417, 166, B22, S10, 1
B22, Trade, 231.783, 174, B22, S05, 1
B22, Trade, 238.667, 165, B22, S01, 1
B22, Trade, 247.683, 163, B22, S02, 1
B22, Trade, 252.833, 156, S12, B22, 1
B22, Trade, 257.583, 172, B22, S15, 1
B22, Trade, 264.200, 168, S11, B22, 1
B22, Trade, 267.667, 140, B22, S08, 1
B22, Trade, 274.417, 160, B22, S07, 1
B22, Trade, 281.533, 146, S11, B22, 1
B22, Trade, 288.067, 171, B22, S17, 1
B22, Trade, 291.683, 164, S11, B22, 1
B22, Trade, 296.667, 175, B22, S10, 1
B23, 39
B23, Trade, 5.683, 174, B23, S03, 1
B23, Trade, 12.583, 162, S18, B23, 1
B23, Trade, 15.133, 153, B23, S02, 1
B23, Trade, 31.883, 158, S12, B23, 1
B23, Trade, 41.733, 169, S18, B23, 1
B23, Trade, 45.850, 141, S00, B23, 1
B23, Trade, 66.583, 144, B23, S09, 1
B23, Trade, 80.917, 146, S07, B23, 1
B23, Trade, 86.383, 168, B23, S11, 1
B23, Trade, 93.800, 164, S17, B23, 1
B23, Trade, 96.550, 172, B23, S06, 1
B23, Trade, 100.967, 176, B23, S09, 1
B23, Trade, 106.983, 158, B23, S03, 1
B23, Trade, 113.500, 164, B23, S11, 1
B23, Trade, 117.450, 175, B23, S02, 1
B23, Trade, 122.567, 164, S12, B23, 1
B23, Trade, 139.417, 146, B23, S00, 1
B23, Trade, 142.467, 154, S10, B23, 1
B23, Trade, 146.250, 161, S11, B23, 1
B23, Trade, 158.817, 172, S18, B23, 1
B23, Trade, 166.650, 157, S08, B23, 1
B23, Trade, 174.250, 157, B23, S13, 1
B23, Trade, 178.517, 164, S12, B23, 1
B23, Trade, 185.917, 149, S08, B23, 1
B23, Trade, 189.400, 166, S11, B23, 1
B23, Trade, 193.950, 146, B23, S09, 1
B23, Trade, 207.883, 172, B23, S11, 1
B23, Trade, 211.483, 161, B23, S08, 1
B23, Trade, 216.800, 167, S17, B23, 1
B23, Trade, 222.433, 160, B23, S02, 1
B23, Trade, 230.383, 165, B23, S03, 1
B23, Trade, 237.133, 159, B23, S11, 1
B23, Trade, 242.983, 177, B23, S00, 1
B23, Trade, 259.333, 179, B23, S11, 1
B23, Trade, 261.767, 152, B23, S02, 1
B23, Trade, 272.733, 167, S18, B23, 1
B23, Trade, 282.533, 145, S01, B23, 1
B23, Trade, 288.967, 175, S12, B23, 1
B23, Trade, 298.717, 139, B23, S03, 1
B24, 19
B24, Trade, 7.300, 160, S11, B24, 1
B24, Trade, 15.667, 138, B24, S03, 1
B24, Trade, 23.833, 132, B24, S03, 1
B24, Trade, 29.467, 154, B24, S00, 1
B24, Trade, 35.717, 171, B24, S18, 1
B24, Trade, 63.750, 147, B24, S11, 1
B24, Trade, 66.567, 144, B24, S11, 1
B24, Trade, 70.800, 145, B24, S01, 1
B24, Trade, 76.650, 170, B24, S11, 1
B24, Trade, 103.950, 143, B24, S01, 1
B24, Trade, 109.100, 161, B24, S10, 1
B24, Trade, 174.767, 152, B24, S02, 1
B24, Trade, 183.917, 138, B24, S03, 1
B24, Trade, 205.117, 145, S08, B24, 1
B24, Trade, 208.800, 153, B24, S02, 1
B24, Trade, 238.900, 145, B24, S02, 1
B24, Trade, 241.750, 142, B24, S03, 1
B24, Trade, 252.817, 137, B24, S03, 1
B24, Trade, 285.817, 158, B24, S02, 1
B25, 41
B25, Trade, 5.917, 171, B25, S02, 1
B25, Trade, 14.800, 157, S13, B25, 1
B25, Trade, 23.150, 168, S12, B25, 1
B25, Trade, 25.900, 142, B25, S08, 1
B25, Trade, 37.033, 168, B25, S10, 1
B25, Trade, 43.633, 169, B25, S13, 1
B25, Trade, 49.683, 175, B25, S02, 1
B25, Trade, 58.567, 163, B25, S11, 1
B25, Trade, 61.883, 164, B25, S08, 1
B25, Trade, 71.133, 171, B25, S03, 1
B25, Trade, 77.467, 169, B25, S03, 1
B25, Trade, 83.567, 146, B25, S00, 1
B25, Trade, 88.583, 149, B25, S13, 1
B25, Trade, 94.100, 154, B25, S09, 1
B25, Trade, 107.417, 144, S09, B25, 1
B25, Trade, 127.950, 154, S03, B25, 1
B25, Trade, 131.017, 122, S01, B25, 1
B25, Trade, 136.033, 139, S09, B25, 1
B25, Trade, 141.350, 161, B25, S03, 1
B25, Trade, 148.117, 169, S08, B25, 1
B25, Trade, 152.233, 156, B25, S09, 1
B25, Trade, 156.067, 147, S10, B25, 1
B25, Trade, 161.200, 168, B25, S18, 1
B25, Trade, 170.767, 179, S21, B25, 1
B25, Trade, 172.950, 184, S01, B25, 1
B25, Trade, 177.500, 147, S08, B25, 1
B25, Trade, 182.567, 170, S18, B25, 1
B25, Trade, 187.700, 163, S10, B25, 1
B25, Trade, 191.333, 142, S08, B25, 1
B25, Trade, 206.033, 147, B25, S02, 1
B25, Trade, 208.433, 173, S18, B25, 1
B25, Trade, 212.317, 175, B25, S09, 1
B25, Trade, 225.150, 170, S12, B25, 1
B25, Trade, 227.967, 173, S13, B25, 1
B25, Trade, 232.983, 148, S09, B25, 1
B25, Trade, 252.433, 149, B25, S09, 1
B25, Trade, 264.250, 169, S12, B25, 1
B25, Trade, 273.400, 165, B25, S09, 1
B25, Trade, 276.633, 183, B25, S18, 1
B25, Trade, 282.583, 167, S10, B25, 1
B25, Trade, 290.683, 175, B25, S18, 1
B26, 42
B26, Trade, 7.700, 150, B26, S04, 1
B26, Trade, 11.567, 133, S09, B26, 1
B26, Trade, 19.200, 163, S18, B26, 1
B26, Trade, 30.733, 175, S18, B26, 1
B26, Trade, 38.033, 169, B26, S09, 1
B26, Trade, 41.717, 165, B26, S03, 1
B26, Trade, 53.233, 168, S18, B26, 1
B26, Trade, 59.150, 167, B26, S02, 1
B26, Trade, 63.333, 168, S18, B26, 1
B26, Trade, 65.433, 149, S08, B26, 1
B26, Trade, 74.250, 159, B26, S15, 1
B26, Trade, 82.317, 163, S01, B26, 1
B26, Trade, 89.767, 174, B26, S10, 1
B26, Trade, 92.350, 164, B26, S08, 1
B26, Trade, 97.900, 160, B26, S11, 1
B26, Trade, 102.000, 182, B26, S08, 1
B26, Trade, 106.383, 155, S08, B26, 1
B26, Trade, 113.083, 169, S05, B26, 1
B26, Trade, 119.067, 155, S00, B26, 1
B26, Trade, 121.650, 168, B26, S10, 1
B26, Trade, 135.750, 157, S12, B26, 1
B26, Trade, 147.850, 168, S12, B26, 1
B26, Trade, 153.000, 178, S17, B26, 1
B26, Trade, 169.767, 149, S11, B26, 1
B26, Trade, 183.183, 172, S12, B26, 1
B26, Trade, 189.800, 167, S18, B26, 1
B26, Trade, 193.350, 175, S12, B26, 1
B26, Trade, 199.550, 157, S13, B26, 1
B26, Trade, 202.133, 164, S06, B26, 1
B26, Trade, 210.167, 177, S01, B26, 1
B26, Trade, 220.283, 172, S12, B26, 1
B26, Trade, 228.350, 168, S00, B26, 1
B26, Trade, 234.333, 173, S12, B26, 1
B26, Trade, 240.317, 154, S12, B26, 1
B26, Trade, 241.717, 148, B26, S08, 1
B26, Trade, 247.633, 177, B26, S08, 1
B26, Trade, 252.217, 163, B26, S01, 1
B26, Trade, 262.150, 167, S18, B26, 1
B26, Trade, 277.283, 157, S06, B26, 1
B26, Trade, 284.733, 178, S12, B26, 1
B26, Trade, 294.050, 152, S09, B26, 1
B26, Trade, 297.100, 164, B26, S01, 1
B27, 55
B27, Trade, 5.200, 168, S18, B27, 1
B27, Trade, 10.633, 168, S12, B27, 1
