B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 2
B11, Trade, 136.150, 119, S03, B11, 1
B11, Trade, 192.000, 127, S08, B11, 1
B12, 1
B12, Trade, 66.483, 133, B12, S08, 1
B13, 2
B13, Trade, 82.633, 142, B13, S06, 1
B13, Trade, 102.350, 140, B13, S10, 1
B14, 8
B14, Trade, 7.450, 139, B14, S08, 1
B14, Trade, 16.517, 138, B14, S00, 1
B14, Trade, 75.150, 146, B14, S03, 1
B14, Trade, 106.467, 136, B14, S08, 1
B14, Trade, 117.750, 145, B14, S08, 1
B14, Trade, 121.283, 142, B14, S08, 1
B14, Trade, 158.567, 146, B14, S01, 1
B14, Trade, 181.183, 144, B14, S07, 1
B15, 4
B15, Trade, 25.467, 130, B15, S08, 1
B15, Trade, 60.150, 150, B15, S05, 1
B15, Trade, 87.200, 146, S07, B15, 1
B15, Trade, 146.450, 134, S07, B15, 1
B16, 0
B17, 15
B17, Trade, 6.583, 137, S00, B17, 1
B17, Trade, 21.800, 150, B17, S00, 1
B17, Trade, 32.917, 148, B17, S03, 1
B17, Trade, 102.650, 138, B17, S07, 1
B17, Trade, 106.283, 143, B17, S04, 1
B17, Trade, 144.567, 155, B17, S03, 1
B17, Trade, 149.000, 142, B17, S08, 1
B17, Trade, 152.183, 152, B17, S00, 1
B17, Trade, 162.150, 140, B17, S03, 1
B17, Trade, 169.333, 153, B17, S01, 1
B17, Trade, 201.817, 146, B17, S07, 1
B17, Trade, 206.233, 127, S08, B17, 1
B17, Trade, 219.483, 143, B17, S08, 1
B17, Trade, 241.617, 149, S06, B17, 1
B17, Trade, 246.317, 156, B17, S03, 1
B18, 23
B18, Trade, 23.750, 153, S13, B18, 1
B18, Trade, 32.600, 153, B18, S07, 1
B18, Trade, 43.150, 146, B18, S08, 1
B18, Trade, 47.817, 156, S02, B18, 1
B18, Trade, 51.150, 162, B18, S08, 1
B18, Trade, 55.750, 129, S08, B18, 1
B18, Trade, 66.433, 136, S10, B18, 1
B18, Trade, 114.617, 152, B18, S03, 1
B18, Trade, 130.483, 154, B18, S07, 1
B18, Trade, 142.717, 160, B18, S12, 1
B18, Trade, 156.483, 149, S08, B18, 1
B18, Trade, 168.817, 149, B18, S10, 1
B18, Trade, 172.233, 157, B18, S01, 1
B18, Trade, 181.850, 151, B18, S03, 1
B18, Trade, 196.283, 154, S13, B18, 1
B18, Trade, 215.133, 161, B18, S03, 1
B18, Trade, 217.083, 148, S05, B18, 1
B18, Trade, 222.150, 152, B18, S07, 1
B18, Trade, 260.617, 153, S07, B18, 1
B18, Trade, 262.317, 139, S10, B18, 1
B18, Trade, 279.767, 147, B18, S06, 1
B18, Trade, 293.083, 162, B18, S08, 1
B18, Trade, 299.083, 148, B18, S03, 1
B19, 19
B19, Trade, 14.567, 150, S13, B19, 1
B19, Trade, 26.600, 150, B19, S07, 1
B19, Trade, 30.217, 153, B19, S09, 1
B19, Trade, 47.200, 155, S05, B19, 1
B19, Trade, 60.117, 151, S11, B19, 1
B19, Trade, 66.083, 130, S07, B19, 1
B19, Trade, 73.350, 154, S07, B19, 1
B19, Trade, 83.167, 160, B19, S03, 1
B19, Trade, 86.150, 134, B19, S08, 1
B19, Trade, 168.567, 151, B19, S07, 1
B19, Trade, 183.650, 165, B19, S12, 1
B19, Trade, 202.633, 150, B19, S08, 1
B19, Trade, 216.617, 142, S03, B19, 1
B19, Trade, 226.950, 153, B19, S08, 1
B19, Trade, 243.467, 160, B19, S02, 1
B19, Trade, 258.933, 159, S11, B19, 1
B19, Trade, 267.917, 162, B19, S12, 1
B19, Trade, 278.717, 136, B19, S08, 1
B19, Trade, 284.150, 148, B19, S08, 1
B20, 8
B20, Trade, 10.650, 146, B20, S03, 1
B20, Trade, 15.867, 141, B20, S08, 1
B20, Trade, 52.467, 163, S16, B20, 1
B20, Trade, 111.217, 137, B20, S08, 1
B20, Trade, 136.183, 126, S04, B20, 1
B20, Trade, 149.233, 146, S10, B20, 1
B20, Trade, 187.483, 152, B20, S08, 1
B20, Trade, 263.000, 146, B20, S07, 1
B21, 14
B21, Trade, 32.817, 155, S02, B21, 1
B21, Trade, 47.017, 167, B21, S03, 1
B21, Trade, 79.200, 166, B21, S10, 1
B21, Trade, 119.600, 146, S07, B21, 1
B21, Trade, 125.200, 152, S10, B21, 1
B21, Trade, 132.500, 161, B21, S03, 1
B21, Trade, 152.250, 148, B21, S08, 1
B21, Trade, 156.917, 159, B21, S07, 1
B21, Trade, 182.800, 168, B21, S08, 1
B21, Trade, 193.317, 159, S02, B21, 1
B21, Trade, 205.617, 148, B21, S03, 1
B21, Trade, 211.600, 138, B21, S02, 1
B21, Trade, 278.967, 161, S03, B21, 1
B21, Trade, 299.783, 143, S02, B21, 1
B22, 9
B22, Trade, 18.900, 155, B22, S09, 1
B22, Trade, 50.083, 138, S01, B22, 1
B22, Trade, 100.333, 156, S00, B22, 1
B22, Trade, 198.633, 155, B22, S07, 1
B22, Trade, 223.900, 157, B22, S10, 1
B22, Trade, 232.533, 158, B22, S13, 1
B22, Trade, 238.033, 134, S08, B22, 1
B22, Trade, 277.433, 161, B22, S07, 1
B22, Trade, 288.250, 159, B22, S07, 1
B23, 13
B23, Trade, 20.650, 142, B23, S03, 1
B23, Trade, 36.217, 157, B23, S03, 1
B23, Trade, 40.850, 155, B23, S05, 1
B23, Trade, 63.650, 165, B23, S08, 1
B23, Trade, 88.433, 157, B23, S04, 1
B23, Trade, 95.883, 129, S08, B23, 1
B23, Trade, 109.867, 144, S11, B23, 1
B23, Trade, 114.283, 161, B23, S07, 1
B23, Trade, 170.567, 143, B23, S03, 1
B23, Trade, 200.900, 157, B23, S01, 1
B23, Trade, 245.167, 157, B23, S03, 1
B23, Trade, 270.000, 169, B23, S05, 1
B23, Trade, 298.217, 141, B23, S08, 1
B24, 39
B24, Trade, 7.083, 136, B24, S02, 1
B24, Trade, 26.233, 176, B24, S03, 1
B24, Trade, 37.717, 136, B24, S07, 1
B24, Trade, 42.450, 146, B24, S07, 1
B24, Trade, 46.900, 170, B24, S10, 1
B24, Trade, 51.883, 144, B24, S02, 1
B24, Trade, 58.183, 151, B24, S02, 1
B24, Trade, 64.583, 155, B24, S06, 1
B24, Trade, 78.083, 152, B24, S03, 1
B24, Trade, 93.800, 152, B24, S03, 1
B24, Trade, 98.317, 146, B24, S07, 1
B24, Trade, 102.583, 140, B24, S02, 1
B24, Trade, 112.350, 181, B24, S00, 1
