B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 2
B08, Trade, 65.500, 127, B08, S07, 1
B08, Trade, 70.933, 126, B08, S03, 1
B09, 0
B10, 0
B11, 0
B12, 0
B13, 7
B13, Trade, 68.550, 143, B13, S03, 1
B13, Trade, 83.933, 136, B13, S07, 1
B13, Trade, 116.317, 126, B13, S02, 1
B13, Trade, 127.167, 141, B13, S07, 1
B13, Trade, 164.967, 141, B13, S07, 1
B13, Trade, 186.350, 134, B13, S07, 1
B13, Trade, 258.383, 142, B13, S07, 1
B14, 5
B14, Trade, 31.683, 140, B14, S05, 1
B14, Trade, 78.200, 143, B14, S02, 1
B14, Trade, 102.100, 137, S11, B14, 1
B14, Trade, 167.033, 135, B14, S07, 1
B14, Trade, 249.083, 146, B14, S02, 1
B15, 16
B15, Trade, 20.017, 149, B15, S03, 1
B15, Trade, 40.750, 142, B15, S05, 1
B15, Trade, 62.400, 150, B15, S05, 1
B15, Trade, 70.883, 139, B15, S05, 1
B15, Trade, 76.383, 148, B15, S00, 1
B15, Trade, 91.500, 144, B15, S07, 1
B15, Trade, 152.517, 148, B15, S09, 1
B15, Trade, 171.900, 141, B15, S00, 1
B15, Trade, 176.033, 151, B15, S07, 1
B15, Trade, 181.317, 151, B15, S03, 1
B15, Trade, 191.367, 127, S07, B15, 1
B15, Trade, 201.267, 141, B15, S05, 1
B15, Trade, 233.783, 135, B15, S00, 1
B15, Trade, 236.583, 130, S04, B15, 1
B15, Trade, 245.600, 143, B15, S02, 1
B15, Trade, 287.417, 144, B15, S06, 1
B16, 36
B16, Trade, 20.367, 124, S07, B16, 1
B16, Trade, 27.900, 142, B16, S00, 1
B16, Trade, 32.367, 139, B16, S02, 1
B16, Trade, 48.867, 153, B16, S03, 1
B16, Trade, 56.383, 142, B16, S02, 1
B16, Trade, 63.267, 151, B16, S03, 1
B16, Trade, 80.383, 142, B16, S03, 1
B16, Trade, 85.100, 151, B16, S01, 1
B16, Trade, 88.550, 152, B16, S12, 1
B16, Trade, 93.500, 142, B16, S02, 1
B16, Trade, 97.717, 154, B16, S07, 1
B16, Trade, 102.033, 155, B16, S05, 1
B16, Trade, 106.117, 146, S06, B16, 1
B16, Trade, 137.067, 141, B16, S09, 1
B16, Trade, 152.367, 154, B16, S07, 1
B16, Trade, 158.017, 137, B16, S03, 1
B16, Trade, 161.050, 124, S00, B16, 1
B16, Trade, 166.817, 142, B16, S03, 1
B16, Trade, 173.100, 149, B16, S07, 1
B16, Trade, 191.800, 154, B16, S10, 1
B16, Trade, 196.783, 152, B16, S07, 1
B16, Trade, 201.633, 138, B16, S07, 1
B16, Trade, 207.367, 154, B16, S05, 1
B16, Trade, 211.917, 140, B16, S07, 1
B16, Trade, 216.733, 147, B16, S07, 1
B16, Trade, 223.383, 146, B16, S06, 1
B16, Trade, 226.600, 150, B16, S01, 1
B16, Trade, 232.883, 150, B16, S07, 1
B16, Trade, 249.183, 150, B16, S03, 1
B16, Trade, 257.750, 154, B16, S13, 1
B16, Trade, 263.133, 148, B16, S03, 1
B16, Trade, 270.483, 155, B16, S05, 1
B16, Trade, 283.983, 152, B16, S00, 1
B16, Trade, 289.483, 151, B16, S05, 1
B16, Trade, 291.633, 134, S05, B16, 1
B16, Trade, 296.600, 130, S06, B16, 1
B17, 12
B17, Trade, 61.283, 156, B17, S09, 1
B17, Trade, 76.050, 154, B17, S07, 1
B17, Trade, 89.367, 151, S14, B17, 1
B17, Trade, 131.050, 135, B17, S02, 1
B17, Trade, 139.567, 152, B17, S00, 1
B17, Trade, 179.117, 151, B17, S06, 1
B17, Trade, 187.350, 155, S13, B17, 1
B17, Trade, 195.950, 150, B17, S13, 1
B17, Trade, 197.667, 157, S13, B17, 1
B17, Trade, 214.050, 152, B17, S02, 1
B17, Trade, 233.483, 142, B17, S06, 1
B17, Trade, 259.067, 155, B17, S02, 1
B18, 5
B18, Trade, 91.983, 139, B18, S04, 1
B18, Trade, 184.300, 139, B18, S04, 1
B18, Trade, 203.267, 136, B18, S00, 1
B18, Trade, 240.317, 134, B18, S03, 1
B18, Trade, 258.400, 136, B18, S03, 1
B19, 14
B19, Trade, 6.883, 153, B19, S02, 1
B19, Trade, 10.117, 140, B19, S07, 1
B19, Trade, 57.367, 125, S00, B19, 1
B19, Trade, 89.483, 148, B19, S05, 1
B19, Trade, 95.100, 154, S10, B19, 1
B19, Trade, 119.333, 159, B19, S14, 1
B19, Trade, 126.000, 129, B19, S02, 1
