B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 11
B10, Trade, 6.133, 125, S04, B10, 1
B10, Trade, 12.867, 130, B10, S04, 1
B10, Trade, 25.517, 133, B10, S08, 1
B10, Trade, 85.833, 132, B10, S06, 1
B10, Trade, 192.167, 131, B10, S03, 1
B10, Trade, 201.200, 129, S08, B10, 1
B10, Trade, 207.350, 133, S03, B10, 1
B10, Trade, 261.417, 133, B10, S06, 1
B10, Trade, 272.333, 134, S08, B10, 1
B10, Trade, 276.700, 118, B10, S02, 1
B10, Trade, 299.200, 124, B10, S02, 1
B11, 0
B12, 0
B13, 9
B13, Trade, 49.917, 139, B13, S06, 1
B13, Trade, 86.217, 139, B13, S03, 1
B13, Trade, 91.317, 130, B13, S06, 1
B13, Trade, 169.917, 139, B13, S06, 1
B13, Trade, 189.467, 139, B13, S09, 1
B13, Trade, 199.083, 135, B13, S09, 1
B13, Trade, 233.000, 139, B13, S08, 1
B13, Trade, 254.317, 139, B13, S01, 1
B13, Trade, 297.300, 139, B13, S04, 1
B14, 2
B14, Trade, 247.500, 135, B14, S04, 1
B14, Trade, 267.050, 127, B14, S04, 1
B15, 4
B15, Trade, 131.083, 125, B15, S04, 1
B15, Trade, 182.817, 147, B15, S06, 1
B15, Trade, 194.600, 129, B15, S00, 1
B15, Trade, 269.933, 144, B15, S05, 1
B16, 5
B16, Trade, 40.567, 131, B16, S04, 1
B16, Trade, 47.683, 134, S08, B16, 1
B16, Trade, 50.683, 138, B16, S04, 1
B16, Trade, 61.133, 129, S04, B16, 1
B16, Trade, 98.417, 147, B16, S06, 1
B17, 5
B17, Trade, 18.467, 140, B17, S02, 1
B17, Trade, 36.467, 139, B17, S04, 1
B17, Trade, 211.550, 141, B17, S03, 1
B17, Trade, 244.750, 141, B17, S03, 1
B17, Trade, 246.917, 139, B17, S06, 1
B18, 22
B18, Trade, 5.217, 144, B18, S02, 1
B18, Trade, 34.383, 150, B18, S04, 1
B18, Trade, 38.017, 138, B18, S02, 1
B18, Trade, 43.150, 152, B18, S09, 1
B18, Trade, 49.700, 145, B18, S12, 1
B18, Trade, 82.517, 144, B18, S03, 1
B18, Trade, 109.367, 155, B18, S00, 1
B18, Trade, 117.667, 139, B18, S06, 1
B18, Trade, 150.200, 143, B18, S01, 1
B18, Trade, 152.200, 153, B18, S04, 1
B18, Trade, 157.567, 153, B18, S07, 1
B18, Trade, 167.117, 153, B18, S01, 1
B18, Trade, 171.417, 135, B18, S04, 1
B18, Trade, 177.200, 139, B18, S00, 1
B18, Trade, 184.717, 146, B18, S10, 1
B18, Trade, 187.950, 152, B18, S07, 1
B18, Trade, 193.550, 131, B18, S04, 1
B18, Trade, 223.517, 142, B18, S04, 1
B18, Trade, 228.083, 153, B18, S08, 1
B18, Trade, 279.550, 153, B18, S04, 1
B18, Trade, 287.167, 154, B18, S09, 1
B18, Trade, 294.733, 139, B18, S03, 1
B19, 8
B19, Trade, 67.250, 146, B19, S09, 1
B19, Trade, 99.567, 147, B19, S02, 1
B19, Trade, 124.783, 140, B19, S02, 1
B19, Trade, 149.667, 139, B19, S02, 1
B19, Trade, 154.933, 150, B19, S00, 1
B19, Trade, 182.133, 149, B19, S04, 1
B19, Trade, 223.167, 149, B19, S07, 1
B19, Trade, 262.983, 136, B19, S08, 1
B20, 24
B20, Trade, 5.500, 131, S09, B20, 1
B20, Trade, 13.483, 133, S08, B20, 1
B20, Trade, 15.233, 155, B20, S03, 1
B20, Trade, 31.783, 154, S00, B20, 1
B20, Trade, 40.450, 164, B20, S02, 1
B20, Trade, 71.917, 143, B20, S03, 1
B20, Trade, 82.267, 156, S08, B20, 1
B20, Trade, 87.000, 141, B20, S04, 1
B20, Trade, 149.133, 160, B20, S08, 1
B20, Trade, 155.717, 162, B20, S07, 1
B20, Trade, 163.217, 141, B20, S03, 1
B20, Trade, 169.050, 164, S09, B20, 1
B20, Trade, 175.067, 161, B20, S06, 1
B20, Trade, 201.867, 120, S06, B20, 1
B20, Trade, 213.367, 161, B20, S12, 1
B20, Trade, 235.517, 162, B20, S02, 1
B20, Trade, 241.083, 166, B20, S07, 1
B20, Trade, 250.200, 156, S01, B20, 1
B20, Trade, 251.583, 157, S04, B20, 1
B20, Trade, 262.650, 146, B20, S04, 1
B20, Trade, 276.600, 132, B20, S06, 1
B20, Trade, 283.850, 145, B20, S02, 1
B20, Trade, 289.333, 162, B20, S01, 1
B20, Trade, 297.667, 129, B20, S03, 1
B21, 37
B21, Trade, 32.467, 162, B21, S06, 1
B21, Trade, 37.333, 143, S08, B21, 1
B21, Trade, 41.767, 163, B21, S06, 1
B21, Trade, 56.633, 150, B21, S03, 1
B21, Trade, 65.583, 168, B21, S08, 1
B21, Trade, 70.583, 156, S12, B21, 1
B21, Trade, 77.133, 157, B21, S04, 1
B21, Trade, 81.533, 149, B21, S06, 1
B21, Trade, 104.400, 170, B21, S08, 1
B21, Trade, 106.867, 140, S04, B21, 1
B21, Trade, 113.100, 155, S06, B21, 1
B21, Trade, 116.967, 161, B21, S04, 1
B21, Trade, 122.583, 151, B21, S11, 1
B21, Trade, 126.950, 147, S06, B21, 1
B21, Trade, 136.267, 161, S09, B21, 1
B21, Trade, 141.767, 150, S04, B21, 1
B21, Trade, 147.100, 155, B21, S03, 1
B21, Trade, 151.983, 167, B21, S09, 1
B21, Trade, 162.650, 146, S09, B21, 1
B21, Trade, 166.417, 167, B21, S02, 1
B21, Trade, 172.817, 146, B21, S03, 1
B21, Trade, 180.533, 166, S13, B21, 1
B21, Trade, 182.533, 148, B21, S03, 1
B21, Trade, 190.167, 137, B21, S02, 1
B21, Trade, 192.183, 144, S09, B21, 1
B21, Trade, 200.500, 145, B21, S00, 1
B21, Trade, 210.250, 154, B21, S09, 1
B21, Trade, 215.467, 170, B21, S04, 1
B21, Trade, 238.217, 155, S12, B21, 1
B21, Trade, 243.517, 170, B21, S09, 1
B21, Trade, 247.783, 170, S09, B21, 1
B21, Trade, 251.567, 108, S02, B21, 1
B21, Trade, 271.883, 137, S04, B21, 1
B21, Trade, 276.483, 139, S09, B21, 1
B21, Trade, 286.750, 165, S06, B21, 1
B21, Trade, 293.350, 162, S01, B21, 1
B21, Trade, 298.417, 151, S09, B21, 1
B22, 44
B22, Trade, 5.700, 140, S08, B22, 1
B22, Trade, 11.583, 136, S09, B22, 1
B22, Trade, 18.000, 144, B22, S08, 1
B22, Trade, 22.483, 154, S04, B22, 1
B22, Trade, 30.500, 134, S03, B22, 1
B22, Trade, 36.167, 166, B22, S09, 1
B22, Trade, 42.600, 160, B22, S03, 1
B22, Trade, 47.900, 148, S10, B22, 1
B22, Trade, 50.883, 144, S03, B22, 1
B22, Trade, 60.950, 128, B22, S03, 1
B22, Trade, 65.783, 175, B22, S17, 1
B22, Trade, 72.067, 158, S14, B22, 1
B22, Trade, 79.600, 157, B22, S06, 1
B22, Trade, 82.883, 161, B22, S04, 1
B22, Trade, 85.967, 169, B22, S08, 1
B22, Trade, 94.367, 149, B22, S02, 1
B22, Trade, 97.633, 158, B22, S09, 1
B22, Trade, 110.817, 124, S03, B22, 1
B22, Trade, 119.650, 150, B22, S01, 1
B22, Trade, 122.833, 148, B22, S03, 1
B22, Trade, 129.217, 140, B22, S08, 1
B22, Trade, 132.783, 144, S08, B22, 1
B22, Trade, 137.467, 158, S17, B22, 1
B22, Trade, 142.767, 139, S05, B22, 1
B22, Trade, 152.833, 173, B22, S03, 1
B22, Trade, 157.267, 168, B22, S08, 1
B22, Trade, 162.833, 153, S05, B22, 1
B22, Trade, 171.617, 135, S00, B22, 1
B22, Trade, 178.300, 166, S03, B22, 1
B22, Trade, 186.367, 155, S08, B22, 1
B22, Trade, 192.317, 144, S06, B22, 1
B22, Trade, 204.667, 155, S11, B22, 1
B22, Trade, 223.683, 152, S08, B22, 1
B22, Trade, 228.833, 165, S05, B22, 1
B22, Trade, 232.517, 164, B22, S06, 1
B22, Trade, 240.050, 160, S17, B22, 1
B22, Trade, 242.733, 136, B22, S02, 1
B22, Trade, 247.683, 172, B22, S16, 1
B22, Trade, 256.733, 154, S09, B22, 1
B22, Trade, 266.533, 131, S09, B22, 1
B22, Trade, 282.467, 168, B22, S17, 1
B22, Trade, 287.850, 159, B22, S02, 1
B22, Trade, 295.467, 151, S00, B22, 1
B22, Trade, 297.017, 168, B22, S00, 1
B23, 33
B23, Trade, 5.117, 152, B23, S05, 1
B23, Trade, 11.467, 151, S10, B23, 1
B23, Trade, 25.583, 126, S03, B23, 1
B23, Trade, 31.167, 153, B23, S02, 1
B23, Trade, 41.000, 136, S07, B23, 1
B23, Trade, 62.083, 158, S09, B23, 1
B23, Trade, 72.450, 136, B23, S06, 1
B23, Trade, 78.550, 158, B23, S09, 1
B23, Trade, 86.883, 158, B23, S09, 1
B23, Trade, 90.683, 135, S08, B23, 1
B23, Trade, 107.217, 163, S17, B23, 1
B23, Trade, 111.217, 156, S09, B23, 1
B23, Trade, 119.567, 158, B23, S02, 1
B23, Trade, 121.850, 149, S09, B23, 1
B23, Trade, 126.383, 135, S09, B23, 1
B23, Trade, 135.733, 177, B23, S17, 1
B23, Trade, 146.867, 164, S07, B23, 1
B23, Trade, 159.750, 164, S03, B23, 1
B23, Trade, 172.700, 143, S05, B23, 1
B23, Trade, 186.850, 173, B23, S03, 1
B23, Trade, 205.283, 148, B23, S09, 1
B23, Trade, 209.583, 167, B23, S08, 1
B23, Trade, 212.250, 162, S06, B23, 1
B23, Trade, 220.633, 179, B23, S09, 1
B23, Trade, 225.067, 164, S01, B23, 1
B23, Trade, 237.167, 164, B23, S06, 1
B23, Trade, 243.733, 165, B23, S08, 1
B23, Trade, 247.867, 156, S03, B23, 1
B23, Trade, 254.283, 159, S12, B23, 1
B23, Trade, 257.733, 143, S08, B23, 1
B23, Trade, 265.350, 158, B23, S09, 1
B23, Trade, 270.650, 161, S08, B23, 1
B23, Trade, 271.483, 135, S03, B23, 1
B24, 13
B24, Trade, 33.450, 166, B24, S17, 1
B24, Trade, 43.283, 167, B24, S17, 1
B24, Trade, 117.083, 180, B24, S12, 1
B24, Trade, 125.150, 177, B24, S17, 1
B24, Trade, 137.850, 162, B24, S04, 1
B24, Trade, 141.200, 138, S06, B24, 1
B24, Trade, 148.333, 153, B24, S04, 1
B24, Trade, 171.133, 140, B24, S08, 1
B24, Trade, 197.600, 151, S11, B24, 1
B24, Trade, 202.483, 160, B24, S02, 1
B24, Trade, 219.917, 154, B24, S02, 1
B24, Trade, 238.433, 158, B24, S09, 1
B24, Trade, 292.767, 160, B24, S06, 1
B25, 37
B25, Trade, 6.650, 137, S11, B25, 1
B25, Trade, 12.600, 135, B25, S03, 1
B25, Trade, 16.583, 167, B25, S06, 1
B25, Trade, 35.100, 171, S15, B25, 1
B25, Trade, 35.517, 180, B25, S11, 1
