B00, 0
B01, 0
B02, 1
B02, Trade, 65.583, 105, B02, S01, 1
B03, 0
B04, 1
B04, Trade, 65.850, 110, B04, S00, 1
B05, 3
B05, Trade, 24.050, 117, B05, S04, 1
B05, Trade, 247.133, 113, B05, S00, 1
B05, Trade, 266.933, 112, B05, S01, 1
B06, 1
B06, Trade, 272.283, 115, B06, S01, 1
B07, 3
B07, Trade, 10.600, 124, B07, S00, 1
B07, Trade, 60.417, 109, S00, B07, 1
B07, Trade, 87.033, 119, B07, S04, 1
B08, 2
B08, Trade, 60.050, 122, B08, S04, 1
B08, Trade, 261.483, 112, B08, S01, 1
B09, 1
B09, Trade, 192.333, 119, B09, S01, 1
B10, 8
B10, Trade, 21.517, 134, B10, S01, 1
B10, Trade, 47.217, 134, S02, B10, 1
B10, Trade, 85.650, 133, B10, S00, 1
B10, Trade, 92.017, 126, S02, B10, 1
B10, Trade, 121.167, 118, B10, S02, 1
B10, Trade, 138.083, 134, B10, S03, 1
B10, Trade, 166.783, 132, S04, B10, 1
B10, Trade, 194.367, 133, B10, S02, 1
B11, 16
B11, Trade, 21.267, 136, B11, S00, 1
B11, Trade, 31.117, 135, B11, S02, 1
B11, Trade, 101.633, 125, B11, S00, 1
B11, Trade, 106.467, 137, B11, S01, 1
B11, Trade, 156.467, 102, S00, B11, 1
B11, Trade, 167.200, 134, B11, S01, 1
B11, Trade, 184.483, 125, B11, S04, 1
B11, Trade, 188.567, 137, B11, S01, 1
B11, Trade, 191.933, 136, B11, S00, 1
B11, Trade, 229.050, 134, B11, S04, 1
B11, Trade, 243.850, 134, S04, B11, 1
B11, Trade, 251.567, 124, B11, S00, 1
B11, Trade, 285.283, 127, B11, S01, 1
B11, Trade, 287.633, 129, B11, S02, 1
B11, Trade, 293.550, 119, S04, B11, 1
B11, Trade, 297.267, 137, B11, S04, 1
B12, 6
B12, Trade, 7.400, 137, B12, S03, 1
B12, Trade, 97.150, 117, B12, S03, 1
B12, Trade, 139.133, 122, B12, S04, 1
B12, Trade, 166.517, 130, B12, S02, 1
B12, Trade, 196.783, 133, B12, S00, 1
B12, Trade, 201.700, 125, B12, S00, 1
B13, 2
B13, Trade, 43.067, 118, S04, B13, 1
B13, Trade, 161.300, 131, B13, S04, 1
B14, 6
B14, Trade, 5.750, 144, B14, S05, 1
B14, Trade, 69.767, 136, B14, S10, 1
B14, Trade, 92.383, 129, B14, S00, 1
B14, Trade, 153.183, 131, B14, S01, 1
B14, Trade, 188.750, 136, B14, S06, 1
B14, Trade, 233.700, 138, B14, S01, 1
B15, 21
B15, Trade, 25.367, 128, B15, S00, 1
B15, Trade, 30.833, 145, B15, S00, 1
B15, Trade, 70.833, 138, B15, S01, 1
B15, Trade, 84.067, 138, B15, S00, 1
B15, Trade, 98.167, 147, B15, S12, 1
B15, Trade, 108.267, 129, B15, S03, 1
B15, Trade, 122.700, 146, B15, S01, 1
B15, Trade, 137.500, 149, B15, S01, 1
B15, Trade, 173.217, 149, S02, B15, 1
B15, Trade, 179.117, 133, S06, B15, 1
B15, Trade, 194.183, 144, B15, S08, 1
B15, Trade, 200.900, 148, B15, S05, 1
B15, Trade, 206.217, 116, S02, B15, 1
B15, Trade, 211.167, 114, B15, S00, 1
B15, Trade, 218.217, 135, B15, S03, 1
B15, Trade, 226.617, 145, B15, S02, 1
B15, Trade, 243.083, 128, S01, B15, 1
B15, Trade, 247.167, 111, B15, S01, 1
B15, Trade, 266.833, 145, B15, S02, 1
B15, Trade, 289.067, 130, S04, B15, 1
B15, Trade, 296.167, 140, S07, B15, 1
B16, 7
B16, Trade, 10.933, 137, B16, S02, 1
B16, Trade, 120.250, 142, B16, S05, 1
B16, Trade, 185.833, 144, B16, S03, 1
B16, Trade, 199.117, 147, B16, S11, 1
B16, Trade, 213.533, 128, S05, B16, 1
B16, Trade, 223.183, 126, S05, B16, 1
B16, Trade, 256.833, 108, S00, B16, 1
B17, 9
B17, Trade, 8.917, 147, B17, S06, 1
B17, Trade, 16.817, 145, B17, S06, 1
B17, Trade, 23.367, 144, B17, S11, 1
