B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 3
B12, Trade, 5.667, 123, B12, S02, 1
B12, Trade, 41.300, 136, B12, S01, 1
B12, Trade, 126.050, 130, B12, S01, 1
B13, 11
B13, Trade, 24.433, 132, B13, S01, 1
B13, Trade, 35.500, 137, B13, S09, 1
B13, Trade, 61.233, 142, B13, S09, 1
B13, Trade, 84.350, 137, B13, S05, 1
B13, Trade, 87.233, 142, B13, S05, 1
B13, Trade, 117.633, 143, B13, S01, 1
B13, Trade, 123.433, 131, B13, S02, 1
B13, Trade, 130.983, 141, B13, S02, 1
B13, Trade, 145.250, 140, S02, B13, 1
B13, Trade, 231.700, 137, B13, S05, 1
B13, Trade, 273.467, 143, B13, S11, 1
B14, 6
B14, Trade, 100.083, 145, B14, S03, 1
B14, Trade, 125.383, 146, B14, S05, 1
B14, Trade, 171.050, 118, S01, B14, 1
B14, Trade, 204.217, 133, B14, S01, 1
B14, Trade, 258.233, 143, B14, S11, 1
B14, Trade, 289.400, 145, B14, S05, 1
B15, 1
B15, Trade, 123.283, 140, B15, S00, 1
B16, 2
B16, Trade, 61.000, 139, B16, S04, 1
B16, Trade, 190.083, 140, B16, S01, 1
B17, 13
B17, Trade, 5.433, 144, S13, B17, 1
B17, Trade, 19.100, 151, B17, S01, 1
B17, Trade, 32.400, 143, B17, S05, 1
B17, Trade, 95.983, 139, S09, B17, 1
B17, Trade, 150.683, 144, B17, S01, 1
B17, Trade, 177.267, 151, B17, S09, 1
B17, Trade, 182.817, 141, B17, S05, 1
B17, Trade, 209.933, 156, B17, S13, 1
B17, Trade, 236.600, 155, B17, S13, 1
B17, Trade, 250.117, 157, B17, S02, 1
B17, Trade, 280.783, 154, B17, S02, 1
B17, Trade, 284.983, 136, B17, S01, 1
B17, Trade, 289.217, 147, B17, S09, 1
B18, 4
B18, Trade, 111.333, 154, B18, S13, 1
B18, Trade, 182.133, 144, B18, S02, 1
B18, Trade, 194.033, 149, B18, S10, 1
B18, Trade, 199.333, 158, B18, S05, 1
B19, 7
B19, Trade, 26.450, 151, B19, S09, 1
B19, Trade, 110.650, 146, B19, S02, 1
B19, Trade, 167.650, 143, B19, S08, 1
B19, Trade, 182.167, 133, B19, S03, 1
