B00, 0
B01, 0
B02, 1
B02, Trade, 110.750, 106, S02, B02, 1
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 10
B11, Trade, 8.567, 132, S08, B11, 1
B11, Trade, 24.733, 135, B11, S03, 1
B11, Trade, 27.850, 126, S05, B11, 1
B11, Trade, 52.167, 132, B11, S05, 1
B11, Trade, 91.300, 132, B11, S08, 1
B11, Trade, 126.217, 132, S08, B11, 1
B11, Trade, 233.500, 137, B11, S08, 1
B11, Trade, 252.317, 126, B11, S02, 1
B11, Trade, 262.300, 135, B11, S02, 1
B11, Trade, 298.833, 122, S05, B11, 1
B12, 7
B12, Trade, 58.050, 135, B12, S03, 1
B12, Trade, 71.300, 140, S06, B12, 1
B12, Trade, 91.100, 120, S01, B12, 1
B12, Trade, 110.467, 141, B12, S03, 1
B12, Trade, 140.450, 139, B12, S11, 1
B12, Trade, 213.800, 141, B12, S03, 1
B12, Trade, 288.400, 141, B12, S06, 1
B13, 0
B14, 14
B14, Trade, 6.250, 137, S11, B14, 1
B14, Trade, 55.283, 139, B14, S09, 1
B14, Trade, 60.817, 120, B14, S02, 1
B14, Trade, 72.267, 116, B14, S02, 1
B14, Trade, 80.833, 141, B14, S11, 1
B14, Trade, 118.850, 136, B14, S03, 1
B14, Trade, 146.767, 139, B14, S02, 1
B14, Trade, 172.300, 146, B14, S08, 1
B14, Trade, 187.950, 140, B14, S02, 1
B14, Trade, 206.817, 110, S02, B14, 1
B14, Trade, 254.283, 135, B14, S06, 1
B14, Trade, 261.150, 138, B14, S09, 1
B14, Trade, 276.183, 147, B14, S11, 1
B14, Trade, 277.700, 144, B14, S06, 1
B15, 6
B15, Trade, 8.700, 146, S06, B15, 1
B15, Trade, 54.200, 147, S13, B15, 1
B15, Trade, 141.200, 150, B15, S12, 1
B15, Trade, 198.167, 140, B15, S03, 1
B15, Trade, 226.367, 140, B15, S03, 1
B15, Trade, 262.100, 131, B15, S08, 1
B16, 5
B16, Trade, 103.633, 133, B16, S02, 1
B16, Trade, 123.750, 140, B16, S05, 1
B16, Trade, 216.383, 138, B16, S02, 1
B16, Trade, 267.733, 135, B16, S02, 1
B16, Trade, 299.400, 115, B16, S02, 1
B17, 10
B17, Trade, 6.100, 131, B17, S02, 1
B17, Trade, 83.083, 150, S10, B17, 1
B17, Trade, 86.383, 118, B17, S02, 1
B17, Trade, 96.050, 116, S02, B17, 1
B17, Trade, 125.167, 149, B17, S09, 1
B17, Trade, 139.817, 156, B17, S10, 1
B17, Trade, 167.650, 140, B17, S03, 1
B17, Trade, 202.550, 141, B17, S05, 1
B17, Trade, 236.950, 138, S06, B17, 1
B17, Trade, 242.917, 149, B17, S03, 1
B18, 11
B18, Trade, 33.533, 138, S06, B18, 1
B18, Trade, 40.100, 144, B18, S05, 1
B18, Trade, 40.367, 112, S02, B18, 1
B18, Trade, 51.200, 150, B18, S03, 1
B18, Trade, 73.217, 155, S09, B18, 1
B18, Trade, 90.817, 118, S05, B18, 1
B18, Trade, 103.183, 141, S03, B18, 1
B18, Trade, 132.400, 149, B18, S08, 1
B18, Trade, 192.133, 133, B18, S05, 1
B18, Trade, 229.967, 151, B18, S08, 1
B18, Trade, 277.083, 146, B18, S05, 1
B19, 9
B19, Trade, 6.833, 120, B19, S05, 1
B19, Trade, 30.217, 121, B19, S02, 1
B19, Trade, 47.033, 147, B19, S03, 1
B19, Trade, 63.750, 131, B19, S03, 1
B19, Trade, 76.350, 153, B19, S04, 1
B19, Trade, 167.783, 150, B19, S02, 1
B19, Trade, 223.867, 151, B19, S02, 1
B19, Trade, 228.283, 151, S13, B19, 1
B19, Trade, 298.350, 126, B19, S03, 1
B20, 6
B20, Trade, 86.067, 132, B20, S06, 1
B20, Trade, 143.450, 144, B20, S09, 1
B20, Trade, 211.800, 132, B20, S02, 1
B20, Trade, 233.933, 133, B20, S05, 1
B20, Trade, 262.733, 150, B20, S03, 1
B20, Trade, 284.750, 136, B20, S08, 1
B21, 46
B21, Trade, 6.950, 152, B21, S13, 1
B21, Trade, 14.000, 167, B21, S06, 1
B21, Trade, 15.967, 163, B21, S02, 1
B21, Trade, 23.950, 156, B21, S06, 1
B21, Trade, 25.417, 139, B21, S06, 1
B21, Trade, 31.850, 172, B21, S14, 1
B21, Trade, 37.400, 159, B21, S13, 1
B21, Trade, 40.800, 151, S01, B21, 1
B21, Trade, 47.850, 167, B21, S05, 1
B21, Trade, 61.133, 142, S12, B21, 1
B21, Trade, 67.517, 149, B21, S06, 1
B21, Trade, 70.667, 169, B21, S11, 1
B21, Trade, 76.367, 143, B21, S02, 1
B21, Trade, 85.833, 170, B21, S08, 1
B21, Trade, 93.400, 152, S14, B21, 1
B21, Trade, 98.767, 150, B21, S05, 1
B21, Trade, 103.617, 139, B21, S11, 1
B21, Trade, 109.567, 155, S01, B21, 1
B21, Trade, 112.983, 154, S12, B21, 1
B21, Trade, 116.817, 168, B21, S05, 1
B21, Trade, 128.033, 151, S09, B21, 1
B21, Trade, 137.683, 144, S03, B21, 1
B21, Trade, 143.617, 151, S07, B21, 1
B21, Trade, 149.883, 148, S14, B21, 1
B21, Trade, 155.700, 171, B21, S11, 1
B21, Trade, 160.767, 162, S09, B21, 1
B21, Trade, 168.800, 167, B21, S13, 1
