B00, 0
B01, 0
B02, 0
B03, 1
B03, Trade, 10.050, 105, B03, S01, 1
B04, 0
B05, 0
B06, 1
B06, Trade, 241.233, 116, S00, B06, 1
B07, 0
B08, 0
B09, 3
B09, Trade, 30.200, 104, B09, S01, 1
B09, Trade, 35.800, 120, B09, S01, 1
B09, Trade, 65.700, 126, B09, S01, 1
B10, 0
B11, 5
B11, Trade, 20.850, 135, B11, S01, 1
B11, Trade, 56.250, 137, B11, S08, 1
B11, Trade, 110.983, 129, B11, S01, 1
B11, Trade, 167.283, 130, B11, S01, 1
B11, Trade, 238.000, 128, B11, S01, 1
B12, 3
B12, Trade, 90.683, 111, B12, S01, 1
B12, Trade, 116.100, 137, B12, S01, 1
B12, Trade, 216.867, 137, B12, S10, 1
B13, 3
B13, Trade, 120.833, 127, S08, B13, 1
B13, Trade, 226.350, 138, B13, S08, 1
B13, Trade, 231.283, 108, S01, B13, 1
B14, 0
B15, 2
B15, Trade, 35.733, 123, B15, S05, 1
B15, Trade, 66.017, 120, B15, S00, 1
B16, 5
B16, Trade, 41.817, 145, B16, S01, 1
B16, Trade, 107.283, 137, B16, S01, 1
B16, Trade, 207.483, 142, B16, S01, 1
B16, Trade, 219.483, 142, B16, S00, 1
B16, Trade, 233.250, 138, B16, S00, 1
B17, 17
B17, Trade, 5.733, 150, S04, B17, 1
B17, Trade, 12.767, 150, B17, S09, 1
B17, Trade, 20.667, 139, B17, S08, 1
B17, Trade, 70.117, 147, B17, S11, 1
B17, Trade, 118.600, 138, B17, S08, 1
B17, Trade, 130.833, 157, B17, S11, 1
B17, Trade, 136.100, 109, S01, B17, 1
B17, Trade, 141.017, 127, S08, B17, 1
B17, Trade, 146.567, 157, B17, S08, 1
B17, Trade, 159.350, 154, B17, S10, 1
B17, Trade, 178.017, 154, B17, S01, 1
B17, Trade, 181.167, 148, B17, S01, 1
B17, Trade, 191.300, 127, B17, S01, 1
B17, Trade, 213.383, 142, S05, B17, 1
B17, Trade, 228.283, 133, B17, S00, 1
B17, Trade, 267.283, 158, B17, S08, 1
B17, Trade, 284.967, 153, B17, S00, 1
B18, 0
B19, 17
B19, Trade, 8.183, 152, S05, B19, 1
B19, Trade, 17.900, 164, B19, S00, 1
B19, Trade, 45.500, 125, B19, S01, 1
B19, Trade, 55.583, 111, S01, B19, 1
B19, Trade, 72.917, 157, B19, S08, 1
B19, Trade, 81.350, 155, B19, S08, 1
