B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 1
B13, Trade, 73.667, 142, B13, S09, 1
B14, 2
B14, Trade, 115.017, 140, B14, S05, 1
B14, Trade, 276.283, 144, B14, S05, 1
B15, 7
B15, Trade, 70.483, 139, B15, S08, 1
B15, Trade, 116.383, 141, B15, S08, 1
B15, Trade, 152.017, 148, B15, S09, 1
B15, Trade, 166.517, 148, B15, S08, 1
B15, Trade, 180.533, 135, B15, S05, 1
B15, Trade, 182.417, 130, B15, S05, 1
B15, Trade, 206.550, 140, B15, S08, 1
B16, 6
B16, Trade, 12.617, 138, B16, S09, 1
B16, Trade, 21.583, 149, B16, S08, 1
B16, Trade, 30.717, 148, B16, S02, 1
B16, Trade, 121.017, 134, B16, S08, 1
B16, Trade, 171.683, 144, S08, B16, 1
B16, Trade, 226.683, 143, S01, B16, 1
B17, 1
B17, Trade, 201.383, 151, B17, S08, 1
B18, 12
B18, Trade, 49.033, 154, B18, S08, 1
B18, Trade, 60.900, 158, S08, B18, 1
B18, Trade, 93.400, 162, S07, B18, 1
B18, Trade, 144.750, 155, B18, S05, 1
B18, Trade, 156.050, 161, B18, S08, 1
B18, Trade, 161.767, 160, S15, B18, 1
B18, Trade, 182.033, 131, S08, B18, 1
B18, Trade, 207.650, 140, B18, S09, 1
B18, Trade, 223.200, 158, B18, S15, 1
B18, Trade, 234.917, 157, S04, B18, 1
B18, Trade, 240.233, 137, B18, S09, 1
B18, Trade, 258.200, 145, S01, B18, 1
B19, 6
B19, Trade, 5.933, 133, B19, S05, 1
B19, Trade, 45.233, 157, S08, B19, 1
B19, Trade, 91.433, 126, S01, B19, 1
B19, Trade, 164.400, 153, B19, S02, 1
B19, Trade, 226.783, 132, B19, S08, 1
B19, Trade, 286.700, 148, S09, B19, 1
B20, 15
B20, Trade, 6.117, 151, S15, B20, 1
B20, Trade, 12.317, 155, S02, B20, 1
B20, Trade, 32.650, 164, B20, S05, 1
B20, Trade, 48.100, 153, S01, B20, 1
B20, Trade, 61.933, 156, B20, S00, 1
B20, Trade, 107.567, 150, B20, S05, 1
B20, Trade, 112.800, 145, B20, S00, 1
B20, Trade, 137.400, 162, B20, S00, 1
B20, Trade, 143.583, 153, S00, B20, 1
B20, Trade, 193.650, 163, B20, S06, 1
B20, Trade, 219.300, 165, S13, B20, 1
B20, Trade, 251.650, 154, B20, S06, 1
B20, Trade, 259.917, 151, S05, B20, 1
B20, Trade, 283.200, 163, B20, S08, 1
B20, Trade, 287.717, 156, B20, S08, 1
B21, 19
B21, Trade, 7.950, 160, S17, B21, 1
B21, Trade, 12.983, 136, B21, S08, 1
B21, Trade, 50.683, 138, S08, B21, 1
B21, Trade, 70.267, 169, B21, S00, 1
B21, Trade, 88.200, 146, S01, B21, 1
B21, Trade, 111.400, 152, B21, S03, 1
B21, Trade, 137.967, 164, B21, S09, 1
B21, Trade, 140.933, 149, B21, S08, 1
B21, Trade, 161.717, 157, S08, B21, 1
B21, Trade, 169.483, 146, S01, B21, 1
B21, Trade, 189.367, 171, B21, S18, 1
B21, Trade, 197.650, 157, S09, B21, 1
B21, Trade, 227.183, 136, S04, B21, 1
B21, Trade, 237.633, 162, B21, S03, 1
B21, Trade, 247.650, 164, B21, S04, 1
B21, Trade, 255.550, 170, B21, S00, 1
B21, Trade, 258.933, 146, S09, B21, 1
B21, Trade, 262.200, 161, B21, S08, 1
B21, Trade, 278.933, 169, B21, S08, 1
B22, 11
B22, Trade, 9.183, 134, B22, S00, 1
B22, Trade, 17.017, 160, B22, S11, 1
B22, Trade, 36.533, 150, B22, S06, 1
B22, Trade, 41.350, 148, B22, S05, 1
B22, Trade, 95.567, 138, B22, S05, 1
B22, Trade, 101.650, 153, B22, S08, 1
B22, Trade, 125.667, 159, B22, S09, 1
B22, Trade, 148.733, 155, B22, S00, 1
B22, Trade, 178.067, 155, B22, S08, 1
B22, Trade, 255.883, 156, B22, S05, 1
B22, Trade, 275.300, 147, B22, S04, 1
B23, 16
B23, Trade, 14.533, 146, B23, S05, 1
B23, Trade, 19.850, 169, S19, B23, 1
B23, Trade, 22.233, 159, S01, B23, 1
B23, Trade, 31.083, 159, B23, S00, 1
B23, Trade, 36.250, 165, B23, S09, 1
B23, Trade, 50.883, 145, B23, S00, 1
B23, Trade, 58.817, 162, B23, S05, 1
B23, Trade, 63.583, 159, B23, S02, 1
B23, Trade, 90.683, 142, S09, B23, 1
B23, Trade, 97.533, 172, B23, S08, 1
