B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 9
B11, Trade, 18.033, 137, B11, S06, 1
B11, Trade, 46.850, 136, B11, S03, 1
B11, Trade, 59.350, 136, B11, S03, 1
B11, Trade, 94.250, 135, B11, S01, 1
B11, Trade, 101.750, 132, B11, S02, 1
B11, Trade, 155.183, 135, B11, S06, 1
B11, Trade, 171.467, 134, B11, S03, 1
B11, Trade, 216.683, 132, B11, S02, 1
B11, Trade, 224.283, 134, B11, S05, 1
B12, 3
B12, Trade, 133.250, 130, B12, S06, 1
B12, Trade, 200.017, 128, B12, S06, 1
B12, Trade, 225.333, 131, B12, S06, 1
B13, 1
B13, Trade, 86.100, 127, B13, S02, 1
B14, 8
B14, Trade, 12.783, 138, S06, B14, 1
B14, Trade, 86.900, 148, B14, S03, 1
B14, Trade, 122.883, 142, B14, S03, 1
B14, Trade, 152.617, 139, S08, B14, 1
B14, Trade, 228.950, 137, B14, S05, 1
B14, Trade, 257.683, 143, B14, S00, 1
B14, Trade, 264.467, 147, B14, S02, 1
B14, Trade, 292.983, 140, S02, B14, 1
B15, 5
B15, Trade, 64.250, 143, B15, S11, 1
B15, Trade, 163.300, 129, B15, S02, 1
B15, Trade, 240.900, 137, S06, B15, 1
B15, Trade, 242.150, 147, S11, B15, 1
B15, Trade, 254.133, 146, B15, S05, 1
B16, 15
B16, Trade, 7.600, 153, B16, S04, 1
B16, Trade, 38.133, 142, B16, S05, 1
B16, Trade, 84.117, 153, B16, S12, 1
B16, Trade, 126.833, 155, B16, S06, 1
B16, Trade, 132.933, 142, B16, S02, 1
B16, Trade, 140.667, 154, B16, S12, 1
B16, Trade, 142.933, 146, B16, S02, 1
B16, Trade, 153.533, 140, B16, S01, 1
B16, Trade, 157.200, 120, B16, S02, 1
B16, Trade, 163.233, 140, S03, B16, 1
B16, Trade, 204.700, 151, B16, S07, 1
B16, Trade, 218.100, 133, B16, S05, 1
B16, Trade, 260.433, 150, S12, B16, 1
B16, Trade, 264.200, 149, B16, S05, 1
B16, Trade, 277.500, 151, B16, S00, 1
B17, 2
B17, Trade, 195.883, 147, B17, S08, 1
B17, Trade, 298.250, 136, B17, S02, 1
B18, 23
B18, Trade, 8.467, 144, B18, S08, 1
B18, Trade, 11.650, 154, B18, S00, 1
B18, Trade, 23.683, 159, B18, S03, 1
B18, Trade, 51.633, 146, B18, S12, 1
B18, Trade, 102.317, 137, S09, B18, 1
B18, Trade, 107.233, 154, S05, B18, 1
B18, Trade, 112.933, 151, B18, S00, 1
B18, Trade, 117.550, 159, B18, S11, 1
B18, Trade, 136.800, 152, B18, S07, 1
B18, Trade, 142.333, 158, B18, S03, 1
B18, Trade, 147.283, 150, B18, S11, 1
B18, Trade, 167.967, 149, B18, S06, 1
B18, Trade, 183.983, 150, S02, B18, 1
B18, Trade, 200.983, 159, S17, B18, 1
B18, Trade, 201.400, 147, S01, B18, 1
B18, Trade, 215.917, 152, B18, S02, 1
B18, Trade, 217.667, 160, B18, S04, 1
B18, Trade, 222.883, 152, B18, S09, 1
B18, Trade, 233.033, 149, B18, S02, 1
B18, Trade, 244.650, 150, B18, S08, 1
B18, Trade, 276.733, 151, B18, S03, 1
B18, Trade, 287.450, 141, S02, B18, 1
B18, Trade, 293.467, 160, S05, B18, 1
B19, 20
B19, Trade, 17.000, 152, B19, S11, 1
B19, Trade, 23.117, 151, B19, S06, 1
B19, Trade, 27.483, 150, B19, S05, 1
B19, Trade, 32.750, 128, B19, S02, 1
B19, Trade, 49.017, 148, B19, S04, 1
B19, Trade, 51.217, 157, B19, S07, 1
B19, Trade, 72.383, 128, B19, S02, 1
B19, Trade, 99.983, 157, B19, S05, 1
B19, Trade, 110.067, 142, B19, S01, 1
B19, Trade, 118.783, 157, B19, S02, 1
B19, Trade, 146.117, 139, B19, S02, 1
B19, Trade, 169.733, 157, B19, S05, 1
B19, Trade, 180.283, 157, B19, S07, 1
B19, Trade, 194.217, 157, B19, S02, 1
B19, Trade, 198.417, 131, B19, S03, 1
B19, Trade, 222.633, 137, B19, S02, 1
B19, Trade, 240.350, 139, B19, S03, 1
B19, Trade, 249.467, 157, B19, S02, 1
B19, Trade, 278.567, 143, B19, S05, 1
B19, Trade, 282.633, 148, B19, S02, 1
B20, 44
B20, Trade, 7.983, 145, S05, B20, 1
B20, Trade, 21.567, 166, B20, S17, 1
B20, Trade, 26.033, 168, B20, S11, 1
B20, Trade, 31.100, 146, B20, S05, 1
B20, Trade, 36.133, 159, S17, B20, 1
B20, Trade, 48.683, 161, S05, B20, 1
B20, Trade, 52.967, 147, B20, S01, 1
B20, Trade, 56.167, 136, S08, B20, 1
B20, Trade, 63.017, 153, S07, B20, 1
B20, Trade, 70.317, 149, B20, S08, 1
B20, Trade, 71.683, 140, S08, B20, 1
B20, Trade, 82.500, 165, B20, S08, 1
B20, Trade, 86.150, 120, S05, B20, 1
B20, Trade, 92.800, 156, B20, S09, 1
B20, Trade, 96.533, 168, B20, S03, 1
B20, Trade, 109.833, 160, S17, B20, 1
B20, Trade, 116.617, 167, B20, S01, 1
B20, Trade, 121.967, 160, B20, S11, 1
B20, Trade, 127.317, 153, B20, S15, 1
B20, Trade, 137.450, 159, S17, B20, 1
B20, Trade, 143.267, 152, B20, S09, 1
B20, Trade, 146.717, 137, B20, S08, 1
B20, Trade, 152.433, 148, B20, S02, 1
B20, Trade, 156.267, 153, B20, S08, 1
B20, Trade, 162.633, 136, S06, B20, 1
B20, Trade, 172.700, 168, B20, S09, 1
B20, Trade, 176.483, 166, B20, S06, 1
B20, Trade, 183.000, 156, B20, S12, 1
B20, Trade, 192.633, 161, B20, S07, 1
B20, Trade, 197.433, 159, S07, B20, 1
B20, Trade, 203.100, 156, B20, S11, 1
B20, Trade, 208.217, 164, B20, S08, 1
B20, Trade, 212.700, 158, B20, S04, 1
B20, Trade, 224.967, 162, B20, S15, 1
B20, Trade, 226.517, 145, S03, B20, 1
B20, Trade, 234.550, 164, B20, S12, 1
B20, Trade, 238.633, 159, B20, S02, 1
B20, Trade, 241.783, 163, B20, S02, 1
B20, Trade, 247.483, 157, B20, S00, 1
B20, Trade, 254.517, 155, S03, B20, 1
B20, Trade, 256.683, 155, B20, S05, 1
B20, Trade, 262.533, 138, S03, B20, 1
B20, Trade, 272.667, 158, S17, B20, 1
B20, Trade, 292.250, 141, S11, B20, 1
B21, 22
B21, Trade, 47.733, 151, B21, S13, 1
B21, Trade, 59.650, 158, S05, B21, 1
B21, Trade, 64.550, 159, S08, B21, 1
B21, Trade, 71.900, 134, B21, S05, 1
B21, Trade, 86.783, 150, B21, S09, 1
B21, Trade, 101.083, 166, B21, S05, 1
B21, Trade, 108.383, 159, S12, B21, 1
B21, Trade, 118.967, 138, B21, S06, 1
B21, Trade, 127.300, 160, S17, B21, 1
B21, Trade, 152.067, 149, S12, B21, 1
B21, Trade, 168.600, 158, B21, S03, 1
B21, Trade, 171.583, 147, B21, S13, 1
B21, Trade, 188.283, 162, B21, S13, 1
B21, Trade, 200.117, 139, S11, B21, 1
B21, Trade, 235.250, 150, B21, S01, 1
B21, Trade, 237.383, 151, B21, S09, 1
B21, Trade, 256.800, 146, B21, S02, 1
B21, Trade, 268.917, 158, S17, B21, 1
B21, Trade, 278.283, 145, S11, B21, 1
B21, Trade, 282.467, 155, B21, S06, 1
B21, Trade, 291.200, 154, S12, B21, 1
B21, Trade, 294.517, 158, S17, B21, 1
B22, 49
B22, Trade, 5.783, 138, B22, S03, 1
B22, Trade, 13.617, 161, S12, B22, 1
B22, Trade, 22.117, 165, B22, S11, 1
B22, Trade, 29.150, 158, S02, B22, 1
B22, Trade, 31.517, 152, S03, B22, 1
B22, Trade, 35.617, 158, S02, B22, 1
B22, Trade, 49.233, 163, B22, S09, 1
B22, Trade, 52.917, 157, B22, S03, 1
B22, Trade, 56.250, 150, S02, B22, 1
B22, Trade, 62.050, 160, B22, S02, 1
B22, Trade, 65.583, 158, S17, B22, 1
B22, Trade, 71.800, 148, S03, B22, 1
B22, Trade, 76.067, 145, B22, S11, 1
B22, Trade, 80.683, 168, B22, S05, 1
B22, Trade, 92.633, 142, B22, S05, 1
B22, Trade, 97.700, 150, B22, S09, 1
B22, Trade, 101.350, 163, B22, S03, 1
B22, Trade, 106.167, 148, S11, B22, 1
B22, Trade, 118.483, 171, B22, S03, 1
B22, Trade, 129.183, 163, B22, S01, 1
B22, Trade, 134.217, 164, B22, S01, 1
B22, Trade, 138.567, 170, B22, S08, 1
B22, Trade, 146.067, 145, B22, S03, 1
B22, Trade, 151.367, 175, B22, S03, 1
B22, Trade, 158.367, 154, S07, B22, 1
B22, Trade, 162.267, 152, S09, B22, 1
B22, Trade, 166.433, 157, B22, S10, 1
B22, Trade, 174.417, 159, B22, S08, 1
B22, Trade, 178.783, 159, B22, S17, 1
B22, Trade, 192.000, 161, B22, S17, 1
B22, Trade, 196.917, 146, B22, S09, 1
B22, Trade, 201.583, 152, S03, B22, 1
B22, Trade, 208.650, 147, S09, B22, 1
B22, Trade, 213.517, 157, S06, B22, 1
B22, Trade, 223.200, 156, S03, B22, 1
B22, Trade, 227.500, 158, S01, B22, 1
B22, Trade, 232.067, 134, S03, B22, 1
B22, Trade, 236.950, 147, S11, B22, 1
B22, Trade, 245.150, 158, S03, B22, 1
B22, Trade, 246.733, 152, S11, B22, 1
B22, Trade, 252.633, 167, B22, S15, 1
B22, Trade, 258.750, 158, S07, B22, 1
B22, Trade, 266.033, 163, S17, B22, 1
B22, Trade, 272.583, 151, B22, S03, 1
B22, Trade, 277.967, 159, S17, B22, 1
B22, Trade, 282.500, 166, S12, B22, 1
B22, Trade, 286.900, 154, B22, S13, 1
B22, Trade, 292.533, 135, B22, S09, 1
B22, Trade, 296.767, 134, B22, S06, 1
B23, 22
B23, Trade, 5.383, 154, B23, S01, 1
B23, Trade, 10.583, 158, S17, B23, 1
B23, Trade, 15.217, 141, S08, B23, 1
B23, Trade, 22.800, 164, B23, S05, 1
B23, Trade, 60.283, 158, S17, B23, 1
B23, Trade, 64.700, 143, B23, S01, 1
B23, Trade, 72.450, 152, S15, B23, 1
B23, Trade, 76.683, 175, B23, S03, 1
B23, Trade, 86.517, 172, B23, S17, 1
B23, Trade, 96.400, 167, B23, S08, 1
B23, Trade, 111.883, 166, S08, B23, 1
B23, Trade, 131.233, 124, S05, B23, 1
B23, Trade, 146.317, 141, B23, S09, 1
B23, Trade, 161.400, 163, S08, B23, 1
B23, Trade, 168.417, 172, B23, S11, 1
B23, Trade, 187.317, 165, B23, S05, 1
B23, Trade, 211.900, 146, S11, B23, 1
B23, Trade, 229.000, 136, B23, S08, 1
B23, Trade, 239.433, 157, S07, B23, 1
B23, Trade, 268.633, 153, B23, S11, 1
B23, Trade, 274.150, 145, B23, S08, 1
B23, Trade, 276.550, 139, S08, B23, 1
B24, 28
B24, Trade, 13.467, 135, B24, S03, 1
B24, Trade, 35.600, 136, S08, B24, 1
B24, Trade, 40.717, 137, S06, B24, 1
B24, Trade, 48.050, 165, S17, B24, 1
B24, Trade, 67.250, 143, B24, S06, 1
B24, Trade, 80.600, 158, S17, B24, 1
B24, Trade, 85.767, 143, S11, B24, 1
B24, Trade, 92.567, 160, S17, B24, 1
B24, Trade, 102.817, 162, S17, B24, 1
B24, Trade, 107.050, 153, S09, B24, 1
B24, Trade, 112.817, 153, S15, B24, 1
B24, Trade, 116.450, 168, B24, S08, 1
B24, Trade, 121.100, 135, B24, S06, 1
B24, Trade, 148.083, 148, S12, B24, 1
B24, Trade, 152.933, 158, S17, B24, 1
B24, Trade, 164.267, 160, S17, B24, 1
B24, Trade, 175.583, 146, B24, S02, 1
B24, Trade, 181.883, 175, B24, S17, 1
B24, Trade, 187.167, 168, B24, S09, 1
B24, Trade, 198.600, 146, S08, B24, 1
B24, Trade, 210.167, 162, S17, B24, 1
B24, Trade, 215.283, 156, S12, B24, 1
B24, Trade, 240.267, 144, S12, B24, 1
B24, Trade, 242.450, 142, B24, S01, 1
B24, Trade, 274.583, 159, S01, B24, 1
B24, Trade, 284.267, 166, S11, B24, 1
B24, Trade, 290.517, 159, S05, B24, 1
B24, Trade, 292.267, 138, B24, S01, 1
B25, 14
B25, Trade, 16.833, 159, B25, S17, 1
B25, Trade, 26.883, 161, S17, B25, 1
B25, Trade, 39.983, 143, S01, B25, 1
B25, Trade, 45.800, 149, S11, B25, 1
B25, Trade, 79.100, 159, S13, B25, 1
B25, Trade, 86.067, 154, B25, S06, 1
B25, Trade, 92.517, 146, B25, S08, 1
B25, Trade, 106.567, 150, S08, B25, 1
B25, Trade, 140.317, 162, B25, S03, 1
B25, Trade, 157.150, 127, S03, B25, 1
B25, Trade, 173.417, 158, S05, B25, 1
B25, Trade, 189.367, 154, B25, S11, 1
B25, Trade, 225.467, 166, S17, B25, 1
B25, Trade, 283.533, 160, B25, S17, 1
B26, 39
B26, Trade, 9.750, 149, S09, B26, 1
B26, Trade, 10.083, 132, S05, B26, 1
B26, Trade, 15.583, 148, S10, B26, 1
B26, Trade, 20.250, 171, B26, S19, 1
B26, Trade, 26.467, 186, B26, S03, 1
B26, Trade, 31.633, 158, S17, B26, 1
B26, Trade, 37.683, 148, B26, S11, 1
B26, Trade, 44.583, 148, B26, S05, 1
B26, Trade, 61.400, 165, S03, B26, 1
B26, Trade, 69.633, 170, B26, S03, 1
B26, Trade, 73.100, 162, S17, B26, 1
B26, Trade, 81.050, 149, B26, S03, 1
B26, Trade, 87.617, 171, S00, B26, 1
B26, Trade, 91.583, 157, S13, B26, 1
B26, Trade, 97.617, 160, S17, B26, 1
B26, Trade, 102.783, 153, S11, B26, 1
B26, Trade, 110.050, 181, S15, B26, 1
B26, Trade, 112.200, 160, B26, S03, 1
B26, Trade, 120.850, 153, B26, S02, 1
B26, Trade, 144.117, 158, S06, B26, 1
B26, Trade, 146.467, 147, S00, B26, 1
B26, Trade, 151.933, 154, S07, B26, 1
B26, Trade, 160.450, 158, S05, B26, 1
B26, Trade, 162.217, 149, S13, B26, 1
B26, Trade, 174.000, 159, S17, B26, 1
B26, Trade, 195.117, 158, B26, S11, 1
B26, Trade, 201.883, 158, S17, B26, 1
B26, Trade, 206.517, 158, S15, B26, 1
B26, Trade, 216.800, 163, B26, S06, 1
B26, Trade, 223.733, 152, B26, S11, 1
B26, Trade, 232.417, 159, S17, B26, 1
B26, Trade, 238.200, 173, S08, B26, 1
B26, Trade, 243.667, 148, S06, B26, 1
B26, Trade, 252.617, 174, B26, S17, 1
B26, Trade, 256.783, 171, S14, B26, 1
B26, Trade, 264.400, 148, S06, B26, 1
B26, Trade, 274.933, 160, S05, B26, 1
B26, Trade, 283.333, 171, B26, S13, 1
B26, Trade, 287.850, 160, S11, B26, 1
B27, 27
B27, Trade, 13.217, 140, S08, B27, 1
B27, Trade, 30.383, 137, B27, S08, 1
B27, Trade, 42.533, 141, S09, B27, 1
B27, Trade, 46.517, 141, B27, S08, 1
B27, Trade, 63.233, 158, S17, B27, 1
B27, Trade, 72.133, 151, S09, B27, 1
B27, Trade, 75.800, 165, B27, S17, 1
B27, Trade, 85.883, 186, B27, S08, 1
B27, Trade, 90.800, 156, B27, S06, 1
B27, Trade, 96.067, 157, B27, S02, 1
B27, Trade, 113.450, 158, S17, B27, 1
B27, Trade, 116.517, 183, S13, B27, 1
B27, Trade, 122.667, 163, S17, B27, 1
B27, Trade, 128.217, 160, S12, B27, 1
B27, Trade, 142.167, 174, B27, S00, 1
B27, Trade, 153.583, 175, S13, B27, 1
B27, Trade, 163.567, 155, S05, B27, 1
B27, Trade, 185.817, 138, S05, B27, 1
B27, Trade, 187.267, 173, S17, B27, 1
B27, Trade, 194.450, 167, B27, S13, 1
B27, Trade, 202.350, 152, B27, S08, 1
B27, Trade, 236.400, 168, B27, S05, 1
B27, Trade, 244.367, 160, S17, B27, 1
B27, Trade, 269.817, 177, S18, B27, 1
B27, Trade, 278.733, 143, S09, B27, 1
B27, Trade, 289.433, 165, B27, S06, 1
B27, Trade, 298.117, 146, B27, S05, 1
B28, 40
B28, Trade, 7.250, 155, B28, S02, 1
B28, Trade, 12.767, 131, S01, B28, 1
B28, Trade, 19.133, 170, S03, B28, 1
B28, Trade, 30.033, 168, B28, S12, 1
B28, Trade, 50.183, 143, B28, S02, 1
B28, Trade, 51.233, 151, B28, S09, 1
B28, Trade, 60.933, 159, B28, S06, 1
B28, Trade, 69.517, 179, B28, S05, 1
B28, Trade, 72.800, 151, S11, B28, 1
B28, Trade, 77.633, 188, S25, B28, 1
B28, Trade, 81.450, 151, S11, B28, 1
