B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 0
B14, 2
B14, Trade, 8.450, 146, B14, S09, 1
B14, Trade, 20.533, 148, B14, S07, 1
B15, 16
B15, Trade, 10.850, 139, B15, S02, 1
B15, Trade, 22.100, 147, B15, S05, 1
B15, Trade, 32.300, 147, B15, S13, 1
B15, Trade, 60.450, 127, B15, S05, 1
B15, Trade, 105.533, 150, B15, S12, 1
B15, Trade, 114.067, 145, B15, S05, 1
B15, Trade, 176.500, 137, B15, S08, 1
B15, Trade, 195.317, 150, S00, B15, 1
B15, Trade, 196.517, 148, B15, S02, 1
B15, Trade, 202.967, 151, B15, S13, 1
B15, Trade, 223.933, 148, B15, S08, 1
B15, Trade, 228.767, 147, B15, S01, 1
B15, Trade, 236.083, 146, B15, S12, 1
B15, Trade, 241.600, 140, B15, S08, 1
B15, Trade, 267.267, 148, B15, S13, 1
B15, Trade, 287.333, 150, S05, B15, 1
B16, 8
B16, Trade, 7.300, 147, S12, B16, 1
B16, Trade, 12.167, 141, B16, S00, 1
B16, Trade, 35.217, 137, S09, B16, 1
B16, Trade, 44.717, 154, B16, S15, 1
B16, Trade, 110.500, 153, B16, S07, 1
B16, Trade, 147.017, 154, B16, S13, 1
B16, Trade, 155.817, 152, S05, B16, 1
B16, Trade, 229.317, 145, B16, S08, 1
B17, 43
B17, Trade, 6.583, 134, S05, B17, 1
B17, Trade, 10.267, 146, S13, B17, 1
B17, Trade, 16.850, 153, B17, S11, 1
B17, Trade, 21.800, 156, B17, S12, 1
B17, Trade, 27.983, 147, B17, S05, 1
B17, Trade, 41.567, 157, B17, S08, 1
B17, Trade, 45.417, 138, S08, B17, 1
B17, Trade, 50.983, 144, S06, B17, 1
B17, Trade, 56.450, 154, B17, S08, 1
B17, Trade, 60.867, 152, B17, S12, 1
B17, Trade, 73.333, 156, B17, S13, 1
B17, Trade, 76.017, 155, B17, S00, 1
B17, Trade, 87.200, 157, B17, S03, 1
B17, Trade, 90.950, 157, B17, S05, 1
B17, Trade, 96.083, 134, S08, B17, 1
B17, Trade, 100.767, 156, B17, S08, 1
B17, Trade, 107.350, 157, B17, S00, 1
B17, Trade, 113.400, 153, S06, B17, 1
B17, Trade, 126.633, 153, B17, S05, 1
B17, Trade, 141.183, 144, S13, B17, 1
B17, Trade, 145.917, 145, S09, B17, 1
B17, Trade, 153.667, 154, B17, S13, 1
B17, Trade, 156.733, 158, S12, B17, 1
B17, Trade, 170.700, 152, B17, S09, 1
B17, Trade, 171.933, 155, B17, S04, 1
B17, Trade, 176.900, 154, B17, S00, 1
B17, Trade, 185.167, 158, B17, S08, 1
B17, Trade, 187.717, 155, B17, S02, 1
B17, Trade, 193.217, 155, B17, S12, 1
B17, Trade, 197.167, 158, B17, S13, 1
B17, Trade, 202.367, 153, B17, S08, 1
B17, Trade, 212.700, 153, B17, S09, 1
B17, Trade, 221.450, 150, B17, S09, 1
B17, Trade, 230.417, 154, B17, S07, 1
B17, Trade, 231.317, 148, B17, S13, 1
B17, Trade, 243.967, 148, B17, S00, 1
B17, Trade, 247.717, 156, B17, S09, 1
B17, Trade, 253.850, 151, B17, S08, 1
B17, Trade, 262.700, 156, B17, S05, 1
B17, Trade, 273.200, 147, B17, S09, 1
B17, Trade, 279.117, 156, B17, S08, 1
B17, Trade, 284.133, 152, B17, S00, 1
B17, Trade, 290.267, 155, S02, B17, 1
B18, 3
B18, Trade, 28.817, 148, B18, S04, 1
B18, Trade, 236.733, 131, S09, B18, 1
B18, Trade, 267.817, 139, S09, B18, 1
B19, 19
B19, Trade, 5.633, 147, S13, B19, 1
B19, Trade, 59.267, 165, B19, S05, 1
B19, Trade, 65.417, 150, B19, S09, 1
B19, Trade, 86.950, 157, B19, S09, 1
B19, Trade, 91.783, 144, S13, B19, 1
B19, Trade, 105.150, 146, S01, B19, 1
B19, Trade, 106.683, 158, B19, S05, 1
B19, Trade, 113.467, 164, S03, B19, 1
B19, Trade, 146.650, 160, B19, S01, 1
B19, Trade, 168.300, 163, B19, S08, 1
B19, Trade, 193.867, 151, B19, S05, 1
B19, Trade, 204.700, 152, S02, B19, 1
B19, Trade, 213.700, 163, B19, S13, 1
B19, Trade, 217.650, 165, B19, S07, 1
B19, Trade, 222.717, 153, S04, B19, 1
B19, Trade, 254.300, 158, S09, B19, 1
B19, Trade, 264.200, 165, B19, S07, 1
B19, Trade, 286.133, 146, B19, S03, 1
B19, Trade, 297.267, 147, B19, S12, 1
B20, 14
B20, Trade, 26.883, 146, B20, S09, 1
B20, Trade, 49.783, 159, B20, S05, 1
B20, Trade, 88.100, 165, B20, S00, 1
B20, Trade, 106.767, 159, B20, S01, 1
B20, Trade, 117.133, 163, B20, S09, 1
B20, Trade, 135.683, 159, S04, B20, 1
B20, Trade, 136.300, 139, B20, S08, 1
B20, Trade, 156.533, 153, B20, S04, 1
B20, Trade, 168.583, 162, B20, S10, 1
B20, Trade, 182.550, 166, S10, B20, 1
B20, Trade, 189.050, 165, B20, S07, 1
B20, Trade, 194.600, 146, B20, S07, 1
B20, Trade, 216.567, 160, S09, B20, 1
B20, Trade, 297.050, 148, S13, B20, 1
B21, 21
B21, Trade, 19.550, 152, B21, S03, 1
B21, Trade, 30.950, 154, B21, S09, 1
B21, Trade, 35.883, 160, B21, S13, 1
B21, Trade, 45.967, 160, B21, S12, 1
B21, Trade, 55.217, 145, B21, S12, 1
B21, Trade, 64.933, 160, B21, S01, 1
B21, Trade, 67.883, 156, B21, S08, 1
B21, Trade, 77.817, 160, B21, S09, 1
B21, Trade, 125.133, 160, B21, S05, 1
B21, Trade, 133.767, 153, B21, S09, 1
B21, Trade, 142.917, 131, B21, S05, 1
B21, Trade, 161.733, 160, B21, S13, 1
B21, Trade, 174.633, 154, B21, S07, 1
B21, Trade, 179.650, 160, B21, S13, 1
B21, Trade, 217.683, 160, B21, S02, 1
B21, Trade, 235.683, 155, B21, S00, 1
B21, Trade, 242.883, 150, B21, S13, 1
B21, Trade, 247.650, 160, B21, S15, 1
B21, Trade, 282.500, 160, B21, S01, 1
B21, Trade, 292.767, 160, B21, S08, 1
B21, Trade, 298.867, 150, B21, S01, 1
B22, 27
B22, Trade, 19.100, 172, B22, S12, 1
B22, Trade, 20.467, 160, B22, S13, 1
B22, Trade, 25.467, 166, B22, S13, 1
B22, Trade, 39.333, 171, B22, S02, 1
B22, Trade, 42.683, 155, B22, S13, 1
B22, Trade, 52.283, 173, B22, S13, 1
B22, Trade, 58.400, 163, S13, B22, 1
B22, Trade, 77.667, 175, B22, S08, 1
B22, Trade, 81.233, 144, B22, S09, 1
B22, Trade, 94.750, 143, B22, S08, 1
B22, Trade, 97.983, 173, B22, S12, 1
B22, Trade, 101.950, 135, S09, B22, 1
B22, Trade, 124.417, 172, B22, S12, 1
B22, Trade, 128.350, 155, B22, S08, 1
B22, Trade, 133.200, 160, B22, S13, 1
B22, Trade, 144.483, 171, B22, S18, 1
B22, Trade, 153.183, 173, B22, S08, 1
B22, Trade, 171.667, 158, B22, S05, 1
B22, Trade, 189.283, 144, B22, S01, 1
B22, Trade, 192.383, 175, S16, B22, 1
B22, Trade, 209.550, 164, B22, S10, 1
B22, Trade, 237.600, 171, B22, S15, 1
B22, Trade, 241.367, 132, S09, B22, 1
B22, Trade, 270.317, 168, B22, S02, 1
B22, Trade, 272.167, 172, B22, S08, 1
B22, Trade, 287.417, 164, S09, B22, 1
B22, Trade, 299.617, 148, B22, S05, 1
B23, 11
B23, Trade, 10.967, 162, B23, S08, 1
B23, Trade, 25.033, 156, B23, S10, 1
B23, Trade, 52.717, 158, B23, S09, 1
B23, Trade, 67.600, 166, B23, S10, 1
B23, Trade, 88.117, 155, B23, S08, 1
B23, Trade, 117.700, 160, B23, S12, 1
B23, Trade, 182.800, 158, B23, S13, 1
B23, Trade, 224.083, 146, B23, S06, 1
B23, Trade, 264.917, 153, S13, B23, 1
B23, Trade, 280.000, 156, B23, S05, 1
B23, Trade, 288.183, 157, B23, S08, 1
B24, 29
B24, Trade, 5.400, 141, S08, B24, 1
B24, Trade, 10.567, 153, S03, B24, 1
B24, Trade, 16.567, 177, B24, S13, 1
B24, Trade, 29.983, 174, B24, S17, 1
B24, Trade, 30.400, 162, S10, B24, 1
B24, Trade, 48.433, 163, S17, B24, 1
B24, Trade, 63.050, 175, B24, S21, 1
B24, Trade, 66.700, 175, B24, S05, 1
B24, Trade, 78.450, 163, B24, S05, 1
B24, Trade, 96.217, 144, S13, B24, 1
B24, Trade, 107.600, 162, S12, B24, 1
