,avg_profit1,run_n,k,F
128,241.2,0,4,0.0
289,37.9,0,4,0.2
312,704.6,0,4,0.4
278,71.5,0,4,0.6
475,351.9,0,4,0.8
571,559.7,0,4,1.1
846,268.7,0,4,1.3
178,395.8,0,4,1.5
258,385.3,0,4,1.7
813,228.1,0,4,2.0
697,403.6,0,8,0.0
327,294.1,0,8,0.2
191,386.4,0,8,0.4
426,250.0,0,8,0.6
417,120.7,0,8,0.8
183,218.9,0,8,1.1
585,192.8,0,8,1.3
381,356.9,0,8,1.5
284,159.4,0,8,1.7
416,467.1,0,8,2.0
320,72.7,0,16,0.0
114,576.4,0,16,0.2
18,326.6,0,16,0.4
795,286.3,0,16,0.6
612,472.0,0,16,0.8
602,491.4,0,16,1.1
344,276.0,0,16,1.3
32,691.2,0,16,1.5
698,152.8,0,16,1.7
497,407.2,0,16,2.0
481,534.3,0,32,0.0
741,477.8,0,32,0.2
473,324.6,0,32,0.4
541,350.5,0,32,0.6
399,132.2,0,32,0.8
282,452.8,0,32,1.1
535,500.9,0,32,1.3
563,543.0,0,32,1.5
95,545.1,0,32,1.7
410,412.5,0,32,2.0
603,514.1,0,64,0.0
882,168.9,0,64,0.2
429,466.6,0,64,0.4
264,110.0,0,64,0.6
539,196.9,0,64,0.8
733,623.0,0,64,1.1
852,348.8,0,64,1.3
542,93.4,0,64,1.5
362,203.4,0,64,1.7
786,467.0,0,64,2.0
587,352.1,0,128,0.0
759,360.3,0,128,0.2
876,294.4,0,128,0.4
523,237.0,0,128,0.6
794,223.7,0,128,0.8
559,386.9,0,128,1.1
368,179.7,0,128,1.3
598,647.0,0,128,1.5
498,554.6,0,128,1.7
12,334.1,0,128,2.0
7,592.7,0,256,0.0
675,258.8,0,256,0.2
41,708.2,0,256,0.4
634,299.6,0,256,0.6
462,172.6,0,256,0.8
385,272.7,0,256,1.1
175,363.4,0,256,1.3
711,331.6,0,256,1.5
501,366.3,0,256,1.7
26,302.3,0,256,2.0
427,451.9,0,512,0.0
401,31.9,0,512,0.2
646,522.4,0,512,0.4
761,435.6,0,512,0.6
677,262.5,0,512,0.8
71,137.9,0,512,1.1
824,168.0,0,512,1.3
806,170.9,0,512,1.5
279,230.8,0,512,1.7
117,91.0,0,512,2.0
66,168.3,0,1024,0.0
668,345.6,0,1024,0.2
376,226.7,0,1024,0.4
132,592.9,0,1024,0.6
56,355.4,0,1024,0.8
133,131.7,0,1024,1.1
2,228.8,0,1024,1.3
478,194.5,0,1024,1.5
54,112.7,0,1024,1.7
831,489.4,0,1024,2.0
895,666.9,1,4,0.0
682,306.7,1,4,0.2
661,471.6,1,4,0.4
651,288.8,1,4,0.6
512,294.1,1,4,0.8
321,108.4,1,4,1.1
518,340.6,1,4,1.3
825,296.8,1,4,1.5
525,741.4,1,4,1.7
669,282.5,1,4,2.0
732,421.2,1,8,0.0
663,63.3,1,8,0.2
372,207.2,1,8,0.4
550,426.4,1,8,0.6
140,329.4,1,8,0.8
611,454.6,1,8,1.1
850,442.6,1,8,1.3
742,191.3,1,8,1.5
801,210.9,1,8,1.7
208,421.2,1,8,2.0
674,257.1,1,16,0.0
246,280.0,1,16,0.2
765,57.6,1,16,0.4
93,353.7,1,16,0.6
233,236.5,1,16,0.8
469,491.8,1,16,1.1
450,384.1,1,16,1.3
694,168.8,1,16,1.5
358,318.9,1,16,1.7
599,365.8,1,16,2.0
829,510.5,1,32,0.0
13,475.2,1,32,0.2
433,348.3,1,32,0.4
215,195.6,1,32,0.6
640,513.5,1,32,0.8
419,198.4,1,32,1.1
295,547.7,1,32,1.3
373,438.8,1,32,1.5
638,878.7,1,32,1.7
471,216.3,1,32,2.0
35,10.3,1,64,0.0
593,211.5,1,64,0.2
313,308.9,1,64,0.4
557,662.7,1,64,0.6
454,388.6,1,64,0.8
488,471.4,1,64,1.1
99,429.5,1,64,1.3
187,373.4,1,64,1.5
330,499.6,1,64,1.7
686,136.5,1,64,2.0
772,404.0,1,128,0.0
138,430.1,1,128,0.2
509,241.9,1,128,0.4
734,370.5,1,128,0.6
458,453.5,1,128,0.8
837,416.4,1,128,1.1
617,606.8,1,128,1.3
100,403.9,1,128,1.5
211,744.4,1,128,1.7
423,384.1,1,128,2.0
91,390.9,1,256,0.0
575,206.8,1,256,0.2
428,359.4,1,256,0.4
828,213.7,1,256,0.6
574,441.0,1,256,0.8
238,213.8,1,256,1.1
230,520.7,1,256,1.3
654,716.4,1,256,1.5
851,67.6,1,256,1.7
644,417.8,1,256,2.0
190,345.9,1,512,0.0
290,289.2,1,512,0.2
242,606.3,1,512,0.4
268,272.4,1,512,0.6
304,359.0,1,512,0.8
870,662.2,1,512,1.1
451,395.2,1,512,1.3
487,250.5,1,512,1.5
859,397.9,1,512,1.7
881,244.4,1,512,2.0
173,572.9,1,1024,0.0
496,518.2,1,1024,0.2
170,413.3,1,1024,0.4
328,234.4,1,1024,0.6
108,123.3,1,1024,0.8
351,208.9,1,1024,1.1
799,297.1,1,1024,1.3
272,89.8,1,1024,1.5
456,162.4,1,1024,1.7
408,284.0,1,1024,2.0
854,443.8,2,4,0.0
764,259.9,2,4,0.2
590,249.6,2,4,0.4
432,317.3,2,4,0.6
636,214.8,2,4,0.8
513,680.0,2,4,1.1
30,332.4,2,4,1.3
306,316.0,2,4,1.5
699,522.0,2,4,1.7
37,271.1,2,4,2.0
69,243.9,2,8,0.0
92,63.9,2,8,0.2
323,347.6,2,8,0.4
147,468.2,2,8,0.6
639,300.1,2,8,0.8
174,70.5,2,8,1.1
136,238.7,2,8,1.3
151,313.3,2,8,1.5
400,164.4,2,8,1.7
676,430.4,2,8,2.0
79,315.3,2,16,0.0
858,356.2,2,16,0.2
9,373.1,2,16,0.4
39,274.4,2,16,0.6
63,247.7,2,16,0.8
123,245.9,2,16,1.1
164,476.6,2,16,1.3
803,167.3,2,16,1.5
125,247.8,2,16,1.7
521,430.2,2,16,2.0
294,202.9,2,32,0.0
620,45.2,2,32,0.2
604,434.5,2,32,0.4
461,300.9,2,32,0.6
827,402.7,2,32,0.8
349,266.6,2,32,1.1
713,640.5,2,32,1.3
307,198.1,2,32,1.5
626,516.1,2,32,1.7
822,205.6,2,32,2.0
568,303.6,2,64,0.0
367,314.8,2,64,0.2
583,175.6,2,64,0.4
522,382.3,2,64,0.6
102,184.6,2,64,0.8
443,138.0,2,64,1.1
340,361.9,2,64,1.3
331,512.8,2,64,1.5
844,384.1,2,64,1.7
744,90.5,2,64,2.0
343,883.4,2,128,0.0
505,361.0,2,128,0.2
647,173.0,2,128,0.4
386,189.6,2,128,0.6
375,242.3,2,128,0.8
752,256.1,2,128,1.1
435,182.2,2,128,1.3
862,369.7,2,128,1.5
793,436.2,2,128,1.7
892,630.7,2,128,2.0
689,430.8,2,256,0.0
482,368.4,2,256,0.2
82,430.9,2,256,0.4
728,537.7,2,256,0.6
548,290.5,2,256,0.8
738,763.0,2,256,1.1
470,349.3,2,256,1.3
747,162.0,2,256,1.5
391,388.4,2,256,1.7
113,492.5,2,256,2.0
554,266.2,2,512,0.0
779,309.8,2,512,0.2
792,331.5,2,512,0.4
750,462.0,2,512,0.6
625,377.6,2,512,0.8
856,491.3,2,512,1.1
397,475.8,2,512,1.3
616,175.0,2,512,1.5
260,345.1,2,512,1.7
16,393.6,2,512,2.0
378,215.1,2,1024,0.0
361,475.5,2,1024,0.2
705,256.1,2,1024,0.4
788,530.9,2,1024,0.6
109,264.6,2,1024,0.8
463,328.9,2,1024,1.1
880,196.0,2,1024,1.3
510,449.4,2,1024,1.5
273,447.5,2,1024,1.7
883,355.6,2,1024,2.0
684,565.5,3,4,0.0
