,trade,best_bid,best_offer,trader_name0,total_profit0,traders_number0,avg_profit0,trader_name1,total_profit1,traders_number1,avg_profit1,trader_name2,total_profit2,traders_number2,avg_profit2,trader_name3,total_profit3,traders_number3,avg_profit3,trader_name4,total_profit4,traders_number4,avg_profit4,trader_name5,total_profit5,traders_number5,avg_profit5,run_n,k,F
591,300.0,183.0,192.0, GVWY,5370.0,10.0,537.0, PRDE,2864.0,10.1,286.4, SHVR,5963.0,10.2,596.3, SNPR,1935.0,10.3,193.5, ZIC,2667.0,10.4,266.7, ZIP,9348.0,10.5,934.8,0,4,0.0
412,300.0,171.0,179.0, GVWY,10128.0,10.0,1012.8, PRDE,2774.0,10.1,277.4, SHVR,7525.0,10.2,752.5, SNPR,1993.0,10.3,199.3, ZIC,763.0,10.4,76.3, ZIP,4561.0,10.5,456.1,0,4,0.2
111,300.0,175.0,197.0, GVWY,8777.0,10.0,877.7, PRDE,1858.0,10.1,185.8, SHVR,6049.0,10.2,604.9, SNPR,1958.0,10.3,195.8, ZIC,3513.0,10.4,351.3, ZIP,6284.0,10.5,628.4,0,4,0.4
848,300.0,164.0,189.0, GVWY,8798.0,10.0,879.8, PRDE,4133.0,10.1,413.3, SHVR,6025.0,10.2,602.5, SNPR,1325.0,10.3,132.5, ZIC,6120.0,10.4,612.0, ZIP,3650.0,10.5,365.0,0,4,0.6
85,300.0,169.0,200.0, GVWY,6801.0,10.0,680.1, PRDE,1459.0,10.1,145.9, SHVR,8608.0,10.2,860.8, SNPR,2063.0,10.3,206.3, ZIC,2987.0,10.4,298.7, ZIP,5509.0,10.5,550.9,0,4,0.8
853,300.0,178.0,192.0, GVWY,5833.0,10.0,583.3, PRDE,4016.0,10.1,401.6, SHVR,10103.0,10.2,1010.3, SNPR,1371.0,10.3,137.1, ZIC,4665.0,10.4,466.5, ZIP,5535.0,10.5,553.5,0,4,1.1
308,300.0,177.0,193.0, GVWY,11537.0,10.0,1153.7, PRDE,4483.0,10.1,448.3, SHVR,8481.0,10.2,848.1, SNPR,120.0,10.3,12.0, ZIC,4704.0,10.4,470.4, ZIP,6540.0,10.5,654.0,0,4,1.3
52,300.0,167.0,182.0, GVWY,2770.0,10.0,277.0, PRDE,3835.0,10.1,383.5, SHVR,9402.0,10.2,940.2, SNPR,1805.0,10.3,180.5, ZIC,3968.0,10.4,396.8, ZIP,6552.0,10.5,655.2,0,4,1.5
108,300.0,178.0,183.0, GVWY,5924.0,10.0,592.4, PRDE,2903.0,10.1,290.3, SHVR,6249.0,10.2,624.9, SNPR,1193.0,10.3,119.3, ZIC,3812.0,10.4,381.2, ZIP,9546.0,10.5,954.6,0,4,1.7
174,300.0,198.0,213.0, GVWY,5506.0,10.0,550.6, PRDE,1160.0,10.1,116.0, SHVR,9511.0,10.2,951.1, SNPR,1162.0,10.3,116.2, ZIC,4418.0,10.4,441.8, ZIP,6900.0,10.5,690.0,0,4,2.0
376,300.0,179.0,188.0, GVWY,11028.0,10.0,1102.8, PRDE,2297.0,10.1,229.7, SHVR,5916.0,10.2,591.6, SNPR,545.0,10.3,54.5, ZIC,4226.0,10.4,422.6, ZIP,5656.0,10.5,565.6,0,8,0.0
547,300.0,180.0,206.0, GVWY,6778.0,10.0,677.8, PRDE,7293.0,10.1,729.3, SHVR,5223.0,10.2,522.3, SNPR,1484.0,10.3,148.4, ZIC,1774.0,10.4,177.4, ZIP,8734.0,10.5,873.4,0,8,0.2
139,300.0,173.0,192.0, GVWY,8025.0,10.0,802.5, PRDE,3055.0,10.1,305.5, SHVR,4509.0,10.2,450.9, SNPR,1164.0,10.3,116.4, ZIC,3949.0,10.4,394.9, ZIP,5267.0,10.5,526.7,0,8,0.4
393,300.0,162.0,201.0, GVWY,8369.0,10.0,836.9, PRDE,4201.0,10.1,420.1, SHVR,4857.0,10.2,485.7, SNPR,2117.0,10.3,211.7, ZIC,2671.0,10.4,267.1, ZIP,6205.0,10.5,620.5,0,8,0.6
892,300.0,185.0,194.0, GVWY,6916.0,10.0,691.6, PRDE,3268.0,10.1,326.8, SHVR,3794.0,10.2,379.4, SNPR,1810.0,10.3,181.0, ZIC,3331.0,10.4,333.1, ZIP,7648.0,10.5,764.8,0,8,0.8
83,300.0,180.0,199.0, GVWY,6290.0,10.0,629.0, PRDE,2325.0,10.1,232.5, SHVR,5295.0,10.2,529.5, SNPR,959.0,10.3,95.9, ZIC,3423.0,10.4,342.3, ZIP,10086.0,10.5,1008.6,0,8,1.1
633,300.0,178.0,187.0, GVWY,10771.0,10.0,1077.1, PRDE,3247.0,10.1,324.7, SHVR,7368.0,10.2,736.8, SNPR,955.0,10.3,95.5, ZIC,3023.0,10.4,302.3, ZIP,7647.0,10.5,764.7,0,8,1.3
250,300.0,185.0,195.0, GVWY,5070.0,10.0,507.0, PRDE,3077.0,10.1,307.7, SHVR,7063.0,10.2,706.3, SNPR,1641.0,10.3,164.1, ZIC,2397.0,10.4,239.7, ZIP,7688.0,10.5,768.8,0,8,1.5
460,300.0,171.0,188.0, GVWY,6003.0,10.0,600.3, PRDE,3467.0,10.1,346.7, SHVR,8249.0,10.2,824.9, SNPR,2593.0,10.3,259.3, ZIC,1964.0,10.4,196.4, ZIP,2717.0,10.5,271.7,0,8,1.7
789,300.0,178.0,188.0, GVWY,3106.0,10.0,310.6, PRDE,2347.0,10.1,234.7, SHVR,10178.0,10.2,1017.8, SNPR,1689.0,10.3,168.9, ZIC,4921.0,10.4,492.1, ZIP,2615.0,10.5,261.5,0,8,2.0
659,300.0,174.0,190.0, GVWY,9648.0,10.0,964.8, PRDE,3992.0,10.1,399.2, SHVR,10065.0,10.2,1006.5, SNPR,1234.0,10.3,123.4, ZIC,2587.0,10.4,258.7, ZIP,4718.0,10.5,471.8,0,16,0.0
240,300.0,176.0,188.0, GVWY,10636.0,10.0,1063.6, PRDE,1486.0,10.1,148.6, SHVR,8916.0,10.2,891.6, SNPR,1199.0,10.3,119.9, ZIC,2271.0,10.4,227.1, ZIP,5200.0,10.5,520.0,0,16,0.2
82,300.0,178.0,186.0, GVWY,5880.0,10.0,588.0, PRDE,2479.0,10.1,247.9, SHVR,4775.0,10.2,477.5, SNPR,1472.0,10.3,147.2, ZIC,6167.0,10.4,616.7, ZIP,2975.0,10.5,297.5,0,16,0.4
655,300.0,178.0,193.0, GVWY,12980.0,10.0,1298.0, PRDE,655.0,10.1,65.5, SHVR,10089.0,10.2,1008.9, SNPR,680.0,10.3,68.0, ZIC,4303.0,10.4,430.3, ZIP,4723.0,10.5,472.3,0,16,0.6
891,300.0,176.0,192.0, GVWY,7152.0,10.0,715.2, PRDE,6330.0,10.1,633.0, SHVR,10311.0,10.2,1031.1, SNPR,1115.0,10.3,111.5, ZIC,1902.0,10.4,190.2, ZIP,7187.0,10.5,718.7,0,16,0.8
602,300.0,175.0,180.0, GVWY,6088.0,10.0,608.8, PRDE,4466.0,10.1,446.6, SHVR,4956.0,10.2,495.6, SNPR,1260.0,10.3,126.0, ZIC,3604.0,10.4,360.4, ZIP,6941.0,10.5,694.1,0,16,1.1
188,300.0,176.0,188.0, GVWY,11159.0,10.0,1115.9, PRDE,1325.0,10.1,132.5, SHVR,6503.0,10.2,650.3, SNPR,1969.0,10.3,196.9, ZIC,2124.0,10.4,212.4, ZIP,4032.0,10.5,403.2,0,16,1.3
542,300.0,183.0,187.0, GVWY,9083.0,10.0,908.3, PRDE,2545.0,10.1,254.5, SHVR,7127.0,10.2,712.7, SNPR,1722.0,10.3,172.2, ZIC,494.0,10.4,49.4, ZIP,11259.0,10.5,1125.9,0,16,1.5
