,avg_profit1,run_n,k,F
591,286.4,0,4,0.0
412,277.4,0,4,0.2
111,185.8,0,4,0.4
848,413.3,0,4,0.6
85,145.9,0,4,0.8
853,401.6,0,4,1.1
308,448.3,0,4,1.3
52,383.5,0,4,1.5
108,290.3,0,4,1.7
174,116.0,0,4,2.0
376,229.7,0,8,0.0
547,729.3,0,8,0.2
139,305.5,0,8,0.4
393,420.1,0,8,0.6
892,326.8,0,8,0.8
83,232.5,0,8,1.1
633,324.7,0,8,1.3
250,307.7,0,8,1.5
460,346.7,0,8,1.7
789,234.7,0,8,2.0
659,399.2,0,16,0.0
240,148.6,0,16,0.2
82,247.9,0,16,0.4
655,65.5,0,16,0.6
891,633.0,0,16,0.8
602,446.6,0,16,1.1
188,132.5,0,16,1.3
542,254.5,0,16,1.5
112,440.1,0,16,1.7
525,716.6,0,16,2.0
625,309.6,0,32,0.0
360,857.5,0,32,0.2
182,443.5,0,32,0.4
19,658.8,0,32,0.6
274,538.8,0,32,0.8
76,183.8,0,32,1.1
679,279.9,0,32,1.3
450,116.3,0,32,1.5
598,321.4,0,32,1.7
724,424.3,0,32,2.0
845,241.7,0,64,0.0
392,405.1,0,64,0.2
88,514.2,0,64,0.4
567,503.8,0,64,0.6
270,335.1,0,64,0.8
773,414.0,0,64,1.1
852,254.8,0,64,1.3
657,499.7,0,64,1.5
297,250.9,0,64,1.7
826,238.8,0,64,2.0
575,472.7,0,128,0.0
57,358.3,0,128,0.2
788,138.0,0,128,0.4
504,363.6,0,128,0.6
879,135.0,0,128,0.8
385,333.3,0,128,1.1
838,176.1,0,128,1.3
558,229.4,0,128,1.5
449,206.3,0,128,1.7
527,483.3,0,128,2.0
803,730.8,0,256,0.0
166,654.4,0,256,0.2
49,203.8,0,256,0.4
795,83.8,0,256,0.6
398,317.1,0,256,0.8
306,275.2,0,256,1.1
272,425.6,0,256,1.3
383,256.1,0,256,1.5
519,544.6,0,256,1.7
100,455.0,0,256,2.0
524,436.1,0,512,0.0
143,418.0,0,512,0.2
715,330.9,0,512,0.4
502,179.1,0,512,0.6
222,458.7,0,512,0.8
309,704.8,0,512,1.1
124,271.7,0,512,1.3
796,661.5,0,512,1.5
133,267.4,0,512,1.7
461,155.8,0,512,2.0
168,109.8,0,1024,0.0
239,288.3,0,1024,0.2
294,595.7,0,1024,0.4
8,366.3,0,1024,0.6
217,378.4,0,1024,0.8
131,373.1,0,1024,1.1
307,259.4,0,1024,1.3
512,519.6,0,1024,1.5
594,355.5,0,1024,1.7
415,380.6,0,1024,2.0
99,349.4,1,4,0.0
584,487.5,1,4,0.2
102,279.2,1,4,0.4
851,392.9,1,4,0.6
176,639.6,1,4,0.8
97,456.6,1,4,1.1
645,253.1,1,4,1.3
471,447.8,1,4,1.5
418,218.8,1,4,1.7
876,442.0,1,4,2.0
337,378.2,1,8,0.0
134,154.9,1,8,0.2
221,248.8,1,8,0.4
399,292.2,1,8,0.6
212,492.3,1,8,0.8
619,327.3,1,8,1.1
391,564.8,1,8,1.3
148,298.3,1,8,1.5
898,507.7,1,8,1.7
273,628.8,1,8,2.0
6,275.6,1,16,0.0
214,657.3,1,16,0.2
822,72.4,1,16,0.4
62,108.8,1,16,0.6
283,581.0,1,16,0.8
1,371.6,1,16,1.1
545,228.1,1,16,1.3
35,448.0,1,16,1.5
130,177.7,1,16,1.7
107,204.0,1,16,2.0
341,87.9,1,32,0.0
570,206.8,1,32,0.2
843,356.1,1,32,0.4
624,274.6,1,32,0.6
153,455.7,1,32,0.8
528,150.1,1,32,1.1
676,277.6,1,32,1.3
622,506.2,1,32,1.5
747,459.2,1,32,1.7
492,270.2,1,32,2.0
631,710.9,1,64,0.0
731,301.6,1,64,0.2
444,142.7,1,64,0.4
26,388.0,1,64,0.6
284,428.1,1,64,0.8
837,457.4,1,64,1.1
38,152.0,1,64,1.3
569,397.7,1,64,1.5
269,339.8,1,64,1.7
243,680.4,1,64,2.0
869,688.2,1,128,0.0
871,359.0,1,128,0.2
632,400.8,1,128,0.4
718,251.5,1,128,0.6
87,223.4,1,128,0.8
216,146.9,1,128,1.1
292,263.1,1,128,1.3
847,198.8,1,128,1.5
472,451.3,1,128,1.7
365,577.9,1,128,2.0
451,359.6,1,256,0.0
66,579.5,1,256,0.2
508,445.6,1,256,0.4
797,169.3,1,256,0.6
839,262.8,1,256,0.8
218,143.7,1,256,1.1
734,273.4,1,256,1.3
563,329.7,1,256,1.5
162,281.2,1,256,1.7
123,433.6,1,256,2.0
455,171.7,1,512,0.0
2,429.3,1,512,0.2
544,384.3,1,512,0.4
317,259.3,1,512,0.6
336,454.8,1,512,0.8
330,219.6,1,512,1.1
281,306.4,1,512,1.3
310,405.5,1,512,1.5
278,335.6,1,512,1.7
79,175.2,1,512,2.0
296,199.6,1,1024,0.0
311,403.7,1,1024,0.2
599,198.3,1,1024,0.4
266,381.6,1,1024,0.6
116,131.7,1,1024,0.8
384,113.0,1,1024,1.1
300,301.5,1,1024,1.3
513,538.2,1,1024,1.5
749,695.4,1,1024,1.7
737,382.2,1,1024,2.0
408,230.3,2,4,0.0
621,149.4,2,4,0.2
819,669.1,2,4,0.4
64,271.4,2,4,0.6
285,550.0,2,4,0.8
772,144.1,2,4,1.1
438,380.1,2,4,1.3
101,401.3,2,4,1.5
759,326.8,2,4,1.7
561,202.4,2,4,2.0
884,291.3,2,8,0.0
792,393.5,2,8,0.2
723,221.4,2,8,0.4
91,532.9,2,8,0.6
23,292.9,2,8,0.8
86,639.4,2,8,1.1
814,331.8,2,8,1.3
326,437.2,2,8,1.5
104,485.1,2,8,1.7
121,527.5,2,8,2.0
242,405.1,2,16,0.0
775,303.5,2,16,0.2
287,285.5,2,16,0.4
849,409.6,2,16,0.6
127,381.3,2,16,0.8
572,311.7,2,16,1.1
347,369.7,2,16,1.3
729,147.9,2,16,1.5
172,418.4,2,16,1.7
555,179.4,2,16,2.0
40,162.4,2,32,0.0
466,212.8,2,32,0.2
863,422.9,2,32,0.4
264,760.6,2,32,0.6
510,414.5,2,32,0.8
691,267.8,2,32,1.1
717,211.5,2,32,1.3
210,229.1,2,32,1.5
207,437.4,2,32,1.7
864,127.5,2,32,2.0
709,173.0,2,64,0.0
827,79.8,2,64,0.2
448,595.0,2,64,0.4
485,362.3,2,64,0.6
479,354.0,2,64,0.8
352,449.9,2,64,1.1
488,364.0,2,64,1.3
157,151.0,2,64,1.5
890,199.7,2,64,1.7
63,378.5,2,64,2.0
164,441.4,2,128,0.0
443,974.0,2,128,0.2
301,119.5,2,128,0.4
167,745.3,2,128,0.6
834,332.7,2,128,0.8
875,512.1,2,128,1.1
356,688.0,2,128,1.3
237,426.8,2,128,1.5
765,134.5,2,128,1.7
231,660.7,2,128,2.0
609,296.2,2,256,0.0
369,342.2,2,256,0.2
893,298.5,2,256,0.4
98,156.2,2,256,0.6
712,331.7,2,256,0.8
291,345.6,2,256,1.1
13,131.2,2,256,1.3
185,430.3,2,256,1.5
707,239.0,2,256,1.7
887,446.8,2,256,2.0
390,259.8,2,512,0.0
349,332.5,2,512,0.2
536,596.0,2,512,0.4
732,323.6,2,512,0.6
312,315.3,2,512,0.8
137,421.7,2,512,1.1
44,343.0,2,512,1.3
825,471.0,2,512,1.5
279,242.1,2,512,1.7
181,337.0,2,512,2.0
14,366.9,2,1024,0.0
529,158.0,2,1024,0.2
254,256.3,2,1024,0.4
293,491.9,2,1024,0.6
114,797.3,2,1024,0.8
815,392.8,2,1024,1.1
630,357.3,2,1024,1.3
223,398.4,2,1024,1.5
577,156.0,2,1024,1.7
817,437.0,2,1024,2.0
586,327.6,3,4,0.0
457,119.2,3,4,0.2
611,255.6,3,4,0.4
562,582.3,3,4,0.6
