,k,F,avg_profit
0,4,0.0,288.97
1,4,0.2,442.66
2,4,0.4,300.98
3,4,0.6,435.02
4,4,0.8,312.7300000000001
5,4,1.1,390.18999999999994
6,4,1.3,382.07
7,4,1.5,404.94
8,4,1.7,353.13000000000005
9,4,2.0,438.27
10,8,0.0,359.21999999999997
11,8,0.2,393.69
12,8,0.4,351.36
13,8,0.6,411.5799999999999
14,8,0.8,369.44
15,8,1.1,462.05
16,8,1.3,303.19
17,8,1.5,341.19
18,8,1.7,428.68999999999994
19,8,2.0,276.65000000000003
20,16,0.0,501.32000000000005
21,16,0.2,316.27
22,16,0.4,387.81
23,16,0.6,286.51
24,16,0.8,350.09000000000003
25,16,1.1,328.61999999999995
26,16,1.3,396.41999999999996
27,16,1.5,307.54
28,16,1.7,301.0300000000001
29,16,2.0,409.15
30,32,0.0,300.13
31,32,0.2,509.57
32,32,0.4,374.76000000000005
33,32,0.6,482.26000000000005
34,32,0.8,444.0
35,32,1.1,295.79
36,32,1.3,343.08
37,32,1.5,298.45
38,32,1.7,243.09999999999997
39,32,2.0,378.55999999999995
40,64,0.0,362.04
41,64,0.2,390.16999999999996
42,64,0.4,308.20000000000005
43,64,0.6,394.46000000000004
44,64,0.8,307.65
45,64,1.1,439.32000000000005
46,64,1.3,375.69000000000005
47,64,1.5,321.81000000000006
48,64,1.7,356.03000000000003
49,64,2.0,271.75
50,128,0.0,344.03
51,128,0.2,369.53000000000003
52,128,0.4,187.82999999999998
53,128,0.6,284.58000000000004
54,128,0.8,209.38000000000002
55,128,1.1,370.25000000000006
56,128,1.3,378.65
57,128,1.5,299.33000000000004
58,128,1.7,346.9
59,128,2.0,402.31999999999994
60,256,0.0,408.4799999999999
61,256,0.2,320.19999999999993
62,256,0.4,233.7
63,256,0.6,484.02
64,256,0.8,365.59000000000003
65,256,1.1,370.89
66,256,1.3,455.43999999999994
67,256,1.5,366.77
68,256,1.7,487.4500000000001
69,256,2.0,308.37
70,512,0.0,441.98999999999995
71,512,0.2,339.57
72,512,0.4,367.46
73,512,0.6,433.9
74,512,0.8,334.33000000000004
75,512,1.1,337.5
76,512,1.3,328.89
77,512,1.5,432.35
78,512,1.7,326.28000000000003
79,512,2.0,402.18999999999994
80,1024,0.0,308.5
81,1024,0.2,355.65
82,1024,0.4,382.65999999999997
83,1024,0.6,371.28999999999996
84,1024,0.8,385.40000000000003
85,1024,1.1,319.86
86,1024,1.3,541.72
87,1024,1.5,464.08000000000004
88,1024,1.7,403.2
89,1024,2.0,356.69000000000005
