,trade,best_bid,best_offer,trader_name0,total_profit0,traders_number0,avg_profit0,trader_name1,total_profit1,traders_number1,avg_profit1,trader_name2,total_profit2,traders_number2,avg_profit2,trader_name3,total_profit3,traders_number3,avg_profit3,trader_name4,total_profit4,traders_number4,avg_profit4,trader_name5,total_profit5,traders_number5,avg_profit5,run_n,k,F
566,300.0,140.0,147.0, GVWY,4644.0,10.0,464.4, PRDE,2495.0,10.1,249.5, SHVR,5814.0,10.2,581.4, SNPR,1725.0,10.3,172.5, ZIC,2198.0,10.4,219.8, ZIP,8722.0,10.5,872.2,0,4,0.0
108,300.0,151.0,154.0, GVWY,7953.0,10.0,795.3, PRDE,1860.0,10.1,186.0, SHVR,3600.0,10.2,360.0, SNPR,1543.0,10.3,154.3, ZIC,3526.0,10.4,352.6, ZIP,8610.0,10.5,861.0,0,4,0.2
798,300.0,140.0,147.0, GVWY,5619.0,10.0,561.9, PRDE,2832.0,10.1,283.2, SHVR,6393.0,10.2,639.3, SNPR,2230.0,10.3,223.0, ZIC,3261.0,10.4,326.1, ZIP,6339.0,10.5,633.9,0,4,0.4
205,300.0,148.0,152.0, GVWY,8569.0,10.0,856.9, PRDE,2009.0,10.1,200.9, SHVR,11205.0,10.2,1120.5, SNPR,627.0,10.3,62.7, ZIC,1230.0,10.4,123.0, ZIP,6537.0,10.5,653.7,0,4,0.6
112,300.0,155.0,167.0, GVWY,4303.0,10.0,430.3, PRDE,3421.0,10.1,342.1, SHVR,6323.0,10.2,632.3, SNPR,2432.0,10.3,243.2, ZIC,3234.0,10.4,323.4, ZIP,4702.0,10.5,470.2,0,4,0.8
347,300.0,155.0,162.0, GVWY,7875.0,10.0,787.5, PRDE,4862.0,10.1,486.2, SHVR,6614.0,10.2,661.4, SNPR,1319.0,10.3,131.9, ZIC,1682.0,10.4,168.2, ZIP,6272.0,10.5,627.2,0,4,1.1
833,300.0,153.0,158.0, GVWY,9281.0,10.0,928.1, PRDE,2685.0,10.1,268.5, SHVR,2666.0,10.2,266.6, SNPR,1332.0,10.3,133.2, ZIC,3322.0,10.4,332.2, ZIP,8681.0,10.5,868.1,0,4,1.3
450,300.0,146.0,155.0, GVWY,6158.0,10.0,615.8, PRDE,6603.0,10.1,660.3, SHVR,1206.0,10.2,120.6, SNPR,736.0,10.3,73.6, ZIC,4345.0,10.4,434.5, ZIP,8145.0,10.5,814.5,0,4,1.5
381,300.0,151.0,153.0, GVWY,5642.0,10.0,564.2, PRDE,7875.0,10.1,787.5, SHVR,6359.0,10.2,635.9, SNPR,1342.0,10.3,134.2, ZIC,2766.0,10.4,276.6, ZIP,4761.0,10.5,476.1,0,4,1.7
518,300.0,177.0,180.0, GVWY,6504.0,10.0,650.4, PRDE,3943.0,10.1,394.3, SHVR,7095.0,10.2,709.5, SNPR,1051.0,10.3,105.1, ZIC,2661.0,10.4,266.1, ZIP,7584.0,10.5,758.4,0,4,2.0
545,300.0,143.0,165.0, GVWY,7171.0,10.0,717.1, PRDE,7049.0,10.1,704.9, SHVR,5787.0,10.2,578.7, SNPR,1409.0,10.3,140.9, ZIC,3280.0,10.4,328.0, ZIP,5274.0,10.5,527.4,0,8,0.0
486,300.0,151.0,168.0, GVWY,8813.0,10.0,881.3, PRDE,3549.0,10.1,354.9, SHVR,7649.0,10.2,764.9, SNPR,1986.0,10.3,198.6, ZIC,2594.0,10.4,259.4, ZIP,4125.0,10.5,412.5,0,8,0.2
238,300.0,142.0,172.0, GVWY,10563.0,10.0,1056.3, PRDE,5035.0,10.1,503.5, SHVR,2426.0,10.2,242.6, SNPR,2386.0,10.3,238.6, ZIC,1042.0,10.4,104.2, ZIP,4897.0,10.5,489.7,0,8,0.4
64,300.0,138.0,151.0, GVWY,7335.0,10.0,733.5, PRDE,2765.0,10.1,276.5, SHVR,3461.0,10.2,346.1, SNPR,1686.0,10.3,168.6, ZIC,5468.0,10.4,546.8, ZIP,4212.0,10.5,421.2,0,8,0.6
824,300.0,147.0,149.0, GVWY,16350.0,10.0,1635.0, PRDE,333.0,10.1,33.3, SHVR,8018.0,10.2,801.8, SNPR,210.0,10.3,21.0, ZIC,906.0,10.4,90.6, ZIP,9605.0,10.5,960.5,0,8,0.8
887,300.0,155.0,163.0, GVWY,7244.0,10.0,724.4, PRDE,1626.0,10.1,162.6, SHVR,8810.0,10.2,881.0, SNPR,1966.0,10.3,196.6, ZIC,2765.0,10.4,276.5, ZIP,3428.0,10.5,342.8,0,8,1.1
780,300.0,144.0,155.0, GVWY,5779.0,10.0,577.9, PRDE,2433.0,10.1,243.3, SHVR,6529.0,10.2,652.9, SNPR,1438.0,10.3,143.8, ZIC,5088.0,10.4,508.8, ZIP,7076.0,10.5,707.6,0,8,1.3
435,300.0,155.0,158.0, GVWY,7796.0,10.0,779.6, PRDE,2806.0,10.1,280.6, SHVR,7528.0,10.2,752.8, SNPR,952.0,10.3,95.2, ZIC,3092.0,10.4,309.2, ZIP,6580.0,10.5,658.0,0,8,1.5
502,300.0,155.0,158.0, GVWY,693.0,10.0,69.3, PRDE,3751.0,10.1,375.1, SHVR,12458.0,10.2,1245.8, SNPR,1273.0,10.3,127.3, ZIC,3426.0,10.4,342.6, ZIP,5525.0,10.5,552.5,0,8,1.7
734,300.0,144.0,149.0, GVWY,8094.0,10.0,809.4, PRDE,3025.0,10.1,302.5, SHVR,8467.0,10.2,846.7, SNPR,696.0,10.3,69.6, ZIC,1621.0,10.4,162.1, ZIP,6045.0,10.5,604.5,0,8,2.0
747,300.0,139.0,165.0, GVWY,7411.0,10.0,741.1, PRDE,4398.0,10.1,439.8, SHVR,1225.0,10.2,122.5, SNPR,1680.0,10.3,168.0, ZIC,353.0,10.4,35.3, ZIP,11440.0,10.5,1144.0,0,16,0.0
336,300.0,150.0,159.0, GVWY,2032.0,10.0,203.2, PRDE,6590.0,10.1,659.0, SHVR,11945.0,10.2,1194.5, SNPR,350.0,10.3,35.0, ZIC,4034.0,10.4,403.4, ZIP,5428.0,10.5,542.8,0,16,0.2
836,300.0,136.0,141.0, GVWY,8113.0,10.0,811.3, PRDE,3428.0,10.1,342.8, SHVR,8733.0,10.2,873.3, SNPR,749.0,10.3,74.9, ZIC,4170.0,10.4,417.0, ZIP,5213.0,10.5,521.3,0,16,0.4
439,300.0,147.0,152.0, GVWY,5671.0,10.0,567.1, PRDE,3067.0,10.1,306.7, SHVR,5638.0,10.2,563.8, SNPR,1290.0,10.3,129.0, ZIC,5512.0,10.4,551.2, ZIP,6533.0,10.5,653.3,0,16,0.6
638,300.0,146.0,149.0, GVWY,4651.0,10.0,465.1, PRDE,1076.0,10.1,107.6, SHVR,12415.0,10.2,1241.5, SNPR,1916.0,10.3,191.6, ZIC,2493.0,10.4,249.3, ZIP,2902.0,10.5,290.2,0,16,0.8
858,300.0,138.0,142.0, GVWY,9408.0,10.0,940.8, PRDE,3764.0,10.1,376.4, SHVR,5873.0,10.2,587.3, SNPR,1517.0,10.3,151.7, ZIC,3206.0,10.4,320.6, ZIP,3059.0,10.5,305.9,0,16,1.1
