,avg_profit1,run_n,k,F
566,249.5,0,4,0.0
108,186.0,0,4,0.2
798,283.2,0,4,0.4
205,200.9,0,4,0.6
112,342.1,0,4,0.8
347,486.2,0,4,1.1
833,268.5,0,4,1.3
450,660.3,0,4,1.5
381,787.5,0,4,1.7
518,394.3,0,4,2.0
545,704.9,0,8,0.0
486,354.9,0,8,0.2
238,503.5,0,8,0.4
64,276.5,0,8,0.6
824,33.3,0,8,0.8
887,162.6,0,8,1.1
780,243.3,0,8,1.3
435,280.6,0,8,1.5
502,375.1,0,8,1.7
734,302.5,0,8,2.0
747,439.8,0,16,0.0
336,659.0,0,16,0.2
836,342.8,0,16,0.4
439,306.7,0,16,0.6
638,107.6,0,16,0.8
858,376.4,0,16,1.1
140,209.1,0,16,1.3
781,309.2,0,16,1.5
643,296.8,0,16,1.7
644,225.2,0,16,2.0
790,313.7,0,32,0.0
659,370.2,0,32,0.2
737,360.4,0,32,0.4
80,222.1,0,32,0.6
289,338.0,0,32,0.8
696,331.1,0,32,1.1
731,586.8,0,32,1.3
200,581.0,0,32,1.5
357,322.8,0,32,1.7
883,248.3,0,32,2.0
895,329.3,0,64,0.0
156,547.5,0,64,0.2
88,217.9,0,64,0.4
383,579.2,0,64,0.6
295,13.9,0,64,0.8
493,541.7,0,64,1.1
297,551.4,0,64,1.3
763,329.1,0,64,1.5
25,563.7,0,64,1.7
499,156.4,0,64,2.0
586,213.6,0,128,0.0
106,344.4,0,128,0.2
649,394.9,0,128,0.4
77,378.0,0,128,0.6
622,821.9,0,128,0.8
778,296.9,0,128,1.1
333,252.5,0,128,1.3
46,301.5,0,128,1.5
372,323.0,0,128,1.7
78,228.4,0,128,2.0
815,289.6,0,256,0.0
242,335.2,0,256,0.2
30,257.0,0,256,0.4
813,736.0,0,256,0.6
342,813.3,0,256,0.8
681,150.1,0,256,1.1
283,373.8,0,256,1.3
894,506.7,0,256,1.5
239,463.2,0,256,1.7
152,229.5,0,256,2.0
578,180.1,0,512,0.0
