B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 2
B06, Trade, 5.917, 120, B06, S02, 1
B06, Trade, 186.117, 115, B06, S00, 1
B07, 0
B08, 1
B08, Trade, 281.517, 123, B08, S05, 1
B09, 0
B10, 0
B11, 2
B11, Trade, 55.700, 107, S02, B11, 1
B11, Trade, 157.783, 121, B11, S03, 1
B12, 0
B13, 2
B13, Trade, 182.417, 120, B13, S02, 1
B13, Trade, 196.383, 126, B13, S06, 1
B14, 3
B14, Trade, 18.233, 134, B14, S02, 1
B14, Trade, 136.767, 142, B14, S03, 1
B14, Trade, 279.083, 131, B14, S02, 1
B15, 17
B15, Trade, 58.500, 144, B15, S08, 1
B15, Trade, 60.633, 129, B15, S00, 1
B15, Trade, 81.700, 134, B15, S02, 1
B15, Trade, 91.967, 148, B15, S01, 1
B15, Trade, 95.850, 122, S02, B15, 1
B15, Trade, 101.583, 145, B15, S02, 1
B15, Trade, 116.717, 133, B15, S05, 1
B15, Trade, 141.817, 136, B15, S05, 1
B15, Trade, 148.483, 140, B15, S04, 1
B15, Trade, 151.117, 102, S00, B15, 1
B15, Trade, 158.350, 125, S04, B15, 1
B15, Trade, 197.200, 142, B15, S02, 1
B15, Trade, 221.933, 140, B15, S06, 1
B15, Trade, 242.083, 113, B15, S02, 1
B15, Trade, 262.033, 129, B15, S05, 1
B15, Trade, 272.267, 150, B15, S13, 1
B15, Trade, 294.550, 150, B15, S06, 1
B16, 6
B16, Trade, 141.467, 139, B16, S06, 1
B16, Trade, 189.867, 154, B16, S13, 1
B16, Trade, 236.717, 144, B16, S00, 1
B16, Trade, 268.617, 146, S11, B16, 1
B16, Trade, 285.217, 148, B16, S11, 1
B16, Trade, 291.583, 108, B16, S02, 1
B17, 52
B17, Trade, 5.633, 148, B17, S00, 1
B17, Trade, 16.833, 146, B17, S03, 1
B17, Trade, 20.850, 146, S12, B17, 1
B17, Trade, 25.583, 154, B17, S02, 1
B17, Trade, 30.517, 145, S06, B17, 1
B17, Trade, 38.283, 152, B17, S09, 1
B17, Trade, 42.883, 150, S13, B17, 1
B17, Trade, 45.450, 107, S02, B17, 1
B17, Trade, 51.783, 147, S13, B17, 1
B17, Trade, 60.833, 132, B17, S05, 1
B17, Trade, 65.933, 158, B17, S00, 1
B17, Trade, 71.317, 142, B17, S06, 1
B17, Trade, 76.300, 136, B17, S02, 1
B17, Trade, 80.667, 135, S06, B17, 1
B17, Trade, 88.633, 154, B17, S05, 1
B17, Trade, 94.417, 155, B17, S05, 1
B17, Trade, 99.717, 158, B17, S01, 1
B17, Trade, 100.700, 120, S06, B17, 1
B17, Trade, 108.717, 158, B17, S04, 1
B17, Trade, 110.983, 135, B17, S00, 1
B17, Trade, 123.000, 152, B17, S12, 1
B17, Trade, 129.067, 155, B17, S06, 1
B17, Trade, 131.383, 145, B17, S06, 1
B17, Trade, 145.267, 138, S01, B17, 1
B17, Trade, 149.900, 154, B17, S02, 1
B17, Trade, 152.333, 142, B17, S04, 1
B17, Trade, 158.200, 153, B17, S06, 1
B17, Trade, 161.800, 135, S02, B17, 1
B17, Trade, 171.600, 153, B17, S05, 1
B17, Trade, 176.367, 141, S00, B17, 1
B17, Trade, 182.667, 158, B17, S05, 1
B17, Trade, 186.900, 126, B17, S06, 1
B17, Trade, 192.117, 148, B17, S06, 1
B17, Trade, 199.350, 135, B17, S01, 1
B17, Trade, 201.333, 146, S10, B17, 1
B17, Trade, 206.133, 146, S05, B17, 1
B17, Trade, 211.533, 157, S03, B17, 1
B17, Trade, 220.317, 152, B17, S03, 1
B17, Trade, 225.867, 157, B17, S13, 1
B17, Trade, 228.167, 153, B17, S02, 1
B17, Trade, 234.167, 150, B17, S04, 1
B17, Trade, 237.767, 148, B17, S04, 1
B17, Trade, 246.017, 158, B17, S12, 1
B17, Trade, 247.217, 153, B17, S01, 1
B17, Trade, 251.983, 145, B17, S12, 1
B17, Trade, 257.250, 146, S04, B17, 1
B17, Trade, 272.350, 147, B17, S11, 1
B17, Trade, 278.333, 150, B17, S00, 1
B17, Trade, 283.650, 154, B17, S06, 1
B17, Trade, 287.400, 146, B17, S02, 1
B17, Trade, 294.150, 149, S03, B17, 1
B17, Trade, 297.083, 137, B17, S00, 1
B18, 13
B18, Trade, 23.250, 134, B18, S01, 1
B18, Trade, 51.483, 109, B18, S00, 1
B18, Trade, 90.167, 138, B18, S03, 1
B18, Trade, 96.733, 140, B18, S05, 1
B18, Trade, 109.283, 136, B18, S01, 1
B18, Trade, 111.233, 140, B18, S02, 1
B18, Trade, 125.967, 104, S00, B18, 1
B18, Trade, 137.017, 124, B18, S00, 1
B18, Trade, 151.650, 122, S06, B18, 1
B18, Trade, 172.700, 128, B18, S00, 1
B18, Trade, 215.133, 142, B18, S04, 1
B18, Trade, 227.117, 115, B18, S00, 1
B18, Trade, 278.867, 140, B18, S08, 1
B19, 12
B19, Trade, 5.183, 140, B19, S03, 1
B19, Trade, 30.933, 134, B19, S02, 1
B19, Trade, 77.600, 144, S08, B19, 1
B19, Trade, 97.350, 141, S07, B19, 1
B19, Trade, 128.083, 158, B19, S13, 1
B19, Trade, 135.150, 147, B19, S11, 1
B19, Trade, 142.867, 149, B19, S09, 1
B19, Trade, 156.483, 149, B19, S08, 1
B19, Trade, 181.717, 146, B19, S04, 1
B19, Trade, 186.283, 114, S02, B19, 1
B19, Trade, 257.050, 139, B19, S03, 1
B19, Trade, 292.933, 153, B19, S13, 1
B20, 14
B20, Trade, 6.400, 138, B20, S06, 1
B20, Trade, 11.067, 137, B20, S03, 1
B20, Trade, 30.717, 140, B20, S00, 1
B20, Trade, 46.200, 139, S05, B20, 1
B20, Trade, 67.667, 146, B20, S05, 1
B20, Trade, 73.083, 148, B20, S12, 1
B20, Trade, 83.500, 136, S01, B20, 1
B20, Trade, 85.683, 114, S02, B20, 1
B20, Trade, 166.917, 127, B20, S00, 1
B20, Trade, 174.483, 149, B20, S13, 1
B20, Trade, 229.633, 159, B20, S04, 1
B20, Trade, 240.417, 143, B20, S05, 1
B20, Trade, 268.200, 139, B20, S06, 1
B20, Trade, 273.117, 149, B20, S02, 1
B21, 34
B21, Trade, 8.667, 168, S16, B21, 1
B21, Trade, 12.233, 166, B21, S08, 1
B21, Trade, 15.167, 130, B21, S00, 1
B21, Trade, 21.200, 134, B21, S06, 1
B21, Trade, 32.833, 131, B21, S03, 1
B21, Trade, 37.600, 138, B21, S11, 1
B21, Trade, 41.517, 131, B21, S03, 1
B21, Trade, 47.217, 157, S11, B21, 1
B21, Trade, 57.533, 151, S01, B21, 1
B21, Trade, 65.100, 154, B21, S11, 1
B21, Trade, 68.450, 166, B21, S06, 1
B21, Trade, 72.517, 165, S10, B21, 1
B21, Trade, 77.850, 147, S11, B21, 1
B21, Trade, 82.400, 147, B21, S12, 1
B21, Trade, 94.000, 130, B21, S02, 1
B21, Trade, 109.233, 153, B21, S00, 1
B21, Trade, 112.700, 148, B21, S06, 1
B21, Trade, 136.517, 157, B21, S04, 1
B21, Trade, 147.650, 145, S09, B21, 1
B21, Trade, 153.000, 153, S03, B21, 1
B21, Trade, 156.667, 148, B21, S02, 1
B21, Trade, 161.750, 126, B21, S00, 1
B21, Trade, 167.550, 148, B21, S01, 1
B21, Trade, 195.283, 154, S13, B21, 1
B21, Trade, 205.000, 166, B21, S05, 1
B21, Trade, 207.600, 170, B21, S02, 1
B21, Trade, 213.483, 161, B21, S05, 1
B21, Trade, 223.750, 146, S05, B21, 1
B21, Trade, 226.750, 151, S05, B21, 1
B21, Trade, 234.133, 160, B21, S07, 1
B21, Trade, 241.483, 132, B21, S06, 1
B21, Trade, 252.217, 161, S05, B21, 1
B21, Trade, 266.533, 132, B21, S00, 1
B21, Trade, 271.883, 160, B21, S01, 1
B22, 39
B22, Trade, 10.383, 151, B22, S02, 1
B22, Trade, 16.800, 157, B22, S06, 1
B22, Trade, 30.067, 174, B22, S13, 1
B22, Trade, 32.433, 141, B22, S07, 1
B22, Trade, 41.017, 131, B22, S00, 1
B22, Trade, 48.800, 168, B22, S12, 1
B22, Trade, 57.083, 148, B22, S12, 1
