,trade,best_bid,best_offer,trader_name,total_profit,traders_number,avg_profit,run_n,k,F
676,300.0,128.0,167.0, PRDE,20965.0,60.0,349.416667,0,4,0.0
431,300.0,158.0,162.0, PRDE,22174.0,60.0,369.566667,0,4,0.2
888,300.0,161.0,173.0, PRDE,18220.0,60.0,303.666667,0,4,0.4
438,300.0,121.0,150.0, PRDE,23014.0,60.0,383.566667,0,4,0.6
810,300.0,162.0,189.0, PRDE,15246.0,60.0,254.1,0,4,0.8
422,300.0,144.0,147.0, PRDE,24444.0,60.0,407.4,0,4,1.1
54,300.0,165.0,180.0, PRDE,17802.0,60.0,296.7,0,4,1.3
117,300.0,140.0,176.0, PRDE,24661.0,60.0,411.016667,0,4,1.5
356,300.0,157.0,177.0, PRDE,20676.0,60.0,344.6,0,4,1.7
705,300.0,141.0,144.0, PRDE,18164.0,60.0,302.733333,0,4,2.0
342,300.0,153.0,155.0, PRDE,19154.0,60.0,319.233333,0,8,0.0
569,300.0,148.0,158.0, PRDE,26144.0,60.0,435.733333,0,8,0.2
848,300.0,146.0,168.0, PRDE,21569.0,60.0,359.483333,0,8,0.4
91,300.0,156.0,162.0, PRDE,19533.0,60.0,325.55,0,8,0.6
695,300.0,133.0,172.0, PRDE,19793.0,60.0,329.883333,0,8,0.8
146,300.0,162.0,191.0, PRDE,21473.0,60.0,357.883333,0,8,1.1
641,300.0,145.0,192.0, PRDE,18769.0,60.0,312.816667,0,8,1.3
806,300.0,144.0,168.0, PRDE,19851.0,60.0,330.85,0,8,1.5
627,300.0,132.0,175.0, PRDE,25666.0,60.0,427.766667,0,8,1.7
214,300.0,145.0,205.0, PRDE,22822.0,60.0,380.366667,0,8,2.0
830,300.0,124.0,167.0, PRDE,22680.0,60.0,378.0,0,16,0.0
852,300.0,142.0,171.0, PRDE,22479.0,60.0,374.65,0,16,0.2
277,300.0,154.0,160.0, PRDE,24897.0,60.0,414.95,0,16,0.4
831,300.0,152.0,155.0, PRDE,20672.0,60.0,344.533333,0,16,0.6
788,300.0,153.0,180.0, PRDE,16676.0,60.0,277.933333,0,16,0.8
63,300.0,129.0,144.0, PRDE,25117.0,60.0,418.616667,0,16,1.1
398,300.0,147.0,178.0, PRDE,18017.0,60.0,300.283333,0,16,1.3
576,300.0,174.0,195.0, PRDE,19820.0,60.0,330.333333,0,16,1.5
739,300.0,155.0,190.0, PRDE,18671.0,60.0,311.183333,0,16,1.7
744,300.0,134.0,153.0, PRDE,23310.0,60.0,388.5,0,16,2.0
322,300.0,142.0,180.0, PRDE,19842.0,60.0,330.7,0,32,0.0
307,300.0,143.0,155.0, PRDE,15548.0,60.0,259.133333,0,32,0.2
90,300.0,158.0,206.0, PRDE,21579.0,60.0,359.65,0,32,0.4
835,300.0,141.0,153.0, PRDE,22180.0,60.0,369.666667,0,32,0.6
247,300.0,151.0,166.0, PRDE,22502.0,60.0,375.033333,0,32,0.8
692,300.0,146.0,176.0, PRDE,22732.0,60.0,378.866667,0,32,1.1
282,300.0,127.0,165.0, PRDE,19054.0,60.0,317.566667,0,32,1.3
147,300.0,150.0,190.0, PRDE,21101.0,60.0,351.683333,0,32,1.5
316,300.0,141.0,170.0, PRDE,21119.0,60.0,351.983333,0,32,1.7
148,300.0,147.0,179.0, PRDE,17731.0,60.0,295.516667,0,32,2.0
143,300.0,137.0,180.0, PRDE,16286.0,60.0,271.433333,0,64,0.0
142,300.0,146.0,192.0, PRDE,14699.0,60.0,244.983333,0,64,0.2
654,300.0,160.0,182.0, PRDE,19000.0,60.0,316.666667,0,64,0.4
857,300.0,138.0,206.0, PRDE,22955.0,60.0,382.583333,0,64,0.6
672,300.0,141.0,168.0, PRDE,21494.0,60.0,358.233333,0,64,0.8
453,300.0,164.0,188.0, PRDE,14783.0,60.0,246.383333,0,64,1.1
759,300.0,148.0,151.0, PRDE,18454.0,60.0,307.566667,0,64,1.3
222,300.0,161.0,167.0, PRDE,13196.0,60.0,219.933333,0,64,1.5
656,300.0,157.0,182.0, PRDE,21726.0,60.0,362.1,0,64,1.7
560,300.0,141.0,150.0, PRDE,19356.0,60.0,322.6,0,64,2.0
839,300.0,179.0,214.0, PRDE,19247.0,60.0,320.783333,0,128,0.0
12,300.0,150.0,158.0, PRDE,19950.0,60.0,332.5,0,128,0.2
484,300.0,162.0,195.0, PRDE,16734.0,60.0,278.9,0,128,0.4
797,300.0,159.0,184.0, PRDE,20753.0,60.0,345.883333,0,128,0.6
187,300.0,151.0,199.0, PRDE,19073.0,60.0,317.883333,0,128,0.8
492,300.0,159.0,181.0, PRDE,22319.0,60.0,371.983333,0,128,1.1
162,300.0,139.0,162.0, PRDE,21684.0,60.0,361.4,0,128,1.3
399,300.0,133.0,162.0, PRDE,19117.0,60.0,318.616667,0,128,1.5
446,300.0,144.0,187.0, PRDE,24645.0,60.0,410.75,0,128,1.7
330,300.0,137.0,196.0, PRDE,27927.0,60.0,465.45,0,128,2.0
153,300.0,131.0,173.0, PRDE,19785.0,60.0,329.75,0,256,0.0
650,300.0,132.0,149.0, PRDE,15351.0,60.0,255.85,0,256,0.2
785,300.0,183.0,191.0, PRDE,22287.0,60.0,371.45,0,256,0.4
189,300.0,153.0,166.0, PRDE,20239.0,60.0,337.316667,0,256,0.6
818,300.0,151.0,158.0, PRDE,17883.0,60.0,298.05,0,256,0.8
780,300.0,157.0,172.0, PRDE,24326.0,60.0,405.433333,0,256,1.1
7,300.0,123.0,201.0, PRDE,23192.0,60.0,386.533333,0,256,1.3
512,300.0,147.0,182.0, PRDE,18796.0,60.0,313.266667,0,256,1.5
794,300.0,151.0,183.0, PRDE,16626.0,60.0,277.1,0,256,1.7
180,300.0,130.0,197.0, PRDE,20494.0,60.0,341.566667,0,256,2.0
850,300.0,160.0,177.0, PRDE,22250.0,60.0,370.833333,0,512,0.0
416,300.0,137.0,152.0, PRDE,21912.0,60.0,365.2,0,512,0.2
405,300.0,133.0,155.0, PRDE,17147.0,60.0,285.783333,0,512,0.4
658,300.0,133.0,143.0, PRDE,24397.0,60.0,406.616667,0,512,0.6
875,300.0,154.0,173.0, PRDE,19305.0,60.0,321.75,0,512,0.8
297,300.0,145.0,172.0, PRDE,16581.0,60.0,276.35,0,512,1.1
62,300.0,160.0,176.0, PRDE,23043.0,60.0,384.05,0,512,1.3
502,300.0,144.0,155.0, PRDE,17842.0,60.0,297.366667,0,512,1.5
877,300.0,142.0,161.0, PRDE,20440.0,60.0,340.666667,0,512,1.7
637,300.0,120.0,156.0, PRDE,21117.0,60.0,351.95,0,512,2.0
786,300.0,168.0,181.0, PRDE,19198.0,60.0,319.966667,0,1024,0.0
386,300.0,153.0,178.0, PRDE,15533.0,60.0,258.883333,0,1024,0.2
707,300.0,163.0,199.0, PRDE,20265.0,60.0,337.75,0,1024,0.4
71,300.0,134.0,193.0, PRDE,21183.0,60.0,353.05,0,1024,0.6
331,300.0,132.0,178.0, PRDE,19289.0,60.0,321.483333,0,1024,0.8
811,300.0,161.0,165.0, PRDE,19810.0,60.0,330.166667,0,1024,1.1
258,300.0,160.0,187.0, PRDE,16387.0,60.0,273.116667,0,1024,1.3
867,300.0,170.0,185.0, PRDE,22095.0,60.0,368.25,0,1024,1.5
5,300.0,167.0,175.0, PRDE,14423.0,60.0,240.383333,0,1024,1.7
652,300.0,155.0,181.0, PRDE,20144.0,60.0,335.733333,0,1024,2.0
255,300.0,149.0,163.0, PRDE,20957.0,60.0,349.283333,1,4,0.0
233,300.0,151.0,203.0, PRDE,21182.0,60.0,353.033333,1,4,0.2
622,300.0,156.0,172.0, PRDE,20676.0,60.0,344.6,1,4,0.4
734,300.0,162.0,197.0, PRDE,20145.0,60.0,335.75,1,4,0.6
60,300.0,148.0,187.0, PRDE,22091.0,60.0,368.183333,1,4,0.8
328,300.0,140.0,149.0, PRDE,26230.0,60.0,437.166667,1,4,1.1
718,300.0,164.0,202.0, PRDE,23291.0,60.0,388.183333,1,4,1.3
821,300.0,139.0,179.0, PRDE,19256.0,60.0,320.933333,1,4,1.5
871,300.0,141.0,153.0, PRDE,22558.0,60.0,375.966667,1,4,1.7
428,300.0,170.0,220.0, PRDE,18076.0,60.0,301.266667,1,4,2.0
196,300.0,150.0,174.0, PRDE,17222.0,60.0,287.033333,1,8,0.0
167,300.0,158.0,182.0, PRDE,18401.0,60.0,306.683333,1,8,0.2
295,300.0,156.0,193.0, PRDE,20006.0,60.0,333.433333,1,8,0.4
582,300.0,156.0,177.0, PRDE,15663.0,60.0,261.05,1,8,0.6
363,300.0,142.0,177.0, PRDE,17594.0,60.0,293.233333,1,8,0.8
10,300.0,139.0,187.0, PRDE,17027.0,60.0,283.783333,1,8,1.1
536,300.0,153.0,179.0, PRDE,20045.0,60.0,334.083333,1,8,1.3
434,300.0,152.0,172.0, PRDE,23613.0,60.0,393.55,1,8,1.5
754,300.0,157.0,159.0, PRDE,18612.0,60.0,310.2,1,8,1.7
553,300.0,157.0,195.0, PRDE,21088.0,60.0,351.466667,1,8,2.0
519,300.0,169.0,179.0, PRDE,19208.0,60.0,320.133333,1,16,0.0
680,300.0,160.0,187.0, PRDE,23685.0,60.0,394.75,1,16,0.2
689,300.0,169.0,173.0, PRDE,26019.0,60.0,433.65,1,16,0.4
302,300.0,148.0,177.0, PRDE,29330.0,60.0,488.833333,1,16,0.6
203,300.0,157.0,189.0, PRDE,15204.0,60.0,253.4,1,16,0.8
616,300.0,137.0,149.0, PRDE,16457.0,60.0,274.283333,1,16,1.1
863,300.0,158.0,187.0, PRDE,22953.0,60.0,382.55,1,16,1.3
449,300.0,150.0,158.0, PRDE,16476.0,60.0,274.6,1,16,1.5
549,300.0,138.0,173.0, PRDE,19568.0,60.0,326.133333,1,16,1.7
461,300.0,142.0,184.0, PRDE,23036.0,60.0,383.933333,1,16,2.0
631,300.0,137.0,183.0, PRDE,24181.0,60.0,403.016667,1,32,0.0
264,300.0,142.0,173.0, PRDE,20847.0,60.0,347.45,1,32,0.2
174,300.0,141.0,182.0, PRDE,21583.0,60.0,359.716667,1,32,0.4
720,300.0,121.0,170.0, PRDE,22048.0,60.0,367.466667,1,32,0.6
32,300.0,135.0,170.0, PRDE,19676.0,60.0,327.933333,1,32,0.8
752,300.0,163.0,177.0, PRDE,22968.0,60.0,382.8,1,32,1.1
578,300.0,135.0,187.0, PRDE,17942.0,60.0,299.033333,1,32,1.3
696,300.0,151.0,178.0, PRDE,17918.0,60.0,298.633333,1,32,1.5
24,300.0,182.0,210.0, PRDE,22858.0,60.0,380.966667,1,32,1.7
382,300.0,156.0,172.0, PRDE,17052.0,60.0,284.2,1,32,2.0
762,300.0,165.0,176.0, PRDE,21961.0,60.0,366.016667,1,64,0.0
483,300.0,173.0,184.0, PRDE,22257.0,60.0,370.95,1,64,0.2
130,300.0,154.0,171.0, PRDE,16405.0,60.0,273.416667,1,64,0.4
481,300.0,164.0,187.0, PRDE,20484.0,60.0,341.4,1,64,0.6
280,300.0,132.0,156.0, PRDE,21294.0,60.0,354.9,1,64,0.8
41,300.0,140.0,157.0, PRDE,19082.0,60.0,318.033333,1,64,1.1
374,300.0,130.0,184.0, PRDE,22169.0,60.0,369.483333,1,64,1.3
219,300.0,160.0,165.0, PRDE,26638.0,60.0,443.966667,1,64,1.5
876,300.0,131.0,157.0, PRDE,24332.0,60.0,405.533333,1,64,1.7
542,300.0,144.0,152.0, PRDE,19998.0,60.0,333.3,1,64,2.0
688,300.0,150.0,166.0, PRDE,17069.0,60.0,284.483333,1,128,0.0
325,300.0,161.0,188.0, PRDE,15791.0,60.0,263.183333,1,128,0.2
70,300.0,141.0,147.0, PRDE,25618.0,60.0,426.966667,1,128,0.4
513,300.0,142.0,171.0, PRDE,24675.0,60.0,411.25,1,128,0.6
541,300.0,153.0,161.0, PRDE,21280.0,60.0,354.666667,1,128,0.8
34,300.0,156.0,182.0, PRDE,14077.0,60.0,234.616667,1,128,1.1
768,300.0,172.0,175.0, PRDE,17449.0,60.0,290.816667,1,128,1.3
215,300.0,155.0,173.0, PRDE,27560.0,60.0,459.333333,1,128,1.5
521,300.0,154.0,168.0, PRDE,16468.0,60.0,274.466667,1,128,1.7
133,300.0,137.0,174.0, PRDE,19722.0,60.0,328.7,1,128,2.0
414,300.0,176.0,191.0, PRDE,23293.0,60.0,388.216667,1,256,0.0
494,300.0,168.0,174.0, PRDE,23588.0,60.0,393.133333,1,256,0.2
315,300.0,168.0,172.0, PRDE,17728.0,60.0,295.466667,1,256,0.4
248,300.0,151.0,153.0, PRDE,18408.0,60.0,306.8,1,256,0.6
547,300.0,156.0,198.0, PRDE,18847.0,60.0,314.116667,1,256,0.8
729,300.0,150.0,158.0, PRDE,19972.0,60.0,332.866667,1,256,1.1
229,300.0,128.0,137.0, PRDE,17720.0,60.0,295.333333,1,256,1.3
491,300.0,145.0,174.0, PRDE,18155.0,60.0,302.583333,1,256,1.5
43,300.0,133.0,184.0, PRDE,19159.0,60.0,319.316667,1,256,1.7
796,300.0,142.0,169.0, PRDE,25375.0,60.0,422.916667,1,256,2.0
746,300.0,133.0,152.0, PRDE,20343.0,60.0,339.05,1,512,0.0
717,300.0,121.0,174.0, PRDE,26944.0,60.0,449.066667,1,512,0.2
524,300.0,179.0,182.0, PRDE,26636.0,60.0,443.933333,1,512,0.4
787,300.0,132.0,168.0, PRDE,17210.0,60.0,286.833333,1,512,0.6
327,300.0,145.0,187.0, PRDE,21272.0,60.0,354.533333,1,512,0.8
638,300.0,165.0,175.0, PRDE,24103.0,60.0,401.716667,1,512,1.1
774,300.0,155.0,174.0, PRDE,17497.0,60.0,291.616667,1,512,1.3
474,300.0,132.0,193.0, PRDE,21514.0,60.0,358.566667,1,512,1.5
567,300.0,155.0,172.0, PRDE,19533.0,60.0,325.55,1,512,1.7
341,300.0,126.0,147.0, PRDE,22609.0,60.0,376.816667,1,512,2.0
375,300.0,174.0,180.0, PRDE,23089.0,60.0,384.816667,1,1024,0.0
126,300.0,142.0,185.0, PRDE,21242.0,60.0,354.033333,1,1024,0.2
200,300.0,146.0,184.0, PRDE,24906.0,60.0,415.1,1,1024,0.4
892,300.0,150.0,180.0, PRDE,20760.0,60.0,346.0,1,1024,0.6
210,300.0,144.0,186.0, PRDE,17765.0,60.0,296.083333,1,1024,0.8
136,300.0,176.0,188.0, PRDE,19698.0,60.0,328.3,1,1024,1.1
719,300.0,137.0,159.0, PRDE,23860.0,60.0,397.666667,1,1024,1.3
629,300.0,147.0,183.0, PRDE,19425.0,60.0,323.75,1,1024,1.5
152,300.0,143.0,161.0, PRDE,18551.0,60.0,309.183333,1,1024,1.7
95,300.0,142.0,171.0, PRDE,13322.0,60.0,222.033333,1,1024,2.0
865,300.0,124.0,154.0, PRDE,18387.0,60.0,306.45,2,4,0.0
412,300.0,151.0,190.0, PRDE,21609.0,60.0,360.15,2,4,0.2
413,300.0,146.0,196.0, PRDE,17596.0,60.0,293.266667,2,4,0.4
574,300.0,166.0,174.0, PRDE,23862.0,60.0,397.7,2,4,0.6
881,300.0,151.0,175.0, PRDE,20057.0,60.0,334.283333,2,4,0.8
