B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 2
B05, Trade, 15.217, 107, S01, B05, 1
B05, Trade, 221.300, 105, B05, S01, 1
B06, 0
B07, 1
B07, Trade, 237.583, 123, B07, S03, 1
B08, 3
B08, Trade, 35.333, 109, S01, B08, 1
B08, Trade, 126.150, 125, B08, S01, 1
B08, Trade, 171.283, 119, B08, S01, 1
B09, 0
B10, 7
B10, Trade, 40.017, 132, B10, S03, 1
B10, Trade, 186.100, 118, B10, S01, 1
B10, Trade, 201.633, 133, B10, S00, 1
B10, Trade, 206.133, 105, S01, B10, 1
B10, Trade, 236.417, 104, S01, B10, 1
B10, Trade, 269.400, 129, S03, B10, 1
B10, Trade, 283.967, 131, B10, S02, 1
B11, 0
B12, 12
B12, Trade, 7.550, 132, B12, S00, 1
B12, Trade, 10.767, 133, B12, S01, 1
B12, Trade, 35.867, 129, S00, B12, 1
B12, Trade, 50.567, 136, B12, S01, 1
B12, Trade, 156.867, 141, B12, S00, 1
B12, Trade, 172.150, 137, B12, S03, 1
B12, Trade, 199.717, 132, B12, S02, 1
B12, Trade, 206.600, 129, S04, B12, 1
B12, Trade, 215.450, 137, B12, S00, 1
B12, Trade, 253.067, 129, S04, B12, 1
B12, Trade, 292.050, 139, S03, B12, 1
B12, Trade, 298.050, 138, B12, S03, 1
B13, 5
B13, Trade, 34.233, 135, B13, S10, 1
B13, Trade, 95.733, 139, B13, S02, 1
B13, Trade, 233.950, 144, B13, S10, 1
B13, Trade, 241.250, 138, B13, S10, 1
B13, Trade, 284.017, 140, B13, S00, 1
B14, 21
B14, Trade, 16.883, 141, B14, S00, 1
B14, Trade, 73.100, 148, B14, S00, 1
B14, Trade, 86.900, 144, B14, S10, 1
B14, Trade, 104.567, 142, B14, S00, 1
B14, Trade, 115.250, 144, B14, S03, 1
B14, Trade, 135.450, 139, B14, S02, 1
B14, Trade, 136.250, 146, S10, B14, 1
B14, Trade, 141.333, 131, B14, S01, 1
B14, Trade, 145.950, 129, B14, S02, 1
B14, Trade, 156.083, 142, B14, S01, 1
B14, Trade, 167.567, 144, B14, S10, 1
B14, Trade, 174.267, 143, S10, B14, 1
B14, Trade, 178.383, 132, B14, S00, 1
B14, Trade, 182.250, 147, B14, S02, 1
B14, Trade, 199.600, 146, B14, S00, 1
B14, Trade, 201.467, 142, B14, S01, 1
B14, Trade, 218.983, 148, B14, S03, 1
B14, Trade, 224.767, 133, B14, S00, 1
B14, Trade, 227.067, 139, B14, S10, 1
B14, Trade, 274.583, 148, B14, S02, 1
B14, Trade, 289.117, 139, B14, S00, 1
B15, 1
B15, Trade, 292.550, 137, B15, S00, 1
B16, 3
B16, Trade, 41.183, 137, B16, S02, 1
B16, Trade, 117.217, 147, B16, S01, 1
B16, Trade, 217.400, 138, B16, S06, 1
B17, 6
B17, Trade, 19.167, 150, B17, S13, 1
B17, Trade, 124.550, 148, B17, S08, 1
B17, Trade, 164.383, 145, B17, S05, 1
B17, Trade, 253.550, 146, S12, B17, 1
B17, Trade, 287.467, 154, B17, S01, 1
B17, Trade, 296.367, 125, B17, S01, 1
B18, 6
B18, Trade, 5.533, 149, B18, S01, 1
B18, Trade, 47.400, 147, B18, S09, 1
B18, Trade, 197.283, 144, B18, S10, 1
B18, Trade, 234.550, 148, B18, S01, 1
B18, Trade, 247.117, 156, B18, S10, 1
B18, Trade, 261.000, 153, B18, S13, 1
B19, 13
B19, Trade, 7.233, 141, S10, B19, 1
B19, Trade, 22.433, 148, B19, S10, 1
B19, Trade, 58.233, 153, B19, S04, 1
B19, Trade, 68.483, 150, B19, S03, 1
B19, Trade, 90.933, 115, S01, B19, 1
B19, Trade, 99.283, 149, B19, S04, 1
B19, Trade, 123.417, 151, B19, S03, 1
B19, Trade, 147.917, 149, B19, S10, 1
B19, Trade, 164.233, 148, B19, S11, 1
B19, Trade, 208.167, 153, S00, B19, 1
B19, Trade, 227.333, 140, B19, S02, 1
B19, Trade, 245.817, 144, S04, B19, 1
B19, Trade, 252.000, 129, B19, S01, 1
B20, 36
B20, Trade, 7.267, 137, B20, S02, 1
B20, Trade, 10.700, 157, B20, S11, 1
B20, Trade, 15.467, 141, S10, B20, 1
B20, Trade, 36.250, 124, B20, S02, 1
B20, Trade, 41.017, 163, B20, S10, 1
B20, Trade, 47.200, 162, B20, S16, 1
B20, Trade, 50.517, 144, B20, S10, 1
