B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 2
B09, Trade, 141.117, 126, S07, B09, 1
B09, Trade, 152.383, 115, S04, B09, 1
B10, 0
B11, 2
B11, Trade, 45.650, 137, B11, S07, 1
B11, Trade, 271.667, 134, B11, S06, 1
B12, 2
B12, Trade, 131.400, 123, B12, S00, 1
B12, Trade, 263.417, 125, B12, S06, 1
B13, 2
B13, Trade, 42.950, 140, B13, S00, 1
B13, Trade, 193.350, 120, S06, B13, 1
B14, 5
B14, Trade, 37.033, 138, B14, S07, 1
B14, Trade, 50.783, 114, S00, B14, 1
B14, Trade, 71.583, 131, S06, B14, 1
B14, Trade, 101.217, 144, B14, S11, 1
B14, Trade, 151.367, 127, S03, B14, 1
B15, 9
B15, Trade, 20.600, 134, S07, B15, 1
B15, Trade, 66.717, 141, B15, S06, 1
B15, Trade, 71.300, 151, B15, S07, 1
B15, Trade, 89.433, 151, B15, S11, 1
B15, Trade, 106.300, 145, S06, B15, 1
B15, Trade, 116.117, 136, B15, S00, 1
B15, Trade, 178.650, 136, S07, B15, 1
B15, Trade, 181.250, 138, B15, S06, 1
B15, Trade, 265.033, 146, B15, S01, 1
B16, 7
B16, Trade, 139.517, 144, B16, S04, 1
B16, Trade, 166.617, 152, B16, S06, 1
B16, Trade, 171.400, 144, S06, B16, 1
B16, Trade, 197.967, 123, S06, B16, 1
B16, Trade, 205.950, 151, B16, S14, 1
B16, Trade, 206.583, 120, S06, B16, 1
B16, Trade, 222.367, 140, B16, S01, 1
B17, 24
B17, Trade, 6.883, 142, S04, B17, 1
B17, Trade, 11.783, 154, B17, S00, 1
B17, Trade, 26.533, 156, B17, S05, 1
B17, Trade, 36.317, 137, S01, B17, 1
B17, Trade, 72.967, 152, B17, S00, 1
B17, Trade, 77.350, 141, S07, B17, 1
B17, Trade, 80.750, 151, S01, B17, 1
B17, Trade, 86.017, 136, B17, S07, 1
B17, Trade, 96.667, 133, B17, S00, 1
B17, Trade, 106.050, 132, S07, B17, 1
B17, Trade, 116.100, 144, B17, S04, 1
B17, Trade, 120.783, 156, B17, S00, 1
B17, Trade, 126.800, 134, B17, S01, 1
B17, Trade, 131.733, 127, S07, B17, 1
B17, Trade, 160.950, 120, S06, B17, 1
B17, Trade, 175.633, 153, B17, S11, 1
B17, Trade, 176.567, 138, S00, B17, 1
B17, Trade, 195.650, 158, B17, S05, 1
B17, Trade, 201.317, 126, S07, B17, 1
B17, Trade, 211.900, 158, B17, S01, 1
B17, Trade, 237.267, 132, S00, B17, 1
B17, Trade, 246.283, 142, B17, S07, 1
B17, Trade, 258.150, 157, B17, S06, 1
B17, Trade, 294.633, 133, B17, S07, 1
B18, 2
B18, Trade, 45.917, 122, B18, S06, 1
B18, Trade, 80.883, 146, B18, S06, 1
B19, 9
B19, Trade, 6.567, 124, B19, S06, 1
B19, Trade, 27.000, 130, B19, S07, 1
B19, Trade, 65.833, 125, S07, B19, 1
B19, Trade, 91.283, 151, B19, S07, 1
B19, Trade, 126.750, 149, B19, S00, 1
B19, Trade, 211.450, 149, B19, S06, 1
B19, Trade, 246.733, 129, B19, S01, 1
B19, Trade, 261.033, 149, B19, S01, 1
B19, Trade, 283.533, 146, B19, S07, 1
B20, 13
B20, Trade, 11.150, 150, B20, S06, 1
B20, Trade, 25.950, 147, S00, B20, 1
B20, Trade, 36.033, 118, S03, B20, 1
B20, Trade, 61.900, 142, B20, S06, 1
B20, Trade, 104.050, 147, B20, S00, 1
B20, Trade, 122.350, 160, S05, B20, 1
B20, Trade, 179.767, 141, S03, B20, 1
B20, Trade, 184.367, 162, B20, S05, 1
B20, Trade, 191.317, 106, S00, B20, 1
B20, Trade, 197.483, 137, S03, B20, 1
B20, Trade, 213.283, 154, B20, S11, 1
B20, Trade, 246.583, 140, B20, S04, 1
B20, Trade, 264.700, 153, S00, B20, 1
B21, 41
B21, Trade, 6.050, 145, B21, S07, 1
B21, Trade, 11.217, 140, B21, S07, 1
B21, Trade, 22.183, 161, B21, S15, 1
B21, Trade, 31.233, 135, B21, S00, 1
B21, Trade, 41.017, 170, B21, S06, 1
B21, Trade, 47.567, 169, B21, S00, 1
B21, Trade, 57.900, 145, B21, S00, 1
B21, Trade, 70.183, 134, B21, S00, 1
B21, Trade, 74.467, 170, B21, S05, 1
B21, Trade, 77.283, 164, B21, S01, 1
B21, Trade, 84.067, 164, B21, S07, 1
B21, Trade, 88.983, 170, B21, S18, 1
B21, Trade, 91.717, 150, B21, S00, 1
B21, Trade, 98.967, 169, B21, S18, 1
B21, Trade, 103.600, 161, B21, S01, 1
B21, Trade, 107.850, 134, B21, S01, 1
B21, Trade, 111.600, 135, B21, S07, 1
B21, Trade, 117.717, 168, B21, S15, 1
B21, Trade, 124.283, 153, B21, S01, 1
B21, Trade, 134.983, 170, B21, S18, 1
B21, Trade, 138.117, 144, B21, S07, 1
B21, Trade, 141.200, 120, B21, S00, 1
B21, Trade, 147.867, 170, B21, S01, 1
B21, Trade, 160.000, 153, B21, S00, 1
B21, Trade, 169.550, 169, B21, S04, 1
B21, Trade, 172.317, 170, B21, S00, 1
B21, Trade, 176.250, 170, B21, S06, 1
B21, Trade, 184.033, 163, B21, S04, 1
B21, Trade, 187.467, 129, B21, S07, 1
B21, Trade, 195.883, 157, B21, S04, 1
B21, Trade, 208.083, 165, B21, S15, 1
B21, Trade, 218.400, 163, B21, S04, 1
B21, Trade, 223.733, 139, B21, S00, 1
B21, Trade, 228.283, 170, B21, S14, 1
B21, Trade, 234.233, 139, B21, S00, 1
B21, Trade, 262.317, 152, B21, S04, 1
B21, Trade, 278.217, 169, B21, S00, 1
B21, Trade, 284.050, 136, B21, S00, 1
B21, Trade, 288.583, 146, B21, S00, 1
B21, Trade, 293.100, 149, B21, S01, 1
B21, Trade, 298.083, 154, B21, S00, 1
B22, 6
B22, Trade, 7.833, 138, B22, S01, 1
B22, Trade, 31.350, 129, B22, S07, 1
B22, Trade, 92.700, 150, B22, S06, 1
B22, Trade, 161.283, 100, S00, B22, 1
B22, Trade, 232.033, 134, B22, S05, 1
B22, Trade, 299.667, 159, S02, B22, 1
B23, 52
B23, Trade, 5.933, 150, S03, B23, 1
B23, Trade, 16.433, 152, B23, S05, 1
B23, Trade, 24.950, 166, B23, S11, 1
B23, Trade, 28.417, 168, S03, B23, 1
B23, Trade, 31.367, 158, S06, B23, 1
B23, Trade, 40.717, 175, B23, S01, 1
B23, Trade, 45.517, 151, S15, B23, 1
B23, Trade, 51.533, 136, S07, B23, 1
B23, Trade, 59.733, 168, S17, B23, 1
B23, Trade, 63.283, 157, S03, B23, 1
B23, Trade, 69.250, 169, B23, S04, 1
B23, Trade, 70.650, 155, B23, S15, 1
B23, Trade, 77.767, 169, S18, B23, 1
B23, Trade, 85.300, 179, B23, S11, 1
B23, Trade, 85.650, 108, S00, B23, 1
B23, Trade, 94.450, 161, B23, S04, 1
B23, Trade, 96.383, 160, B23, S06, 1
B23, Trade, 101.833, 164, B23, S07, 1
B23, Trade, 106.433, 164, S15, B23, 1
B23, Trade, 112.900, 151, S03, B23, 1
B23, Trade, 118.083, 172, S18, B23, 1
B23, Trade, 126.117, 163, B23, S06, 1
B23, Trade, 136.550, 158, S15, B23, 1
B23, Trade, 141.833, 166, S17, B23, 1
B23, Trade, 148.483, 168, B23, S12, 1
B23, Trade, 151.300, 121, S06, B23, 1
B23, Trade, 157.883, 154, B23, S07, 1
B23, Trade, 162.333, 155, S01, B23, 1
B23, Trade, 175.667, 173, S17, B23, 1
B23, Trade, 181.233, 163, S15, B23, 1
B23, Trade, 186.767, 166, S17, B23, 1
B23, Trade, 191.933, 167, S18, B23, 1
B23, Trade, 196.500, 154, S05, B23, 1
B23, Trade, 203.233, 152, S02, B23, 1
B23, Trade, 206.467, 144, B23, S00, 1
B23, Trade, 212.183, 132, S00, B23, 1
B23, Trade, 217.633, 165, B23, S06, 1
B23, Trade, 221.867, 143, S03, B23, 1
B23, Trade, 227.850, 174, B23, S15, 1
B23, Trade, 236.050, 165, S18, B23, 1
B23, Trade, 241.500, 165, B23, S06, 1
B23, Trade, 246.417, 144, S06, B23, 1
B23, Trade, 253.900, 165, S14, B23, 1
B23, Trade, 260.133, 168, B23, S10, 1
B23, Trade, 261.350, 175, B23, S15, 1
B23, Trade, 266.567, 160, B23, S00, 1
B23, Trade, 272.267, 166, S11, B23, 1
B23, Trade, 278.900, 177, B23, S20, 1
B23, Trade, 283.433, 166, S17, B23, 1
B23, Trade, 286.533, 129, S07, B23, 1
B23, Trade, 293.583, 177, B23, S05, 1
B23, Trade, 298.017, 155, B23, S06, 1
B24, 32
B24, Trade, 5.517, 169, B24, S00, 1
B24, Trade, 15.800, 162, S15, B24, 1
B24, Trade, 51.550, 136, S03, B24, 1
B24, Trade, 60.683, 167, B24, S00, 1
B24, Trade, 70.283, 176, S18, B24, 1
B24, Trade, 70.950, 164, S01, B24, 1
B24, Trade, 77.050, 166, B24, S04, 1
B24, Trade, 101.267, 144, B24, S06, 1
B24, Trade, 108.233, 158, S09, B24, 1
B24, Trade, 114.933, 161, B24, S01, 1
B24, Trade, 136.200, 165, B24, S18, 1
B24, Trade, 143.633, 181, B24, S05, 1
B24, Trade, 147.317, 182, B24, S07, 1
B24, Trade, 151.567, 151, S15, B24, 1
B24, Trade, 163.417, 124, S07, B24, 1
B24, Trade, 171.417, 137, B24, S07, 1
B24, Trade, 181.333, 170, B24, S00, 1
B24, Trade, 186.783, 156, B24, S01, 1
B24, Trade, 196.450, 139, B24, S00, 1
B24, Trade, 201.983, 160, B24, S04, 1
B24, Trade, 207.883, 166, B24, S14, 1
B24, Trade, 217.750, 178, S15, B24, 1
B24, Trade, 226.567, 178, B24, S06, 1
B24, Trade, 236.600, 125, S07, B24, 1
B24, Trade, 246.000, 180, S04, B24, 1
B24, Trade, 254.550, 154, B24, S00, 1
B24, Trade, 261.500, 155, B24, S07, 1
B24, Trade, 266.333, 125, S06, B24, 1
B24, Trade, 273.100, 141, S00, B24, 1
B24, Trade, 276.400, 120, S06, B24, 1
B24, Trade, 284.333, 170, S15, B24, 1
B24, Trade, 291.167, 169, B24, S06, 1
B25, 55
B25, Trade, 6.133, 174, B25, S10, 1
B25, Trade, 10.933, 152, S15, B25, 1
B25, Trade, 15.417, 154, B25, S07, 1
B25, Trade, 21.450, 162, B25, S01, 1
B25, Trade, 28.367, 162, S16, B25, 1
B25, Trade, 30.783, 153, S04, B25, 1
B25, Trade, 36.233, 120, S06, B25, 1
B25, Trade, 43.183, 155, S03, B25, 1
B25, Trade, 52.150, 153, S15, B25, 1
B25, Trade, 55.500, 150, S10, B25, 1
B25, Trade, 63.700, 166, S18, B25, 1
B25, Trade, 65.967, 160, S15, B25, 1
B25, Trade, 74.750, 169, B25, S04, 1
B25, Trade, 75.917, 134, B25, S06, 1
B25, Trade, 87.867, 183, B25, S15, 1
B25, Trade, 91.167, 181, B25, S18, 1
B25, Trade, 105.183, 167, S15, B25, 1
B25, Trade, 105.800, 135, S00, B25, 1
B25, Trade, 111.117, 164, B25, S15, 1
B25, Trade, 116.383, 137, S06, B25, 1
B25, Trade, 121.000, 180, B25, S15, 1
B25, Trade, 126.533, 170, B25, S15, 1
B25, Trade, 134.233, 176, S15, B25, 1
B25, Trade, 138.400, 186, B25, S06, 1
B25, Trade, 145.533, 180, B25, S14, 1
B25, Trade, 147.433, 181, B25, S06, 1
B25, Trade, 153.000, 166, S17, B25, 1
B25, Trade, 157.250, 185, B25, S06, 1
B25, Trade, 164.150, 152, S15, B25, 1
B25, Trade, 167.883, 173, B25, S07, 1
B25, Trade, 175.417, 146, S01, B25, 1
B25, Trade, 176.867, 171, S02, B25, 1
B25, Trade, 181.800, 180, S08, B25, 1
B25, Trade, 186.433, 142, S06, B25, 1
B25, Trade, 191.133, 130, S07, B25, 1
B25, Trade, 196.600, 124, S07, B25, 1
B25, Trade, 205.433, 164, S15, B25, 1
B25, Trade, 207.500, 167, B25, S01, 1
B25, Trade, 213.950, 183, B25, S20, 1
B25, Trade, 220.167, 180, S18, B25, 1
B25, Trade, 221.817, 136, S07, B25, 1
B25, Trade, 230.083, 164, B25, S01, 1
B25, Trade, 231.967, 185, S17, B25, 1
B25, Trade, 236.733, 126, S06, B25, 1
B25, Trade, 243.400, 157, S15, B25, 1
B25, Trade, 249.700, 162, S15, B25, 1
B25, Trade, 252.367, 130, S06, B25, 1
B25, Trade, 257.767, 161, B25, S07, 1
B25, Trade, 262.883, 169, S17, B25, 1
B25, Trade, 268.250, 160, S16, B25, 1
B25, Trade, 272.817, 141, S07, B25, 1
B25, Trade, 276.833, 186, B25, S07, 1
B25, Trade, 281.883, 179, S05, B25, 1
B25, Trade, 286.917, 168, S15, B25, 1
B25, Trade, 292.100, 184, B25, S00, 1
B26, 21
B26, Trade, 14.600, 160, B26, S12, 1
B26, Trade, 15.500, 148, B26, S06, 1
B26, Trade, 29.417, 146, S11, B26, 1
B26, Trade, 43.400, 177, S18, B26, 1
B26, Trade, 57.300, 155, S15, B26, 1
