B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 1
B07, Trade, 5.900, 120, S02, B07, 1
B08, 0
B09, 14
B09, Trade, 6.350, 122, S00, B09, 1
B09, Trade, 75.833, 131, B09, S02, 1
B09, Trade, 111.383, 131, B09, S05, 1
B09, Trade, 125.917, 125, S05, B09, 1
B09, Trade, 137.817, 131, B09, S07, 1
B09, Trade, 181.867, 128, B09, S00, 1
B09, Trade, 192.167, 131, B09, S01, 1
B09, Trade, 201.450, 130, B09, S00, 1
B09, Trade, 206.933, 131, B09, S03, 1
B09, Trade, 237.200, 131, B09, S02, 1
B09, Trade, 241.800, 130, B09, S05, 1
B09, Trade, 253.083, 131, B09, S00, 1
B09, Trade, 256.467, 131, B09, S05, 1
B09, Trade, 266.717, 120, S05, B09, 1
B10, 0
B11, 0
B12, 22
B12, Trade, 6.233, 121, S05, B12, 1
B12, Trade, 26.283, 141, B12, S05, 1
B12, Trade, 35.367, 133, S00, B12, 1
B12, Trade, 46.100, 140, B12, S07, 1
B12, Trade, 55.467, 133, S07, B12, 1
B12, Trade, 69.183, 139, B12, S10, 1
B12, Trade, 75.683, 136, S05, B12, 1
B12, Trade, 86.867, 141, B12, S07, 1
B12, Trade, 111.483, 138, B12, S01, 1
B12, Trade, 141.817, 139, B12, S00, 1
B12, Trade, 149.033, 141, B12, S07, 1
B12, Trade, 171.967, 141, B12, S00, 1
B12, Trade, 176.117, 126, S05, B12, 1
B12, Trade, 222.450, 134, B12, S01, 1
B12, Trade, 232.267, 132, B12, S01, 1
B12, Trade, 244.700, 140, B12, S07, 1
B12, Trade, 255.000, 140, B12, S01, 1
B12, Trade, 257.450, 140, B12, S01, 1
B12, Trade, 281.950, 141, B12, S05, 1
B12, Trade, 290.150, 141, B12, S01, 1
B12, Trade, 292.300, 137, B12, S01, 1
B12, Trade, 297.867, 134, B12, S07, 1
B13, 19
B13, Trade, 5.550, 110, S01, B13, 1
B13, Trade, 41.650, 137, S07, B13, 1
B13, Trade, 51.183, 141, B13, S07, 1
B13, Trade, 67.200, 142, B13, S02, 1
