B00, 0
B01, 1
B01, Trade, 191.483, 102, S00, B01, 1
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 3
B09, Trade, 160.483, 131, B09, S00, 1
B09, Trade, 161.183, 117, B09, S00, 1
B09, Trade, 236.617, 131, B09, S07, 1
B10, 0
B11, 7
B11, Trade, 5.350, 100, S00, B11, 1
B11, Trade, 56.067, 130, B11, S05, 1
B11, Trade, 115.800, 100, S00, B11, 1
B11, Trade, 160.150, 136, B11, S04, 1
B11, Trade, 206.517, 135, B11, S07, 1
B11, Trade, 256.367, 128, B11, S00, 1
B11, Trade, 268.400, 134, B11, S07, 1
B12, 0
B13, 1
B13, Trade, 37.200, 134, B13, S00, 1
B14, 15
B14, Trade, 26.033, 147, S13, B14, 1
B14, Trade, 93.667, 146, B14, S02, 1
B14, Trade, 124.317, 146, B14, S00, 1
B14, Trade, 126.067, 102, S00, B14, 1
B14, Trade, 131.933, 148, B14, S00, 1
B14, Trade, 141.217, 142, B14, S02, 1
B14, Trade, 147.817, 147, S13, B14, 1
B14, Trade, 166.917, 144, B14, S00, 1
B14, Trade, 176.933, 131, B14, S00, 1
B14, Trade, 182.317, 144, B14, S03, 1
B14, Trade, 223.800, 147, B14, S02, 1
B14, Trade, 248.233, 148, B14, S00, 1
B14, Trade, 260.700, 146, B14, S10, 1
B14, Trade, 264.450, 146, B14, S02, 1
B14, Trade, 273.617, 135, B14, S00, 1
B15, 2
B15, Trade, 136.917, 117, B15, S00, 1
B15, Trade, 248.983, 131, B15, S06, 1
B16, 4
B16, Trade, 76.117, 145, B16, S07, 1
B16, Trade, 131.250, 146, B16, S09, 1
B16, Trade, 178.717, 147, B16, S06, 1
B16, Trade, 233.300, 138, B16, S09, 1
B17, 7
B17, Trade, 30.933, 143, S06, B17, 1
B17, Trade, 40.500, 122, B17, S00, 1
B17, Trade, 111.167, 118, B17, S00, 1
B17, Trade, 147.000, 142, B17, S06, 1
B17, Trade, 159.283, 150, B17, S02, 1
B17, Trade, 162.100, 149, S13, B17, 1
B17, Trade, 213.483, 142, S09, B17, 1
B18, 4
B18, Trade, 41.750, 145, B18, S07, 1
B18, Trade, 173.550, 138, B18, S07, 1
B18, Trade, 253.867, 148, B18, S02, 1
B18, Trade, 270.183, 137, B18, S01, 1
B19, 4
B19, Trade, 15.833, 138, S09, B19, 1
B19, Trade, 65.717, 158, B19, S00, 1
B19, Trade, 196.583, 136, B19, S00, 1
B19, Trade, 219.367, 143, B19, S08, 1
B20, 6
B20, Trade, 8.283, 149, B20, S07, 1
B20, Trade, 106.850, 152, B20, S00, 1
B20, Trade, 212.100, 135, B20, S00, 1
B20, Trade, 230.317, 144, B20, S01, 1
B20, Trade, 233.717, 154, B20, S10, 1
B20, Trade, 272.933, 139, S07, B20, 1
B21, 42
B21, Trade, 6.100, 139, B21, S05, 1
B21, Trade, 21.600, 171, B21, S09, 1
B21, Trade, 29.267, 171, B21, S07, 1
B21, Trade, 33.967, 171, B21, S07, 1
B21, Trade, 36.567, 170, B21, S07, 1
B21, Trade, 48.567, 149, B21, S03, 1
B21, Trade, 53.183, 140, B21, S01, 1
B21, Trade, 60.850, 166, B21, S13, 1
B21, Trade, 73.033, 133, B21, S07, 1
B21, Trade, 80.383, 146, B21, S01, 1
B21, Trade, 84.933, 145, B21, S06, 1
B21, Trade, 89.133, 161, B21, S12, 1
B21, Trade, 99.267, 155, B21, S13, 1
B21, Trade, 102.183, 156, B21, S02, 1
