B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 1
B06, Trade, 105.800, 112, S03, B06, 1
B07, 0
B08, 3
B08, Trade, 95.817, 120, S05, B08, 1
B08, Trade, 221.383, 120, B08, S01, 1
B08, Trade, 283.083, 126, B08, S01, 1
B09, 0
B10, 0
B11, 1
B11, Trade, 92.133, 137, B11, S06, 1
B12, 8
B12, Trade, 28.150, 128, B12, S01, 1
B12, Trade, 56.233, 135, B12, S05, 1
B12, Trade, 60.967, 126, B12, S05, 1
B12, Trade, 84.233, 141, B12, S07, 1
B12, Trade, 211.917, 132, B12, S07, 1
B12, Trade, 221.167, 118, S05, B12, 1
B12, Trade, 260.000, 140, B12, S04, 1
B12, Trade, 291.650, 119, S05, B12, 1
B13, 2
B13, Trade, 55.850, 144, B13, S07, 1
B13, Trade, 86.933, 136, B13, S00, 1
B14, 1
B14, Trade, 142.317, 129, B14, S05, 1
B15, 6
B15, Trade, 153.450, 142, B15, S04, 1
B15, Trade, 157.450, 150, B15, S06, 1
B15, Trade, 175.917, 147, B15, S01, 1
B15, Trade, 191.233, 147, B15, S07, 1
B15, Trade, 216.317, 151, B15, S05, 1
B15, Trade, 297.150, 148, B15, S05, 1
B16, 8
B16, Trade, 23.883, 152, B16, S11, 1
B16, Trade, 73.833, 153, B16, S06, 1
B16, Trade, 85.917, 124, B16, S05, 1
B16, Trade, 94.083, 141, B16, S01, 1
B16, Trade, 100.017, 145, B16, S07, 1
B16, Trade, 141.833, 145, B16, S01, 1
B16, Trade, 161.533, 146, S07, B16, 1
B16, Trade, 189.433, 144, B16, S07, 1
B17, 32
B17, Trade, 6.417, 154, B17, S05, 1
B17, Trade, 16.217, 151, B17, S01, 1
B17, Trade, 25.317, 125, S05, B17, 1
B17, Trade, 39.517, 150, B17, S11, 1
B17, Trade, 40.600, 145, B17, S07, 1
B17, Trade, 51.183, 157, B17, S04, 1
B17, Trade, 65.333, 153, B17, S11, 1
B17, Trade, 67.100, 149, B17, S05, 1
B17, Trade, 80.783, 156, B17, S05, 1
B17, Trade, 87.967, 154, B17, S06, 1
B17, Trade, 91.183, 151, B17, S02, 1
B17, Trade, 103.200, 157, B17, S07, 1
B17, Trade, 109.767, 145, B17, S04, 1
B17, Trade, 111.333, 153, B17, S07, 1
B17, Trade, 124.067, 150, B17, S07, 1
B17, Trade, 135.050, 157, B17, S03, 1
B17, Trade, 139.883, 137, B17, S07, 1
B17, Trade, 143.350, 149, B17, S02, 1
B17, Trade, 150.117, 153, B17, S06, 1
B17, Trade, 153.950, 139, B17, S02, 1
B17, Trade, 157.150, 151, B17, S01, 1
B17, Trade, 167.333, 139, B17, S05, 1
B17, Trade, 173.333, 151, B17, S11, 1
B17, Trade, 183.717, 130, B17, S06, 1
B17, Trade, 216.933, 138, B17, S01, 1
B17, Trade, 236.917, 130, S02, B17, 1
B17, Trade, 248.633, 153, B17, S00, 1
B17, Trade, 251.983, 151, B17, S02, 1
B17, Trade, 257.517, 157, B17, S01, 1
B17, Trade, 282.317, 156, B17, S05, 1
B17, Trade, 289.417, 149, S03, B17, 1
B17, Trade, 297.367, 152, B17, S07, 1
B18, 6
B18, Trade, 7.950, 140, S04, B18, 1
B18, Trade, 24.433, 148, B18, S07, 1
B18, Trade, 60.683, 127, B18, S03, 1
B18, Trade, 102.800, 147, B18, S05, 1
B18, Trade, 195.200, 147, B18, S04, 1
B18, Trade, 251.850, 152, B18, S06, 1
B19, 11
