B00, 0
B01, 0
B02, 0
B03, 0
B04, 1
B04, Trade, 131.017, 109, S02, B04, 1
B05, 0
B06, 0
B07, 0
B08, 2
B08, Trade, 152.367, 126, B08, S00, 1
B08, Trade, 282.017, 122, B08, S05, 1
B09, 0
B10, 0
B11, 1
B11, Trade, 197.817, 133, B11, S05, 1
B12, 0
B13, 20
B13, Trade, 28.233, 138, B13, S01, 1
B13, Trade, 35.167, 137, B13, S08, 1
B13, Trade, 48.067, 141, B13, S01, 1
B13, Trade, 60.450, 121, S01, B13, 1
B13, Trade, 72.717, 141, B13, S05, 1
B13, Trade, 75.950, 118, S05, B13, 1
B13, Trade, 82.733, 142, S04, B13, 1
B13, Trade, 86.767, 143, B13, S05, 1
B13, Trade, 99.333, 140, B13, S08, 1
B13, Trade, 106.300, 137, B13, S06, 1
B13, Trade, 113.117, 141, B13, S05, 1
B13, Trade, 117.800, 141, B13, S07, 1
B13, Trade, 142.150, 142, B13, S00, 1
B13, Trade, 168.250, 140, B13, S06, 1
B13, Trade, 174.233, 135, S10, B13, 1
B13, Trade, 176.983, 144, B13, S00, 1
B13, Trade, 181.883, 141, B13, S07, 1
B13, Trade, 217.033, 129, S08, B13, 1
B13, Trade, 227.400, 143, B13, S00, 1
B13, Trade, 237.000, 138, B13, S00, 1
B14, 10
B14, Trade, 5.200, 119, B14, S05, 1
B14, Trade, 28.500, 139, S11, B14, 1
B14, Trade, 45.283, 137, B14, S00, 1
B14, Trade, 88.067, 146, S07, B14, 1
B14, Trade, 132.683, 138, S10, B14, 1
B14, Trade, 183.383, 138, B14, S06, 1
B14, Trade, 191.167, 133, B14, S06, 1
B14, Trade, 222.533, 144, B14, S06, 1
B14, Trade, 246.950, 145, B14, S02, 1
B14, Trade, 292.050, 125, S02, B14, 1
B15, 4
B15, Trade, 30.667, 115, B15, S00, 1
B15, Trade, 52.633, 117, B15, S00, 1
B15, Trade, 158.567, 138, B15, S06, 1
B15, Trade, 207.083, 125, B15, S05, 1
B16, 6
B16, Trade, 26.850, 142, B16, S08, 1
B16, Trade, 52.350, 128, S03, B16, 1
B16, Trade, 123.717, 128, B16, S00, 1
B16, Trade, 193.400, 148, B16, S11, 1
B16, Trade, 267.283, 129, B16, S01, 1
B16, Trade, 292.283, 124, B16, S06, 1
B17, 12
B17, Trade, 6.533, 139, B17, S06, 1
B17, Trade, 21.717, 146, S11, B17, 1
B17, Trade, 36.817, 150, B17, S00, 1
B17, Trade, 48.500, 138, B17, S10, 1
B17, Trade, 52.083, 126, S06, B17, 1
B17, Trade, 56.633, 145, B17, S06, 1
B17, Trade, 107.533, 146, S10, B17, 1
B17, Trade, 178.983, 148, S11, B17, 1
B17, Trade, 253.033, 141, B17, S06, 1
B17, Trade, 266.783, 133, S02, B17, 1
B17, Trade, 278.750, 154, S14, B17, 1
B17, Trade, 297.483, 141, B17, S06, 1
B18, 18
B18, Trade, 5.133, 148, S14, B18, 1
B18, Trade, 26.667, 123, B18, S02, 1
B18, Trade, 35.733, 140, S05, B18, 1
B18, Trade, 49.167, 159, B18, S11, 1
B18, Trade, 59.817, 157, B18, S00, 1
B18, Trade, 73.517, 145, B18, S01, 1
B18, Trade, 97.900, 143, S05, B18, 1
B18, Trade, 101.400, 146, B18, S06, 1
B18, Trade, 125.000, 133, S08, B18, 1
B18, Trade, 145.983, 121, S06, B18, 1
B18, Trade, 172.150, 142, B18, S00, 1
B18, Trade, 212.600, 159, B18, S02, 1
B18, Trade, 221.483, 138, S05, B18, 1
B18, Trade, 228.033, 148, S10, B18, 1
B18, Trade, 235.967, 154, B18, S09, 1
B18, Trade, 253.200, 140, B18, S00, 1
B18, Trade, 287.850, 153, B18, S05, 1
B18, Trade, 294.917, 147, S00, B18, 1
B19, 21
B19, Trade, 15.717, 138, B19, S06, 1
B19, Trade, 24.600, 151, B19, S00, 1
B19, Trade, 28.283, 151, S07, B19, 1
B19, Trade, 31.167, 147, S04, B19, 1
B19, Trade, 35.917, 129, B19, S06, 1
B19, Trade, 41.333, 149, B19, S06, 1
B19, Trade, 54.533, 151, S07, B19, 1
B19, Trade, 76.367, 148, B19, S11, 1
B19, Trade, 82.533, 126, B19, S05, 1
B19, Trade, 86.250, 143, B19, S06, 1
B19, Trade, 99.850, 152, B19, S02, 1
B19, Trade, 126.117, 151, B19, S14, 1
B19, Trade, 138.400, 150, S14, B19, 1
B19, Trade, 149.183, 152, B19, S08, 1
B19, Trade, 172.733, 148, S14, B19, 1
B19, Trade, 209.217, 158, B19, S01, 1
B19, Trade, 217.283, 122, S06, B19, 1
B19, Trade, 232.083, 140, S05, B19, 1
B19, Trade, 258.133, 145, S02, B19, 1
B19, Trade, 282.250, 123, S01, B19, 1
B19, Trade, 293.350, 150, S14, B19, 1
B20, 58
B20, Trade, 8.600, 159, S04, B20, 1
B20, Trade, 10.550, 149, S14, B20, 1
B20, Trade, 15.350, 147, S11, B20, 1
B20, Trade, 20.583, 162, B20, S14, 1
B20, Trade, 26.250, 156, S05, B20, 1
B20, Trade, 32.500, 164, B20, S15, 1
B20, Trade, 38.517, 134, S07, B20, 1
B20, Trade, 40.817, 151, S14, B20, 1
B20, Trade, 50.183, 164, B20, S16, 1
B20, Trade, 52.583, 134, S02, B20, 1
B20, Trade, 57.517, 150, S14, B20, 1
B20, Trade, 60.683, 143, S04, B20, 1
B20, Trade, 69.233, 161, S15, B20, 1
B20, Trade, 78.533, 148, S07, B20, 1
B20, Trade, 83.667, 149, S09, B20, 1
B20, Trade, 86.683, 144, B20, S08, 1
B20, Trade, 91.183, 163, S05, B20, 1
B20, Trade, 96.400, 125, S06, B20, 1
B20, Trade, 101.300, 148, S14, B20, 1
B20, Trade, 105.917, 159, S02, B20, 1
B20, Trade, 111.817, 163, B20, S14, 1
B20, Trade, 116.583, 149, S14, B20, 1
B20, Trade, 122.183, 140, B20, S05, 1
B20, Trade, 125.950, 163, B20, S11, 1
B20, Trade, 131.917, 168, B20, S03, 1
B20, Trade, 136.617, 127, S05, B20, 1
B20, Trade, 142.733, 159, B20, S08, 1
B20, Trade, 147.167, 148, S04, B20, 1
B20, Trade, 152.283, 156, B20, S06, 1
B20, Trade, 157.667, 152, S01, B20, 1
B20, Trade, 161.417, 136, S08, B20, 1
B20, Trade, 166.150, 166, B20, S08, 1
B20, Trade, 174.800, 166, B20, S15, 1
B20, Trade, 176.317, 151, S05, B20, 1
B20, Trade, 182.433, 141, S11, B20, 1
B20, Trade, 186.317, 125, S06, B20, 1
B20, Trade, 191.067, 164, B20, S15, 1
B20, Trade, 198.717, 151, S09, B20, 1
B20, Trade, 202.150, 162, B20, S06, 1
B20, Trade, 206.617, 149, B20, S03, 1
B20, Trade, 211.150, 106, S00, B20, 1
B20, Trade, 216.283, 136, S05, B20, 1
B20, Trade, 221.417, 134, S08, B20, 1
B20, Trade, 226.383, 167, B20, S01, 1
B20, Trade, 232.567, 151, S08, B20, 1
B20, Trade, 238.300, 148, S14, B20, 1
B20, Trade, 241.567, 168, B20, S14, 1
B20, Trade, 247.083, 148, S14, B20, 1
B20, Trade, 251.983, 151, S14, B20, 1
B20, Trade, 258.700, 155, S11, B20, 1
B20, Trade, 262.650, 151, S14, B20, 1
B20, Trade, 266.350, 156, S11, B20, 1
B20, Trade, 271.850, 153, S11, B20, 1
B20, Trade, 276.967, 147, S01, B20, 1
B20, Trade, 282.817, 167, B20, S00, 1
B20, Trade, 288.633, 160, S11, B20, 1
B20, Trade, 291.867, 147, S10, B20, 1
B20, Trade, 297.533, 149, S09, B20, 1
B21, 43
B21, Trade, 6.783, 154, B21, S09, 1
B21, Trade, 11.750, 137, S11, B21, 1
B21, Trade, 15.767, 152, S14, B21, 1
B21, Trade, 20.633, 161, B21, S07, 1
B21, Trade, 31.483, 156, S05, B21, 1
B21, Trade, 38.717, 163, S08, B21, 1
B21, Trade, 46.317, 145, B21, S02, 1
B21, Trade, 54.333, 146, S09, B21, 1
B21, Trade, 57.683, 166, B21, S11, 1
B21, Trade, 60.567, 125, S06, B21, 1
B21, Trade, 70.800, 152, S07, B21, 1
B21, Trade, 77.867, 148, S14, B21, 1
B21, Trade, 81.400, 120, S06, B21, 1
B21, Trade, 91.483, 172, B21, S06, 1
B21, Trade, 98.450, 148, S14, B21, 1
B21, Trade, 103.333, 146, B21, S11, 1
B21, Trade, 113.767, 144, B21, S00, 1
B21, Trade, 116.700, 159, S16, B21, 1
