B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 1
B12, Trade, 177.600, 133, S03, B12, 1
B13, 5
B13, Trade, 11.817, 142, B13, S06, 1
B13, Trade, 96.567, 143, B13, S00, 1
B13, Trade, 115.883, 136, B13, S09, 1
B13, Trade, 126.200, 133, S06, B13, 1
B13, Trade, 192.283, 141, B13, S06, 1
B14, 0
B15, 25
B15, Trade, 7.467, 147, B15, S05, 1
B15, Trade, 26.900, 148, B15, S01, 1
B15, Trade, 33.533, 151, B15, S08, 1
B15, Trade, 39.500, 143, B15, S06, 1
B15, Trade, 54.150, 150, B15, S02, 1
B15, Trade, 58.117, 148, B15, S00, 1
B15, Trade, 74.717, 143, B15, S06, 1
B15, Trade, 85.483, 149, B15, S03, 1
B15, Trade, 87.267, 148, B15, S08, 1
B15, Trade, 103.350, 150, B15, S02, 1
B15, Trade, 106.133, 128, S05, B15, 1
B15, Trade, 133.767, 149, B15, S00, 1
B15, Trade, 150.550, 149, B15, S08, 1
B15, Trade, 154.500, 151, B15, S02, 1
B15, Trade, 161.133, 144, S02, B15, 1
B15, Trade, 192.300, 137, B15, S02, 1
B15, Trade, 203.717, 150, B15, S08, 1
B15, Trade, 215.917, 150, B15, S09, 1
B15, Trade, 225.400, 146, B15, S07, 1
B15, Trade, 226.983, 145, B15, S09, 1
B15, Trade, 231.400, 142, B15, S06, 1
B15, Trade, 240.167, 149, B15, S00, 1
B15, Trade, 267.417, 151, B15, S14, 1
B15, Trade, 282.183, 150, B15, S09, 1
B15, Trade, 298.533, 150, B15, S07, 1
B16, 2
B16, Trade, 24.350, 154, B16, S03, 1
B16, Trade, 136.767, 139, B16, S02, 1
B17, 10
B17, Trade, 5.967, 150, B17, S02, 1
B17, Trade, 13.117, 149, B17, S07, 1
B17, Trade, 17.750, 150, B17, S09, 1
B17, Trade, 27.283, 143, B17, S00, 1
B17, Trade, 57.450, 150, B17, S06, 1
B17, Trade, 86.983, 150, B17, S02, 1
B17, Trade, 175.083, 150, B17, S11, 1
B17, Trade, 185.617, 150, B17, S00, 1
B17, Trade, 243.050, 150, B17, S07, 1
B17, Trade, 299.117, 137, B17, S08, 1
B18, 11
B18, Trade, 38.000, 152, B18, S05, 1
B18, Trade, 49.983, 160, B18, S05, 1
B18, Trade, 73.100, 153, S07, B18, 1
B18, Trade, 132.650, 161, B18, S06, 1
B18, Trade, 138.017, 156, B18, S00, 1
B18, Trade, 185.450, 154, B18, S06, 1
B18, Trade, 234.683, 153, B18, S09, 1
B18, Trade, 260.750, 154, B18, S04, 1
B18, Trade, 266.000, 151, B18, S09, 1
B18, Trade, 268.050, 154, B18, S02, 1
B18, Trade, 285.050, 157, B18, S06, 1
B19, 17
B19, Trade, 5.867, 159, B19, S06, 1
B19, Trade, 46.800, 146, B19, S06, 1
B19, Trade, 52.700, 159, S10, B19, 1
B19, Trade, 102.850, 161, S01, B19, 1
B19, Trade, 110.417, 157, B19, S14, 1
B19, Trade, 116.400, 165, B19, S00, 1
B19, Trade, 147.183, 155, B19, S09, 1
B19, Trade, 159.850, 152, B19, S07, 1
B19, Trade, 219.750, 155, B19, S08, 1
B19, Trade, 223.533, 157, B19, S06, 1
B19, Trade, 227.233, 159, B19, S00, 1
B19, Trade, 237.983, 139, B19, S06, 1
B19, Trade, 246.850, 154, B19, S11, 1
B19, Trade, 260.100, 157, B19, S09, 1
B19, Trade, 262.667, 162, B19, S08, 1
B19, Trade, 286.017, 159, S08, B19, 1
B19, Trade, 286.900, 145, B19, S06, 1
B20, 8
B20, Trade, 26.633, 155, B20, S09, 1
B20, Trade, 50.100, 151, B20, S00, 1
B20, Trade, 82.250, 154, B20, S05, 1
B20, Trade, 113.883, 152, B20, S08, 1
B20, Trade, 199.900, 144, B20, S05, 1
B20, Trade, 245.967, 154, B20, S00, 1
B20, Trade, 288.083, 155, B20, S00, 1
B20, Trade, 297.733, 155, B20, S11, 1
B21, 4
B21, Trade, 142.433, 156, S11, B21, 1
B21, Trade, 224.550, 134, B21, S00, 1
B21, Trade, 227.533, 141, B21, S02, 1
B21, Trade, 243.817, 148, B21, S08, 1
B22, 14
B22, Trade, 6.600, 158, B22, S08, 1
B22, Trade, 23.633, 156, B22, S12, 1
B22, Trade, 38.050, 152, B22, S02, 1
B22, Trade, 52.417, 150, S00, B22, 1
B22, Trade, 61.583, 153, B22, S09, 1
B22, Trade, 78.033, 156, B22, S14, 1
B22, Trade, 93.800, 152, B22, S02, 1
B22, Trade, 150.567, 145, B22, S04, 1
B22, Trade, 175.367, 154, B22, S01, 1
B22, Trade, 189.083, 158, B22, S08, 1
B22, Trade, 191.250, 153, B22, S09, 1
B22, Trade, 210.733, 154, B22, S06, 1
B22, Trade, 234.150, 154, B22, S02, 1
B22, Trade, 253.633, 152, B22, S06, 1
B23, 9
B23, Trade, 8.983, 156, B23, S09, 1
B23, Trade, 30.100, 163, B23, S04, 1
B23, Trade, 67.450, 152, B23, S07, 1
B23, Trade, 71.583, 176, B23, S11, 1
B23, Trade, 81.250, 167, B23, S14, 1
B23, Trade, 249.533, 159, S04, B23, 1
B23, Trade, 254.500, 176, B23, S11, 1
B23, Trade, 265.333, 164, B23, S03, 1
B23, Trade, 294.967, 176, B23, S05, 1
B24, 59
B24, Trade, 5.450, 181, B24, S20, 1
B24, Trade, 11.333, 171, B24, S08, 1
B24, Trade, 17.567, 166, B24, S07, 1
B24, Trade, 20.750, 179, B24, S02, 1
B24, Trade, 25.617, 179, S14, B24, 1
B24, Trade, 30.233, 110, S00, B24, 1
B24, Trade, 35.850, 175, S00, B24, 1
B24, Trade, 41.250, 179, B24, S06, 1
B24, Trade, 46.617, 182, B24, S17, 1
B24, Trade, 52.783, 160, S09, B24, 1
B24, Trade, 55.900, 177, B24, S09, 1
B24, Trade, 61.417, 182, B24, S06, 1
B24, Trade, 66.833, 158, S08, B24, 1
B24, Trade, 70.633, 156, S09, B24, 1
B24, Trade, 75.633, 158, B24, S11, 1
B24, Trade, 82.050, 182, B24, S17, 1
B24, Trade, 86.467, 180, B24, S05, 1
B24, Trade, 91.967, 181, B24, S10, 1
B24, Trade, 98.283, 180, B24, S06, 1
B24, Trade, 102.400, 159, S17, B24, 1
B24, Trade, 109.533, 181, B24, S17, 1
B24, Trade, 113.217, 179, S14, B24, 1
B24, Trade, 116.267, 181, B24, S14, 1
B24, Trade, 122.267, 172, S03, B24, 1
B24, Trade, 128.750, 179, B24, S02, 1
B24, Trade, 131.417, 181, B24, S08, 1
B24, Trade, 137.267, 172, B24, S03, 1
B24, Trade, 143.033, 182, B24, S05, 1
B24, Trade, 146.617, 176, B24, S17, 1
B24, Trade, 152.333, 180, B24, S08, 1
B24, Trade, 157.267, 176, B24, S03, 1
B24, Trade, 161.467, 174, S11, B24, 1
B24, Trade, 166.933, 182, S00, B24, 1
B24, Trade, 172.433, 170, B24, S09, 1
B24, Trade, 178.217, 164, S04, B24, 1
B24, Trade, 183.217, 158, B24, S02, 1
B24, Trade, 188.383, 180, B24, S07, 1
B24, Trade, 192.000, 171, S03, B24, 1
B24, Trade, 196.333, 180, B24, S01, 1
B24, Trade, 202.517, 177, S11, B24, 1
B24, Trade, 208.267, 172, B24, S01, 1
B24, Trade, 212.100, 157, S08, B24, 1
B24, Trade, 217.750, 178, B24, S04, 1
B24, Trade, 221.183, 175, B24, S11, 1
B24, Trade, 226.767, 172, B24, S07, 1
B24, Trade, 231.467, 149, S10, B24, 1
B24, Trade, 237.617, 156, S02, B24, 1
B24, Trade, 242.850, 177, B24, S03, 1
B24, Trade, 246.933, 160, S13, B24, 1
B24, Trade, 253.133, 172, B24, S02, 1
B24, Trade, 256.550, 173, B24, S20, 1
B24, Trade, 262.367, 171, S20, B24, 1
B24, Trade, 269.583, 158, S17, B24, 1
B24, Trade, 275.617, 162, S09, B24, 1
B24, Trade, 279.767, 180, B24, S09, 1
B24, Trade, 281.717, 156, S03, B24, 1
B24, Trade, 287.717, 169, B24, S09, 1
B24, Trade, 292.717, 181, B24, S08, 1
B24, Trade, 296.783, 176, S13, B24, 1
B25, 15
B25, Trade, 12.217, 156, B25, S09, 1
B25, Trade, 42.800, 157, B25, S11, 1
B25, Trade, 65.283, 162, S17, B25, 1
B25, Trade, 79.100, 166, S17, B25, 1
B25, Trade, 86.917, 152, B25, S09, 1
B25, Trade, 93.017, 177, B25, S12, 1
B25, Trade, 96.000, 144, S10, B25, 1
B25, Trade, 126.267, 138, S09, B25, 1
B25, Trade, 139.867, 167, S08, B25, 1
B25, Trade, 147.833, 183, B25, S11, 1
B25, Trade, 157.050, 173, B25, S09, 1
B25, Trade, 162.550, 164, B25, S00, 1
B25, Trade, 184.183, 156, S11, B25, 1
B25, Trade, 205.533, 147, B25, S09, 1
B25, Trade, 227.717, 159, B25, S12, 1
B26, 56
B26, Trade, 5.167, 183, B26, S03, 1
B26, Trade, 13.217, 161, S01, B26, 1
B26, Trade, 15.100, 111, S00, B26, 1
B26, Trade, 21.633, 173, B26, S14, 1
B26, Trade, 26.117, 188, B26, S08, 1
B26, Trade, 31.350, 156, S07, B26, 1
B26, Trade, 37.767, 184, B26, S23, 1
B26, Trade, 40.433, 182, B26, S09, 1
B26, Trade, 45.917, 187, B26, S09, 1
B26, Trade, 53.117, 166, S08, B26, 1
B26, Trade, 60.717, 186, B26, S11, 1
B26, Trade, 65.533, 135, S00, B26, 1
B26, Trade, 70.483, 155, S08, B26, 1
B26, Trade, 77.683, 188, B26, S08, 1
B26, Trade, 83.950, 164, B26, S00, 1
B26, Trade, 92.050, 180, B26, S00, 1
B26, Trade, 97.867, 174, S14, B26, 1
B26, Trade, 101.583, 177, S09, B26, 1
B26, Trade, 107.667, 189, B26, S00, 1
B26, Trade, 112.633, 169, B26, S02, 1
B26, Trade, 118.983, 169, B26, S17, 1
B26, Trade, 122.567, 162, B26, S09, 1
B26, Trade, 129.300, 184, S23, B26, 1
B26, Trade, 137.967, 172, S06, B26, 1
B26, Trade, 141.067, 188, B26, S00, 1
