B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 4
B11, Trade, 20.617, 133, B11, S04, 1
B11, Trade, 276.667, 136, B11, S01, 1
B11, Trade, 281.617, 129, S04, B11, 1
B11, Trade, 291.917, 122, B11, S01, 1
B12, 41
B12, Trade, 5.750, 139, S03, B12, 1
B12, Trade, 11.767, 141, B12, S10, 1
B12, Trade, 15.367, 141, S10, B12, 1
B12, Trade, 20.117, 140, B12, S07, 1
B12, Trade, 31.217, 140, B12, S00, 1
B12, Trade, 36.750, 141, B12, S05, 1
B12, Trade, 56.183, 140, S03, B12, 1
B12, Trade, 62.433, 138, B12, S00, 1
B12, Trade, 65.717, 139, S11, B12, 1
B12, Trade, 71.450, 137, S11, B12, 1
B12, Trade, 77.017, 140, B12, S01, 1
B12, Trade, 88.250, 138, B12, S01, 1
B12, Trade, 90.750, 139, S11, B12, 1
B12, Trade, 98.600, 140, S11, B12, 1
B12, Trade, 101.200, 140, B12, S07, 1
B12, Trade, 127.250, 141, B12, S11, 1
B12, Trade, 140.650, 141, B12, S11, 1
B12, Trade, 142.467, 141, B12, S11, 1
B12, Trade, 146.033, 137, S07, B12, 1
B12, Trade, 151.000, 141, B12, S11, 1
B12, Trade, 158.883, 141, S09, B12, 1
B12, Trade, 173.100, 139, B12, S09, 1
B12, Trade, 187.200, 141, B12, S02, 1
B12, Trade, 193.083, 141, B12, S04, 1
B12, Trade, 197.000, 141, B12, S01, 1
B12, Trade, 201.667, 141, B12, S11, 1
B12, Trade, 211.533, 133, S07, B12, 1
B12, Trade, 224.500, 137, S11, B12, 1
B12, Trade, 226.350, 141, B12, S10, 1
B12, Trade, 237.217, 141, B12, S11, 1
B12, Trade, 246.800, 139, B12, S11, 1
B12, Trade, 251.817, 140, B12, S05, 1
B12, Trade, 259.967, 141, B12, S04, 1
B12, Trade, 262.400, 134, S04, B12, 1
B12, Trade, 267.633, 140, B12, S01, 1
B12, Trade, 271.567, 140, B12, S09, 1
B12, Trade, 278.417, 141, B12, S10, 1
B12, Trade, 281.517, 133, S07, B12, 1
B12, Trade, 286.750, 140, B12, S05, 1
B12, Trade, 291.600, 137, B12, S07, 1
B12, Trade, 297.067, 140, B12, S07, 1
B13, 3
B13, Trade, 75.833, 125, S07, B13, 1
B13, Trade, 206.517, 137, B13, S01, 1
B13, Trade, 272.900, 142, B13, S07, 1
B14, 5
B14, Trade, 12.150, 130, B14, S04, 1
B14, Trade, 148.817, 135, B14, S05, 1
B14, Trade, 158.783, 132, B14, S06, 1
B14, Trade, 202.217, 122, B14, S04, 1
B14, Trade, 271.017, 136, B14, S03, 1
B15, 7
