B00, 0
B01, 0
B02, 1
B02, Trade, 85.850, 104, S00, B02, 1
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 3
B11, Trade, 55.200, 127, B11, S02, 1
B11, Trade, 104.183, 137, B11, S05, 1
B11, Trade, 274.167, 131, S01, B11, 1
B12, 4
B12, Trade, 6.450, 128, B12, S01, 1
B12, Trade, 20.333, 131, B12, S02, 1
B12, Trade, 60.567, 137, B12, S05, 1
B12, Trade, 250.117, 136, B12, S00, 1
B13, 7
B13, Trade, 31.917, 133, S01, B13, 1
B13, Trade, 54.583, 141, B13, S03, 1
B13, Trade, 68.933, 139, B13, S02, 1
B13, Trade, 75.833, 133, B13, S02, 1
B13, Trade, 126.067, 137, B13, S02, 1
B13, Trade, 143.133, 141, B13, S02, 1
B13, Trade, 251.317, 122, B13, S01, 1
B14, 4
B14, Trade, 146.200, 134, B14, S00, 1
B14, Trade, 183.883, 132, S05, B14, 1
B14, Trade, 220.983, 143, B14, S04, 1
B14, Trade, 297.567, 144, B14, S01, 1
B15, 6
B15, Trade, 13.133, 142, B15, S01, 1
B15, Trade, 125.883, 146, B15, S00, 1
B15, Trade, 168.000, 151, B15, S00, 1
B15, Trade, 218.083, 145, B15, S02, 1
B15, Trade, 273.750, 137, B15, S05, 1
B15, Trade, 299.400, 149, B15, S00, 1
B16, 10
B16, Trade, 31.350, 136, B16, S05, 1
B16, Trade, 53.417, 154, B16, S11, 1
B16, Trade, 61.517, 154, B16, S02, 1
B16, Trade, 71.817, 151, S11, B16, 1
B16, Trade, 137.933, 141, B16, S00, 1
B16, Trade, 144.117, 154, B16, S01, 1
B16, Trade, 148.467, 151, B16, S11, 1
B16, Trade, 153.800, 145, B16, S02, 1
B16, Trade, 220.200, 150, B16, S00, 1
B16, Trade, 236.550, 155, B16, S11, 1
B17, 6
B17, Trade, 5.433, 137, S02, B17, 1
B17, Trade, 44.367, 148, S02, B17, 1
B17, Trade, 181.750, 140, B17, S00, 1
B17, Trade, 196.950, 152, B17, S08, 1
B17, Trade, 257.733, 147, B17, S03, 1
B17, Trade, 273.567, 153, S00, B17, 1
B18, 4
B18, Trade, 27.650, 152, B18, S11, 1
B18, Trade, 92.483, 155, B18, S15, 1
B18, Trade, 107.133, 146, B18, S02, 1
B18, Trade, 162.667, 130, B18, S01, 1
B19, 24
B19, Trade, 7.267, 153, B19, S00, 1
B19, Trade, 14.400, 161, B19, S02, 1
B19, Trade, 27.033, 165, B19, S05, 1
B19, Trade, 59.950, 165, B19, S10, 1
B19, Trade, 81.200, 146, B19, S04, 1
B19, Trade, 86.883, 163, S15, B19, 1
B19, Trade, 96.183, 148, S02, B19, 1
B19, Trade, 104.650, 135, B19, S02, 1
B19, Trade, 107.400, 157, S00, B19, 1
B19, Trade, 132.817, 158, B19, S15, 1
B19, Trade, 144.233, 145, B19, S04, 1
B19, Trade, 165.367, 163, B19, S02, 1
B19, Trade, 183.583, 131, S02, B19, 1
B19, Trade, 211.117, 159, B19, S05, 1
B19, Trade, 221.600, 148, B19, S05, 1
B19, Trade, 227.583, 165, B19, S00, 1
B19, Trade, 246.850, 161, B19, S11, 1
B19, Trade, 258.150, 146, B19, S05, 1
B19, Trade, 263.967, 163, B19, S02, 1
B19, Trade, 272.067, 140, S02, B19, 1
B19, Trade, 286.033, 149, S10, B19, 1
B19, Trade, 287.783, 142, S11, B19, 1
B19, Trade, 293.517, 156, B19, S15, 1
B19, Trade, 296.967, 154, S15, B19, 1
B20, 8
B20, Trade, 135.033, 156, B20, S03, 1
B20, Trade, 171.500, 155, B20, S00, 1
B20, Trade, 177.600, 147, B20, S11, 1
B20, Trade, 207.333, 131, B20, S05, 1
B20, Trade, 222.300, 153, S11, B20, 1
B20, Trade, 228.133, 136, B20, S01, 1
B20, Trade, 233.550, 147, B20, S05, 1
B20, Trade, 248.167, 133, B20, S01, 1
B21, 26
B21, Trade, 7.633, 151, B21, S05, 1
B21, Trade, 21.850, 152, B21, S11, 1
B21, Trade, 42.967, 161, B21, S08, 1
B21, Trade, 46.750, 167, B21, S00, 1
B21, Trade, 58.350, 153, B21, S11, 1
B21, Trade, 91.633, 162, B21, S11, 1
B21, Trade, 107.967, 163, S06, B21, 1
B21, Trade, 111.083, 151, S11, B21, 1
B21, Trade, 118.583, 137, S00, B21, 1
B21, Trade, 135.650, 166, B21, S17, 1
B21, Trade, 141.383, 151, B21, S00, 1
B21, Trade, 157.150, 169, S01, B21, 1
B21, Trade, 168.950, 162, B21, S11, 1
B21, Trade, 171.700, 150, B21, S02, 1
B21, Trade, 180.833, 152, S01, B21, 1
B21, Trade, 195.567, 169, S00, B21, 1
B21, Trade, 202.350, 157, S07, B21, 1
B21, Trade, 219.467, 159, S11, B21, 1
B21, Trade, 222.767, 143, B21, S04, 1
B21, Trade, 231.117, 163, S14, B21, 1
B21, Trade, 232.433, 137, S11, B21, 1
B21, Trade, 237.950, 146, B21, S02, 1
B21, Trade, 241.683, 143, S11, B21, 1
B21, Trade, 258.617, 148, S11, B21, 1
B21, Trade, 268.217, 159, B21, S00, 1
B21, Trade, 294.917, 163, B21, S00, 1
B22, 43
B22, Trade, 12.700, 172, B22, S05, 1
B22, Trade, 16.783, 169, S07, B22, 1
B22, Trade, 31.367, 141, S11, B22, 1
