B00, 0
B01, 0
B02, 0
B03, 2
B03, Trade, 20.417, 109, B03, S02, 1
B03, Trade, 296.633, 109, B03, S02, 1
B04, 0
B05, 1
B05, Trade, 286.800, 109, S02, B05, 1
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 1
B12, Trade, 100.950, 127, B12, S02, 1
B13, 13
B13, Trade, 42.550, 144, B13, S05, 1
B13, Trade, 91.367, 144, B13, S02, 1
B13, Trade, 96.250, 130, B13, S03, 1
B13, Trade, 127.150, 141, B13, S01, 1
B13, Trade, 153.883, 144, B13, S00, 1
B13, Trade, 171.067, 112, B13, S02, 1
B13, Trade, 176.900, 132, B13, S02, 1
B13, Trade, 191.083, 137, B13, S02, 1
B13, Trade, 211.783, 142, B13, S02, 1
B13, Trade, 222.550, 144, B13, S02, 1
B13, Trade, 236.567, 124, B13, S02, 1
B13, Trade, 241.450, 141, B13, S03, 1
B13, Trade, 269.467, 144, B13, S02, 1
B14, 11
B14, Trade, 7.983, 145, B14, S02, 1
B14, Trade, 20.150, 136, S05, B14, 1
B14, Trade, 70.767, 148, B14, S02, 1
B14, Trade, 84.300, 148, B14, S05, 1
B14, Trade, 106.367, 142, B14, S03, 1
B14, Trade, 145.917, 106, S02, B14, 1
B14, Trade, 171.967, 144, B14, S03, 1
B14, Trade, 216.267, 113, S02, B14, 1
B14, Trade, 226.183, 109, S02, B14, 1
B14, Trade, 261.800, 147, B14, S02, 1
B14, Trade, 284.033, 147, B14, S02, 1
B15, 0
B16, 1
B16, Trade, 231.883, 140, B16, S03, 1
B17, 3
B17, Trade, 29.483, 148, B17, S03, 1
B17, Trade, 226.433, 142, S03, B17, 1
B17, Trade, 269.033, 150, B17, S00, 1
B18, 11
B18, Trade, 35.700, 155, B18, S02, 1
B18, Trade, 82.683, 150, B18, S03, 1
B18, Trade, 155.383, 162, B18, S05, 1
B18, Trade, 157.267, 161, B18, S03, 1
B18, Trade, 176.350, 141, B18, S05, 1
B18, Trade, 185.567, 162, B18, S03, 1
B18, Trade, 198.433, 160, B18, S02, 1
B18, Trade, 222.217, 145, B18, S03, 1
B18, Trade, 236.883, 151, S15, B18, 1
B18, Trade, 257.300, 158, B18, S05, 1
B18, Trade, 262.883, 155, B18, S03, 1
B19, 5
B19, Trade, 7.083, 150, S12, B19, 1
B19, Trade, 26.683, 146, B19, S06, 1
B19, Trade, 85.850, 142, B19, S06, 1
B19, Trade, 91.833, 162, B19, S06, 1
B19, Trade, 175.267, 149, B19, S06, 1
B20, 18
B20, Trade, 32.233, 162, B20, S16, 1
B20, Trade, 37.017, 162, B20, S03, 1
B20, Trade, 42.233, 162, B20, S03, 1
B20, Trade, 54.367, 162, B20, S05, 1
B20, Trade, 77.133, 157, B20, S06, 1
B20, Trade, 82.433, 162, B20, S02, 1
B20, Trade, 123.417, 162, B20, S02, 1
B20, Trade, 142.633, 157, B20, S14, 1
B20, Trade, 153.333, 162, B20, S02, 1
B20, Trade, 158.267, 152, B20, S02, 1
B20, Trade, 169.767, 155, B20, S05, 1
B20, Trade, 179.517, 149, B20, S14, 1
B20, Trade, 184.450, 162, B20, S00, 1
B20, Trade, 235.717, 152, B20, S05, 1
B20, Trade, 267.083, 162, B20, S06, 1
B20, Trade, 273.150, 161, B20, S05, 1
B20, Trade, 283.000, 157, B20, S05, 1
B20, Trade, 289.850, 155, B20, S00, 1
B21, 15
B21, Trade, 5.383, 153, B21, S06, 1
B21, Trade, 25.433, 159, B21, S05, 1
B21, Trade, 34.550, 152, B21, S14, 1
B21, Trade, 56.083, 152, B21, S03, 1
B21, Trade, 87.017, 169, S05, B21, 1
B21, Trade, 116.667, 169, B21, S19, 1
B21, Trade, 176.100, 150, B21, S00, 1
B21, Trade, 201.483, 170, S19, B21, 1
B21, Trade, 212.433, 157, B21, S09, 1
B21, Trade, 221.233, 167, B21, S06, 1
B21, Trade, 231.783, 169, B21, S02, 1
B21, Trade, 243.200, 150, B21, S02, 1
B21, Trade, 248.567, 170, B21, S06, 1
B21, Trade, 258.683, 166, B21, S03, 1
B21, Trade, 263.417, 152, B21, S06, 1
B22, 51
B22, Trade, 5.567, 165, S19, B22, 1
B22, Trade, 10.583, 175, B22, S15, 1
B22, Trade, 15.317, 149, B22, S02, 1
B22, Trade, 21.233, 161, S13, B22, 1
B22, Trade, 26.800, 166, S12, B22, 1
B22, Trade, 32.067, 175, B22, S19, 1
B22, Trade, 37.233, 162, B22, S14, 1
B22, Trade, 41.767, 173, B22, S14, 1
B22, Trade, 46.417, 172, B22, S03, 1
B22, Trade, 51.033, 164, B22, S02, 1
B22, Trade, 57.433, 168, S19, B22, 1
B22, Trade, 60.917, 165, B22, S02, 1
B22, Trade, 72.533, 173, S15, B22, 1
B22, Trade, 81.017, 171, S19, B22, 1
B22, Trade, 87.383, 164, B22, S02, 1
B22, Trade, 91.033, 169, B22, S07, 1
B22, Trade, 103.400, 173, B22, S21, 1
B22, Trade, 107.167, 174, B22, S05, 1
B22, Trade, 111.800, 173, B22, S19, 1
B22, Trade, 118.283, 170, B22, S00, 1
B22, Trade, 120.883, 171, B22, S19, 1
B22, Trade, 125.883, 141, B22, S02, 1
B22, Trade, 131.000, 167, B22, S02, 1
B22, Trade, 136.017, 158, B22, S02, 1
B22, Trade, 141.700, 168, S19, B22, 1
B22, Trade, 146.517, 165, S19, B22, 1
B22, Trade, 152.350, 173, B22, S18, 1
B22, Trade, 162.500, 172, S19, B22, 1
B22, Trade, 168.700, 174, B22, S19, 1
B22, Trade, 173.967, 171, S19, B22, 1
B22, Trade, 183.517, 172, B22, S07, 1
B22, Trade, 191.483, 173, S14, B22, 1
B22, Trade, 196.750, 161, S06, B22, 1
B22, Trade, 201.183, 167, S05, B22, 1
B22, Trade, 209.667, 175, B22, S09, 1
B22, Trade, 213.050, 169, B22, S06, 1
B22, Trade, 218.250, 173, B22, S19, 1
B22, Trade, 222.017, 165, S19, B22, 1
B22, Trade, 226.467, 165, B22, S00, 1
B22, Trade, 231.617, 171, S19, B22, 1
B22, Trade, 238.767, 174, B22, S19, 1
B22, Trade, 244.050, 175, B22, S15, 1
B22, Trade, 249.917, 174, B22, S05, 1
B22, Trade, 251.750, 156, B22, S15, 1
B22, Trade, 262.267, 163, S01, B22, 1
B22, Trade, 267.367, 159, B22, S15, 1
B22, Trade, 272.300, 173, B22, S19, 1
B22, Trade, 277.700, 173, B22, S19, 1
B22, Trade, 282.017, 167, B22, S00, 1
B22, Trade, 288.300, 174, B22, S19, 1
B22, Trade, 291.783, 170, B22, S02, 1
B23, 41
B23, Trade, 5.717, 149, S07, B23, 1
B23, Trade, 10.383, 172, S10, B23, 1
B23, Trade, 24.450, 169, B23, S07, 1
B23, Trade, 25.667, 165, S19, B23, 1
B23, Trade, 38.050, 164, B23, S06, 1
B23, Trade, 40.750, 141, B23, S00, 1
B23, Trade, 47.783, 179, B23, S19, 1
B23, Trade, 50.667, 165, S19, B23, 1
B23, Trade, 56.683, 147, B23, S02, 1
B23, Trade, 64.733, 174, S16, B23, 1
B23, Trade, 67.950, 167, B23, S15, 1
B23, Trade, 71.183, 166, S19, B23, 1
B23, Trade, 79.667, 179, B23, S15, 1
B23, Trade, 84.950, 162, S14, B23, 1
B23, Trade, 92.617, 167, B23, S05, 1
B23, Trade, 95.700, 156, S06, B23, 1
B23, Trade, 106.533, 130, S06, B23, 1
B23, Trade, 111.350, 176, B23, S06, 1
B23, Trade, 116.183, 174, B23, S14, 1
B23, Trade, 121.467, 168, B23, S05, 1
B23, Trade, 135.533, 177, B23, S06, 1
B23, Trade, 143.483, 168, S10, B23, 1
B23, Trade, 153.267, 168, B23, S06, 1
B23, Trade, 166.317, 173, B23, S02, 1
B23, Trade, 179.033, 171, B23, S03, 1
B23, Trade, 181.983, 176, B23, S14, 1
B23, Trade, 200.650, 165, B23, S01, 1
B23, Trade, 206.200, 168, S19, B23, 1
B23, Trade, 212.217, 164, B23, S03, 1
B23, Trade, 223.983, 174, B23, S14, 1
B23, Trade, 228.117, 178, B23, S15, 1
B23, Trade, 231.950, 155, B23, S09, 1
B23, Trade, 237.550, 165, S17, B23, 1
B23, Trade, 243.483, 169, B23, S05, 1
B23, Trade, 251.883, 177, B23, S14, 1
B23, Trade, 256.450, 169, B23, S02, 1
B23, Trade, 267.017, 166, B23, S05, 1
B23, Trade, 272.500, 166, B23, S02, 1
B23, Trade, 280.083, 170, B23, S03, 1
B23, Trade, 282.850, 165, B23, S14, 1
B23, Trade, 293.100, 167, S19, B23, 1
B24, 19
B24, Trade, 7.550, 168, B24, S11, 1
B24, Trade, 11.250, 168, B24, S02, 1
B24, Trade, 114.183, 149, S05, B24, 1
B24, Trade, 126.233, 149, S06, B24, 1
B24, Trade, 143.383, 152, S09, B24, 1
B24, Trade, 163.533, 170, B24, S01, 1
B24, Trade, 188.200, 179, B24, S05, 1
B24, Trade, 191.800, 170, B24, S05, 1
B24, Trade, 202.400, 176, B24, S03, 1
B24, Trade, 210.783, 175, S21, B24, 1
B24, Trade, 213.550, 147, B24, S05, 1
B24, Trade, 220.317, 178, B24, S05, 1
B24, Trade, 227.350, 171, S04, B24, 1
B24, Trade, 237.400, 151, S06, B24, 1
B24, Trade, 246.700, 180, B24, S02, 1
B24, Trade, 258.950, 181, B24, S21, 1
B24, Trade, 262.517, 162, B24, S05, 1
B24, Trade, 281.267, 178, B24, S16, 1
B24, Trade, 289.217, 171, B24, S03, 1
B25, 10
B25, Trade, 5.233, 157, B25, S01, 1
B25, Trade, 42.983, 165, S19, B25, 1
B25, Trade, 66.133, 169, B25, S19, 1
B25, Trade, 117.167, 172, B25, S03, 1
