B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 2
B10, Trade, 176.550, 113, S01, B10, 1
B10, Trade, 271.533, 124, B10, S01, 1
B11, 1
B11, Trade, 50.350, 132, B11, S01, 1
B12, 0
B13, 0
B14, 1
B14, Trade, 186.100, 122, S01, B14, 1
B15, 0
B16, 37
B16, Trade, 9.650, 152, B16, S05, 1
B16, Trade, 15.333, 143, S02, B16, 1
B16, Trade, 20.383, 151, S11, B16, 1
B16, Trade, 25.267, 154, B16, S01, 1
B16, Trade, 39.650, 155, B16, S10, 1
B16, Trade, 40.533, 154, B16, S11, 1
B16, Trade, 63.483, 150, B16, S03, 1
B16, Trade, 66.850, 155, B16, S09, 1
B16, Trade, 71.200, 153, B16, S03, 1
B16, Trade, 80.367, 154, B16, S03, 1
B16, Trade, 87.533, 154, B16, S02, 1
B16, Trade, 93.917, 154, B16, S10, 1
B16, Trade, 99.550, 152, B16, S00, 1
B16, Trade, 100.900, 155, B16, S03, 1
B16, Trade, 105.800, 117, S01, B16, 1
B16, Trade, 119.000, 150, B16, S00, 1
B16, Trade, 126.817, 154, B16, S13, 1
B16, Trade, 136.633, 154, B16, S03, 1
B16, Trade, 146.450, 155, B16, S01, 1
B16, Trade, 153.500, 155, B16, S02, 1
B16, Trade, 157.250, 154, B16, S03, 1
B16, Trade, 167.317, 153, B16, S01, 1
B16, Trade, 174.383, 153, B16, S01, 1
B16, Trade, 176.167, 120, S03, B16, 1
B16, Trade, 182.967, 155, B16, S07, 1
B16, Trade, 186.417, 150, S10, B16, 1
B16, Trade, 196.550, 154, B16, S01, 1
B16, Trade, 207.250, 155, B16, S01, 1
B16, Trade, 223.483, 154, B16, S03, 1
B16, Trade, 226.167, 153, S13, B16, 1
B16, Trade, 238.100, 153, B16, S01, 1
B16, Trade, 242.033, 155, B16, S00, 1
B16, Trade, 257.617, 154, B16, S10, 1
B16, Trade, 263.350, 154, B16, S02, 1
B16, Trade, 277.917, 155, B16, S01, 1
B16, Trade, 284.750, 155, B16, S03, 1
B16, Trade, 287.417, 152, B16, S05, 1
B17, 4
B17, Trade, 10.483, 137, S01, B17, 1
B17, Trade, 15.317, 126, S01, B17, 1
B17, Trade, 21.017, 153, B17, S06, 1
B17, Trade, 266.950, 151, B17, S01, 1
B18, 20
B18, Trade, 8.533, 153, B18, S01, 1
B18, Trade, 38.800, 162, B18, S00, 1
B18, Trade, 65.600, 145, B18, S01, 1
B18, Trade, 73.117, 162, B18, S11, 1
B18, Trade, 86.750, 162, B18, S01, 1
B18, Trade, 101.567, 156, B18, S01, 1
B18, Trade, 111.050, 151, S05, B18, 1
B18, Trade, 118.417, 158, B18, S11, 1
B18, Trade, 126.183, 145, S11, B18, 1
B18, Trade, 140.517, 150, B18, S09, 1
B18, Trade, 169.200, 151, B18, S07, 1
B18, Trade, 175.283, 152, B18, S09, 1
B18, Trade, 191.783, 158, B18, S00, 1
B18, Trade, 202.267, 162, B18, S12, 1
B18, Trade, 229.600, 159, B18, S09, 1
B18, Trade, 254.800, 160, B18, S03, 1
B18, Trade, 264.200, 159, B18, S10, 1
B18, Trade, 278.150, 155, B18, S09, 1
B18, Trade, 285.033, 157, S11, B18, 1
B18, Trade, 291.800, 135, S10, B18, 1
B19, 3
B19, Trade, 59.350, 158, B19, S00, 1
B19, Trade, 65.833, 139, B19, S03, 1
B19, Trade, 266.983, 147, B19, S10, 1
B20, 35
B20, Trade, 5.983, 165, B20, S04, 1
B20, Trade, 13.067, 162, B20, S03, 1
B20, Trade, 29.250, 157, B20, S03, 1
B20, Trade, 36.333, 163, B20, S03, 1
B20, Trade, 40.883, 153, B20, S10, 1
B20, Trade, 51.883, 165, B20, S03, 1
B20, Trade, 57.700, 165, B20, S02, 1
B20, Trade, 61.067, 154, B20, S01, 1
B20, Trade, 77.517, 163, B20, S01, 1
B20, Trade, 92.100, 165, B20, S13, 1
B20, Trade, 98.250, 165, B20, S03, 1
B20, Trade, 109.550, 165, B20, S11, 1
B20, Trade, 116.183, 160, B20, S02, 1
B20, Trade, 129.733, 163, B20, S04, 1
B20, Trade, 141.550, 165, B20, S07, 1
B20, Trade, 148.367, 165, B20, S13, 1
B20, Trade, 152.900, 163, B20, S07, 1
B20, Trade, 158.267, 150, B20, S10, 1
B20, Trade, 173.200, 165, B20, S06, 1
B20, Trade, 185.450, 156, B20, S00, 1
B20, Trade, 188.317, 165, B20, S11, 1
B20, Trade, 192.617, 156, B20, S13, 1
B20, Trade, 198.933, 163, B20, S11, 1
B20, Trade, 205.667, 165, B20, S10, 1
B20, Trade, 218.483, 161, B20, S01, 1
B20, Trade, 228.717, 165, B20, S01, 1
B20, Trade, 235.883, 163, B20, S07, 1
B20, Trade, 240.517, 157, B20, S09, 1
B20, Trade, 250.450, 163, B20, S10, 1
B20, Trade, 254.333, 163, B20, S11, 1
B20, Trade, 258.550, 152, B20, S01, 1
B20, Trade, 265.150, 157, B20, S13, 1
B20, Trade, 277.717, 165, B20, S03, 1
B20, Trade, 289.783, 159, B20, S13, 1
B20, Trade, 298.950, 163, B20, S03, 1
B21, 53
B21, Trade, 5.533, 171, B21, S13, 1
B21, Trade, 11.033, 170, S13, B21, 1
B21, Trade, 15.417, 159, S05, B21, 1
B21, Trade, 20.200, 113, S01, B21, 1
B21, Trade, 30.683, 170, B21, S13, 1
B21, Trade, 35.817, 172, B21, S05, 1
B21, Trade, 40.917, 156, S00, B21, 1
B21, Trade, 53.900, 171, B21, S06, 1
B21, Trade, 57.533, 170, B21, S09, 1
B21, Trade, 61.400, 164, S13, B21, 1
B21, Trade, 72.017, 170, B21, S07, 1
B21, Trade, 75.867, 171, B21, S11, 1
B21, Trade, 81.217, 170, B21, S13, 1
B21, Trade, 86.417, 172, B21, S17, 1
B21, Trade, 91.033, 171, B21, S01, 1
B21, Trade, 96.350, 172, B21, S02, 1
B21, Trade, 100.750, 170, B21, S11, 1
B21, Trade, 107.850, 171, B21, S00, 1
B21, Trade, 112.017, 161, S04, B21, 1
B21, Trade, 118.033, 172, B21, S01, 1
B21, Trade, 121.517, 165, S03, B21, 1
B21, Trade, 128.767, 170, B21, S09, 1
B21, Trade, 131.017, 134, S01, B21, 1
B21, Trade, 137.333, 171, B21, S02, 1
B21, Trade, 141.350, 170, B21, S01, 1
B21, Trade, 147.717, 172, B21, S00, 1
B21, Trade, 151.683, 170, B21, S01, 1
