B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 1
B10, Trade, 98.700, 133, B10, S03, 1
B11, 5
B11, Trade, 7.350, 136, B11, S03, 1
B11, Trade, 57.100, 132, S00, B11, 1
B11, Trade, 178.217, 135, B11, S10, 1
B11, Trade, 198.767, 137, B11, S03, 1
B11, Trade, 207.367, 137, B11, S07, 1
B12, 5
B12, Trade, 159.050, 137, B12, S08, 1
B12, Trade, 165.717, 138, S10, B12, 1
B12, Trade, 166.150, 136, B12, S10, 1
B12, Trade, 214.217, 138, B12, S00, 1
B12, Trade, 240.133, 139, B12, S00, 1
B13, 0
B14, 1
B14, Trade, 118.800, 142, B14, S11, 1
B15, 1
B15, Trade, 23.633, 135, B15, S03, 1
B16, 13
B16, Trade, 18.967, 147, B16, S08, 1
B16, Trade, 21.583, 153, B16, S08, 1
B16, Trade, 34.833, 155, B16, S12, 1
B16, Trade, 43.283, 134, B16, S00, 1
B16, Trade, 46.150, 152, B16, S03, 1
B16, Trade, 108.217, 147, B16, S03, 1
B16, Trade, 143.167, 143, B16, S00, 1
B16, Trade, 164.467, 142, B16, S08, 1
B16, Trade, 235.133, 138, S11, B16, 1
B16, Trade, 268.233, 135, B16, S03, 1
B16, Trade, 277.383, 119, B16, S03, 1
B16, Trade, 285.400, 147, B16, S02, 1
B16, Trade, 295.317, 152, B16, S10, 1
B17, 6
B17, Trade, 46.217, 139, B17, S00, 1
B17, Trade, 97.450, 136, B17, S07, 1
B17, Trade, 107.267, 134, B17, S00, 1
B17, Trade, 158.983, 140, B17, S00, 1
B17, Trade, 207.117, 138, B17, S00, 1
B17, Trade, 234.950, 132, B17, S00, 1
B18, 35
B18, Trade, 10.483, 146, B18, S08, 1
B18, Trade, 22.817, 143, S07, B18, 1
B18, Trade, 26.350, 146, B18, S00, 1
B18, Trade, 33.250, 159, B18, S15, 1
B18, Trade, 35.350, 153, S03, B18, 1
B18, Trade, 42.300, 142, B18, S03, 1
B18, Trade, 51.367, 147, B18, S03, 1
B18, Trade, 57.867, 157, S13, B18, 1
B18, Trade, 89.550, 146, B18, S00, 1
B18, Trade, 92.583, 159, S17, B18, 1
B18, Trade, 97.250, 144, S08, B18, 1
B18, Trade, 105.017, 159, B18, S03, 1
B18, Trade, 109.633, 129, S08, B18, 1
B18, Trade, 133.317, 146, S04, B18, 1
B18, Trade, 142.000, 159, S05, B18, 1
B18, Trade, 146.600, 155, B18, S00, 1
B18, Trade, 152.917, 155, B18, S00, 1
B18, Trade, 157.300, 158, B18, S10, 1
B18, Trade, 164.983, 161, B18, S04, 1
B18, Trade, 198.067, 143, B18, S07, 1
B18, Trade, 203.283, 161, B18, S13, 1
B18, Trade, 211.700, 151, S04, B18, 1
