B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 1
B08, Trade, 231.400, 122, B08, S01, 1
B09, 0
B10, 2
B10, Trade, 41.967, 133, B10, S01, 1
B10, Trade, 94.733, 121, B10, S03, 1
B11, 0
B12, 7
B12, Trade, 5.300, 110, S03, B12, 1
B12, Trade, 30.683, 141, B12, S04, 1
B12, Trade, 115.983, 138, B12, S01, 1
B12, Trade, 122.633, 132, S07, B12, 1
B12, Trade, 135.933, 134, B12, S07, 1
B12, Trade, 200.450, 135, B12, S01, 1
B12, Trade, 258.167, 132, S07, B12, 1
B13, 8
B13, Trade, 35.350, 126, S03, B13, 1
B13, Trade, 76.417, 139, B13, S10, 1
B13, Trade, 134.117, 137, B13, S10, 1
B13, Trade, 171.117, 138, B13, S01, 1
B13, Trade, 177.817, 140, B13, S01, 1
B13, Trade, 218.800, 143, B13, S01, 1
B13, Trade, 237.800, 144, B13, S01, 1
B13, Trade, 277.750, 142, B13, S03, 1
B14, 4
B14, Trade, 13.517, 132, S01, B14, 1
B14, Trade, 132.367, 133, B14, S01, 1
B14, Trade, 146.850, 139, B14, S11, 1
B14, Trade, 178.067, 133, B14, S07, 1
B15, 2
B15, Trade, 10.150, 128, B15, S03, 1
B15, Trade, 77.850, 143, B15, S11, 1
B16, 5
B16, Trade, 25.200, 148, B16, S07, 1
B16, Trade, 45.500, 142, B16, S07, 1
B16, Trade, 142.033, 131, B16, S03, 1
B16, Trade, 190.300, 141, B16, S01, 1
B16, Trade, 290.317, 127, B16, S01, 1
B17, 2
B17, Trade, 159.250, 131, B17, S00, 1
B17, Trade, 242.033, 148, B17, S11, 1
B18, 15
B18, Trade, 6.000, 130, B18, S08, 1
B18, Trade, 15.800, 126, S07, B18, 1
B18, Trade, 20.267, 113, S01, B18, 1
B18, Trade, 32.533, 144, B18, S01, 1
B18, Trade, 39.083, 147, B18, S11, 1
B18, Trade, 44.517, 156, B18, S03, 1
B18, Trade, 55.600, 110, S03, B18, 1
B18, Trade, 79.367, 140, B18, S00, 1
B18, Trade, 86.517, 126, S07, B18, 1
B18, Trade, 127.483, 143, B18, S07, 1
B18, Trade, 175.250, 140, S10, B18, 1
B18, Trade, 197.150, 146, B18, S03, 1
B18, Trade, 207.200, 141, B18, S07, 1
B18, Trade, 240.650, 156, B18, S02, 1
B18, Trade, 265.267, 151, B18, S12, 1
B19, 10
B19, Trade, 35.817, 150, B19, S06, 1
B19, Trade, 81.717, 131, S07, B19, 1
B19, Trade, 93.617, 135, B19, S01, 1
B19, Trade, 107.183, 145, B19, S11, 1
B19, Trade, 111.683, 134, B19, S01, 1
B19, Trade, 121.717, 135, B19, S01, 1
B19, Trade, 151.350, 132, B19, S07, 1
B19, Trade, 173.800, 152, B19, S13, 1
B19, Trade, 188.883, 136, S10, B19, 1
B19, Trade, 283.550, 136, B19, S01, 1
B20, 7
B20, Trade, 65.983, 134, B20, S03, 1
B20, Trade, 161.033, 142, S11, B20, 1
B20, Trade, 222.767, 150, B20, S11, 1
B20, Trade, 280.133, 142, S07, B20, 1
B20, Trade, 282.133, 140, B20, S11, 1
B20, Trade, 287.217, 128, B20, S03, 1
B20, Trade, 297.883, 143, B20, S03, 1
B21, 46
B21, Trade, 7.917, 141, S00, B21, 1
B21, Trade, 10.317, 148, B21, S07, 1
B21, Trade, 15.583, 122, S03, B21, 1
B21, Trade, 22.600, 143, S00, B21, 1
B21, Trade, 26.217, 163, S18, B21, 1
B21, Trade, 32.817, 152, B21, S12, 1
B21, Trade, 36.850, 150, B21, S01, 1
B21, Trade, 41.200, 159, B21, S12, 1
B21, Trade, 47.767, 142, S11, B21, 1
B21, Trade, 51.833, 140, S03, B21, 1
B21, Trade, 59.733, 150, S11, B21, 1
B21, Trade, 61.833, 141, S03, B21, 1
B21, Trade, 65.933, 141, S05, B21, 1
B21, Trade, 84.350, 154, B21, S01, 1
B21, Trade, 94.017, 162, B21, S02, 1
B21, Trade, 97.550, 140, S02, B21, 1
B21, Trade, 101.517, 124, S03, B21, 1
B21, Trade, 105.867, 159, B21, S10, 1
B21, Trade, 111.500, 168, B21, S07, 1
B21, Trade, 125.667, 147, B21, S02, 1
B21, Trade, 127.017, 146, S11, B21, 1
B21, Trade, 132.200, 149, S12, B21, 1
B21, Trade, 137.500, 172, S10, B21, 1
B21, Trade, 147.250, 129, S03, B21, 1
B21, Trade, 154.667, 145, B21, S11, 1
B21, Trade, 162.867, 161, B21, S10, 1
B21, Trade, 173.117, 147, B21, S03, 1
B21, Trade, 176.267, 172, B21, S16, 1
B21, Trade, 189.233, 135, S07, B21, 1
B21, Trade, 191.367, 170, B21, S01, 1
B21, Trade, 201.900, 147, S04, B21, 1
B21, Trade, 217.050, 134, B21, S05, 1
B21, Trade, 222.533, 161, B21, S03, 1
B21, Trade, 234.450, 153, B21, S03, 1
B21, Trade, 238.433, 142, S11, B21, 1
B21, Trade, 241.883, 163, B21, S07, 1
B21, Trade, 247.317, 129, S07, B21, 1
B21, Trade, 251.617, 129, B21, S03, 1
B21, Trade, 260.917, 165, S18, B21, 1
B21, Trade, 271.233, 151, S02, B21, 1
B21, Trade, 271.433, 166, B21, S07, 1
B21, Trade, 280.383, 140, B21, S04, 1
B21, Trade, 281.900, 168, B21, S07, 1
B21, Trade, 288.517, 156, B21, S11, 1
B21, Trade, 293.500, 164, B21, S03, 1
B21, Trade, 296.800, 147, B21, S01, 1
B22, 19
B22, Trade, 10.833, 149, B22, S10, 1
B22, Trade, 26.167, 137, B22, S03, 1
B22, Trade, 51.000, 133, S01, B22, 1
B22, Trade, 61.433, 135, S07, B22, 1
B22, Trade, 96.667, 129, B22, S01, 1
B22, Trade, 102.183, 153, S10, B22, 1
B22, Trade, 111.283, 151, B22, S12, 1
B22, Trade, 126.217, 133, B22, S01, 1
B22, Trade, 162.050, 161, B22, S01, 1
B22, Trade, 184.983, 163, B22, S10, 1
B22, Trade, 193.183, 155, S16, B22, 1
