B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 1
B13, Trade, 57.883, 143, B13, S05, 1
B14, 0
B15, 2
B15, Trade, 50.833, 139, S11, B15, 1
B15, Trade, 238.783, 145, B15, S00, 1
B16, 0
B17, 21
B17, Trade, 5.967, 156, B17, S06, 1
B17, Trade, 12.450, 157, B17, S14, 1
B17, Trade, 17.267, 157, S16, B17, 1
B17, Trade, 22.500, 151, B17, S05, 1
B17, Trade, 35.300, 146, B17, S00, 1
B17, Trade, 46.133, 157, B17, S00, 1
B17, Trade, 71.650, 156, B17, S04, 1
B17, Trade, 85.983, 143, B17, S00, 1
B17, Trade, 105.367, 152, B17, S05, 1
B17, Trade, 116.033, 149, S06, B17, 1
B17, Trade, 130.383, 150, B17, S07, 1
B17, Trade, 148.517, 155, B17, S04, 1
B17, Trade, 160.467, 158, B17, S00, 1
B17, Trade, 176.467, 136, B17, S07, 1
B17, Trade, 190.700, 142, B17, S05, 1
B17, Trade, 206.617, 143, B17, S00, 1
B17, Trade, 214.033, 156, B17, S06, 1
B17, Trade, 221.367, 149, B17, S00, 1
B17, Trade, 257.433, 148, B17, S00, 1
B17, Trade, 285.867, 153, B17, S10, 1
B17, Trade, 296.417, 153, B17, S06, 1
B18, 8
B18, Trade, 22.233, 153, B18, S13, 1
B18, Trade, 56.100, 161, B18, S08, 1
B18, Trade, 62.667, 161, B18, S08, 1
B18, Trade, 125.183, 153, S00, B18, 1
B18, Trade, 184.100, 162, B18, S06, 1
B18, Trade, 246.383, 158, B18, S00, 1
B18, Trade, 269.850, 158, B18, S04, 1
B18, Trade, 288.467, 157, B18, S06, 1
B19, 2
B19, Trade, 85.350, 158, B19, S06, 1
B19, Trade, 264.133, 147, B19, S03, 1
B20, 3
B20, Trade, 9.850, 137, B20, S00, 1
B20, Trade, 109.267, 140, B20, S00, 1
B20, Trade, 134.900, 145, B20, S00, 1
B21, 29
B21, Trade, 6.667, 151, B21, S03, 1
B21, Trade, 11.117, 159, B21, S10, 1
B21, Trade, 15.667, 161, B21, S10, 1
B21, Trade, 21.167, 168, B21, S06, 1
B21, Trade, 30.133, 163, S11, B21, 1
B21, Trade, 40.700, 159, B21, S10, 1
B21, Trade, 48.217, 171, S14, B21, 1
B21, Trade, 53.217, 161, S13, B21, 1
B21, Trade, 68.333, 159, B21, S00, 1
B21, Trade, 91.133, 171, S10, B21, 1
B21, Trade, 116.467, 148, S13, B21, 1
B21, Trade, 122.883, 158, B21, S12, 1
B21, Trade, 129.150, 151, B21, S14, 1
B21, Trade, 135.200, 156, S06, B21, 1
B21, Trade, 142.267, 157, S06, B21, 1
B21, Trade, 154.100, 164, B21, S06, 1
B21, Trade, 160.183, 164, B21, S05, 1
B21, Trade, 163.633, 155, B21, S06, 1
B21, Trade, 168.367, 172, B21, S14, 1
B21, Trade, 179.817, 158, S16, B21, 1
B21, Trade, 196.750, 166, B21, S04, 1
B21, Trade, 204.433, 155, B21, S06, 1
B21, Trade, 240.700, 169, B21, S10, 1
B21, Trade, 241.600, 153, S12, B21, 1
B21, Trade, 256.417, 162, S13, B21, 1
B21, Trade, 264.067, 172, B21, S14, 1
B21, Trade, 274.050, 169, B21, S08, 1
B21, Trade, 282.567, 157, B21, S16, 1
B21, Trade, 290.533, 172, B21, S00, 1
B22, 38
B22, Trade, 5.817, 163, B22, S13, 1
B22, Trade, 16.467, 151, B22, S00, 1
B22, Trade, 28.283, 155, S04, B22, 1
B22, Trade, 31.650, 172, S20, B22, 1
B22, Trade, 36.450, 171, S16, B22, 1
B22, Trade, 42.300, 170, B22, S04, 1
B22, Trade, 45.733, 158, B22, S11, 1
B22, Trade, 58.150, 142, B22, S00, 1
B22, Trade, 62.400, 162, S04, B22, 1
B22, Trade, 72.850, 154, B22, S00, 1
B22, Trade, 82.517, 166, B22, S08, 1
B22, Trade, 87.117, 157, S16, B22, 1
B22, Trade, 95.817, 152, B22, S06, 1
B22, Trade, 100.817, 161, S16, B22, 1
B22, Trade, 108.333, 161, B22, S16, 1
B22, Trade, 118.300, 173, B22, S02, 1
B22, Trade, 135.150, 160, B22, S12, 1
B22, Trade, 149.450, 168, B22, S06, 1
B22, Trade, 159.950, 175, B22, S06, 1
B22, Trade, 162.900, 150, B22, S10, 1
B22, Trade, 170.683, 156, B22, S12, 1
B22, Trade, 178.900, 154, B22, S00, 1
B22, Trade, 189.217, 162, B22, S08, 1
B22, Trade, 209.233, 163, S13, B22, 1
B22, Trade, 212.717, 165, B22, S10, 1
B22, Trade, 217.733, 165, B22, S05, 1
B22, Trade, 223.967, 149, B22, S10, 1
B22, Trade, 227.933, 166, S07, B22, 1
B22, Trade, 232.400, 160, B22, S06, 1
B22, Trade, 236.533, 146, S08, B22, 1
B22, Trade, 243.033, 169, S16, B22, 1
B22, Trade, 248.117, 163, B22, S10, 1
B22, Trade, 254.483, 174, B22, S10, 1
B22, Trade, 257.750, 167, S06, B22, 1
B22, Trade, 273.167, 170, B22, S16, 1
B22, Trade, 284.567, 154, B22, S00, 1
B22, Trade, 287.983, 175, S20, B22, 1
B22, Trade, 297.867, 166, B22, S03, 1
B23, 49
B23, Trade, 6.383, 150, B23, S12, 1
B23, Trade, 10.750, 168, B23, S06, 1
B23, Trade, 26.433, 164, B23, S10, 1
B23, Trade, 30.267, 175, B23, S00, 1
B23, Trade, 36.033, 161, S04, B23, 1
B23, Trade, 42.067, 176, B23, S07, 1
