B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 1
B09, Trade, 85.717, 120, B09, S00, 1
B10, 0
B11, 1
B11, Trade, 81.117, 124, B11, S02, 1
B12, 2
B12, Trade, 139.667, 130, B12, S01, 1
B12, Trade, 140.983, 102, S00, B12, 1
B13, 5
B13, Trade, 6.017, 143, B13, S02, 1
B13, Trade, 11.767, 129, B13, S01, 1
B13, Trade, 22.633, 136, B13, S08, 1
B13, Trade, 134.433, 143, B13, S05, 1
B13, Trade, 288.133, 137, B13, S00, 1
B14, 7
B14, Trade, 11.317, 125, B14, S00, 1
B14, Trade, 38.333, 148, B14, S02, 1
B14, Trade, 42.933, 141, B14, S10, 1
B14, Trade, 49.783, 136, B14, S04, 1
B14, Trade, 180.133, 125, B14, S04, 1
B14, Trade, 208.383, 147, B14, S03, 1
B14, Trade, 235.333, 148, B14, S05, 1
B15, 2
B15, Trade, 32.633, 147, B15, S07, 1
B15, Trade, 38.950, 136, B15, S01, 1
B16, 8
B16, Trade, 49.233, 155, S11, B16, 1
B16, Trade, 65.617, 151, B16, S01, 1
B16, Trade, 129.333, 152, B16, S01, 1
B16, Trade, 146.850, 153, B16, S00, 1
B16, Trade, 226.200, 111, S00, B16, 1
B16, Trade, 240.700, 130, B16, S03, 1
B16, Trade, 243.250, 141, B16, S04, 1
B16, Trade, 257.750, 145, B16, S05, 1
B17, 49
B17, Trade, 5.467, 155, B17, S01, 1
B17, Trade, 10.550, 142, S11, B17, 1
B17, Trade, 17.100, 158, B17, S03, 1
B17, Trade, 20.600, 157, B17, S11, 1
B17, Trade, 29.083, 157, B17, S05, 1
B17, Trade, 30.767, 157, B17, S10, 1
B17, Trade, 35.650, 145, B17, S00, 1
B17, Trade, 42.650, 157, B17, S14, 1
B17, Trade, 45.817, 156, B17, S05, 1
B17, Trade, 51.667, 156, B17, S00, 1
B17, Trade, 55.383, 155, S08, B17, 1
B17, Trade, 63.617, 153, B17, S02, 1
B17, Trade, 69.717, 156, B17, S14, 1
B17, Trade, 74.900, 156, B17, S14, 1
B17, Trade, 79.367, 156, B17, S02, 1
B17, Trade, 80.983, 155, B17, S00, 1
B17, Trade, 87.283, 158, B17, S15, 1
B17, Trade, 91.200, 158, B17, S04, 1
B17, Trade, 106.867, 154, B17, S02, 1
B17, Trade, 112.450, 151, B17, S04, 1
B17, Trade, 117.983, 157, B17, S03, 1
B17, Trade, 125.383, 157, B17, S07, 1
B17, Trade, 127.017, 157, B17, S02, 1
B17, Trade, 134.367, 145, B17, S01, 1
B17, Trade, 137.217, 158, B17, S15, 1
B17, Trade, 144.567, 155, B17, S05, 1
B17, Trade, 152.367, 158, B17, S04, 1
B17, Trade, 166.083, 119, S02, B17, 1
B17, Trade, 175.183, 150, B17, S04, 1
B17, Trade, 180.033, 152, B17, S11, 1
B17, Trade, 185.750, 154, B17, S04, 1
B17, Trade, 190.967, 156, B17, S15, 1
B17, Trade, 201.167, 142, S04, B17, 1
B17, Trade, 207.433, 153, B17, S00, 1
B17, Trade, 213.550, 155, B17, S11, 1
B17, Trade, 219.567, 155, B17, S04, 1
B17, Trade, 226.417, 150, B17, S01, 1
B17, Trade, 234.550, 155, B17, S15, 1
B17, Trade, 236.250, 118, S00, B17, 1
B17, Trade, 255.917, 152, S02, B17, 1
B17, Trade, 257.550, 152, B17, S07, 1
B17, Trade, 261.917, 142, S11, B17, 1
B17, Trade, 269.850, 158, S08, B17, 1
B17, Trade, 274.333, 157, B17, S15, 1
B17, Trade, 276.517, 136, S00, B17, 1
B17, Trade, 282.800, 151, S11, B17, 1
B17, Trade, 289.367, 154, B17, S03, 1
B17, Trade, 292.050, 156, B17, S00, 1
B17, Trade, 297.633, 156, S10, B17, 1
B18, 36
B18, Trade, 5.967, 155, S16, B18, 1
B18, Trade, 17.467, 149, B18, S02, 1
B18, Trade, 22.017, 154, B18, S02, 1
B18, Trade, 27.867, 156, B18, S00, 1
B18, Trade, 42.867, 152, B18, S03, 1
B18, Trade, 47.617, 161, B18, S01, 1
B18, Trade, 51.433, 158, B18, S11, 1
B18, Trade, 60.650, 122, S00, B18, 1
B18, Trade, 66.850, 161, B18, S11, 1
B18, Trade, 81.917, 159, B18, S10, 1
B18, Trade, 103.383, 161, B18, S07, 1
B18, Trade, 109.000, 147, B18, S05, 1
B18, Trade, 111.033, 134, S07, B18, 1
B18, Trade, 121.100, 142, B18, S00, 1
B18, Trade, 142.867, 161, B18, S10, 1
B18, Trade, 149.650, 162, B18, S16, 1
B18, Trade, 167.500, 158, B18, S07, 1
B18, Trade, 175.567, 150, B18, S03, 1
B18, Trade, 179.383, 154, B18, S05, 1
B18, Trade, 185.317, 156, B18, S02, 1
B18, Trade, 190.100, 158, B18, S02, 1
B18, Trade, 193.167, 158, B18, S02, 1
B18, Trade, 203.750, 158, B18, S00, 1
B18, Trade, 208.333, 148, B18, S11, 1
B18, Trade, 219.533, 162, B18, S03, 1
B18, Trade, 225.433, 161, B18, S03, 1
B18, Trade, 228.267, 148, B18, S09, 1
B18, Trade, 231.317, 162, B18, S11, 1
B18, Trade, 239.433, 160, S09, B18, 1
B18, Trade, 241.917, 140, B18, S00, 1
