B00, 0
B01, 0
B02, 1
B02, Trade, 116.050, 104, B02, S01, 1
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 1
B08, Trade, 42.483, 127, B08, S03, 1
B09, 1
B09, Trade, 296.717, 113, S03, B09, 1
B10, 7
B10, Trade, 5.483, 129, B10, S01, 1
B10, Trade, 47.733, 133, B10, S02, 1
B10, Trade, 106.467, 132, B10, S03, 1
B10, Trade, 116.683, 113, S02, B10, 1
B10, Trade, 162.050, 133, S03, B10, 1
B10, Trade, 169.383, 133, B10, S04, 1
B10, Trade, 236.583, 125, B10, S03, 1
B11, 1
B11, Trade, 60.817, 131, B11, S03, 1
B12, 3
B12, Trade, 56.467, 127, S03, B12, 1
B12, Trade, 85.800, 141, B12, S03, 1
B12, Trade, 207.167, 141, S04, B12, 1
B13, 1
B13, Trade, 40.933, 132, B13, S01, 1
B14, 1
B14, Trade, 50.000, 136, B14, S08, 1
B15, 4
B15, Trade, 50.683, 112, S02, B15, 1
B15, Trade, 126.000, 132, S05, B15, 1
B15, Trade, 281.767, 128, S01, B15, 1
B15, Trade, 291.800, 126, B15, S03, 1
B16, 17
B16, Trade, 22.933, 155, B16, S01, 1
B16, Trade, 32.050, 148, B16, S13, 1
B16, Trade, 37.000, 151, B16, S04, 1
B16, Trade, 51.050, 125, S03, B16, 1
B16, Trade, 58.217, 132, S06, B16, 1
B16, Trade, 71.833, 139, B16, S08, 1
B16, Trade, 96.133, 148, B16, S03, 1
B16, Trade, 121.667, 155, B16, S03, 1
B16, Trade, 136.317, 129, S04, B16, 1
B16, Trade, 168.433, 154, B16, S08, 1
B16, Trade, 172.000, 144, S13, B16, 1
B16, Trade, 181.633, 145, S03, B16, 1
B16, Trade, 189.450, 147, S10, B16, 1
B16, Trade, 221.217, 122, S04, B16, 1
B16, Trade, 233.967, 150, B16, S08, 1
B16, Trade, 253.683, 146, S13, B16, 1
B16, Trade, 286.600, 124, S04, B16, 1
B17, 4
B17, Trade, 20.750, 144, S13, B17, 1
B17, Trade, 172.433, 143, S01, B17, 1
B17, Trade, 176.583, 143, B17, S04, 1
B17, Trade, 186.300, 120, B17, S04, 1
B18, 39
B18, Trade, 10.483, 161, B18, S03, 1
B18, Trade, 27.867, 153, B18, S08, 1
B18, Trade, 32.517, 143, B18, S08, 1
B18, Trade, 38.633, 158, B18, S05, 1
B18, Trade, 46.033, 136, B18, S03, 1
B18, Trade, 84.867, 161, B18, S09, 1
B18, Trade, 91.333, 161, B18, S14, 1
B18, Trade, 98.233, 151, B18, S08, 1
B18, Trade, 102.700, 132, B18, S03, 1
B18, Trade, 107.667, 149, B18, S04, 1
B18, Trade, 113.550, 144, B18, S08, 1
B18, Trade, 118.800, 155, B18, S03, 1
B18, Trade, 127.400, 125, B18, S02, 1
B18, Trade, 133.667, 161, B18, S04, 1
B18, Trade, 143.050, 149, B18, S01, 1
B18, Trade, 148.850, 161, B18, S03, 1
B18, Trade, 151.850, 161, B18, S15, 1
B18, Trade, 165.683, 161, B18, S04, 1
B18, Trade, 167.533, 154, B18, S03, 1
B18, Trade, 172.333, 126, B18, S04, 1
B18, Trade, 179.283, 139, B18, S05, 1
B18, Trade, 182.650, 151, B18, S01, 1
B18, Trade, 187.433, 127, B18, S03, 1
B18, Trade, 194.283, 151, B18, S09, 1
B18, Trade, 198.550, 144, B18, S01, 1
B18, Trade, 203.050, 161, B18, S14, 1
B18, Trade, 210.200, 137, B18, S05, 1
B18, Trade, 212.483, 143, B18, S02, 1
B18, Trade, 216.800, 132, B18, S00, 1
B18, Trade, 225.417, 142, B18, S01, 1
B18, Trade, 227.700, 130, B18, S04, 1
B18, Trade, 233.583, 152, B18, S03, 1
B18, Trade, 238.450, 133, B18, S01, 1
B18, Trade, 245.433, 161, B18, S01, 1
B18, Trade, 253.817, 132, B18, S03, 1
B18, Trade, 260.567, 134, B18, S05, 1
B18, Trade, 269.450, 157, B18, S01, 1
B18, Trade, 278.200, 151, B18, S13, 1
B18, Trade, 294.500, 152, B18, S01, 1
B19, 28
B19, Trade, 5.900, 132, S05, B19, 1
B19, Trade, 12.750, 144, S11, B19, 1
B19, Trade, 15.467, 140, S02, B19, 1
B19, Trade, 21.167, 155, B19, S05, 1
B19, Trade, 45.983, 144, S13, B19, 1
B19, Trade, 51.133, 142, B19, S08, 1
B19, Trade, 67.483, 153, S13, B19, 1
B19, Trade, 71.117, 129, B19, S04, 1
B19, Trade, 76.133, 132, S05, B19, 1
B19, Trade, 80.583, 132, B19, S04, 1
B19, Trade, 91.433, 149, S10, B19, 1
B19, Trade, 115.867, 155, B19, S04, 1
B19, Trade, 120.850, 117, S05, B19, 1
B19, Trade, 138.783, 159, S10, B19, 1
B19, Trade, 147.650, 163, B19, S08, 1
B19, Trade, 157.533, 139, S10, B19, 1
B19, Trade, 203.183, 159, B19, S13, 1
B19, Trade, 213.833, 156, S15, B19, 1
B19, Trade, 216.133, 162, B19, S10, 1
B19, Trade, 222.267, 165, B19, S13, 1
B19, Trade, 230.883, 145, S01, B19, 1
B19, Trade, 244.767, 156, S10, B19, 1
B19, Trade, 247.133, 140, B19, S02, 1
B19, Trade, 258.983, 157, B19, S04, 1
B19, Trade, 268.117, 157, B19, S08, 1
B19, Trade, 273.250, 139, B19, S03, 1
B19, Trade, 279.333, 162, B19, S11, 1
