B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 1
B12, Trade, 109.650, 131, B12, S03, 1
B13, 0
B14, 3
B14, Trade, 119.400, 129, B14, S07, 1
B14, Trade, 146.217, 140, B14, S02, 1
B14, Trade, 221.350, 117, S02, B14, 1
B15, 16
B15, Trade, 5.333, 139, B15, S03, 1
B15, Trade, 11.233, 137, B15, S06, 1
B15, Trade, 21.367, 148, B15, S03, 1
B15, Trade, 35.450, 129, S02, B15, 1
B15, Trade, 51.133, 113, S03, B15, 1
B15, Trade, 73.117, 128, B15, S07, 1
B15, Trade, 109.050, 151, B15, S09, 1
B15, Trade, 113.750, 149, S02, B15, 1
B15, Trade, 138.067, 142, B15, S04, 1
B15, Trade, 159.550, 150, B15, S07, 1
B15, Trade, 161.350, 139, B15, S09, 1
B15, Trade, 182.517, 146, B15, S06, 1
B15, Trade, 186.267, 135, S03, B15, 1
B15, Trade, 227.033, 142, B15, S02, 1
B15, Trade, 259.917, 145, B15, S01, 1
B15, Trade, 267.617, 136, B15, S03, 1
B16, 3
B16, Trade, 27.983, 148, B16, S02, 1
B16, Trade, 219.433, 141, B16, S05, 1
B16, Trade, 278.717, 130, B16, S02, 1
B17, 5
B17, Trade, 87.883, 145, B17, S03, 1
B17, Trade, 134.867, 136, B17, S02, 1
B17, Trade, 197.267, 153, B17, S06, 1
B17, Trade, 226.133, 121, S01, B17, 1
B17, Trade, 298.317, 151, B17, S07, 1
B18, 5
B18, Trade, 33.833, 145, B18, S09, 1
B18, Trade, 40.367, 111, S01, B18, 1
B18, Trade, 139.800, 137, B18, S09, 1
B18, Trade, 192.733, 123, B18, S02, 1
B18, Trade, 234.667, 147, B18, S07, 1
B19, 25
B19, Trade, 8.983, 137, S02, B19, 1
B19, Trade, 12.833, 144, B19, S01, 1
B19, Trade, 23.017, 153, B19, S02, 1
B19, Trade, 31.867, 155, B19, S05, 1
B19, Trade, 56.317, 161, B19, S12, 1
B19, Trade, 69.767, 141, S09, B19, 1
B19, Trade, 95.050, 164, B19, S02, 1
B19, Trade, 103.100, 151, B19, S01, 1
B19, Trade, 105.883, 131, B19, S02, 1
B19, Trade, 112.833, 153, B19, S03, 1
B19, Trade, 123.350, 147, B19, S03, 1
B19, Trade, 147.833, 163, B19, S07, 1
B19, Trade, 151.583, 143, B19, S03, 1
B19, Trade, 163.417, 156, B19, S04, 1
B19, Trade, 166.083, 143, S12, B19, 1
B19, Trade, 190.417, 153, B19, S06, 1
B19, Trade, 192.117, 150, B19, S03, 1
