B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 1
B05, Trade, 151.250, 115, B05, S03, 1
B06, 0
B07, 0
B08, 1
B08, Trade, 236.917, 121, B08, S01, 1
B09, 0
B10, 1
B10, Trade, 45.683, 128, B10, S03, 1
B11, 2
B11, Trade, 27.950, 129, B11, S04, 1
B11, Trade, 246.500, 129, B11, S00, 1
B12, 1
B12, Trade, 188.467, 134, B12, S05, 1
B13, 36
B13, Trade, 6.650, 137, S08, B13, 1
B13, Trade, 13.283, 142, B13, S01, 1
B13, Trade, 16.617, 134, S05, B13, 1
B13, Trade, 21.217, 127, S04, B13, 1
B13, Trade, 26.033, 138, B13, S03, 1
B13, Trade, 30.300, 136, S05, B13, 1
B13, Trade, 35.700, 110, S03, B13, 1
B13, Trade, 57.817, 143, B13, S03, 1
B13, Trade, 66.700, 144, B13, S00, 1
B13, Trade, 73.750, 143, B13, S05, 1
B13, Trade, 78.500, 144, B13, S02, 1
B13, Trade, 82.833, 144, B13, S08, 1
B13, Trade, 90.583, 142, B13, S04, 1
B13, Trade, 96.117, 142, B13, S04, 1
B13, Trade, 101.417, 137, B13, S05, 1
B13, Trade, 123.500, 139, B13, S08, 1
B13, Trade, 127.117, 144, B13, S08, 1
B13, Trade, 135.250, 143, B13, S07, 1
B13, Trade, 136.200, 119, S01, B13, 1
B13, Trade, 141.817, 142, B13, S08, 1
B13, Trade, 149.600, 142, B13, S01, 1
B13, Trade, 176.600, 142, B13, S08, 1
B13, Trade, 187.633, 141, B13, S07, 1
B13, Trade, 192.167, 139, S08, B13, 1
B13, Trade, 198.883, 144, B13, S05, 1
B13, Trade, 201.467, 143, B13, S03, 1
B13, Trade, 211.583, 144, B13, S05, 1
B13, Trade, 216.433, 125, S03, B13, 1
B13, Trade, 224.800, 141, B13, S04, 1
B13, Trade, 247.117, 136, B13, S03, 1
B13, Trade, 251.583, 144, B13, S03, 1
B13, Trade, 269.383, 144, B13, S00, 1
B13, Trade, 275.900, 138, B13, S04, 1
B13, Trade, 276.883, 144, B13, S07, 1
B13, Trade, 287.683, 144, B13, S12, 1
B13, Trade, 291.517, 141, B13, S04, 1
B14, 4
B14, Trade, 11.350, 127, S02, B14, 1
B14, Trade, 60.600, 136, B14, S03, 1
B14, Trade, 193.017, 132, B14, S00, 1
