B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 1
B08, Trade, 35.500, 123, S01, B08, 1
B09, 1
B09, Trade, 55.500, 123, S06, B09, 1
B10, 3
B10, Trade, 186.867, 116, B10, S01, 1
B10, Trade, 226.517, 133, B10, S03, 1
B10, Trade, 277.700, 132, B10, S06, 1
B11, 1
B11, Trade, 194.167, 135, B11, S03, 1
B12, 4
B12, Trade, 41.517, 135, B12, S06, 1
B12, Trade, 48.550, 132, B12, S01, 1
B12, Trade, 96.200, 138, B12, S03, 1
B12, Trade, 226.750, 132, B12, S06, 1
B13, 6
B13, Trade, 21.283, 139, S05, B13, 1
B13, Trade, 68.517, 140, B13, S01, 1
B13, Trade, 100.883, 144, B13, S11, 1
B13, Trade, 148.983, 137, B13, S03, 1
B13, Trade, 191.167, 138, B13, S11, 1
B13, Trade, 201.583, 135, B13, S04, 1
B14, 3
B14, Trade, 26.267, 127, B14, S06, 1
B14, Trade, 275.800, 144, B14, S02, 1
B14, Trade, 291.783, 120, S06, B14, 1
B15, 8
B15, Trade, 21.450, 127, B15, S01, 1
B15, Trade, 26.983, 144, S09, B15, 1
B15, Trade, 96.250, 121, B15, S06, 1
B15, Trade, 126.850, 131, S09, B15, 1
B15, Trade, 145.883, 134, B15, S06, 1
B15, Trade, 163.800, 150, B15, S03, 1
B15, Trade, 186.367, 139, S11, B15, 1
B15, Trade, 253.200, 151, B15, S12, 1
B16, 6
B16, Trade, 5.733, 126, B16, S06, 1
B16, Trade, 118.017, 154, B16, S13, 1
B16, Trade, 213.467, 152, B16, S14, 1
B16, Trade, 284.483, 145, B16, S06, 1
B16, Trade, 286.550, 119, S03, B16, 1
B16, Trade, 293.683, 155, B16, S11, 1
B17, 29
B17, Trade, 9.817, 154, B17, S03, 1
B17, Trade, 14.383, 147, B17, S12, 1
B17, Trade, 40.383, 149, B17, S03, 1
B17, Trade, 45.450, 121, B17, S06, 1
B17, Trade, 50.733, 141, B17, S06, 1
B17, Trade, 67.267, 152, B17, S04, 1
B17, Trade, 83.300, 145, B17, S09, 1
B17, Trade, 86.200, 155, B17, S06, 1
B17, Trade, 105.417, 156, B17, S14, 1
B17, Trade, 126.017, 147, B17, S06, 1
B17, Trade, 131.333, 148, S11, B17, 1
B17, Trade, 142.567, 149, B17, S06, 1
B17, Trade, 151.100, 153, B17, S09, 1
B17, Trade, 159.967, 158, B17, S06, 1
B17, Trade, 168.233, 155, B17, S11, 1
B17, Trade, 187.900, 158, B17, S03, 1
B17, Trade, 192.467, 146, B17, S01, 1
B17, Trade, 196.317, 134, B17, S06, 1
B17, Trade, 204.633, 155, B17, S01, 1
B17, Trade, 213.050, 157, B17, S06, 1
B17, Trade, 216.533, 120, S06, B17, 1
B17, Trade, 222.200, 151, B17, S06, 1
B17, Trade, 243.150, 154, B17, S09, 1
B17, Trade, 261.433, 121, S06, B17, 1
B17, Trade, 270.850, 144, B17, S03, 1
B17, Trade, 277.250, 157, B17, S11, 1
B17, Trade, 281.933, 157, B17, S11, 1
B17, Trade, 289.617, 152, B17, S04, 1
B17, Trade, 298.817, 151, S10, B17, 1
B18, 8
B18, Trade, 15.567, 141, B18, S06, 1
B18, Trade, 57.583, 157, B18, S01, 1
B18, Trade, 60.733, 131, S04, B18, 1
B18, Trade, 96.150, 146, B18, S01, 1
B18, Trade, 153.583, 156, B18, S02, 1
B18, Trade, 221.883, 146, S00, B18, 1
B18, Trade, 251.350, 123, S06, B18, 1
B18, Trade, 288.883, 143, B18, S01, 1
B19, 44
B19, Trade, 8.117, 161, B19, S00, 1
B19, Trade, 12.817, 160, B19, S01, 1
B19, Trade, 20.050, 159, B19, S03, 1
B19, Trade, 20.817, 157, B19, S06, 1
B19, Trade, 31.450, 164, B19, S02, 1
B19, Trade, 48.800, 153, S03, B19, 1
B19, Trade, 50.567, 142, S11, B19, 1
B19, Trade, 57.100, 161, B19, S03, 1
B19, Trade, 62.717, 158, B19, S11, 1
B19, Trade, 66.633, 164, B19, S06, 1
B19, Trade, 70.783, 163, B19, S11, 1
B19, Trade, 75.900, 137, B19, S06, 1
B19, Trade, 80.733, 135, B19, S06, 1
B19, Trade, 90.750, 138, S03, B19, 1
B19, Trade, 96.083, 159, B19, S10, 1
B19, Trade, 100.717, 165, B19, S03, 1
B19, Trade, 108.733, 165, B19, S10, 1
B19, Trade, 111.000, 162, B19, S01, 1
B19, Trade, 116.550, 157, B19, S05, 1
B19, Trade, 121.717, 154, B19, S03, 1
B19, Trade, 138.033, 162, B19, S14, 1
B19, Trade, 142.150, 135, B19, S03, 1
B19, Trade, 148.917, 162, B19, S04, 1
B19, Trade, 163.033, 161, B19, S11, 1
B19, Trade, 173.367, 164, B19, S06, 1
B19, Trade, 176.100, 149, B19, S06, 1
B19, Trade, 183.350, 164, B19, S01, 1
B19, Trade, 191.950, 162, B19, S02, 1
B19, Trade, 202.050, 121, S06, B19, 1
B19, Trade, 206.417, 163, B19, S06, 1
B19, Trade, 211.650, 162, B19, S03, 1
B19, Trade, 217.000, 132, B19, S01, 1
B19, Trade, 222.633, 154, B19, S01, 1
B19, Trade, 235.983, 164, B19, S09, 1
B19, Trade, 241.450, 157, B19, S06, 1
B19, Trade, 247.483, 164, B19, S12, 1
B19, Trade, 253.717, 161, B19, S03, 1
B19, Trade, 264.150, 165, B19, S11, 1
B19, Trade, 266.817, 162, B19, S11, 1
B19, Trade, 271.500, 163, B19, S06, 1
B19, Trade, 278.867, 165, B19, S08, 1
B19, Trade, 282.500, 164, B19, S12, 1
B19, Trade, 288.200, 152, B19, S06, 1
B19, Trade, 299.567, 164, B19, S01, 1
B20, 5
B20, Trade, 85.700, 154, B20, S11, 1
B20, Trade, 91.550, 148, S04, B20, 1
B20, Trade, 109.300, 139, B20, S04, 1
B20, Trade, 258.983, 161, B20, S06, 1
B20, Trade, 296.983, 158, B20, S09, 1
B21, 41
B21, Trade, 11.517, 170, B21, S09, 1
B21, Trade, 18.683, 167, B21, S05, 1
B21, Trade, 29.900, 168, B21, S01, 1
B21, Trade, 34.567, 170, B21, S18, 1
B21, Trade, 36.783, 166, B21, S04, 1
B21, Trade, 40.600, 146, B21, S11, 1
B21, Trade, 53.917, 161, B21, S05, 1
B21, Trade, 61.500, 127, B21, S06, 1
B21, Trade, 68.467, 149, B21, S03, 1
B21, Trade, 71.200, 162, B21, S12, 1
B21, Trade, 77.150, 170, B21, S01, 1
B21, Trade, 90.983, 164, B21, S06, 1
B21, Trade, 103.483, 170, B21, S18, 1
B21, Trade, 108.750, 160, B21, S02, 1
B21, Trade, 118.333, 151, B21, S11, 1
B21, Trade, 123.683, 170, B21, S04, 1
B21, Trade, 132.217, 169, B21, S01, 1
B21, Trade, 138.800, 160, B21, S06, 1
B21, Trade, 141.717, 159, B21, S11, 1
B21, Trade, 147.300, 169, B21, S12, 1
B21, Trade, 151.983, 142, B21, S01, 1
B21, Trade, 158.100, 160, B21, S01, 1
B21, Trade, 163.567, 161, B21, S12, 1
B21, Trade, 167.817, 158, B21, S12, 1
B21, Trade, 174.300, 163, B21, S12, 1
B21, Trade, 183.917, 157, B21, S09, 1
B21, Trade, 189.150, 156, B21, S12, 1
B21, Trade, 192.183, 161, B21, S12, 1
B21, Trade, 200.500, 158, B21, S14, 1
B21, Trade, 207.867, 148, B21, S01, 1
B21, Trade, 212.333, 162, B21, S04, 1
B21, Trade, 225.833, 162, B21, S05, 1
B21, Trade, 232.550, 160, B21, S06, 1
B21, Trade, 239.900, 169, B21, S12, 1
B21, Trade, 248.700, 163, B21, S02, 1
B21, Trade, 258.167, 162, B21, S11, 1
B21, Trade, 269.383, 142, B21, S09, 1
B21, Trade, 274.283, 170, B21, S03, 1
B21, Trade, 279.767, 164, B21, S09, 1
B21, Trade, 283.317, 156, B21, S01, 1
B21, Trade, 296.450, 163, B21, S14, 1
B22, 9
B22, Trade, 113.600, 148, B22, S09, 1
B22, Trade, 124.883, 151, S12, B22, 1
B22, Trade, 140.683, 158, B22, S04, 1
B22, Trade, 178.967, 157, B22, S03, 1
B22, Trade, 212.600, 159, B22, S01, 1
B22, Trade, 223.233, 142, B22, S03, 1
B22, Trade, 237.433, 166, B22, S06, 1
B22, Trade, 275.333, 160, B22, S12, 1
B22, Trade, 298.417, 150, B22, S08, 1
B23, 28
B23, Trade, 5.850, 134, S01, B23, 1
B23, Trade, 15.883, 165, S11, B23, 1
B23, Trade, 23.350, 162, B23, S12, 1
B23, Trade, 29.550, 169, B23, S03, 1
B23, Trade, 40.683, 148, S01, B23, 1
B23, Trade, 51.883, 129, B23, S01, 1
B23, Trade, 57.033, 173, B23, S04, 1
B23, Trade, 66.783, 155, B23, S14, 1
B23, Trade, 93.033, 166, B23, S11, 1
B23, Trade, 103.700, 166, B23, S01, 1
B23, Trade, 119.483, 154, B23, S04, 1
B23, Trade, 130.133, 176, B23, S04, 1
B23, Trade, 131.100, 122, S06, B23, 1
B23, Trade, 136.850, 179, B23, S10, 1
B23, Trade, 149.550, 152, S07, B23, 1
B23, Trade, 161.667, 174, B23, S14, 1
B23, Trade, 171.250, 160, S04, B23, 1
B23, Trade, 181.117, 120, S06, B23, 1
B23, Trade, 194.650, 178, B23, S13, 1
B23, Trade, 196.733, 147, S09, B23, 1
B23, Trade, 201.950, 162, B23, S12, 1
B23, Trade, 213.600, 151, B23, S12, 1
B23, Trade, 222.700, 147, B23, S11, 1
B23, Trade, 234.283, 167, B23, S04, 1
B23, Trade, 240.917, 168, B23, S03, 1
B23, Trade, 267.550, 164, B23, S05, 1
B23, Trade, 281.183, 151, B23, S01, 1
B23, Trade, 299.850, 170, S11, B23, 1
B24, 25
B24, Trade, 34.083, 174, B24, S04, 1
B24, Trade, 50.600, 170, B24, S04, 1
B24, Trade, 63.517, 173, S20, B24, 1
B24, Trade, 76.933, 176, B24, S09, 1
B24, Trade, 89.717, 162, S18, B24, 1
B24, Trade, 105.350, 161, B24, S12, 1
B24, Trade, 105.883, 137, S11, B24, 1
B24, Trade, 115.383, 173, B24, S10, 1
B24, Trade, 122.083, 161, S11, B24, 1
B24, Trade, 144.500, 153, B24, S12, 1
B24, Trade, 151.233, 180, B24, S11, 1
B24, Trade, 171.733, 165, B24, S11, 1
B24, Trade, 182.233, 157, B24, S04, 1
B24, Trade, 187.583, 158, S04, B24, 1
B24, Trade, 198.750, 167, S05, B24, 1
B24, Trade, 208.533, 157, S08, B24, 1
B24, Trade, 214.067, 158, B24, S09, 1
B24, Trade, 217.017, 144, S03, B24, 1
B24, Trade, 232.017, 180, B24, S11, 1
B24, Trade, 237.467, 172, B24, S14, 1
B24, Trade, 242.200, 175, B24, S02, 1
B24, Trade, 255.633, 167, S02, B24, 1
B24, Trade, 260.950, 166, S12, B24, 1
B24, Trade, 276.600, 182, B24, S03, 1
B24, Trade, 288.783, 176, S12, B24, 1
B25, 52
B25, Trade, 6.100, 155, B25, S11, 1
B25, Trade, 11.967, 166, B25, S11, 1
B25, Trade, 16.917, 177, B25, S04, 1
B25, Trade, 21.833, 161, S09, B25, 1
B25, Trade, 25.867, 181, B25, S14, 1
B25, Trade, 31.650, 161, B25, S01, 1
B25, Trade, 36.433, 167, B25, S06, 1
B25, Trade, 40.900, 161, B25, S09, 1
B25, Trade, 47.150, 160, B25, S11, 1
B25, Trade, 53.733, 177, S12, B25, 1
B25, Trade, 55.667, 149, B25, S11, 1
B25, Trade, 60.950, 175, S09, B25, 1
B25, Trade, 65.883, 185, B25, S11, 1
B25, Trade, 72.850, 181, S01, B25, 1
B25, Trade, 79.117, 155, B25, S03, 1
B25, Trade, 86.767, 176, B25, S01, 1
