B00, 0
B01, 0
B02, 0
B03, 0
B04, 1
B04, Trade, 111.633, 113, B04, S02, 1
B05, 0
B06, 0
B07, 2
B07, Trade, 81.150, 121, B07, S02, 1
B07, Trade, 286.467, 116, S04, B07, 1
B08, 0
B09, 1
B09, Trade, 71.150, 131, B09, S00, 1
B10, 0
B11, 8
B11, Trade, 19.983, 124, B11, S03, 1
B11, Trade, 35.633, 137, B11, S04, 1
B11, Trade, 50.733, 111, S00, B11, 1
B11, Trade, 100.750, 130, B11, S04, 1
B11, Trade, 107.767, 129, B11, S02, 1
B11, Trade, 162.617, 134, B11, S04, 1
B11, Trade, 168.000, 134, B11, S04, 1
B11, Trade, 266.417, 127, B11, S04, 1
B12, 0
B13, 18
B13, Trade, 17.750, 141, B13, S10, 1
B13, Trade, 25.300, 143, B13, S02, 1
B13, Trade, 43.517, 144, B13, S13, 1
B13, Trade, 53.600, 136, B13, S02, 1
B13, Trade, 72.217, 143, B13, S04, 1
B13, Trade, 107.617, 144, B13, S05, 1
B13, Trade, 112.033, 140, B13, S00, 1
B13, Trade, 115.950, 130, B13, S04, 1
B13, Trade, 124.817, 144, B13, S00, 1
B13, Trade, 155.983, 144, B13, S04, 1
B13, Trade, 161.150, 144, B13, S02, 1
B13, Trade, 201.067, 117, S02, B13, 1
B13, Trade, 206.383, 138, B13, S11, 1
B13, Trade, 220.850, 143, B13, S02, 1
B13, Trade, 246.633, 135, B13, S04, 1
B13, Trade, 256.233, 144, B13, S04, 1
B13, Trade, 283.433, 143, B13, S02, 1
B13, Trade, 298.800, 143, B13, S06, 1
B14, 13
B14, Trade, 24.683, 145, B14, S02, 1
B14, Trade, 31.033, 138, B14, S02, 1
B14, Trade, 60.517, 133, B14, S04, 1
B14, Trade, 126.583, 129, B14, S04, 1
B14, Trade, 162.283, 144, B14, S11, 1
B14, Trade, 172.967, 142, B14, S04, 1
B14, Trade, 186.500, 146, B14, S02, 1
B14, Trade, 194.750, 148, B14, S06, 1
B14, Trade, 230.867, 143, B14, S11, 1
B14, Trade, 231.400, 142, B14, S00, 1
B14, Trade, 275.650, 144, S12, B14, 1
B14, Trade, 287.733, 142, B14, S11, 1
B14, Trade, 296.967, 129, S08, B14, 1
B15, 4
B15, Trade, 86.050, 133, B15, S04, 1
B15, Trade, 95.767, 125, B15, S04, 1
B15, Trade, 196.400, 135, B15, S04, 1
B15, Trade, 287.983, 131, S02, B15, 1
B16, 3
B16, Trade, 46.267, 143, B16, S04, 1
B16, Trade, 52.633, 142, B16, S08, 1
B16, Trade, 228.500, 148, B16, S04, 1
B17, 1
B17, Trade, 277.050, 113, B17, S04, 1
B18, 10
B18, Trade, 22.067, 154, B18, S04, 1
B18, Trade, 28.117, 159, B18, S08, 1
B18, Trade, 37.183, 159, B18, S02, 1
B18, Trade, 48.433, 161, B18, S09, 1
B18, Trade, 58.133, 149, B18, S02, 1
B18, Trade, 88.250, 156, B18, S13, 1
B18, Trade, 154.000, 157, B18, S08, 1
B18, Trade, 186.133, 152, B18, S04, 1
B18, Trade, 232.350, 157, B18, S04, 1
B18, Trade, 237.617, 150, B18, S10, 1
B19, 15
B19, Trade, 11.300, 157, B19, S04, 1
B19, Trade, 56.233, 146, S09, B19, 1
B19, Trade, 66.800, 164, B19, S04, 1
B19, Trade, 72.017, 156, B19, S11, 1
B19, Trade, 91.350, 152, B19, S10, 1
B19, Trade, 151.883, 146, S09, B19, 1
B19, Trade, 163.083, 161, S08, B19, 1
B19, Trade, 173.500, 158, B19, S02, 1
B19, Trade, 194.233, 160, B19, S15, 1
B19, Trade, 251.867, 141, B19, S04, 1
B19, Trade, 256.700, 163, B19, S13, 1
B19, Trade, 261.933, 131, S01, B19, 1
B19, Trade, 269.650, 161, S11, B19, 1
B19, Trade, 285.017, 143, B19, S11, 1
B19, Trade, 286.717, 162, B19, S13, 1
B20, 50
B20, Trade, 5.100, 149, B20, S04, 1
B20, Trade, 12.700, 157, B20, S02, 1
B20, Trade, 15.717, 168, B20, S14, 1
B20, Trade, 21.233, 164, B20, S09, 1
B20, Trade, 26.033, 160, S15, B20, 1
B20, Trade, 32.383, 166, B20, S15, 1
B20, Trade, 35.900, 162, B20, S13, 1
B20, Trade, 43.167, 162, B20, S03, 1
B20, Trade, 51.200, 139, S11, B20, 1
B20, Trade, 55.633, 155, S10, B20, 1
B20, Trade, 62.300, 160, B20, S00, 1
B20, Trade, 68.233, 154, B20, S06, 1
B20, Trade, 76.783, 162, B20, S02, 1
B20, Trade, 82.700, 154, B20, S03, 1
B20, Trade, 91.900, 163, S08, B20, 1
B20, Trade, 99.283, 164, B20, S17, 1
B20, Trade, 100.783, 133, S02, B20, 1
B20, Trade, 106.750, 151, B20, S10, 1
B20, Trade, 112.950, 151, S13, B20, 1
B20, Trade, 117.117, 167, B20, S11, 1
B20, Trade, 126.550, 158, B20, S11, 1
B20, Trade, 132.467, 152, B20, S02, 1
B20, Trade, 136.933, 151, S13, B20, 1
B20, Trade, 142.917, 167, B20, S00, 1
B20, Trade, 147.400, 158, B20, S04, 1
B20, Trade, 151.083, 141, B20, S04, 1
B20, Trade, 158.300, 164, B20, S02, 1
B20, Trade, 161.850, 162, B20, S10, 1
B20, Trade, 167.933, 167, B20, S17, 1
B20, Trade, 172.333, 146, S11, B20, 1
B20, Trade, 179.517, 154, B20, S13, 1
B20, Trade, 188.567, 160, B20, S13, 1
B20, Trade, 192.250, 152, B20, S02, 1
B20, Trade, 207.533, 167, B20, S08, 1
B20, Trade, 215.917, 167, B20, S15, 1
B20, Trade, 216.900, 161, B20, S04, 1
B20, Trade, 221.900, 152, B20, S04, 1
B20, Trade, 226.450, 140, B20, S02, 1
B20, Trade, 232.833, 162, S17, B20, 1
B20, Trade, 238.117, 158, S08, B20, 1
B20, Trade, 242.583, 166, B20, S02, 1
B20, Trade, 247.800, 164, B20, S02, 1
B20, Trade, 254.417, 163, B20, S13, 1
B20, Trade, 261.683, 114, S04, B20, 1
B20, Trade, 266.767, 159, B20, S02, 1
B20, Trade, 275.117, 162, B20, S00, 1
B20, Trade, 276.683, 151, S15, B20, 1
B20, Trade, 282.250, 159, S17, B20, 1
B20, Trade, 292.183, 150, B20, S04, 1
B20, Trade, 296.633, 168, B20, S02, 1
B21, 10
B21, Trade, 7.167, 155, B21, S02, 1
B21, Trade, 43.783, 142, B21, S04, 1
B21, Trade, 97.950, 155, B21, S02, 1
B21, Trade, 101.567, 148, B21, S06, 1
B21, Trade, 166.750, 141, B21, S02, 1
B21, Trade, 171.933, 153, B21, S00, 1
B21, Trade, 184.367, 155, S11, B21, 1
B21, Trade, 213.050, 167, B21, S04, 1
B21, Trade, 255.750, 153, B21, S08, 1
B21, Trade, 259.800, 163, B21, S05, 1
B22, 21
B22, Trade, 12.800, 143, B22, S03, 1
B22, Trade, 42.633, 168, B22, S02, 1
B22, Trade, 77.233, 154, B22, S00, 1
B22, Trade, 81.233, 130, B22, S04, 1
B22, Trade, 91.117, 152, B22, S04, 1
B22, Trade, 98.900, 168, B22, S00, 1
B22, Trade, 108.633, 168, S20, B22, 1
B22, Trade, 124.650, 157, S05, B22, 1
B22, Trade, 128.150, 164, S10, B22, 1
B22, Trade, 141.317, 159, B22, S04, 1
B22, Trade, 150.733, 146, S11, B22, 1
B22, Trade, 152.500, 151, B22, S02, 1
B22, Trade, 176.950, 172, B22, S08, 1
B22, Trade, 184.417, 150, B22, S00, 1
B22, Trade, 187.567, 169, B22, S17, 1
B22, Trade, 196.533, 149, S13, B22, 1
B22, Trade, 206.267, 169, B22, S13, 1
B22, Trade, 212.767, 170, B22, S02, 1
B22, Trade, 240.967, 150, S02, B22, 1
B22, Trade, 257.833, 175, B22, S11, 1
B22, Trade, 281.233, 154, B22, S11, 1
B23, 58
B23, Trade, 6.483, 151, S15, B23, 1
B23, Trade, 10.117, 159, S05, B23, 1
B23, Trade, 15.217, 179, B23, S17, 1
B23, Trade, 21.617, 174, S01, B23, 1
B23, Trade, 25.267, 175, B23, S04, 1
B23, Trade, 31.750, 169, B23, S10, 1
B23, Trade, 37.800, 166, S19, B23, 1
B23, Trade, 43.767, 162, B23, S06, 1
B23, Trade, 45.683, 169, B23, S11, 1
B23, Trade, 53.500, 166, S01, B23, 1
B23, Trade, 55.417, 164, B23, S08, 1
B23, Trade, 63.867, 142, S10, B23, 1
B23, Trade, 65.833, 121, B23, S02, 1
