B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 1
B13, Trade, 60.683, 141, S01, B13, 1
B14, 2
B14, Trade, 133.450, 145, B14, S11, 1
B14, Trade, 187.833, 146, B14, S09, 1
B15, 8
B15, Trade, 12.083, 141, S11, B15, 1
B15, Trade, 31.683, 151, B15, S04, 1
B15, Trade, 54.617, 146, B15, S04, 1
B15, Trade, 57.800, 149, B15, S03, 1
B15, Trade, 88.000, 147, B15, S13, 1
B15, Trade, 157.750, 143, B15, S01, 1
B15, Trade, 233.967, 144, B15, S06, 1
B15, Trade, 252.717, 149, S08, B15, 1
B16, 8
B16, Trade, 6.233, 149, B16, S13, 1
B16, Trade, 13.283, 132, B16, S01, 1
B16, Trade, 63.783, 154, B16, S05, 1
B16, Trade, 85.283, 147, B16, S13, 1
B16, Trade, 87.300, 152, B16, S01, 1
B16, Trade, 151.417, 139, S00, B16, 1
B16, Trade, 176.700, 151, S01, B16, 1
B16, Trade, 195.250, 150, B16, S01, 1
B17, 7
B17, Trade, 53.500, 150, S06, B17, 1
B17, Trade, 81.517, 154, B17, S03, 1
B17, Trade, 108.867, 155, B17, S13, 1
B17, Trade, 116.650, 149, B17, S05, 1
B17, Trade, 233.517, 150, S04, B17, 1
B17, Trade, 252.233, 158, B17, S14, 1
B17, Trade, 289.233, 157, B17, S04, 1
B18, 10
B18, Trade, 5.983, 155, B18, S11, 1
B18, Trade, 15.667, 154, B18, S01, 1
B18, Trade, 96.050, 157, B18, S03, 1
B18, Trade, 126.433, 143, B18, S01, 1
B18, Trade, 200.400, 162, B18, S01, 1
B18, Trade, 204.033, 160, B18, S03, 1
B18, Trade, 220.717, 144, B18, S07, 1
B18, Trade, 243.700, 157, S16, B18, 1
B18, Trade, 258.033, 157, B18, S13, 1
B18, Trade, 262.917, 156, B18, S01, 1
B19, 7
B19, Trade, 20.683, 161, B19, S05, 1
B19, Trade, 46.833, 150, S08, B19, 1
B19, Trade, 61.467, 157, B19, S14, 1
B19, Trade, 99.483, 143, B19, S05, 1
B19, Trade, 163.550, 143, B19, S05, 1
B19, Trade, 194.067, 148, B19, S03, 1
B19, Trade, 244.133, 149, B19, S00, 1
B20, 4
B20, Trade, 138.300, 151, B20, S01, 1
B20, Trade, 235.383, 153, B20, S13, 1
B20, Trade, 263.067, 151, B20, S13, 1
B20, Trade, 285.633, 138, B20, S07, 1
B21, 6
B21, Trade, 12.533, 132, S00, B21, 1
B21, Trade, 53.650, 147, B21, S00, 1
B21, Trade, 55.517, 151, B21, S01, 1
B21, Trade, 97.000, 151, B21, S11, 1
B21, Trade, 168.517, 150, B21, S11, 1
B21, Trade, 222.000, 159, B21, S13, 1
B22, 56
B22, Trade, 5.767, 156, S09, B22, 1
B22, Trade, 10.317, 156, S08, B22, 1
B22, Trade, 19.383, 166, B22, S11, 1
B22, Trade, 21.433, 163, S16, B22, 1
B22, Trade, 28.817, 158, B22, S01, 1
B22, Trade, 32.350, 172, B22, S11, 1
B22, Trade, 36.133, 171, B22, S07, 1
B22, Trade, 40.350, 166, B22, S16, 1
B22, Trade, 48.350, 169, B22, S13, 1
B22, Trade, 55.900, 153, S13, B22, 1
B22, Trade, 64.767, 160, S16, B22, 1
B22, Trade, 67.517, 172, B22, S08, 1
B22, Trade, 74.517, 169, S15, B22, 1
B22, Trade, 79.200, 173, B22, S08, 1
B22, Trade, 80.983, 164, B22, S16, 1
B22, Trade, 86.583, 173, B22, S16, 1
