B00, 0
B01, 0
B02, 0
B03, 1
B03, Trade, 291.650, 105, S01, B03, 1
B04, 0
B05, 0
B06, 0
B07, 1
B07, Trade, 281.750, 109, S02, B07, 1
B08, 2
B08, Trade, 117.883, 120, B08, S03, 1
B08, Trade, 221.167, 123, B08, S01, 1
B09, 4
B09, Trade, 72.283, 125, B09, S02, 1
B09, Trade, 171.300, 126, B09, S01, 1
B09, Trade, 266.700, 123, B09, S01, 1
B09, Trade, 277.017, 126, B09, S02, 1
B10, 1
B10, Trade, 69.250, 132, B10, S06, 1
B11, 8
B11, Trade, 51.867, 136, B11, S04, 1
B11, Trade, 146.067, 128, S01, B11, 1
B11, Trade, 155.517, 135, B11, S01, 1
B11, Trade, 185.800, 134, B11, S04, 1
B11, Trade, 226.200, 127, B11, S02, 1
B11, Trade, 231.400, 118, S01, B11, 1
B11, Trade, 275.667, 137, B11, S01, 1
B11, Trade, 297.233, 137, B11, S01, 1
B12, 4
B12, Trade, 41.750, 129, B12, S02, 1
B12, Trade, 161.100, 113, S03, B12, 1
B12, Trade, 195.050, 137, B12, S04, 1
B12, Trade, 287.817, 136, B12, S02, 1
B13, 1
B13, Trade, 226.283, 116, S03, B13, 1
B14, 4
B14, Trade, 5.717, 131, B14, S01, 1
B14, Trade, 162.883, 146, B14, S04, 1
B14, Trade, 186.433, 124, S03, B14, 1
B14, Trade, 192.083, 146, B14, S02, 1
B15, 7
B15, Trade, 55.483, 144, B15, S04, 1
B15, Trade, 65.550, 139, B15, S04, 1
B15, Trade, 80.100, 148, B15, S07, 1
B15, Trade, 101.300, 136, B15, S04, 1
B15, Trade, 131.167, 138, B15, S01, 1
B15, Trade, 148.317, 150, B15, S08, 1
B15, Trade, 279.367, 150, B15, S04, 1
B16, 44
B16, Trade, 5.867, 132, S06, B16, 1
B16, Trade, 10.950, 154, B16, S04, 1
B16, Trade, 17.650, 154, B16, S02, 1
B16, Trade, 21.733, 145, B16, S02, 1
B16, Trade, 28.100, 146, B16, S02, 1
B16, Trade, 30.967, 121, S03, B16, 1
B16, Trade, 38.633, 153, B16, S00, 1
B16, Trade, 45.950, 148, B16, S03, 1
B16, Trade, 51.317, 137, S01, B16, 1
B16, Trade, 56.650, 135, S06, B16, 1
B16, Trade, 61.250, 153, B16, S02, 1
B16, Trade, 68.900, 136, S07, B16, 1
B16, Trade, 70.900, 153, B16, S03, 1
B16, Trade, 76.117, 148, B16, S04, 1
